,Jamaica,Bhutan,Eritrea,Dominica,Madagascar,Pakistan,Samoa,Nepal,Ethiopia,Kenya,Guyana,Bangladesh,Italy,Zambia,Solomon Islands,Mauritius,Papua New Guinea,Comoros,Tunisia,Albania,Tonga,China,Burkina Faso,Serbia and Montenegro,Niger,"China, Hong Kong SAR",Morocco,Saint Lucia,Argentina,Colombia,Spain,Lebanon,Malawi,India,Syrian Arab Republic,Austria,Ecuador,Indonesia,Wallis and Futuna Islands,Ethiopia PDR,Thailand,"China, Macao SAR",Melanesia,Togo,Malaysia,Georgia,Greece,Vanuatu,Timor-Leste,Democratic Republic of the Congo,Nigeria,Polynesia,Micronesia,Zimbabwe,Hungary,Turkey,Dominican Republic,Kyrgyzstan,Bolivia (Plurinational State of),Occupied Palestinian Territory,Grenada,Saint Vincent and the Grenadines,Peru,Romania,Iran (Islamic Republic of),Mexico,Kuwait,"China, mainland",Sierra Leone,Sri Lanka,Cyprus,Guam,Uzbekistan,Côte d'Ivoire,Rwanda,Bulgaria,Myanmar,Guatemala
1961,250.0,320.0,,-1.0,15.0,2000.0,38.0,-1.0,,1500.0,,37600.0,,-1.0,-1.0,29.0,10.0,-1.0,13.0,-1.0,55.0,50.0,-1.0,,1000.0,50.0,1250.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,11000.0,-1.0,-1.0,-1.0,4.0,0.0,1250.0,,12.0,-1.0,-1.0,,,2.0,-1.0,,800.0,97.0,,400.0,-1.0,11000.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,-1.0,2900.0,94.0,,,-1.0,,-1.0,-1.0,-1.0
1962,190.0,325.0,,-1.0,15.0,2000.0,38.0,-1.0,,1500.0,,31600.0,,-1.0,-1.0,57.0,10.0,-1.0,13.0,-1.0,60.0,50.0,-1.0,,1000.0,50.0,1250.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,230000.0,11000.0,-1.0,-1.0,-1.0,4.0,0.0,1250.0,,12.0,-1.0,-1.0,,,2.0,-1.0,,1600.0,102.0,,400.0,-1.0,11336.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,-1.0,2900.0,100.0,,,-1.0,,-1.0,-1.0,-1.0
1963,200.0,330.0,,-1.0,15.0,2000.0,38.0,-1.0,,1500.0,,29500.0,,-1.0,-1.0,48.0,15.0,-1.0,6.0,-1.0,65.0,50.0,-1.0,,1000.0,50.0,1250.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,240000.0,11000.0,-1.0,-1.0,-1.0,4.0,0.0,1250.0,,17.0,-1.0,-1.0,,,2.0,-1.0,,2400.0,107.0,,400.0,-1.0,17313.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,-1.0,2900.0,107.0,,,-1.0,,-1.0,-1.0,-1.0
1964,140.0,335.0,,-1.0,15.0,2000.0,38.0,-1.0,,1500.0,,29900.0,,-1.0,-1.0,35.0,15.0,-1.0,13.0,-1.0,70.0,50.0,-1.0,,1000.0,50.0,1250.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,257000.0,18500.0,-1.0,-1.0,-1.0,4.0,0.0,1250.0,,17.0,-1.0,-1.0,,,2.0,-1.0,,2400.0,112.0,,400.0,-1.0,10204.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,-1.0,2900.0,107.0,,,-1.0,,-1.0,-1.0,-1.0
1965,240.0,345.0,,-1.0,15.0,2000.0,38.0,-1.0,,1500.0,,12900.0,,-1.0,-1.0,33.0,15.0,-1.0,9.0,-1.0,75.0,50.0,-1.0,,1000.0,50.0,1250.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,261000.0,11800.0,-1.0,-1.0,-1.0,4.0,0.0,1250.0,,17.0,-1.0,-1.0,,,2.0,-1.0,,1600.0,117.0,,400.0,-1.0,7694.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,-1.0,2900.0,24.0,,,-1.0,,-1.0,-1.0,-1.0
1966,90.0,350.0,,-1.0,15.0,2748.0,38.0,-1.0,,1500.0,,13400.0,,-1.0,-1.0,57.0,20.0,-1.0,9.0,-1.0,76.0,30.0,-1.0,,1000.0,30.0,1600.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,258000.0,800.0,-1.0,-1.0,-1.0,4.0,0.0,1650.0,,22.0,-1.0,-1.0,,,2.0,-1.0,,3100.0,118.0,,400.0,-1.0,6012.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,-1.0,2900.0,24.0,,,-1.0,,-1.0,-1.0,-1.0
1967,100.0,350.0,,-1.0,15.0,1763.0,39.0,-1.0,,1500.0,,13400.0,,-1.0,-1.0,50.0,20.0,-1.0,9.0,-1.0,77.0,44.0,-1.0,,1000.0,44.0,1600.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,260000.0,800.0,-1.0,-1.0,-1.0,4.0,0.0,1650.0,,22.0,-1.0,-1.0,,,2.0,-1.0,,1500.0,120.0,,400.0,-1.0,6112.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,-1.0,2900.0,54.0,,,-1.0,,-1.0,-1.0,-1.0
1968,140.0,350.0,,-1.0,15.0,1563.0,40.0,-1.0,,1500.0,,11700.0,,-1.0,-1.0,46.0,20.0,-1.0,15.0,-1.0,78.0,40.0,-1.0,,1000.0,40.0,1900.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,273000.0,600.0,-1.0,-1.0,-1.0,4.0,1200.0,1650.0,,22.0,-1.0,-1.0,,,2.0,-1.0,,2200.0,122.0,,400.0,-1.0,5478.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,-1.0,2900.0,20.0,,,-1.0,,-1.0,-1.0,-1.0
1969,150.0,350.0,,-1.0,15.0,1700.0,40.0,-1.0,,1500.0,,29716.0,,-1.0,-1.0,70.0,25.0,-1.0,9.0,-1.0,78.0,50.0,-1.0,,2500.0,50.0,1900.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,291000.0,627.0,-1.0,-1.0,-1.0,4.0,800.0,1650.0,,27.0,-1.0,-1.0,,,2.0,-1.0,,3000.0,122.0,,400.0,-1.0,6990.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,-1.0,2900.0,13.0,,,-1.0,,-1.0,-1.0,-1.0
1970,110.0,360.0,,-1.0,15.0,2588.0,40.0,-1.0,,1500.0,,29249.0,,-1.0,-1.0,44.0,35.0,-1.0,20.0,-1.0,78.0,55.0,-1.0,,3000.0,55.0,1900.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,352600.0,521.0,-1.0,-1.0,-1.0,4.0,0.0,1650.0,,37.0,-1.0,-1.0,,,2.0,-1.0,,3300.0,122.0,,400.0,-1.0,10508.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,-1.0,2900.0,13.0,,,-1.0,40.0,-1.0,-1.0,-1.0
1971,81.0,370.0,,-1.0,15.0,3337.0,40.0,-1.0,,1500.0,,28270.0,,-1.0,-1.0,57.0,50.0,-1.0,20.0,-1.0,79.0,70.0,-1.0,,3600.0,70.0,2500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,438300.0,434.0,-1.0,-1.0,-1.0,4.0,0.0,2000.0,,52.0,-1.0,-1.0,,,2.0,-1.0,,2600.0,123.0,,400.0,-1.0,5375.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,-1.0,2900.0,13.0,,,-1.0,30.0,-1.0,-1.0,-1.0
1972,119.0,370.0,,-1.0,15.0,4487.0,40.0,-1.0,,1500.0,,27179.0,,-1.0,-1.0,63.0,35.0,-1.0,25.0,-1.0,79.0,90.0,-1.0,,2700.0,90.0,3300.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,321700.0,283.0,-1.0,-1.0,-1.0,4.0,700.0,2000.0,,37.0,-1.0,-1.0,,,2.0,-1.0,,2600.0,123.0,,400.0,-1.0,9110.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,-1.0,2900.0,13.0,,,-1.0,30.0,-1.0,-1.0,-1.0
