,Mauritania,Kenya,"China, Taiwan Province of",Belarus,Croatia,Saudi Arabia,Tonga,Philippines,Syrian Arab Republic,Brazil,Lao People's Democratic Republic,Australia,United Republic of Tanzania,Thailand,Uzbekistan,Indonesia,The former Yugoslav Republic of Macedonia,Greece,Republic of Korea,Trinidad and Tobago,Melanesia,New Caledonia,Australia & New Zealand,Yugoslav SFR,Guatemala,French Polynesia,Algeria,United Arab Emirates,Senegal,Tajikistan,Saint Lucia,Ukraine,Israel,Dominica,Fiji,Cabo Verde,Turkmenistan,Uruguay,Azerbaijan,Egypt,Bosnia and Herzegovina,China,Malta,Colombia,Libya,Sudan (former),Lebanon,Brunei Darussalam,Occupied Palestinian Territory,Chile,Hungary,Montenegro,Kazakhstan,South Africa,Suriname,Portugal,Namibia,"China, mainland",Russian Federation,Mali,Costa Rica,Saint Kitts and Nevis,Bolivia (Plurinational State of),Peru,Democratic People's Republic of Korea,Serbia and Montenegro,Cameroon,Serbia,Malaysia,Grenada,Armenia,South Sudan,El Salvador,Cook Islands,Canada,Japan,Afghanistan,Iraq,Venezuela (Bolivarian Republic of),Cyprus,Spain,New Zealand,Bahrain,Belize,Bulgaria,United States of America,Iran (Islamic Republic of),Sudan,Somalia,Pakistan,Kuwait,Cuba,Kyrgyzstan,Argentina,Paraguay,Georgia,India,Guadeloupe,Austria,Niger,Morocco,Qatar,Mexico,USSR,Romania,Ecuador,Honduras,Jordan,Puerto Rico,Viet Nam,Tunisia,Albania,Slovakia,Jamaica,Solomon Islands,Yemen,France,Italy,Polynesia,Réunion,Panama,Oman,Guyana,Republic of Moldova,Turkey
1961,70.0,-1.0,6160.0,-1,-1.0,8000.0,30.0,4560.0,35000.0,114382.0,-1.0,1352.0,-1.0,17280.0,-1.0,-1.0,-1.0,24174.0,2332.0,-1.0,13.0,-1.0,1372.0,29500.0,-1.0,40.0,16010.0,-1.0,-1.0,-1.0,-1.0,-1.0,4085.0,-1,-1.0,-1.0,-1.0,1901.0,-1.0,26015.0,-1.0,536160.0,-1.0,70.0,1615.0,2200.0,2500.0,-1.0,-1.0,5000.0,10363.0,-1.0,-1.0,3000.0,-1.0,300.0,-1.0,530000.0,-1.0,2500.0,-1.0,-1.0,-1.0,2000.0,900.0,-1.0,-1.0,-1.0,1100.0,-1.0,-1.0,-1,1100.0,15.0,-1.0,37900.0,13000.0,20791.0,2250.0,1338.0,22995.0,20.0,-1.0,-1.0,19490.0,124471.0,68000.0,-1.0,-1.0,6200.0,-1.0,-1.0,-1.0,14595.0,9600.0,-1.0,6500.0,20.0,-1.0,-1.0,8000.0,-1.0,24924.0,546000.0,-1.0,1500.0,446.0,8700.0,-1.0,3000.0,5412.0,-1.0,-1.0,110.0,13.0,480.0,177.0,19010.0,85.0,-1.0,20.0,-1.0,-1.0,-1.0,137000.0
1962,70.0,-1.0,7358.0,-1,-1.0,8000.0,31.0,5100.0,48579.0,112807.0,-1.0,1352.0,-1.0,17920.0,-1.0,-1.0,-1.0,24616.0,2421.0,-1.0,14.0,-1.0,1382.0,31000.0,-1.0,45.0,18000.0,-1.0,-1.0,-1.0,-1.0,-1.0,4885.0,-1,-1.0,-1.0,-1.0,1000.0,-1.0,26970.0,-1.0,537358.0,-1.0,70.0,2043.0,2300.0,2700.0,-1.0,-1.0,5200.0,9501.0,-1.0,-1.0,3500.0,-1.0,300.0,-1.0,530000.0,-1.0,2500.0,-1.0,-1.0,-1.0,2300.0,1000.0,-1.0,-1.0,-1.0,1200.0,-1.0,-1.0,-1,1100.0,16.0,-1.0,39000.0,13000.0,23932.0,2450.0,1338.0,22155.0,30.0,-1.0,-1.0,19386.0,120708.0,76000.0,-1.0,-1.0,6700.0,-1.0,-1.0,-1.0,14988.0,9800.0,-1.0,6800.0,20.0,-1.0,-1.0,7000.0,-1.0,30206.0,552000.0,-1.0,1500.0,452.0,8700.0,-1.0,3000.0,11000.0,-1.0,-1.0,130.0,14.0,480.0,165.0,19408.0,92.0,-1.0,20.0,-1.0,-1.0,-1.0,131000.0
1963,70.0,-1.0,10598.0,-1,-1.0,8000.0,32.0,5570.0,70214.0,109275.0,-1.0,1352.0,-1.0,25120.0,-1.0,-1.0,-1.0,27237.0,2654.0,-1.0,14.0,-1.0,1392.0,34300.0,-1.0,50.0,18000.0,-1.0,-1.0,-1.0,-1.0,-1.0,6265.0,-1,-1.0,-1.0,-1.0,1000.0,-1.0,30646.0,-1.0,470598.0,-1.0,80.0,1473.0,2300.0,3000.0,-1.0,-1.0,5400.0,11157.0,-1.0,-1.0,3200.0,-1.0,300.0,-1.0,460000.0,-1.0,2500.0,-1.0,-1.0,-1.0,2300.0,1000.0,-1.0,-1.0,-1.0,1000.0,-1.0,-1.0,-1,1150.0,17.0,-1.0,38300.0,13000.0,25471.0,2650.0,1271.0,21944.0,40.0,-1.0,-1.0,22366.0,115864.0,85000.0,-1.0,-1.0,6200.0,-1.0,-1.0,-1.0,14201.0,10000.0,-1.0,7000.0,20.0,-1.0,-1.0,6000.0,-1.0,30608.0,553000.0,-1.0,1153.0,457.0,9000.0,-1.0,4000.0,8800.0,-1.0,-1.0,110.0,14.0,490.0,275.0,24381.0,99.0,-1.0,20.0,-1.0,-1.0,-1.0,120467.0
1964,110.0,-1.0,10239.0,-1,-1.0,8000.0,33.0,5710.0,47522.0,117691.0,-1.0,1404.0,-1.0,25440.0,-1.0,-1.0,-1.0,29010.0,3804.0,-1.0,15.0,-1.0,1444.0,37900.0,-1.0,55.0,18120.0,-1.0,-1.0,-1.0,-1.0,-1.0,5405.0,-1,-1.0,-1.0,-1.0,1000.0,-1.0,33281.0,-1.0,420239.0,-1.0,90.0,1308.0,2300.0,3200.0,-1.0,-1.0,5600.0,13337.0,-1.0,-1.0,2500.0,-1.0,310.0,-1.0,410000.0,-1.0,2500.0,-1.0,-1.0,-1.0,2300.0,1100.0,-1.0,-1.0,-1.0,1300.0,-1.0,-1.0,-1,1300.0,18.0,-1.0,37100.0,13000.0,32025.0,2850.0,1204.0,19926.0,40.0,-1.0,-1.0,26122.0,113472.0,90000.0,-1.0,-1.0,6400.0,-1.0,-1.0,-1.0,15208.0,10200.0,-1.0,7500.0,20.0,-1.0,-1.0,7000.0,-1.0,30238.0,574000.0,-1.0,1401.0,466.0,13300.0,-1.0,4000.0,7600.0,-1.0,-1.0,110.0,15.0,490.0,260.0,23755.0,106.0,-1.0,20.0,-1.0,-1.0,-1.0,120000.0
1965,110.0,-1.0,7317.0,-1,-1.0,8000.0,35.0,4470.0,38313.0,119650.0,-1.0,1404.0,-1.0,27040.0,-1.0,-1.0,-1.0,23020.0,4863.0,-1.0,15.0,-1.0,1440.0,37100.0,-1.0,60.0,24820.0,-1.0,-1.0,-1.0,-1.0,-1.0,5820.0,-1,-1.0,-1.0,-1.0,1000.0,-1.0,37986.0,-1.0,417317.0,-1.0,100.0,1385.0,2500.0,3150.0,-1.0,-1.0,5809.0,11312.0,-1.0,-1.0,2800.0,-1.0,310.0,-1.0,410000.0,-1.0,3000.0,-1.0,-1.0,-1.0,2400.0,1100.0,-1.0,-1.0,-1.0,1400.0,-1.0,-1.0,-1,1400.0,19.0,-1.0,37800.0,13000.0,34500.0,3100.0,1264.0,16460.0,36.0,-1.0,-1.0,24090.0,115868.0,93000.0,-1.0,-1.0,6000.0,-1.0,-1.0,-1.0,15109.0,10400.0,-1.0,7600.0,20.0,-1.0,-1.0,7467.0,-1.0,28712.0,554000.0,-1.0,1381.0,473.0,17000.0,-1.0,4500.0,6920.0,-1.0,-1.0,115.0,15.0,500.0,263.0,23989.0,114.0,-1.0,25.0,-1.0,-1.0,-1.0,120000.0
1966,110.0,-1.0,9186.0,-1,-1.0,8000.0,37.0,4430.0,26117.0,112525.0,-1.0,1456.0,-1.0,37512.0,-1.0,-1.0,-1.0,27720.0,4004.0,-1.0,16.0,-1.0,1496.0,40400.0,-1.0,64.0,17270.0,-1.0,-1.0,-1.0,-1.0,-1.0,5325.0,-1,-1.0,-1.0,-1.0,950.0,-1.0,43790.0,-1.0,404186.0,-1.0,110.0,1385.0,2500.0,2677.0,-1.0,-1.0,6000.0,12092.0,-1.0,-1.0,2300.0,-1.0,310.0,-1.0,395000.0,-1.0,3000.0,-1.0,-1.0,-1.0,3630.0,1100.0,-1.0,-1.0,-1.0,1400.0,-1.0,-1.0,-1,1530.0,20.0,-1.0,38900.0,13100.0,36315.0,2700.0,1204.0,17973.0,40.0,-1.0,-1.0,26526.0,111546.0,95000.0,-1.0,-1.0,7100.0,-1.0,-1.0,-1.0,13052.0,10500.0,-1.0,7900.0,24.0,-1.0,-1.0,6236.0,-1.0,28944.0,528000.0,-1.0,1288.0,462.0,7500.0,-1.0,5500.0,8500.0,-1.0,-1.0,81.0,16.0,510.0,249.0,25975.0,121.0,-1.0,25.0,-1.0,-1.0,-1.0,120000.0
1967,110.0,-1.0,8756.0,-1,-1.0,8000.0,38.0,4010.0,62493.0,126831.0,-1.0,1716.0,-1.0,40000.0,-1.0,-1.0,-1.0,28530.0,4913.0,-1.0,16.0,-1.0,1756.0,39800.0,-1.0,68.0,18590.0,100.0,-1.0,-1.0,-1.0,-1.0,5265.0,-1,-1.0,-1.0,-1.0,950.0,-1.0,39856.0,-1.0,403756.0,-1.0,120.0,1385.0,2600.0,2015.0,-1.0,-1.0,6100.0,10025.0,-1.0,-1.0,2300.0,-1.0,310.0,-1.0,395000.0,-1.0,3000.0,-1.0,-1.0,-1.0,4040.0,1200.0,-1.0,-1.0,-1.0,1600.0,-1.0,-1.0,-1,1540.0,21.0,-1.0,39500.0,12100.0,41518.0,2800.0,1217.0,17513.0,40.0,-1.0,-1.0,24696.0,110583.0,98000.0,-1.0,-1.0,8000.0,-1.0,-1.0,-1.0,14570.0,10500.0,-1.0,8000.0,30.0,-1.0,-1.0,6000.0,-1.0,21922.0,520000.0,-1.0,1871.0,528.0,5257.0,-1.0,6350.0,5800.0,-1.0,-1.0,157.0,16.0,510.0,237.0,26509.0,127.0,-1.0,30.0,-1.0,-1.0,-1.0,124000.0
1968,110.0,-1.0,9113.0,-1,-1.0,8000.0,40.0,6640.0,66800.0,125971.0,-1.0,1820.0,-1.0,47800.0,-1.0,-1.0,-1.0,28320.0,5807.0,-1.0,17.0,-1.0,1860.0,41300.0,-1.0,70.0,21500.0,208.0,-1.0,-1.0,-1.0,-1.0,5620.0,-1,-1.0,-1.0,-1.0,950.0,-1.0,35707.0,-1.0,384113.0,-1.0,130.0,1400.0,2600.0,1904.0,-1.0,-1.0,6200.0,11924.0,-1.0,-1.0,2800.0,-1.0,310.0,-1.0,375000.0,-1.0,3500.0,-1.0,-1.0,-1.0,3525.0,1200.0,-1.0,-1.0,-1.0,1700.0,-1.0,-1.0,-1,1550.0,22.0,-1.0,40700.0,10900.0,40000.0,2900.0,1231.0,17840.0,40.0,-1.0,-1.0,25535.0,114881.0,98000.0,-1.0,-1.0,13400.0,-1.0,-1.0,-1.0,13900.0,11000.0,-1.0,8400.0,35.0,-1.0,-1.0,8000.0,-1.0,19219.0,514000.0,-1.0,1257.0,573.0,7116.0,-1.0,6410.0,8000.0,-1.0,-1.0,167.0,17.0,530.0,227.0,27794.0,132.0,-1.0,35.0,-1.0,-1.0,-1.0,120000.0
1969,110.0,-1.0,11767.0,-1,-1.0,8000.0,42.0,11320.0,64374.0,114767.0,-1.0,1786.0,-1.0,51673.0,-1.0,-1.0,-1.0,24370.0,6423.0,-1.0,17.0,-1.0,1836.0,40420.0,-1.0,72.0,21520.0,378.0,-1.0,-1.0,-1.0,-1.0,7360.0,-1,-1.0,-1.0,-1.0,950.0,-1.0,38647.0,-1.0,386767.0,-1.0,140.0,1400.0,2650.0,2047.0,-1.0,-1.0,6300.0,11040.0,-1.0,-1.0,2200.0,-1.0,310.0,-1.0,375000.0,-1.0,4000.0,-1.0,-1.0,-1.0,3580.0,1200.0,-1.0,-1.0,-1.0,1800.0,-1.0,-1.0,-1,1600.0,23.0,-1.0,38800.0,10900.0,47046.0,3000.0,1204.0,16319.0,50.0,-1.0,-1.0,24657.0,110235.0,95000.0,-1.0,-1.0,11000.0,-1.0,-1.0,-1.0,14500.0,11000.0,-1.0,8700.0,40.0,-1.0,-1.0,7000.0,-1.0,18503.0,493000.0,-1.0,2288.0,577.0,5700.0,-1.0,5500.0,11000.0,-1.0,-1.0,187.0,17.0,530.0,314.0,27868.0,137.0,-1.0,40.0,-1.0,-1.0,-1.0,120000.0
1970,110.0,-1.0,13715.0,-1,-1.0,10000.0,43.0,14930.0,36015.0,103429.0,-1.0,1654.0,-1.0,36241.0,-1.0,-1.0,-1.0,26500.0,7349.0,-1.0,18.0,-1.0,1704.0,40791.0,-1.0,75.0,21130.0,601.0,-1.0,-1.0,-1.0,-1.0,7590.0,-1,-1.0,-1.0,-1.0,996.0,-1.0,37807.0,-1.0,278715.0,-1.0,150.0,1500.0,2700.0,2000.0,-1.0,-1.0,6400.0,7577.0,-1.0,-1.0,2800.0,-1.0,350.0,-1.0,265000.0,-1.0,4500.0,-1.0,-1.0,-1.0,3455.0,1300.0,-1.0,-1.0,-1.0,2000.0,-1.0,-1.0,-1,1620.0,24.0,-1.0,39400.0,10900.0,42844.0,3100.0,1137.0,15757.0,50.0,-1.0,-1.0,21841.0,107726.0,95000.0,-1.0,-1.0,10600.0,-1.0,-1.0,-1.0,14595.0,11500.0,-1.0,8900.0,45.0,-1.0,-1.0,12000.0,-1.0,19636.0,497000.0,-1.0,2298.0,637.0,4880.0,-1.0,6200.0,11000.0,-1.0,-1.0,297.0,18.0,550.0,300.0,28908.0,142.0,-1.0,30.0,-1.0,-1.0,-1.0,124000.0
