,Réunion,Indonesia,Seychelles,Turkey,Fiji,Madagascar,Melanesia,Belgium,Mexico,Kenya,Polynesia,Uganda,Papua New Guinea,Comoros,Tonga,China,Cook Islands,"China, mainland",French Polynesia,Guadeloupe,Zimbabwe,Portugal,Malawi
1961,45.0,100.0,4.0,,,700.0,0.0,,232.0,-1.0,195.0,10.0,-1.0,90.0,,-1.0,2.0,-1.0,193.0,4.0,-1.0,,-1.0
1962,35.0,100.0,7.0,,,600.0,0.0,,202.0,-1.0,195.0,10.0,-1.0,48.0,,-1.0,2.0,-1.0,193.0,2.0,-1.0,,-1.0
1963,60.0,150.0,2.0,,,1000.0,0.0,,92.0,-1.0,162.0,10.0,-1.0,207.0,,-1.0,2.0,-1.0,160.0,2.0,-1.0,,-1.0
1964,45.0,150.0,1.0,,,1050.0,0.0,,90.0,-1.0,102.0,10.0,-1.0,175.0,,-1.0,2.0,-1.0,100.0,4.0,-1.0,,-1.0
1965,60.0,150.0,1.0,,,1130.0,0.0,,94.0,-1.0,134.0,10.0,-1.0,167.0,,-1.0,2.0,-1.0,132.0,3.0,-1.0,,-1.0
1966,24.0,200.0,5.0,,,1380.0,0.0,,95.0,-1.0,87.0,10.0,-1.0,134.0,,-1.0,2.0,-1.0,85.0,3.0,-1.0,,-1.0
1967,35.0,200.0,5.0,,,1390.0,0.0,,67.0,-1.0,44.0,10.0,-1.0,145.0,,-1.0,2.0,-1.0,42.0,2.0,-1.0,,-1.0
1968,36.0,200.0,1.0,,,995.0,0.0,,59.0,-1.0,66.0,10.0,-1.0,138.0,10.0,-1.0,2.0,-1.0,54.0,2.0,-1.0,,-1.0
1969,46.0,200.0,1.0,,,1400.0,0.0,,52.0,-1.0,44.0,10.0,-1.0,207.0,10.0,-1.0,2.0,-1.0,32.0,2.0,-1.0,,-1.0
1970,53.0,250.0,1.0,,,1200.0,0.0,,49.0,-1.0,27.0,10.0,-1.0,144.0,10.0,-1.0,2.0,-1.0,15.0,2.0,-1.0,,-1.0
1971,38.0,250.0,1.0,,,1720.0,0.0,,67.0,-1.0,42.0,10.0,-1.0,206.0,10.0,-1.0,2.0,-1.0,30.0,3.0,-1.0,,-1.0
1972,32.0,250.0,1.0,,,1800.0,0.0,,46.0,-1.0,49.0,10.0,-1.0,207.0,10.0,-1.0,2.0,-1.0,37.0,3.0,-1.0,,-1.0
1973,14.0,300.0,0.0,,,1630.0,0.0,,44.0,-1.0,47.0,10.0,-1.0,34.0,10.0,-1.0,2.0,-1.0,35.0,3.0,-1.0,,-1.0
1974,27.0,300.0,,,,2283.0,0.0,,29.0,-1.0,33.0,10.0,-1.0,160.0,10.0,-1.0,2.0,-1.0,21.0,2.0,-1.0,,-1.0
1975,35.0,390.0,,,,2433.0,0.0,,34.0,-1.0,21.0,10.0,-1.0,211.0,10.0,-1.0,2.0,-1.0,9.0,2.0,-1.0,,-1.0
1976,35.0,364.0,,,,985.0,0.0,,42.0,-1.0,25.0,10.0,-1.0,124.0,11.0,-1.0,2.0,-1.0,12.0,1.0,-1.0,,-1.0
1977,18.0,295.0,,,,1287.0,0.0,,75.0,-1.0,22.0,10.0,-1.0,230.0,12.0,-1.0,2.0,-1.0,8.0,2.0,-1.0,,-1.0
1978,30.0,418.0,,,,1320.0,0.0,,16.0,-1.0,15.0,10.0,-1.0,177.0,10.0,-1.0,2.0,-1.0,3.0,3.0,-1.0,,-1.0
1979,31.0,726.0,,,,759.0,0.0,,10.0,10.0,11.0,10.0,-1.0,180.0,5.0,-1.0,2.0,-1.0,4.0,3.0,-1.0,,-1.0
1980,23.0,761.0,,,,977.0,0.0,,21.0,10.0,14.0,10.0,-1.0,164.0,8.0,-1.0,3.0,-1.0,3.0,3.0,-1.0,,-1.0
