,USSR,France,Australia & New Zealand,Pakistan,Thailand,Ethiopia,Kenya,Romania,Democratic People's Republic of Korea,Lebanon,Yemen,Tunisia,Albania,Brazil,Paraguay,Niger,Serbia,Slovenia,Hungary,Argentina,Colombia,Spain,India,Malta,Ecuador,Cabo Verde,Indonesia,Republic of Moldova,Canada,Turkey,Jordan,Egypt,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,Haiti,Republic of Korea,New Zealand,Montenegro,Dominican Republic,Syrian Arab Republic,Mexico,Yugoslav SFR,Iran (Islamic Republic of),Peru,United States of America,"China, mainland",Madagascar,Cyprus,Kazakhstan,Uruguay,Lithuania,Portugal,Guatemala,Cuba,Slovakia,Bhutan,Turkmenistan,Philippines,Iraq,Czechia,Timor-Leste,United Republic of Tanzania,Nepal,Libya,Bangladesh,Italy,Mauritius,Uzbekistan,Occupied Palestinian Territory,Finland,Serbia and Montenegro,Armenia,Sudan (former),Morocco,Switzerland,Chile,Honduras,Kyrgyzstan,Algeria,"China, Taiwan Province of",Israel,Réunion,Japan,Belarus,Estonia,Georgia,Azerbaijan,Oman,Bosnia and Herzegovina,Russian Federation,Austria,Sudan,Venezuela (Bolivarian Republic of),Latvia,Ukraine,Kuwait,Bolivia (Plurinational State of),Tajikistan,Croatia,Bulgaria,Myanmar,China
1961,14605.0,58894.0,10000.0,35500.0,20691.0,,142857.0,23500.0,43750.0,87500.0,,57143.0,,23315.0,7442.0,,,,34643.0,39750.0,,71852.0,37143.0,83333.0,16120.0,,,,,38913.0,34615.0,121008.0,,28458.0,38834.0,157143.0,44041.0,10000.0,,73900.0,60000.0,26753.0,31239.0,,59000.0,89657.0,61071.0,37143.0,33333.0,,25649.0,,60000.0,44737.0,125000.0,,,,25345.0,12565.0,,,40000.0,,37500.0,34639.0,89688.0,60000.0,,,,,,46667.0,50000.0,,50000.0,30152.0,,,91357.0,32037.0,,,,,,,,,,,,39732.0,,,,25000.0,,,44119.0,21622.0,61279.0
1962,14103.0,58627.0,10000.0,31875.0,18685.0,,142857.0,18143.0,46875.0,100000.0,,60000.0,,22599.0,7778.0,,,,35336.0,43143.0,,71842.0,36053.0,83333.0,13448.0,,,,,34667.0,36667.0,120728.0,,33298.0,38057.0,240000.0,50169.0,10000.0,,75732.0,69500.0,29480.0,28644.0,,69101.0,117859.0,65500.0,40000.0,33333.0,,22500.0,,60000.0,44737.0,120667.0,,,,26897.0,11165.0,,,40000.0,,40000.0,35567.0,90161.0,100000.0,,,,,,50000.0,50000.0,,50000.0,30448.0,,,69153.0,24000.0,,,,,,,,,,,,44145.0,,,,25000.0,,,30218.0,24624.0,65538.0
1963,13462.0,60889.0,10000.0,30500.0,19511.0,,142857.0,19833.0,45455.0,100000.0,,60000.0,,30743.0,7778.0,,,,35135.0,48143.0,,69840.0,36000.0,80000.0,14167.0,,,,,38911.0,40678.0,141633.0,,35887.0,30021.0,216667.0,49009.0,10000.0,,73932.0,27143.0,30061.0,32362.0,,69886.0,112098.0,67826.0,42857.0,33333.0,,23077.0,,60000.0,44737.0,122600.0,,,,27519.0,12644.0,,,40000.0,,37500.0,32294.0,89941.0,120000.0,,,,,,45455.0,50000.0,,50000.0,30130.0,,,94565.0,155844.0,,,,,,,,,,,,44242.0,,,,24138.0,,,38188.0,21545.0,68159.0
1964,16750.0,64302.0,10000.0,50625.0,19596.0,,142857.0,19250.0,45455.0,104000.0,,48193.0,,23396.0,8043.0,,,,35591.0,48667.0,,68800.0,36000.0,80000.0,14618.0,,,,,39196.0,43167.0,120857.0,,38289.0,34063.0,233333.0,53597.0,10000.0,,75600.0,18462.0,28696.0,33926.0,,58617.0,128871.0,67419.0,42667.0,33333.0,,23636.0,,60000.0,43750.0,139000.0,,,,26977.0,16000.0,,,40167.0,,40000.0,32381.0,87023.0,100000.0,,,,,,48485.0,50000.0,,55556.0,30282.0,,,81961.0,80402.0,,,,,,,,,,,,23300.0,,,,23333.0,,,44082.0,23715.0,67632.0
1965,16267.0,60584.0,10000.0,40000.0,19428.0,,142857.0,21556.0,44118.0,80645.0,,55422.0,,23538.0,8000.0,,,,35072.0,51750.0,,64789.0,36000.0,80645.0,19310.0,,,,,36071.0,42623.0,131757.0,,39890.0,30867.0,214286.0,51257.0,10000.0,,75583.0,33749.0,29056.0,29645.0,,60836.0,134468.0,71290.0,45333.0,33333.0,,25000.0,,60000.0,45363.0,138750.0,,,,29846.0,16285.0,,,40132.0,,40000.0,34762.0,91123.0,63333.0,,,,,,45714.0,50000.0,,52001.0,30270.0,,,83796.0,33333.0,,,,,,,,,,,,21418.0,,,,21875.0,,,44835.0,22826.0,71457.0
1966,16184.0,57145.0,15000.0,45500.0,21044.0,,142857.0,25400.0,44286.0,79114.0,,55000.0,,24644.0,7959.0,,,,34556.0,49940.0,,67988.0,37037.0,80000.0,38789.0,,,,,39196.0,71429.0,149179.0,,41160.0,34935.0,228571.0,63161.0,15000.0,,74487.0,37651.0,29187.0,34500.0,,59188.0,112119.0,73667.0,48000.0,33333.0,,25134.0,,60000.0,45925.0,260000.0,,,,28244.0,16376.0,,,40132.0,,18182.0,36812.0,94500.0,80000.0,,,,,,48571.0,43760.0,,52632.0,30267.0,,,84330.0,36111.0,,,,,,,,,,,,18724.0,,,,23529.0,,,53291.0,22108.0,73803.0
1967,18442.0,59431.0,10000.0,96500.0,20755.0,,142857.0,26000.0,44444.0,65431.0,,47143.0,,24069.0,10000.0,,,,35148.0,51607.0,,68253.0,37037.0,75376.0,33555.0,,,,,42385.0,46667.0,136637.0,,41473.0,41521.0,170000.0,54874.0,10000.0,,75104.0,36667.0,48165.0,35674.0,,59575.0,128871.0,75000.0,50667.0,33333.0,,21818.0,,60000.0,44681.0,420000.0,,,,29604.0,16854.0,,,40000.0,,18750.0,37603.0,95265.0,77500.0,,,,,,50000.0,50000.0,,52632.0,30000.0,,,83949.0,49367.0,,,,,,,,,,,,19865.0,,,,22222.0,,,46111.0,23533.0,75117.0
1968,16795.0,63499.0,10000.0,106500.0,25822.0,,142857.0,13143.0,45946.0,42362.0,,48750.0,,25668.0,10000.0,,,,35271.0,49165.0,,71445.0,37037.0,75255.0,33783.0,,,,,44396.0,46667.0,146796.0,,48994.0,37919.0,200000.0,56436.0,10000.0,,74873.0,19444.0,44572.0,29400.0,,61397.0,140104.0,82456.0,50000.0,33333.0,,22727.0,,60000.0,47000.0,520000.0,,,,27522.0,17446.0,,,40000.0,,19048.0,37603.0,92839.0,92500.0,,,,,,47368.0,50000.0,,55556.0,26351.0,,,88284.0,51376.0,,,,,,,,,,,,29682.0,,,,24324.0,,,38793.0,24431.0,82548.0
1969,16538.0,63376.0,10000.0,112000.0,21648.0,,142857.0,14375.0,47368.0,45254.0,,53571.0,,25522.0,9016.0,,,,34681.0,49252.0,,71253.0,37037.0,73171.0,55187.0,,,,,46203.0,34884.0,374022.0,,45525.0,31833.0,211111.0,55992.0,10000.0,,75480.0,28837.0,43922.0,31725.0,,59048.0,134509.0,85965.0,52500.0,33333.0,,22807.0,,60000.0,44414.0,140000.0,,,,26543.0,19930.0,,,40000.0,,11207.0,37603.0,93373.0,100714.0,,,,,,48684.0,50000.0,,55556.0,27895.0,,,99216.0,40860.0,,,,,,,,,,,,29808.0,,,,27027.0,,,48133.0,24344.0,86177.0
1970,17284.0,120556.0,10000.0,115033.0,27613.0,,142857.0,21111.0,48718.0,50332.0,,47500.0,,25761.0,15000.0,,,,35661.0,46947.0,,68391.0,37037.0,70000.0,63223.0,,,,,47603.0,49500.0,326667.0,,45717.0,42791.0,200000.0,50817.0,10000.0,,75104.0,40794.0,44036.0,32400.0,,63455.0,145724.0,92222.0,55000.0,33333.0,,23776.0,,60000.0,44627.0,184667.0,,,,27499.0,18318.0,,,40000.0,,10156.0,38662.0,86945.0,91875.0,,,,,,47500.0,50000.0,,58824.0,25897.0,,,110836.0,34286.0,,,,,,,,,,,,34756.0,,,,27027.0,,,53750.0,23460.0,92690.0
