,"China, mainland",Seychelles,Viet Nam,Dominica,Sao Tome and Principe,Madagascar,China,Indonesia,Comoros,Sri Lanka,"China, Macao SAR"
1961,-1.0,7000.0,1000.0,-1.0,40.0,60.0,-1.0,18000.0,-1,11000.0,-1
1962,-1.0,8000.0,1000.0,-1.0,40.0,60.0,-1.0,22000.0,-1,11000.0,-1
1963,-1.0,6000.0,1000.0,-1.0,40.0,100.0,-1.0,19000.0,-1,11000.0,-1
1964,-1.0,7000.0,1000.0,-1.0,40.0,300.0,-1.0,18000.0,-1,11942.0,-1
1965,-1.0,8000.0,1000.0,-1.0,40.0,400.0,-1.0,18000.0,-1,11504.0,-1
1966,-1.0,10000.0,1000.0,-1.0,70.0,550.0,-1.0,10000.0,-1,13445.0,-1
1967,-1.0,15000.0,1000.0,-1.0,90.0,550.0,-1.0,14000.0,-1,14681.0,-1
1968,-1.0,17500.0,1000.0,-1.0,50.0,600.0,-1.0,15500.0,-1,16004.0,-1
1969,-1.0,8500.0,1000.0,-1.0,50.0,1350.0,-1.0,18000.0,-1,17300.0,-1
1970,-1.0,7800.0,1000.0,-1.0,80.0,550.0,-1.0,17000.0,-1,13898.0,-1
1971,-1.0,7200.0,1500.0,-1.0,80.0,508.0,-1.0,16500.0,-1,23235.0,-1
1972,-1.0,11500.0,1500.0,-1.0,100.0,363.0,-1.0,17000.0,-1,16962.0,-1
1973,-1.0,9400.0,1500.0,-1.0,110.0,342.0,-1.0,21000.0,-1,21568.0,-1
1974,-1.0,8500.0,1500.0,-1.0,100.0,451.0,-1.0,19909.0,-1,22081.0,-1
1975,-1.0,6400.0,1500.0,-1.0,100.0,87.0,-1.0,13755.0,-1,21691.0,-1
1976,-1.0,6600.0,1500.0,-1.0,100.0,90.0,-1.0,15592.0,-1,21816.0,-1
1977,-1.0,4700.0,1500.0,-1.0,100.0,120.0,-1.0,14000.0,-1,21892.0,-1
1978,-1.0,3500.0,1500.0,-1.0,100.0,120.0,-1.0,24000.0,-1,21909.0,-1
1979,-1.0,2950.0,1500.0,-1.0,100.0,370.0,-1.0,27359.0,-1,22980.0,-1
1980,-1.0,3450.0,1500.0,-1.0,100.0,370.0,-1.0,30957.0,-1,22150.0,-1
1981,-1.0,2650.0,2000.0,-1.0,100.0,370.0,-1.0,45037.0,-1,21870.0,-1
1982,-1.0,4800.0,2000.0,-1.0,100.0,375.0,-1.0,50424.0,-1,22094.0,-1
1983,-1.0,5200.0,2000.0,-1.0,100.0,375.0,-1.0,48500.0,-1,22180.0,-1
1984,-1.0,2000.0,2000.0,-1.0,100.0,380.0,-1.0,47500.0,-1,21080.0,-1
1985,35000.0,5200.0,2500.0,35.0,100.0,450.0,35000.0,39500.0,-1,20900.0,-1
1986,35000.0,5900.0,3000.0,35.0,100.0,550.0,35000.0,37193.0,-1,20715.0,-1
1987,35000.0,2600.0,3500.0,35.0,100.0,800.0,35000.0,34490.0,-1,21060.0,-1
