,India,Ukraine,Kenya,Melanesia,Croatia,Serbia,Israel,Armenia,Tunisia,Viet Nam,United Kingdom,Uzbekistan,Canada,"China, mainland",Greece,Afghanistan,Zimbabwe,Iran (Islamic Republic of),Belgium,Papua New Guinea,South Africa,Spain,Norway,Bulgaria,Australia & New Zealand,United States of America,Bangladesh,Pakistan,Senegal,Republic of Moldova,Kyrgyzstan,Costa Rica,Georgia,Germany,Slovenia,Austria,Morocco,Poland,Sweden,Switzerland,Mexico,USSR,Romania,Ecuador,Egypt,Bosnia and Herzegovina,Réunion,China,Ireland,Malta,Latvia,Yugoslav SFR,Portugal,Slovakia,Czechia,Azerbaijan,Montenegro,Kazakhstan,Estonia,Australia,France,Jordan,Lithuania,Finland,Netherlands,Russian Federation,Turkey,New Zealand,Italy,Belgium-Luxembourg
1961,-1.0,-1.0,-1.0,10500.0,-1.0,-1.0,-1.0,-1.0,-1.0,1700.0,500.0,-1.0,-1,450.0,-1.0,6800.0,-1.0,2350.0,-1.0,10500.0,400.0,-1.0,-1.0,-1.0,246.0,2130.0,500.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,215.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,450.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,216.0,-1,-1,-1.0,-1.0,-1.0,-1.0,12257.0,30.0,-1.0,-1.0
1962,-1.0,-1.0,-1.0,10500.0,-1.0,-1.0,-1.0,-1.0,-1.0,1700.0,500.0,-1.0,-1,450.0,-1.0,6800.0,-1.0,2350.0,-1.0,10500.0,400.0,-1.0,-1.0,-1.0,260.0,2230.0,600.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,215.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,450.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,227.0,-1,-1,-1.0,-1.0,-1.0,-1.0,12357.0,33.0,-1.0,-1.0
1963,-1.0,-1.0,-1.0,10500.0,-1.0,-1.0,-1.0,-1.0,-1.0,2800.0,500.0,-1.0,-1,450.0,-1.0,6800.0,-1.0,2400.0,-1.0,10500.0,400.0,-1.0,-1.0,-1.0,270.0,2210.0,600.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,215.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,450.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,229.0,-1,-1,-1.0,-1.0,-1.0,-1.0,12673.0,41.0,-1.0,-1.0
1964,-1.0,-1.0,-1.0,11000.0,-1.0,-1.0,-1.0,-1.0,-1.0,3700.0,500.0,-1.0,-1,450.0,-1.0,6800.0,-1.0,2400.0,-1.0,11000.0,400.0,-1.0,-1.0,-1.0,237.0,2320.0,600.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,215.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,450.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,186.0,-1,-1,-1.0,-1.0,-1.0,-1.0,12313.0,51.0,-1.0,-1.0
1965,-1.0,-1.0,-1.0,11500.0,-1.0,-1.0,-1.0,-1.0,-1.0,3000.0,500.0,-1.0,-1,450.0,-1.0,6800.0,-1.0,2500.0,-1.0,11500.0,400.0,-1.0,-1.0,-1.0,235.0,2620.0,600.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,215.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,450.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,174.0,-1,-1,-1.0,-1.0,-1.0,-1.0,12183.0,61.0,-1.0,-1.0
1966,-1.0,-1.0,-1.0,11500.0,-1.0,-1.0,-1.0,-1.0,-1.0,1900.0,500.0,-1.0,-1,450.0,-1.0,6800.0,-1.0,2500.0,-1.0,11500.0,400.0,-1.0,-1.0,-1.0,236.0,2440.0,800.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,215.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,450.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,193.0,-1,-1,-1.0,-1.0,-1.0,-1.0,12213.0,43.0,-1.0,-1.0
1967,-1.0,-1.0,-1.0,12000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1100.0,500.0,-1.0,-1,450.0,-1.0,6800.0,-1.0,2550.0,-1.0,12000.0,400.0,-1.0,-1.0,-1.0,196.0,2930.0,800.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,215.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,450.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,149.0,-1,-1,-1.0,-1.0,-1.0,-1.0,12107.0,47.0,-1.0,-1.0
1968,-1.0,-1.0,-1.0,12500.0,-1.0,-1.0,-1.0,-1.0,-1.0,1500.0,500.0,-1.0,-1,450.0,-1.0,6900.0,-1.0,2750.0,-1.0,12500.0,400.0,-1.0,-1.0,-1.0,216.0,2840.0,600.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,215.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,450.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,161.0,-1,-1,-1.0,-1.0,-1.0,-1.0,12447.0,55.0,-1.0,-1.0
1969,-1.0,-1.0,-1.0,12500.0,-1.0,-1.0,-1.0,-1.0,-1.0,2000.0,500.0,-1.0,-1,450.0,-1.0,6900.0,-1.0,2750.0,-1.0,12500.0,400.0,-1.0,-1.0,-1.0,219.0,2770.0,591.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,215.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,450.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,148.0,-1,-1,-1.0,-1.0,-1.0,-1.0,11560.0,71.0,-1.0,-1.0
1970,-1.0,-1.0,-1.0,13000.0,-1.0,-1.0,-1.0,-1.0,-1.0,3000.0,500.0,-1.0,-1,700.0,-1.0,6500.0,-1.0,2800.0,-1.0,13000.0,400.0,-1.0,-1.0,-1.0,232.0,2700.0,600.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,215.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,700.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,150.0,-1,-1,-1.0,-1.0,-1.0,-1.0,12543.0,82.0,-1.0,-1.0
