,Brazil,Bolivia (Plurinational State of),Peru,Morocco,Gambia,Côte d'Ivoire,Ghana
1961,51713.0,2834.0,1800.0,30.0,-1.0,3000.0,-1
1962,45442.0,3117.0,1800.0,30.0,-1.0,3000.0,-1
1963,40431.0,4306.0,1200.0,50.0,-1.0,3000.0,-1
1964,44223.0,5000.0,1800.0,30.0,-1.0,3000.0,-1
1965,40798.0,6000.0,1700.0,30.0,-1.0,3000.0,-1
1966,55470.0,6000.0,1588.0,50.0,-1.0,3000.0,-1
1967,34164.0,7000.0,1443.0,50.0,-1.0,3000.0,-1
1968,50977.0,7000.0,1317.0,30.0,-1.0,3000.0,-1
1969,40004.0,6200.0,1387.0,30.0,-1.0,3000.0,-1
1970,104487.0,8500.0,1680.0,-1.0,-1.0,3000.0,-1
1971,67005.0,10500.0,1635.0,-1.0,-1.0,3000.0,-1
1972,70000.0,11400.0,1247.0,-1.0,-1.0,3000.0,-1
1973,52095.0,7500.0,1349.0,-1.0,-1.0,3000.0,-1
1974,35776.0,10700.0,1367.0,-1.0,-1.0,3000.0,-1
1975,51719.0,11800.0,1384.0,-1.0,-1.0,3000.0,-1
1976,61043.0,14750.0,1283.0,-1.0,-1.0,3000.0,-1
1977,53958.0,11900.0,1315.0,-1.0,-1.0,3000.0,-1
1978,40449.0,11350.0,1240.0,-1.0,-1.0,3000.0,-1
1979,43242.0,8700.0,1177.0,-1.0,-1.0,3000.0,-1
1980,40456.0,9380.0,1107.0,-1.0,-1.0,3000.0,-1
1981,36702.0,10412.0,1302.0,-1.0,-1.0,3000.0,-1
1982,36849.0,11000.0,1476.0,-1.0,-1.0,3000.0,-1
1983,50860.0,13000.0,1521.0,-1.0,-1.0,3000.0,-1
1984,40710.0,11500.0,1656.0,-1.0,-1.0,3000.0,-1
1985,45020.0,12000.0,1430.0,-1.0,-1.0,5000.0,-1
1986,36136.0,21366.0,1396.0,-1.0,-1.0,5000.0,-1
1987,36241.0,17777.0,1506.0,-1.0,-1.0,5000.0,-1
1988,29391.0,16080.0,1607.0,-1.0,-1.0,5000.0,-1
1989,25672.0,17496.0,1572.0,-1.0,-1.0,5000.0,-1
1990,51195.0,17000.0,1639.0,0.0,-1.0,5934.0,-1
1991,35838.0,18000.0,1634.0,0.0,-1.0,3827.0,-1
1992,25303.0,18500.0,1564.0,0.0,-1.0,4259.0,-1
1993,26505.0,17500.0,1582.0,-1.0,-1.0,5200.0,-1
1994,38882.0,16500.0,1525.0,-1.0,-1.0,5130.0,-1
1995,40216.0,15400.0,1662.0,-1.0,-1.0,5356.0,-1
1996,21469.0,18000.0,1336.0,-1.0,-1.0,5593.0,-1
1997,22786.0,23000.0,1500.0,-1.0,-1.0,5200.0,-1
1998,23111.0,15400.0,2200.0,-1.0,-1.0,6473.0,-1
1999,26856.0,30000.0,4900.0,-1.0,-1.0,7118.0,-1
2000,33431.0,36000.0,4000.0,-1.0,-1.0,7774.0,-1
2001,28467.0,38000.0,4000.0,-1.0,-1.0,8441.0,-1
2002,27389.0,37523.0,4000.0,-1.0,-1.0,9118.0,-1
2003,28000.0,38500.0,4800.0,-1.0,-1.0,9806.0,-1
2004,28500.0,40000.0,4500.0,-1.0,-1.0,10505.0,-1
2005,30000.0,40415.0,6800.0,-1.0,-1.0,11214.0,-1
2006,28806.0,41000.0,6000.0,-1.0,-1.0,11933.0,-1
2007,30406.0,42000.0,6000.0,-1.0,-1.0,12664.0,-1
2008,30815.0,43232.0,6100.0,-1.0,-1.0,13406.0,-1
2009,37467.0,45000.0,6000.0,-1.0,-1.0,14159.0,-1
2010,40357.0,45000.0,5800.0,-1.0,-1.0,14925.0,-1
2011,42152.0,45000.0,5800.0,-1.0,820.0,15704.0,-1
2012,38805.0,47000.0,5600.0,-1.0,-1.0,17000.0,-1
2013,39000.0,47500.0,5600.0,-1.0,-1.0,17200.0,-1
2014,39000.0,47500.0,5600.0,-1.0,-1.0,17200.0,-1
