,Slovakia,Romania,Norway,Australia,Belgium,Luxembourg,Czechia,Italy,Germany,Croatia,Latvia,Slovenia,Brazil,Australia & New Zealand,Serbia,Switzerland,Chile,Canada,Belgium-Luxembourg,Spain,Kyrgyzstan,Austria,Poland,Turkey,Belarus,Denmark,Estonia,Greece,Czechoslovakia,France,Bosnia and Herzegovina,Hungary,Russian Federation,Bulgaria,Tunisia,Mexico,"China, mainland",Sweden,United Kingdom,Algeria,Lithuania,Portugal,Netherlands,China
1986,,-1.0,-1.0,148000.0,,,,3000.0,790.0,,,,-1.0,148000.0,,3100.0,-1.0,-1.0,4172.0,7000.0,,-1.0,75000.0,-1.0,,-1.0,,-1.0,,99000.0,,130.0,,-1.0,-1.0,1143.0,952.0,-1.0,4000.0,-1.0,,17794.0,,952.0
1987,,-1.0,-1.0,136000.0,,,,4000.0,18084.0,,,,-1.0,136000.0,,7320.0,-1.0,-1.0,7141.0,37000.0,,-1.0,310825.0,-1.0,,-1.0,,-1.0,,126000.0,,100.0,,-1.0,-1.0,652.0,1500.0,-1.0,4000.0,-1.0,,22695.0,,1500.0
1988,,-1.0,-1.0,118000.0,,,,4943.0,19813.0,,,,-1.0,118000.0,,9550.0,-1.0,-1.0,6319.0,51000.0,,-1.0,549352.0,-1.0,,-1.0,,-1.0,9960.0,127000.0,,65.0,,-1.0,7000.0,491.0,2100.0,-1.0,5000.0,-1.0,,32536.0,,2100.0
1989,,-1.0,-1.0,95621.0,,,,3775.0,29247.0,,,,-1.0,95621.0,,10410.0,-1.0,1093.0,6520.0,75500.0,,-1.0,648636.0,-1.0,,-1.0,,-1.0,21184.0,136598.0,,352.0,,-1.0,12900.0,116.0,2600.0,-1.0,7692.0,-1.0,,37160.0,,2600.0
1990,,-1.0,-1.0,101455.0,,,,2793.0,77154.0,,,,-1.0,101455.0,,10480.0,-1.0,1074.0,7901.0,41000.0,,-1.0,748564.0,-1.0,,-1.0,,-1.0,32741.0,144757.0,,2280.0,,-1.0,15600.0,165.0,3100.0,-1.0,9200.0,9.0,,48673.0,2300.0,3100.0
1991,,-1.0,-1.0,99211.0,,,,1000.0,130158.0,,,,-1.0,99211.0,,8160.0,-1.0,1093.0,9098.0,51200.0,,-1.0,731077.0,-1.0,,-1.0,,-1.0,35699.0,159699.0,,9271.0,,-1.0,16400.0,49.0,10066.0,-1.0,11000.0,18.0,,40000.0,2974.0,10066.0
1992,,-1.0,-1.0,119822.0,,,,184.0,175493.0,-1.0,3300.0,103.0,-1.0,119822.0,,6400.0,-1.0,1200.0,7648.0,50600.0,-1.0,-1.0,659263.0,-1.0,25000.0,-1.0,-1.0,-1.0,27310.0,175726.0,-1.0,18949.0,-1.0,11100.0,15700.0,172.0,14000.0,-1.0,10700.0,27.0,-1.0,54000.0,2367.0,14000.0
1993,7800.0,-1.0,-1.0,131000.0,,,16238.0,0.0,219397.0,-1.0,6800.0,75.0,-1.0,131000.0,,5370.0,-1.0,13000.0,11500.0,35200.0,-1.0,-1.0,656796.0,-1.0,24400.0,-1.0,-1.0,-1.0,,161667.0,-1.0,23002.0,-1.0,11400.0,12000.0,150.0,18850.0,43000.0,6680.0,32.0,15800.0,52700.0,1900.0,18850.0
1994,6855.0,-1.0,-1.0,153000.0,,,14949.0,308.0,208000.0,-1.0,3100.0,709.0,-1.0,153000.0,,5720.0,-1.0,17700.0,11300.0,32600.0,-1.0,-1.0,586242.0,-1.0,25400.0,-1.0,-1.0,-1.0,,173000.0,-1.0,41000.0,-1.0,11600.0,11000.0,15.0,23060.0,42527.0,6000.0,36.0,27500.0,50048.0,1600.0,23060.0
1995,7683.0,-1.0,-1.0,221097.0,,,16219.0,0.0,288600.0,-1.0,2700.0,368.0,-1.0,221097.0,,5350.0,-1.0,16500.0,12300.0,29900.0,-1.0,19279.0,616443.0,-1.0,38000.0,-1.0,-1.0,-1.0,,183500.0,-1.0,64000.0,-1.0,10700.0,6000.0,104.0,30000.0,44577.0,7000.0,40.0,22500.0,44126.0,2600.0,30000.0
1996,8427.0,-1.0,-1.0,346000.0,,,13798.0,0.0,364224.0,-1.0,1700.0,343.0,-1.0,346000.0,,6395.0,-1.0,16600.0,12000.0,33300.0,-1.0,17571.0,696535.0,-1.0,66000.0,-1.0,-1.0,-1.0,,203500.0,-1.0,108437.0,-1.0,9000.0,6000.0,3.0,41000.0,61694.0,7000.0,45.0,34100.0,42320.0,3300.0,41000.0
1997,6997.0,-1.0,-1.0,245000.0,,,14912.0,0.0,437814.0,-1.0,2800.0,437.0,-1.0,245000.0,,7523.0,-1.0,15000.0,11600.0,33182.0,-1.0,21896.0,630122.0,-1.0,72000.0,12700.0,-1.0,-1.0,,215000.0,-1.0,123673.0,-1.0,6000.0,6000.0,97.0,53300.0,66473.0,8200.0,30.0,40600.0,43517.0,2900.0,53300.0
1998,11404.0,-1.0,3460.0,386000.0,,,20308.0,0.0,468546.0,-1.0,5313.0,478.0,-1.0,386000.0,,8101.0,-1.0,35500.0,13400.0,24700.0,-1.0,25794.0,635463.0,-1.0,66000.0,27700.0,-1.0,-1.0,,233000.0,-1.0,129319.0,-1.0,4200.0,4000.0,144.0,59380.0,66751.0,10400.0,190.0,36900.0,22989.0,4400.0,59380.0
