,Kenya,"China, Taiwan Province of",Mozambique,Guyana,Myanmar,Burkina Faso,Montserrat,Brazil,Philippines,Martinique,Lao People's Democratic Republic,Australia,Nepal,Ethiopia,Indonesia,Maldives,Zimbabwe,Bangladesh,Malawi,Australia & New Zealand,Melanesia,New Caledonia,Rwanda,Bahamas,Guatemala,United Arab Emirates,Senegal,Madagascar,Saint Lucia,Haiti,Guinea,Israel,Dominica,Fiji,Cabo Verde,Chad,Wallis and Futuna Islands,Sri Lanka,Nigeria,Egypt,Sudan (former),China,Colombia,United Republic of Tanzania,Occupied Palestinian Territory,Guinea-Bissau,Saint Vincent and the Grenadines,Namibia,"China, mainland",Mali,Thailand,Costa Rica,Seychelles,Bolivia (Plurinational State of),Peru,Yemen,Cameroon,Malaysia,Grenada,Dominican Republic,El Salvador,Benin,Cook Islands,Pakistan,Japan,Réunion,Venezuela (Bolivarian Republic of),Antigua and Barbuda,Belize,United States of America,Iran (Islamic Republic of),Democratic Republic of the Congo,Sudan,Cuba,French Guiana,Argentina,Cambodia,Timor-Leste,Paraguay,India,Guadeloupe,Niger,Morocco,Bhutan,Congo,Mexico,Ecuador,Honduras,Puerto Rico,Viet Nam,Suriname,Côte d'Ivoire,Jamaica,Trinidad and Tobago,South Africa,Polynesia,Panama,Sierra Leone,Samoa,Somalia,Central African Republic,Ghana,Oman,Gambia,Swaziland
1971,37500.0,167804.0,72917.0,-1.0,-1.0,-1.0,-1.0,179407.0,33952.0,-1.0,43333.0,39500.0,-1.0,-1.0,68293.0,-1.0,-1.0,101118.0,40000.0,39500.0,150000.0,-1.0,-1.0,-1.0,-1.0,130000.0,54000.0,141176.0,-1.0,-1.0,20000.0,17500.0,-1.0,150000.0,400000.0,-1.0,55000.0,78282.0,50000.0,63175.0,91558.0,41201.0,129091.0,166667.0,-1.0,-1.0,-1.0,-1.0,36000.0,100000.0,65714.0,-1.0,25714.0,84000.0,115033.0,-1.0,-1.0,34545.0,-1.0,-1.0,-1.0,-1.0,311667.0,93646.0,-1.0,-1.0,128827.0,-1.0,-1.0,78772.0,-1.0,173793.0,-1.0,373348.0,20000.0,-1.0,69730.0,-1.0,-1.0,82367.0,-1.0,-1.0,-1.0,-1.0,-1.0,120359.0,170521.0,-1.0,283750.0,120000.0,-1.0,4615.0,-1.0,-1.0,61700.0,350604.0,-1.0,-1.0,375000.0,72727.0,-1.0,80000.0,52632.0,-1.0,-1.0
1972,40000.0,134511.0,72917.0,-1.0,-1.0,-1.0,-1.0,209968.0,35158.0,-1.0,46667.0,29852.0,-1.0,-1.0,63103.0,-1.0,-1.0,89098.0,40000.0,29852.0,150000.0,-1.0,-1.0,-1.0,-1.0,133333.0,49720.0,141176.0,-1.0,-1.0,20000.0,35000.0,-1.0,150000.0,400000.0,-1.0,60000.0,85642.0,50000.0,71415.0,73879.0,50195.0,130909.0,155000.0,-1.0,-1.0,-1.0,-1.0,45455.0,100000.0,68571.0,-1.0,25714.0,84839.0,132793.0,-1.0,-1.0,35385.0,-1.0,-1.0,-1.0,-1.0,301587.0,95741.0,-1.0,-1.0,130769.0,-1.0,-1.0,76579.0,-1.0,171461.0,-1.0,328921.0,20000.0,-1.0,64921.0,-1.0,-1.0,82370.0,-1.0,-1.0,-1.0,-1.0,-1.0,109847.0,137885.0,-1.0,283750.0,120000.0,-1.0,4615.0,-1.0,-1.0,60770.0,344842.0,-1.0,-1.0,371200.0,72727.0,-1.0,80000.0,51282.0,-1.0,-1.0
1973,38462.0,130681.0,72917.0,-1.0,-1.0,-1.0,-1.0,169075.0,43077.0,-1.0,46667.0,36130.0,-1.0,-1.0,71064.0,-1.0,-1.0,82516.0,43137.0,36130.0,150000.0,-1.0,-1.0,-1.0,-1.0,137500.0,54000.0,155715.0,-1.0,-1.0,20000.0,25000.0,-1.0,150000.0,400000.0,-1.0,60000.0,109718.0,50000.0,74272.0,101367.0,61897.0,129204.0,145455.0,-1.0,-1.0,-1.0,-1.0,55000.0,100000.0,62500.0,-1.0,27143.0,84848.0,129987.0,-1.0,-1.0,33529.0,-1.0,-1.0,-1.0,-1.0,301905.0,96708.0,-1.0,-1.0,129657.0,-1.0,-1.0,109421.0,-1.0,164066.0,-1.0,337086.0,20000.0,-1.0,66667.0,-1.0,-1.0,82370.0,-1.0,-1.0,-1.0,-1.0,-1.0,102025.0,206711.0,-1.0,283750.0,90000.0,-1.0,4615.0,-1.0,-1.0,62520.0,343282.0,-1.0,-1.0,367692.0,70000.0,-1.0,76000.0,53165.0,-1.0,-1.0
1974,40000.0,108217.0,72917.0,-1.0,-1.0,-1.0,-1.0,179051.0,44023.0,-1.0,46667.0,17831.0,-1.0,-1.0,72864.0,-1.0,-1.0,72332.0,43137.0,17831.0,150000.0,-1.0,-1.0,-1.0,-1.0,140000.0,50000.0,191837.0,-1.0,-1.0,20000.0,21667.0,-1.0,150000.0,400000.0,-1.0,60000.0,115060.0,50000.0,86292.0,107692.0,47817.0,130973.0,150000.0,-1.0,-1.0,-1.0,-1.0,41509.0,100000.0,65000.0,-1.0,27143.0,84722.0,131522.0,-1.0,-1.0,34872.0,-1.0,-1.0,-1.0,-1.0,299524.0,99606.0,-1.0,-1.0,131273.0,-1.0,-1.0,102055.0,-1.0,167826.0,-1.0,348114.0,20000.0,-1.0,65517.0,-1.0,-1.0,82374.0,-1.0,-1.0,-1.0,-1.0,-1.0,117461.0,191135.0,-1.0,238947.0,95000.0,-1.0,4714.0,-1.0,-1.0,89110.0,350205.0,-1.0,-1.0,379231.0,70000.0,-1.0,80000.0,58228.0,-1.0,-1.0
1975,46667.0,67900.0,62500.0,-1.0,-1.0,-1.0,-1.0,178156.0,51329.0,-1.0,33333.0,28357.0,-1.0,-1.0,45357.0,-1.0,-1.0,69331.0,43137.0,28357.0,150000.0,-1.0,-1.0,-1.0,-1.0,136364.0,50000.0,133306.0,-1.0,-1.0,20000.0,24286.0,-1.0,150000.0,400000.0,-1.0,60000.0,116761.0,50000.0,95425.0,125000.0,43155.0,130087.0,152727.0,-1.0,-1.0,-1.0,-1.0,40000.0,100000.0,67500.0,-1.0,28571.0,87500.0,93705.0,-1.0,-1.0,34545.0,-1.0,-1.0,-1.0,-1.0,307692.0,101923.0,-1.0,-1.0,138813.0,-1.0,-1.0,121015.0,-1.0,168404.0,-1.0,277973.0,20000.0,-1.0,67857.0,-1.0,-1.0,82374.0,-1.0,-1.0,-1.0,-1.0,-1.0,96149.0,172533.0,-1.0,258310.0,100000.0,-1.0,4714.0,-1.0,-1.0,87640.0,342609.0,-1.0,-1.0,362857.0,70000.0,-1.0,80000.0,60000.0,-1.0,-1.0
1976,42105.0,114085.0,62500.0,-1.0,-1.0,-1.0,-1.0,179721.0,81872.0,-1.0,40667.0,14528.0,-1.0,-1.0,24094.0,-1.0,-1.0,63393.0,43636.0,14528.0,150000.0,-1.0,-1.0,-1.0,-1.0,141667.0,54000.0,157804.0,-1.0,-1.0,20000.0,28205.0,-1.0,150000.0,400000.0,-1.0,55000.0,109381.0,50000.0,76909.0,135000.0,43461.0,133694.0,141667.0,-1.0,-1.0,-1.0,-1.0,34545.0,100000.0,68750.0,-1.0,28571.0,86667.0,96424.0,-1.0,-1.0,34783.0,-1.0,-1.0,-1.0,-1.0,303030.0,110316.0,-1.0,-1.0,148313.0,-1.0,-1.0,144623.0,-1.0,173895.0,-1.0,95550.0,20000.0,-1.0,60000.0,-1.0,-1.0,82369.0,-1.0,-1.0,-1.0,-1.0,-1.0,99093.0,187970.0,-1.0,250276.0,112500.0,-1.0,4714.0,-1.0,-1.0,89547.0,346683.0,-1.0,-1.0,371429.0,70000.0,-1.0,80000.0,60976.0,-1.0,-1.0
1977,43478.0,71266.0,62500.0,-1.0,-1.0,-1.0,-1.0,179787.0,84989.0,-1.0,36667.0,34815.0,-1.0,-1.0,47757.0,-1.0,-1.0,62344.0,43636.0,34815.0,166667.0,-1.0,-1.0,-1.0,-1.0,147239.0,48333.0,135327.0,-1.0,-1.0,20000.0,23171.0,-1.0,166667.0,400000.0,-1.0,55000.0,89830.0,50000.0,51699.0,153333.0,41755.0,134545.0,141667.0,-1.0,-1.0,-1.0,-1.0,37000.0,100000.0,70000.0,-1.0,28571.0,87083.0,114114.0,-1.0,-1.0,34340.0,-1.0,-1.0,-1.0,-1.0,283582.0,101291.0,-1.0,-1.0,147250.0,-1.0,-1.0,65164.0,-1.0,167755.0,-1.0,117918.0,20000.0,-1.0,75000.0,-1.0,-1.0,82359.0,-1.0,-1.0,-1.0,-1.0,-1.0,88161.0,194230.0,-1.0,238556.0,125000.0,-1.0,4714.0,-1.0,-1.0,85200.0,345024.0,-1.0,-1.0,378571.0,70000.0,-1.0,80000.0,10921.0,-1.0,-1.0
1978,44000.0,39119.0,62500.0,-1.0,-1.0,-1.0,-1.0,173700.0,94702.0,-1.0,33333.0,32837.0,-1.0,-1.0,37273.0,-1.0,-1.0,58864.0,45455.0,32837.0,166667.0,-1.0,-1.0,-1.0,-1.0,50625.0,50000.0,130534.0,-1.0,-1.0,20000.0,21000.0,-1.0,166667.0,400000.0,-1.0,60000.0,87090.0,50000.0,77685.0,179310.0,41205.0,135556.0,129231.0,-1.0,25000.0,-1.0,-1.0,41569.0,100000.0,72500.0,-1.0,28571.0,86471.0,104662.0,-1.0,-1.0,34103.0,-1.0,-1.0,-1.0,-1.0,271429.0,90137.0,-1.0,-1.0,146246.0,-1.0,-1.0,83776.0,-1.0,166465.0,-1.0,85186.0,20000.0,-1.0,58824.0,-1.0,-1.0,81333.0,-1.0,-1.0,-1.0,-1.0,-1.0,105172.0,189321.0,-1.0,252852.0,137500.0,-1.0,4800.0,-1.0,-1.0,78710.0,344906.0,-1.0,-1.0,385714.0,70000.0,-1.0,80000.0,10921.0,-1.0,-1.0
1979,42857.0,76495.0,62500.0,-1.0,-1.0,-1.0,-1.0,166771.0,94119.0,-1.0,40000.0,21573.0,-1.0,-1.0,41326.0,-1.0,-1.0,49545.0,46429.0,21573.0,181818.0,-1.0,-1.0,-1.0,-1.0,62175.0,51667.0,115234.0,-1.0,-1.0,20000.0,19048.0,-1.0,181818.0,400000.0,-1.0,60000.0,83287.0,50000.0,101680.0,193333.0,58818.0,143358.0,122857.0,-1.0,33333.0,-1.0,-1.0,53714.0,100000.0,66667.0,-1.0,30000.0,86618.0,104511.0,44890.0,-1.0,32045.0,-1.0,-1.0,-1.0,-1.0,270270.0,90793.0,-1.0,-1.0,144753.0,-1.0,-1.0,109932.0,-1.0,170000.0,-1.0,322303.0,20000.0,-1.0,58333.0,-1.0,-1.0,87172.0,-1.0,-1.0,-1.0,-1.0,-1.0,93863.0,184807.0,-1.0,252000.0,137500.0,-1.0,4800.0,-1.0,-1.0,82465.0,347778.0,-1.0,-1.0,392857.0,72727.0,-1.0,80000.0,10922.0,-1.0,-1.0
1980,43333.0,81943.0,62500.0,-1.0,-1.0,-1.0,-1.0,163965.0,96270.0,-1.0,46667.0,26569.0,-1.0,-1.0,42373.0,-1.0,-1.0,47815.0,46491.0,26569.0,181818.0,-1.0,-1.0,-1.0,-1.0,43798.0,53333.0,121437.0,-1.0,-1.0,20000.0,51502.0,-1.0,181818.0,400000.0,-1.0,60000.0,93955.0,50000.0,82989.0,195735.0,59865.0,149449.0,116667.0,-1.0,40000.0,-1.0,-1.0,53056.0,100000.0,61033.0,-1.0,30000.0,85949.0,75994.0,44667.0,-1.0,20690.0,-1.0,-1.0,-1.0,-1.0,285714.0,74672.0,-1.0,-1.0,145377.0,-1.0,-1.0,105712.0,-1.0,170000.0,-1.0,473793.0,20000.0,-1.0,61538.0,-1.0,-1.0,87260.0,-1.0,-1.0,-1.0,-1.0,-1.0,100101.0,183481.0,-1.0,247036.0,75000.0,-1.0,4800.0,-1.0,-1.0,69260.0,356712.0,-1.0,-1.0,400000.0,72727.0,-1.0,80000.0,10924.0,-1.0,-1.0
