,Burundi,Melanesia,"China, Taiwan Province of",Niue,Cameroon,Comoros,Philippines,Benin,Maldives,Liberia,Japan,Sao Tome and Principe,Republic of Korea,Togo,Cyprus,Papua New Guinea,Antigua and Barbuda,New Caledonia,Rwanda,Tonga,Bahamas,United States of America,Barbados,Democratic Republic of the Congo,Thailand,Mauritius,American Samoa,Nigeria,Madagascar,Saint Lucia,Kiribati,Guinea,Dominica,Fiji,Chad,Wallis and Futuna Islands,Gabon,Central African Republic,China,Côte d'Ivoire,Lebanon,Solomon Islands,Trinidad and Tobago,Occupied Palestinian Territory,French Guiana,Sierra Leone,Samoa,Egypt,Micronesia,Ghana,Polynesia,"China, mainland",Nicaragua,Guyana,Turkey
1961,19000.0,25480.0,3527.0,142.0,96128.0,-1.0,20490.0,1200.0,28.0,1750.0,39600.0,600.0,106.0,6000.0,281.0,18050.0,-1.0,1000.0,2700.0,3300.0,-1,203.0,200.0,3100.0,7300.0,68.0,585.0,181000.0,13000.0,25.0,170.0,4300.0,850.0,5500.0,1800.0,120.0,2000.0,16000.0,65527.0,130000.0,100.0,930.0,275.0,-1.0,580.0,10000.0,2800.0,1260.0,170.0,100000.0,6947.0,62000.0,-1.0,-1.0,160.0
1962,19000.0,26410.0,3700.0,142.0,101561.0,-1.0,19580.0,2600.0,28.0,1750.0,40500.0,600.0,102.0,6000.0,334.0,18600.0,-1.0,1000.0,2500.0,3400.0,-1,210.0,200.0,3500.0,7300.0,38.0,585.0,295000.0,13000.0,25.0,180.0,4600.0,860.0,5870.0,1800.0,120.0,2000.0,16000.0,68700.0,138000.0,100.0,940.0,280.0,-1.0,600.0,10000.0,3100.0,840.0,180.0,102000.0,7347.0,65000.0,-1.0,-1.0,170.0
1963,20000.0,27020.0,3874.0,142.0,150142.0,-1.0,21260.0,2800.0,29.0,1750.0,40100.0,600.0,96.0,6000.0,602.0,19200.0,-1.0,1000.0,2500.0,3410.0,-1,199.0,200.0,3400.0,7300.0,63.0,585.0,257000.0,13000.0,25.0,190.0,4000.0,880.0,5870.0,1800.0,120.0,2000.0,16000.0,68874.0,140000.0,100.0,950.0,288.0,-1.0,630.0,10000.0,3150.0,1260.0,190.0,103000.0,7407.0,65000.0,-1.0,-1.0,180.0
1964,21000.0,27430.0,3989.0,142.0,127004.0,-1.0,24710.0,1400.0,30.0,1750.0,39500.0,600.0,37.0,6000.0,669.0,20000.0,-1.0,1000.0,2600.0,3420.0,-1,194.0,200.0,2500.0,7300.0,38.0,585.0,284000.0,12515.0,25.0,200.0,3800.0,900.0,5470.0,1900.0,120.0,2000.0,16000.0,73989.0,142000.0,100.0,960.0,355.0,-1.0,575.0,10000.0,3200.0,1260.0,200.0,105000.0,7467.0,70000.0,-1.0,-1.0,190.0
1965,21000.0,29050.0,3526.0,142.0,88639.0,-1.0,23430.0,970.0,30.0,1750.0,38900.0,600.0,85.0,6000.0,850.0,21000.0,-1.0,1000.0,2600.0,3450.0,-1,182.0,200.0,3600.0,7400.0,25.0,585.0,282000.0,12765.0,26.0,215.0,4300.0,920.0,6070.0,1900.0,120.0,2500.0,16000.0,73526.0,145000.0,100.0,980.0,422.0,-1.0,590.0,10000.0,3300.0,1260.0,215.0,110000.0,7597.0,70000.0,-1.0,-1.0,190.0
1966,19500.0,28660.0,3532.0,142.0,97386.0,-1.0,22140.0,1100.0,31.0,1750.0,39200.0,600.0,50.0,6000.0,870.0,21200.0,1.0,1000.0,2500.0,3500.0,-1,166.0,230.0,4700.0,7400.0,41.0,585.0,246000.0,12655.0,26.0,230.0,4100.0,940.0,5470.0,1900.0,120.0,3000.0,16000.0,73532.0,147000.0,100.0,990.0,469.0,-1.0,590.0,10000.0,3300.0,1260.0,230.0,124000.0,7647.0,70000.0,-1.0,-1.0,200.0
1967,20000.0,28252.0,3418.0,142.0,207134.0,-1.0,22600.0,2000.0,32.0,1800.0,38600.0,600.0,50.0,6000.0,803.0,21800.0,2.0,1000.0,2500.0,3550.0,-1,166.0,220.0,6900.0,7500.0,32.0,585.0,288000.0,12950.0,26.0,240.0,4150.0,960.0,4452.0,2000.0,120.0,3600.0,15000.0,73418.0,149000.0,100.0,1000.0,527.0,-1.0,570.0,10000.0,3300.0,1260.0,240.0,122000.0,7697.0,70000.0,-1.0,-1.0,200.0
1968,21000.0,28729.0,2841.0,142.0,202772.0,-1.0,23100.0,1700.0,33.0,1800.0,37000.0,600.0,88.0,6000.0,736.0,21900.0,2.0,1000.0,1950.0,3600.0,-1,173.0,200.0,6700.0,7500.0,37.0,585.0,243000.0,13130.0,28.0,250.0,4200.0,980.0,4819.0,2000.0,120.0,4000.0,15000.0,72841.0,150000.0,150.0,1010.0,607.0,-1.0,400.0,10000.0,3600.0,1680.0,250.0,127000.0,8047.0,70000.0,-1.0,-1.0,200.0
1969,20000.0,29039.0,3012.0,142.0,206071.0,-1.0,22130.0,2400.0,33.0,1850.0,37300.0,600.0,114.0,6000.0,535.0,22200.0,3.0,1000.0,6700.0,3700.0,-1,174.0,150.0,6500.0,7600.0,38.0,516.0,284000.0,13230.0,28.0,260.0,4250.0,1000.0,4819.0,2000.0,120.0,4000.0,16000.0,78012.0,172900.0,200.0,1020.0,616.0,-1.0,400.0,10000.0,3700.0,1680.0,260.0,130000.0,8178.0,75000.0,-1.0,-1.0,200.0
1970,20000.0,28230.0,2844.0,142.0,200847.0,-1.0,23550.0,2700.0,61.0,1850.0,39000.0,600.0,111.0,6000.0,268.0,22700.0,4.0,1000.0,7780.0,3700.0,-1,197.0,160.0,5900.0,7600.0,34.0,585.0,328000.0,13615.0,28.0,270.0,4280.0,1030.0,3500.0,2000.0,120.0,4000.0,16000.0,77844.0,182000.0,200.0,1030.0,590.0,-1.0,212.0,10000.0,3800.0,1260.0,270.0,260000.0,8347.0,75000.0,-1.0,-1.0,200.0
