,Uruguay,Hungary,Morocco,Mexico,Australia,Thailand,Australia & New Zealand,Netherlands,Canada,Czechia,Spain,Argentina,Turkey
1978,7407.0,-1.0,4225.0,12375.0,11916.0,4000.0,11916.0,-1.0,-1.0,-1.0,10129.0,8571.0,15000.0
1979,7488.0,-1.0,6800.0,12669.0,7999.0,4000.0,7999.0,-1.0,-1.0,-1.0,10233.0,8947.0,13333.0
1980,7500.0,-1.0,7477.0,9072.0,4241.0,4000.0,4241.0,-1.0,10952.0,-1.0,16872.0,7721.0,14000.0
1981,7500.0,-1.0,2667.0,9974.0,6677.0,4000.0,6677.0,-1.0,10333.0,-1.0,9230.0,7521.0,12000.0
1982,7500.0,-1.0,5941.0,18557.0,6842.0,4000.0,6842.0,-1.0,11042.0,-1.0,11745.0,6421.0,12739.0
1983,7500.0,-1.0,7770.0,14256.0,9680.0,4000.0,9680.0,-1.0,11034.0,-1.0,5446.0,11014.0,10949.0
1984,7500.0,-1.0,7907.0,11808.0,8037.0,4000.0,8037.0,-1.0,11184.0,-1.0,23182.0,8347.0,13429.0
1985,7500.0,-1.0,10793.0,10050.0,11226.0,4000.0,11226.0,-1.0,12476.0,-1.0,16721.0,9331.0,12160.0
1986,7619.0,-1.0,13429.0,11965.0,6966.0,4000.0,6966.0,-1.0,14137.0,-1.0,15086.0,9289.0,15000.0
1987,7619.0,-1.0,9400.0,9208.0,8462.0,4000.0,8462.0,-1.0,12014.0,-1.0,14496.0,9914.0,14286.0
1988,7727.0,-1.0,6000.0,10580.0,7263.0,4000.0,7263.0,-1.0,5804.0,-1.0,10453.0,10365.0,15520.0
1989,7727.0,-1.0,7000.0,12284.0,7529.0,4000.0,7529.0,-1.0,9673.0,-1.0,11217.0,10032.0,15190.0
1990,8500.0,-1.0,10667.0,11001.0,6985.0,4000.0,6985.0,-1.0,14240.0,-1.0,11904.0,9800.0,14696.0
1991,8500.0,13462.0,-1.0,9387.0,8829.0,4000.0,8829.0,-1.0,10540.0,-1.0,11741.0,10765.0,15500.0
1992,8500.0,10000.0,-1.0,8768.0,3916.0,3670.0,3916.0,-1.0,13489.0,-1.0,12118.0,9704.0,15789.0
1993,8502.0,10000.0,-1.0,8485.0,13144.0,3542.0,13144.0,-1.0,10390.0,-1.0,11685.0,11552.0,16393.0
1994,8500.0,10561.0,-1.0,6943.0,5714.0,4000.0,5714.0,-1.0,11767.0,-1.0,11321.0,10867.0,15000.0
1995,8500.0,10000.0,-1.0,8404.0,5000.0,3932.0,5000.0,-1.0,10618.0,-1.0,4595.0,11188.0,15135.0
1996,8500.0,12254.0,-1.0,8827.0,6754.0,3935.0,6754.0,-1.0,12126.0,-1.0,12118.0,9471.0,15217.0
1997,8500.0,10028.0,-1.0,7371.0,6756.0,4059.0,6756.0,-1.0,10150.0,-1.0,13750.0,10413.0,12332.0
1998,8502.0,12232.0,-1.0,8495.0,6000.0,3979.0,6000.0,-1.0,11291.0,-1.0,8421.0,12122.0,13600.0
1999,8500.0,9174.0,-1.0,8567.0,6250.0,4000.0,6250.0,-1.0,11393.0,-1.0,12653.0,9160.0,15238.0
2000,8500.0,5621.0,-1.0,6711.0,6471.0,3984.0,6471.0,-1.0,10421.0,-1.0,12000.0,9488.0,13526.0
2001,8500.0,9058.0,-1.0,8963.0,6616.0,4000.0,6616.0,-1.0,6971.0,-1.0,11957.0,9712.0,13548.0
2002,8500.0,9376.0,-1.0,7018.0,6602.0,4000.0,6602.0,-1.0,7833.0,-1.0,11905.0,10697.0,15000.0
2003,8500.0,5010.0,-1.0,15241.0,6569.0,4000.0,6569.0,-1.0,9173.0,-1.0,11842.0,9868.0,12000.0
2004,8500.0,17586.0,-1.0,9761.0,6585.0,3471.0,6585.0,-1.0,9462.0,35000.0,11765.0,10825.0,16716.0
2005,8500.0,12863.0,-1.0,9873.0,6562.0,3443.0,6562.0,-1.0,12470.0,46272.0,11667.0,10719.0,13333.0
2006,8507.0,11987.0,-1.0,9800.0,6000.0,3321.0,6000.0,-1.0,10153.0,50842.0,11538.0,11089.0,17429.0
2007,8500.0,9818.0,-1.0,9786.0,5714.0,3632.0,5714.0,-1.0,9310.0,55230.0,11364.0,8742.0,10690.0
2008,8500.0,19931.0,10667.0,13121.0,6250.0,3631.0,6250.0,-1.0,11934.0,59367.0,11111.0,9058.0,13077.0
2009,8500.0,8202.0,10667.0,6257.0,6605.0,3755.0,6605.0,-1.0,13646.0,63239.0,11538.0,9316.0,14878.0
2010,8954.0,7603.0,10667.0,10707.0,6628.0,4091.0,6628.0,-1.0,9980.0,66867.0,12286.0,16433.0,15091.0
2011,9269.0,8067.0,10667.0,10414.0,6667.0,3942.0,6667.0,-1.0,11766.0,70287.0,11667.0,16314.0,15000.0
2012,9863.0,9523.0,10667.0,10000.0,7500.0,4000.0,7500.0,-1.0,11375.0,80000.0,10638.0,13059.0,10000.0
2013,10000.0,7374.0,10667.0,9940.0,7179.0,4000.0,7179.0,-1.0,15412.0,75000.0,17895.0,18737.0,16432.0
2014,9722.0,10407.0,10667.0,10545.0,6795.0,3987.0,6795.0,-1.0,11651.0,77371.0,13539.0,13063.0,14770.0
