,Uruguay,Hungary,Morocco,Mexico,Australia,Thailand,Australia & New Zealand,Netherlands,Canada,Czechia,Spain,Argentina,Turkey
1961,6152.0,-1.0,3000.0,8439.0,4123.0,4000.0,4123.0,21345.0,-1.0,-1.0,11264.0,6813.0,10000.0
1962,5134.0,-1.0,3000.0,9100.0,6659.0,4000.0,6659.0,22918.0,-1.0,-1.0,10711.0,8036.0,6216.0
1963,4388.0,-1.0,3000.0,9359.0,6274.0,4000.0,6274.0,20777.0,-1.0,-1.0,10618.0,7431.0,7591.0
1964,6897.0,-1.0,3000.0,9401.0,7707.0,4000.0,7707.0,24947.0,-1.0,-1.0,11860.0,8739.0,10000.0
1965,6553.0,-1.0,4000.0,9652.0,6632.0,4000.0,6632.0,19167.0,-1.0,-1.0,14477.0,9221.0,8333.0
1966,6017.0,-1.0,4000.0,9351.0,9053.0,4000.0,9053.0,15000.0,-1.0,-1.0,9649.0,8468.0,8000.0
1967,5568.0,-1.0,4000.0,10636.0,5261.0,4000.0,5261.0,20000.0,-1.0,-1.0,10124.0,9200.0,8696.0
1968,6858.0,-1.0,4667.0,11828.0,6300.0,4000.0,6300.0,20000.0,-1.0,-1.0,11467.0,7795.0,6000.0
1969,5505.0,-1.0,4211.0,13666.0,6506.0,4000.0,6506.0,20134.0,-1.0,-1.0,9783.0,7723.0,6742.0
1970,5562.0,-1.0,4633.0,11820.0,5638.0,4000.0,5638.0,18519.0,-1.0,-1.0,14318.0,9122.0,9745.0
1971,5262.0,-1.0,6789.0,12822.0,6390.0,4000.0,6390.0,-1.0,-1.0,-1.0,13184.0,5771.0,10811.0
1972,5857.0,-1.0,6708.0,15195.0,5796.0,4000.0,5796.0,-1.0,-1.0,-1.0,10870.0,6591.0,10286.0
1973,5129.0,-1.0,6024.0,15290.0,7032.0,4000.0,7032.0,-1.0,-1.0,-1.0,12535.0,8206.0,10319.0
1974,5556.0,-1.0,6407.0,12809.0,9228.0,4000.0,9228.0,-1.0,-1.0,-1.0,13971.0,7889.0,13636.0
1975,7692.0,-1.0,7564.0,11109.0,8711.0,4000.0,8711.0,-1.0,-1.0,-1.0,14167.0,6883.0,13125.0
1976,7692.0,-1.0,4491.0,11922.0,9624.0,4000.0,9624.0,-1.0,-1.0,-1.0,14088.0,7754.0,14599.0
1977,7407.0,-1.0,2517.0,11456.0,4368.0,4000.0,4368.0,-1.0,-1.0,-1.0,11680.0,9630.0,13333.0
