,Guinea,Republic of Korea,Dominica,Cyprus,Chad,Sao Tome and Principe,Gabon,Philippines,Egypt,Benin,Côte d'Ivoire,Japan
1961,2700.0,92.0,1118.0,799.0,360.0,300.0,1000.0,10800.0,2000.0,400.0,24000.0,48390.0
1962,3000.0,86.0,1144.0,950.0,360.0,300.0,1000.0,10600.0,3000.0,870.0,30000.0,50750.0
1963,2500.0,33.0,1170.0,1713.0,380.0,300.0,1000.0,10401.0,3000.0,920.0,30400.0,58060.0
1964,2000.0,77.0,1196.0,1903.0,380.0,300.0,1250.0,11235.0,3000.0,475.0,31200.0,49300.0
1965,2800.0,45.0,1222.0,2418.0,380.0,300.0,1500.0,10625.0,3000.0,320.0,32000.0,47800.0
1966,2630.0,45.0,1248.0,2475.0,400.0,300.0,1800.0,9857.0,3000.0,375.0,32000.0,52060.0
1967,2650.0,79.0,1274.0,2285.0,400.0,300.0,2000.0,9688.0,4000.0,645.0,32400.0,45940.0
1968,2680.0,103.0,1300.0,2094.0,400.0,300.0,2000.0,9572.0,4000.0,550.0,32400.0,52710.0
1969,2600.0,100.0,1339.0,1522.0,400.0,300.0,2000.0,9290.0,3000.0,655.0,35540.0,52390.0
1970,2500.0,126.0,1378.0,762.0,400.0,300.0,2250.0,9071.0,3000.0,726.0,36340.0,54210.0
1971,2600.0,191.0,1417.0,762.0,420.0,200.0,2500.0,8769.0,4000.0,325.0,37800.0,55790.0
1972,2800.0,143.0,1456.0,838.0,400.0,150.0,2500.0,8641.0,4000.0,298.0,39000.0,51950.0
1973,2847.0,200.0,1495.0,838.0,400.0,100.0,2850.0,8225.0,4000.0,398.0,40000.0,38460.0
1974,2873.0,194.0,1560.0,762.0,440.0,100.0,3160.0,8947.0,4000.0,395.0,41200.0,43030.0
1975,2906.0,295.0,1599.0,762.0,400.0,100.0,3370.0,9316.0,5000.0,375.0,44710.0,37020.0
1976,2925.0,317.0,1690.0,857.0,400.0,100.0,3560.0,10268.0,6335.0,350.0,38368.0,42550.0
1977,2958.0,252.0,1820.0,457.0,460.0,150.0,3775.0,12794.0,5099.0,300.0,35656.0,43020.0
1978,2987.0,207.0,1430.0,286.0,500.0,220.0,4150.0,15618.0,5750.0,250.0,31467.0,34060.0
