,Burundi,"China, Taiwan Province of",Belarus,Croatia,Myanmar,Burkina Faso,China,Syrian Arab Republic,Brazil,Lao People's Democratic Republic,Australia & New Zealand,United Republic of Tanzania,Nepal,Ethiopia,Indonesia,The former Yugoslav Republic of Macedonia,Greece,Tunisia,Zimbabwe,Bangladesh,Malawi,Melanesia,Papua New Guinea,South Africa,Eritrea,New Caledonia,Rwanda,Libya,Mozambique,United States of America,Yugoslav SFR,Mongolia,Guatemala,French Polynesia,Algeria,Slovenia,Iceland,Senegal,Madagascar,Tajikistan,Lesotho,Norway,Haiti,Bhutan,Guinea,Israel,Saudi Arabia,Dominica,Fiji,Cabo Verde,Chad,Belgium,Kuwait,Switzerland,Sri Lanka,Uruguay,Azerbaijan,Central African Republic,Bosnia and Herzegovina,Réunion,Germany,Malta,Colombia,Latvia,Sudan (former),Portugal,Sweden,Lebanon,Kyrgyzstan,United Kingdom,Occupied Palestinian Territory,Chile,Hungary,Montenegro,Kazakhstan,Estonia,Mauritius,France,Namibia,Kenya,Poland,"China, mainland",Russian Federation,Mali,Uganda,Thailand,Luxembourg,Saint Kitts and Nevis,Bolivia (Plurinational State of),Peru,Democratic People's Republic of Korea,Serbia and Montenegro,Cameroon,Serbia,Comoros,Armenia,Dominican Republic,Uzbekistan,El Salvador,Benin,Denmark,Canada,Republic of Korea,Japan,Bermuda,Iraq,Turkmenistan,Venezuela (Bolivarian Republic of),Cyprus,Philippines,Morocco,Niger,Belize,Bulgaria,Afghanistan,Iran (Islamic Republic of),Zambia,Democratic Republic of the Congo,Sudan,Pakistan,Faroe Islands,Cuba,Turkey,Czechia,Argentina,Timor-Leste,Costa Rica,Georgia,India,Guadeloupe,Paraguay,Austria,Bahrain,Czechoslovakia,Ethiopia PDR,Congo,Qatar,Mexico,USSR,Romania,Ecuador,Honduras,Jordan,Oman,Viet Nam,Panama,Ireland,Côte d'Ivoire,Nicaragua,Albania,Slovakia,Jamaica,Spain,Yemen,Italy,Polynesia,Montserrat,United Arab Emirates,Swaziland,Australia,Egypt,Lithuania,Ukraine,Finland,Netherlands,Mauritania,Angola,Nigeria,New Zealand,Republic of Moldova,Belgium-Luxembourg
1961,37500.0,90000.0,-1.0,-1.0,27849.0,-1.0,99225.0,120400.0,56485.0,60000.0,143496.0,30000.0,56098.0,-1.0,60000.0,-1.0,71210.0,70000.0,97805.0,61491.0,60000.0,59507.0,67692.0,76004.0,-1.0,61111.0,50000.0,46667.0,42636.0,222021.0,84676.0,96471.0,49708.0,100000.0,106217.0,-1.0,185714.0,90000.0,65455.0,-1.0,150000.0,229302.0,153846.0,63063.0,-1.0,191011.0,85714.0,50000.0,20000.0,100000.0,38095.0,-1.0,-1.0,243000.0,48734.0,60415.0,-1.0,18000.0,-1.0,76667.0,180590.0,76908.0,113670.0,-1.0,157143.0,97535.0,176300.0,80000.0,-1.0,224785.0,-1.0,87638.0,68065.0,-1.0,-1.0,-1.0,77500.0,160992.0,-1.0,71852.0,160340.0,99231.0,-1.0,-1.0,90909.0,79846.0,-1.0,66667.0,48000.0,52875.0,108333.0,-1.0,28571.0,-1.0,-1.0,-1.0,71011.0,-1.0,57143.0,-1.0,206013.0,160960.0,97294.0,176977.0,107732.0,100000.0,-1.0,79349.0,116832.0,46388.0,100000.0,-1.0,-1.0,107466.0,86667.0,100000.0,86603.0,57347.0,-1.0,74533.0,128667.0,113000.0,95578.0,-1.0,102110.0,36757.0,98769.0,-1.0,72507.0,79412.0,32500.0,197806.0,-1.0,103961.0,80000.0,16000.0,-1.0,66386.0,94965.0,95604.0,83942.0,45586.0,78947.0,-1.0,133333.0,100000.0,248733.0,-1.0,35000.0,72134.0,-1.0,59472.0,118126.0,56983.0,103832.0,100000.0,25000.0,-1.0,32076.0,123285.0,169657.0,-1.0,-1.0,137394.0,280396.0,100000.0,50000.0,90000.0,211033.0,-1.0,261053.0
1962,35714.0,83220.0,-1.0,-1.0,25250.0,-1.0,91994.0,108995.0,57792.0,52000.0,155779.0,30000.0,56098.0,-1.0,60000.0,-1.0,71705.0,70345.0,93213.0,60217.0,62000.0,59268.0,63333.0,64992.0,-1.0,61111.0,39993.0,50000.0,51667.0,220346.0,80807.0,53111.0,36154.0,100000.0,100000.0,-1.0,142857.0,116667.0,70833.0,-1.0,150000.0,182461.0,157895.0,63025.0,-1.0,208843.0,86667.0,50000.0,20000.0,100000.0,42857.0,-1.0,-1.0,230000.0,22422.0,44115.0,-1.0,14000.0,-1.0,83333.0,225080.0,76955.0,116200.0,-1.0,157143.0,87799.0,187800.0,100000.0,-1.0,227373.0,-1.0,83717.0,90127.0,-1.0,-1.0,-1.0,84116.0,155289.0,-1.0,71852.0,129951.0,92000.0,-1.0,-1.0,91667.0,83333.0,-1.0,66667.0,48500.0,53635.0,108333.0,-1.0,28571.0,-1.0,-1.0,-1.0,73282.0,-1.0,66087.0,-1.0,187106.0,182152.0,85016.0,170323.0,89802.0,100000.0,-1.0,75837.0,134361.0,47224.0,94837.0,-1.0,-1.0,83436.0,76667.0,100000.0,100690.0,52543.0,-1.0,92754.0,138739.0,114156.0,108766.0,-1.0,82576.0,37037.0,97544.0,-1.0,67041.0,82353.0,33333.0,190451.0,-1.0,98901.0,80000.0,22000.0,-1.0,82360.0,80218.0,85217.0,92777.0,48237.0,62644.0,-1.0,150000.0,100000.0,250074.0,-1.0,35800.0,54341.0,-1.0,63567.0,101604.0,58152.0,94531.0,100000.0,25000.0,-1.0,15898.0,139832.0,146313.0,-1.0,-1.0,129031.0,304970.0,100000.0,50000.0,95000.0,210649.0,-1.0,291415.0
1963,34409.0,74832.0,-1.0,-1.0,31422.0,-1.0,79996.0,89819.0,58451.0,56000.0,157512.0,32503.0,57143.0,-1.0,59091.0,-1.0,81121.0,82857.0,95033.0,62676.0,64000.0,75241.0,51905.0,77640.0,-1.0,84615.0,25934.0,50400.0,48706.0,229710.0,87720.0,77778.0,36923.0,100000.0,92466.0,-1.0,126761.0,120000.0,76667.0,-1.0,150000.0,235806.0,153846.0,63008.0,-1.0,211047.0,86667.0,53846.0,26667.0,100000.0,42857.0,-1.0,-1.0,265000.0,91922.0,49572.0,-1.0,16667.0,-1.0,83333.0,231439.0,90659.0,83091.0,-1.0,171429.0,107231.0,232420.0,107692.0,-1.0,215449.0,-1.0,95399.0,87370.0,-1.0,-1.0,-1.0,132686.0,189265.0,-1.0,70909.0,157986.0,80000.0,-1.0,-1.0,91667.0,76667.0,-1.0,66667.0,48691.0,51727.0,108333.0,-1.0,35884.0,-1.0,-1.0,-1.0,75810.0,-1.0,66667.0,-1.0,208267.0,179741.0,85949.0,163643.0,89663.0,100000.0,-1.0,75491.0,91657.0,60296.0,90512.0,-1.0,-1.0,96235.0,81333.0,112903.0,116764.0,58900.0,-1.0,90692.0,142769.0,112836.0,114286.0,-1.0,87699.0,37037.0,99876.0,-1.0,81477.0,80000.0,40000.0,217780.0,-1.0,129640.0,80000.0,20000.0,-1.0,82763.0,84530.0,81130.0,86519.0,50941.0,78981.0,-1.0,166667.0,100000.0,237509.0,-1.0,35000.0,76758.0,-1.0,95486.0,123557.0,59259.0,113594.0,100000.0,25000.0,-1.0,20346.0,147145.0,167272.0,-1.0,-1.0,159426.0,287836.0,100000.0,53191.0,100000.0,199119.0,-1.0,267898.0
1964,34043.0,118809.0,-1.0,-1.0,31272.0,-1.0,87532.0,99387.0,60564.0,56000.0,152038.0,34889.0,57813.0,-1.0,55833.0,-1.0,93365.0,79077.0,133812.0,58458.0,60000.0,69508.0,37143.0,83125.0,-1.0,91667.0,22821.0,50000.0,60219.0,212448.0,81586.0,85185.0,40588.0,100000.0,70342.0,-1.0,119718.0,100000.0,71845.0,-1.0,150000.0,164064.0,156250.0,62992.0,-1.0,236022.0,87500.0,53846.0,24490.0,100000.0,43478.0,-1.0,-1.0,268000.0,59609.0,40520.0,-1.0,17333.0,-1.0,83333.0,209811.0,70138.0,114340.0,-1.0,171429.0,104687.0,213757.0,108333.0,-1.0,225343.0,-1.0,95410.0,78610.0,-1.0,-1.0,-1.0,121020.0,167369.0,-1.0,70370.0,169141.0,87500.0,-1.0,-1.0,92308.0,66667.0,-1.0,66667.0,51000.0,58552.0,108333.0,-1.0,39017.0,-1.0,-1.0,-1.0,70164.0,-1.0,70000.0,-1.0,223073.0,190517.0,121997.0,177422.0,89802.0,100000.0,-1.0,82955.0,141036.0,68735.0,103297.0,-1.0,-1.0,121858.0,86000.0,109375.0,85057.0,59860.0,-1.0,90733.0,123306.0,110760.0,117241.0,-1.0,83457.0,36965.0,101784.0,-1.0,62482.0,80000.0,40000.0,218247.0,-1.0,155957.0,80000.0,20000.0,-1.0,85401.0,109934.0,82285.0,83405.0,53161.0,67702.0,-1.0,166667.0,100000.0,206837.0,-1.0,43333.0,90389.0,-1.0,66431.0,116488.0,60309.0,107440.0,100000.0,25000.0,-1.0,21667.0,138363.0,163852.0,-1.0,-1.0,119578.0,329901.0,100000.0,58824.0,105000.0,198530.0,-1.0,343142.0
1965,33333.0,130762.0,-1.0,-1.0,31426.0,-1.0,94144.0,110004.0,61598.0,57692.0,164889.0,34978.0,66512.0,-1.0,57500.0,-1.0,92767.0,82429.0,133842.0,72386.0,61818.0,64754.0,38889.0,77600.0,-1.0,73333.0,30030.0,41095.0,61818.0,235879.0,69435.0,90370.0,42917.0,100000.0,81919.0,-1.0,176056.0,106000.0,70588.0,-1.0,150000.0,234752.0,150000.0,64202.0,-1.0,215333.0,87500.0,53846.0,20833.0,100000.0,43478.0,-1.0,-1.0,231003.0,31456.0,48302.0,-1.0,21000.0,-1.0,150000.0,205188.0,55540.0,114630.0,-1.0,178571.0,87781.0,248470.0,120269.0,-1.0,253354.0,-1.0,77219.0,71881.0,-1.0,-1.0,-1.0,92804.0,195147.0,-1.0,70370.0,154293.0,94118.0,-1.0,-1.0,92308.0,55000.0,-1.0,66667.0,50000.0,62450.0,108333.0,-1.0,25556.0,-1.0,-1.0,-1.0,72150.0,-1.0,76667.0,-1.0,230659.0,173135.0,96447.0,190813.0,107876.0,100000.0,-1.0,84028.0,159830.0,63315.0,104700.0,-1.0,-1.0,77830.0,88000.0,106061.0,98063.0,55556.0,-1.0,92849.0,128739.0,111316.0,115862.0,-1.0,122170.0,37037.0,99995.0,-1.0,84033.0,60000.0,40000.0,175672.0,-1.0,164494.0,80000.0,22000.0,-1.0,81558.0,102968.0,70388.0,88941.0,56071.0,96341.0,-1.0,137500.0,100000.0,233583.0,-1.0,43333.0,57544.0,-1.0,92163.0,110710.0,59804.0,101908.0,100000.0,25000.0,-1.0,21538.0,145078.0,180292.0,-1.0,-1.0,172957.0,258898.0,100000.0,57034.0,110000.0,217846.0,-1.0,300459.0
1966,30639.0,131378.0,-1.0,-1.0,25250.0,-1.0,90025.0,91942.0,66669.0,68182.0,177772.0,36848.0,65952.0,-1.0,50000.0,-1.0,96828.0,85000.0,109512.0,81351.0,63636.0,64976.0,38889.0,108443.0,-1.0,80000.0,60316.0,44945.0,75000.0,235409.0,96877.0,69310.0,40000.0,100000.0,66768.0,-1.0,87350.0,85714.0,72007.0,-1.0,140000.0,244297.0,152381.0,64151.0,-1.0,244811.0,88235.0,53846.0,22917.0,100000.0,44000.0,-1.0,-1.0,269000.0,86804.0,55702.0,-1.0,20000.0,-1.0,150000.0,222060.0,63861.0,100000.0,-1.0,178571.0,91354.0,249333.0,127405.0,-1.0,243710.0,-1.0,105284.0,122657.0,-1.0,-1.0,-1.0,158684.0,197618.0,-1.0,70909.0,168897.0,90000.0,-1.0,-1.0,86667.0,77778.0,-1.0,66667.0,49800.0,58867.0,108333.0,-1.0,24286.0,-1.0,-1.0,-1.0,72564.0,-1.0,81667.0,-1.0,247719.0,191462.0,113878.0,173187.0,150588.0,100000.0,-1.0,76932.0,151886.0,66889.0,105380.0,-1.0,-1.0,123459.0,90667.0,84063.0,100000.0,54000.0,-1.0,90235.0,159802.0,115522.0,116667.0,-1.0,90025.0,80000.0,99759.0,-1.0,85094.0,72000.0,50000.0,220157.0,-1.0,133984.0,80000.0,28000.0,-1.0,85152.0,104687.0,105638.0,78261.0,55388.0,119149.0,-1.0,150000.0,99655.0,247610.0,-1.0,40000.0,87322.0,-1.0,82925.0,118083.0,64705.0,111140.0,100000.0,25000.0,-1.0,25240.0,166577.0,144606.0,-1.0,-1.0,157518.0,315597.0,100000.0,57034.0,115000.0,211335.0,-1.0,280641.0
1967,30702.0,124759.0,-1.0,-1.0,27753.0,-1.0,89533.0,113429.0,67450.0,68182.0,181605.0,38329.0,69767.0,-1.0,47222.0,-1.0,106202.0,92824.0,130625.0,85298.0,65000.0,57591.0,55667.0,117905.0,-1.0,66667.0,65000.0,45316.0,80138.0,234712.0,85152.0,60000.0,40000.0,100000.0,63501.0,-1.0,130420.0,66176.0,73214.0,-1.0,140000.0,200998.0,154762.0,64815.0,-1.0,211791.0,86667.0,50000.0,25000.0,100000.0,44000.0,-1.0,-1.0,296000.0,78080.0,47171.0,-1.0,20000.0,-1.0,144444.0,253808.0,71211.0,101266.0,-1.0,178571.0,109200.0,256129.0,117499.0,-1.0,251130.0,-1.0,92938.0,89336.0,-1.0,-1.0,-1.0,163393.0,201900.0,-1.0,70909.0,175885.0,89500.0,-1.0,-1.0,86667.0,80000.0,-1.0,66667.0,50501.0,62956.0,108333.0,-1.0,27759.0,-1.0,-1.0,-1.0,70372.0,-1.0,82000.0,-1.0,237091.0,171774.0,97461.0,198642.0,129012.0,100000.0,-1.0,82235.0,151895.0,66234.0,85417.0,-1.0,-1.0,114162.0,98000.0,120857.0,99048.0,53846.0,-1.0,88211.0,141386.0,116380.0,117333.0,-1.0,110138.0,80047.0,98910.0,-1.0,74403.0,68182.0,75385.0,227819.0,-1.0,148325.0,80000.0,36667.0,-1.0,98014.0,114589.0,96132.0,82674.0,55814.0,135294.0,-1.0,180000.0,100000.0,270542.0,-1.0,36667.0,72367.0,-1.0,119042.0,119349.0,74506.0,118246.0,100000.0,25000.0,-1.0,26366.0,162525.0,159487.0,-1.0,-1.0,136527.0,350287.0,100000.0,58935.0,115000.0,277231.0,-1.0,353097.0
1968,30172.0,111328.0,-1.0,-1.0,39398.0,-1.0,89022.0,113957.0,70855.0,68182.0,181478.0,36625.0,57447.0,-1.0,45000.0,-1.0,111438.0,70588.0,125000.0,93601.0,66667.0,63287.0,34000.0,143947.0,-1.0,80000.0,45000.0,51317.0,70229.0,239308.0,87006.0,81935.0,40000.0,100000.0,68023.0,-1.0,164824.0,71429.0,71179.0,-1.0,140000.0,239758.0,153488.0,64982.0,-1.0,228571.0,86667.0,50000.0,24590.0,100000.0,46000.0,-1.0,-1.0,300000.0,97753.0,35049.0,-1.0,17500.0,-1.0,125000.0,239100.0,72795.0,104938.0,-1.0,178571.0,100809.0,263897.0,100526.0,-1.0,246542.0,-1.0,90554.0,89150.0,-1.0,-1.0,-1.0,172888.0,213276.0,-1.0,70909.0,184880.0,89000.0,-1.0,-1.0,87500.0,80000.0,-1.0,66667.0,68091.0,60843.0,108333.0,-1.0,22638.0,-1.0,-1.0,-1.0,70000.0,-1.0,72000.0,-1.0,255854.0,194680.0,102664.0,215670.0,128904.0,100000.0,-1.0,84284.0,152775.0,48627.0,80000.0,-1.0,-1.0,118956.0,100000.0,117778.0,65955.0,53704.0,-1.0,93564.0,154479.0,163965.0,121959.0,-1.0,98431.0,80204.0,98571.0,-1.0,84410.0,72500.0,78295.0,266661.0,-1.0,175551.0,80000.0,50000.0,-1.0,97972.0,123098.0,111996.0,103923.0,61387.0,58491.0,-1.0,170000.0,99873.0,273960.0,-1.0,40000.0,72483.0,-1.0,75906.0,118969.0,86758.0,124119.0,100000.0,33333.0,-1.0,25000.0,156368.0,167703.0,-1.0,-1.0,140806.0,343700.0,100000.0,60837.0,120000.0,294307.0,-1.0,326324.0
1969,28421.0,120964.0,-1.0,-1.0,47604.0,-1.0,101603.0,106155.0,68152.0,64000.0,199214.0,32341.0,57667.0,-1.0,52000.0,-1.0,122233.0,70115.0,151724.0,94964.0,64898.0,67137.0,10000.0,95455.0,-1.0,81250.0,75000.0,59790.0,70255.0,247460.0,95244.0,53704.0,39706.0,100000.0,52466.0,-1.0,75678.0,90323.0,69127.0,-1.0,140000.0,262511.0,164444.0,63793.0,-1.0,237022.0,86667.0,54286.0,45700.0,133333.0,46000.0,-1.0,-1.0,301002.0,90724.0,61748.0,-1.0,20000.0,-1.0,110000.0,207995.0,85377.0,105629.0,-1.0,173333.0,104148.0,176744.0,96136.0,-1.0,250500.0,-1.0,79053.0,113460.0,-1.0,-1.0,-1.0,125239.0,215372.0,-1.0,71429.0,165299.0,101579.0,-1.0,-1.0,87500.0,80000.0,-1.0,66667.0,68048.0,61135.0,108333.0,-1.0,27175.0,-1.0,-1.0,-1.0,70938.0,-1.0,70000.0,-1.0,206762.0,189667.0,107033.0,201520.0,89420.0,150000.0,-1.0,78360.0,162009.0,60851.0,107143.0,-1.0,-1.0,122006.0,101987.0,118108.0,93333.0,53929.0,-1.0,109606.0,136333.0,98072.0,123469.0,-1.0,115387.0,80219.0,96345.0,-1.0,90113.0,70000.0,78980.0,261215.0,-1.0,159231.0,80000.0,60000.0,-1.0,103539.0,113307.0,67460.0,110257.0,64662.0,19797.0,-1.0,148333.0,99518.0,263353.0,-1.0,40000.0,55738.0,-1.0,102553.0,127156.0,86758.0,129811.0,100000.0,33333.0,-1.0,23333.0,176729.0,163414.0,-1.0,-1.0,133900.0,323716.0,100000.0,62963.0,125000.0,301090.0,-1.0,342147.0
1970,30909.0,98148.0,-1.0,-1.0,43685.0,-1.0,107489.0,111171.0,73940.0,68000.0,198731.0,38197.0,57719.0,-1.0,53846.0,-1.0,129029.0,74444.0,151724.0,101253.0,66294.0,81472.0,66667.0,134130.0,-1.0,94118.0,70000.0,66547.0,68966.0,255609.0,89982.0,71724.0,44118.0,100000.0,62542.0,-1.0,81909.0,90769.0,63660.0,-1.0,133333.0,255738.0,146667.0,64407.0,-1.0,283851.0,84211.0,53333.0,67733.0,133333.0,48000.0,-1.0,-1.0,315000.0,96010.0,56350.0,-1.0,18182.0,-1.0,94000.0,231893.0,68787.0,108573.0,-1.0,173333.0,107270.0,278743.0,104446.0,-1.0,276360.0,-1.0,95436.0,104176.0,-1.0,-1.0,-1.0,159977.0,222184.0,-1.0,71475.0,184106.0,107500.0,-1.0,-1.0,88235.0,80000.0,-1.0,66667.0,68947.0,60287.0,105263.0,-1.0,25491.0,-1.0,-1.0,-1.0,71875.0,-1.0,70000.0,-1.0,286850.0,194904.0,113051.0,227453.0,192787.0,153846.0,-1.0,86588.0,194618.0,67463.0,98214.0,-1.0,-1.0,121410.0,95364.0,109211.0,84667.0,54615.0,-1.0,105176.0,166939.0,69798.0,123548.0,-1.0,123156.0,80247.0,94424.0,-1.0,78883.0,70000.0,30770.0,245978.0,-1.0,142137.0,80000.0,71429.0,-1.0,105457.0,120019.0,68549.0,114738.0,68082.0,198182.0,-1.0,166667.0,112727.0,258409.0,-1.0,40000.0,54693.0,-1.0,94091.0,133553.0,50002.0,128052.0,100000.0,10000.0,-1.0,26973.0,175768.0,169727.0,-1.0,-1.0,189002.0,356492.0,100000.0,62963.0,120539.0,298974.0,-1.0,340053.0
