,"China, Taiwan Province of",Indonesia,Romania,Australia & New Zealand,Denmark,China,Republic of Korea,"China, mainland",Greece,Spain,Luxembourg,Australia,Singapore,Lithuania,Netherlands,New Zealand,Germany
1961,397714.0,,,300000.0,1739130.0,1054997.0,,1071429.0,,638298.0,,,,,,300000.0,
1962,402344.0,,,476923.0,1764706.0,1018533.0,,1087719.0,,600000.0,,,,,,476923.0,
1963,482988.0,,,507692.0,1717391.0,969295.0,,1103448.0,,545455.0,,,,,,507692.0,
1964,381815.0,,,530769.0,1800000.0,1009207.0,,1137931.0,,560000.0,,,,,,530769.0,
1965,378413.0,,,538462.0,1734138.0,965595.0,,1133333.0,,615208.0,,,,,,538462.0,
1966,332360.0,,,7000000.0,1821429.0,934458.0,,1166667.0,,676522.0,,,,,,7000000.0,
1967,414035.0,,,8000000.0,2200000.0,973839.0,866000.0,1200000.0,,727843.0,,,,,,8000000.0,
1968,418196.0,,,1833333.0,2177407.0,981425.0,868000.0,1216667.0,,761091.0,,,,,,1833333.0,
1969,410175.0,,,2383333.0,1883333.0,1074171.0,895750.0,1254237.0,,805167.0,,,,,,2383333.0,
1970,470700.0,,,2165000.0,1790000.0,1096865.0,942857.0,1275862.0,,788701.0,,,,,,2165000.0,
1971,487040.0,,,2146000.0,1871667.0,1061629.0,827073.0,1303571.0,,903380.0,,,,,,2146000.0,
1972,842640.0,,,2560000.0,1821111.0,1220257.0,1003594.0,1357143.0,,866212.0,,,,,,2560000.0,
1973,870081.0,,,1418000.0,1736857.0,1244766.0,1225000.0,1345455.0,,732949.0,,1084667.0,,,,2418000.0,
1974,895466.0,,,915143.0,1700303.0,1208919.0,1277422.0,1285714.0,,872598.0,,644839.0,,,,3010000.0,
1975,825753.0,,,1351296.0,1673714.0,1173502.0,1209327.0,1245614.0,,738529.0,,1201400.0,,,,3225000.0,
1976,952234.0,,,1521961.0,1737209.0,1166547.0,1477532.0,1206897.0,,699817.0,,1378333.0,,,,3820000.0,
1977,1085221.0,,,1474167.0,1768367.0,1199051.0,1692374.0,1232143.0,,1133906.0,,1273214.0,,,,4287500.0,
1978,1021026.0,,,1621500.0,1797347.0,1182519.0,1668322.0,1250000.0,,1183077.0,,1325273.0,,,,4880000.0,
1979,991620.0,,,1675902.0,1790000.0,1137271.0,1553571.0,1189655.0,,1568910.0,,1472830.0,,,,3021250.0,
1980,957975.0,,,1742419.0,1842326.0,1153340.0,1436798.0,1206897.0,,1480622.0,,1463158.0,,,,4926000.0,
1981,1039550.0,,,1777937.0,1763256.0,1246734.0,1400741.0,1298450.0,,1306176.0,,1475893.0,,,,4194286.0,
1982,1161790.0,,,1934688.0,1760000.0,1299666.0,1350000.0,1326923.0,,1590526.0,,1645965.0,,,,4285714.0,
1983,1345569.0,,,1752286.0,1835682.0,1356715.0,1782178.0,1358491.0,,1777556.0,,1579385.0,,,,4000000.0,
1984,1394895.0,,,1761622.0,1808298.0,1421689.0,1639344.0,1425926.0,,1694861.0,,1599420.0,,,,4000000.0,
1985,1385486.0,,,1819625.0,1895417.0,1468241.0,2000000.0,1481481.0,,1806113.0,,1691711.0,,,,4250000.0,
1986,1337022.0,,,2017260.0,1837083.0,1525736.0,1694286.0,1553571.0,,2082520.0,,1887826.0,,,,4250000.0,
1987,1326570.0,,,2112875.0,1797333.0,1593542.0,2013768.0,1625000.0,,1960531.0,,2000395.0,,,,4250000.0,
1988,1407529.0,,,2494750.0,1777778.0,1617983.0,2098182.0,1633333.0,,1799650.0,,2402368.0,,,,4250000.0,
1989,1463223.0,,,2076117.0,1777778.0,1458486.0,1971311.0,1457143.0,,2277167.0,,1988283.0,,,13000000.0,4250000.0,
1990,1513851.0,750000.0,,2451458.0,1760870.0,1597505.0,1742542.0,1600000.0,,2068861.0,,2366374.0,,,14700000.0,4000000.0,
1991,1556142.0,963250.0,7825000.0,2490364.0,1640000.0,1718204.0,1577544.0,1722222.0,105229.0,1821656.0,,2368350.0,,,16500000.0,4285714.0,2271873.0
1992,1607872.0,1000000.0,7825000.0,2589464.0,1759414.0,1737837.0,1666667.0,1740000.0,108267.0,2221093.0,,2452115.0,,1676883.0,19000000.0,4375000.0,2271735.0
1993,1852344.0,1000000.0,7825000.0,2183219.0,1790979.0,1728891.0,1604160.0,1727273.0,111306.0,2097375.0,,2057836.0,,1693692.0,19000000.0,3583333.0,2271597.0
1994,1807455.0,1020000.0,7825000.0,2656154.0,1821457.0,1800150.0,1551363.0,1800000.0,114344.0,2017493.0,,2508968.0,,1710500.0,22000000.0,4285714.0,2271459.0
