,Costa Rica,Guinea,India,El Salvador,Cameroon,Burkina Faso,Philippines,Honduras,Central African Republic,Nepal,Viet Nam,Pakistan,Liberia,Colombia,United Republic of Tanzania,Panama,Democratic Republic of the Congo,United States of America,Guatemala,Egypt,Ghana,Nigeria,Madagascar,Angola,Myanmar,Cambodia
1961,14000.0,0.0,5500050.0,26877.0,2500.0,0.0,636750.0,24129.0,0.0,12000.0,15575.0,1164000.0,600.0,171600.0,40400.0,0.0,9600.0,778360.0,0.0,61200.0,900.0,3440.0,16760.0,3212.0,96428.0,14000.0
1962,27500.0,0.0,5198350.0,30900.0,5000.0,0.0,646925.0,23445.0,0.0,17000.0,16280.0,1435670.0,630.0,190060.0,40400.0,0.0,11400.0,780175.0,0.0,67200.0,1200.0,3700.0,17000.0,3470.0,118575.0,14000.0
1963,18500.0,0.0,4595650.0,29631.0,2500.0,0.0,674700.0,23754.0,0.0,22000.0,17600.0,1843800.0,660.0,164632.0,51560.0,0.0,10900.0,955300.0,0.0,67200.0,1555.0,5300.0,20300.0,3240.0,98665.0,14000.0
1964,33000.0,0.0,5211250.0,30567.0,2500.0,0.0,876200.0,23907.0,0.0,19000.0,19030.0,1613900.0,690.0,192244.0,59892.0,0.0,8500.0,667700.0,0.0,64800.0,1853.0,6960.0,20309.0,3235.0,121595.0,15000.0
1965,38500.0,0.0,6103850.0,40980.0,4500.0,0.0,788200.0,24237.0,0.0,25000.0,20299.0,1866701.0,720.0,229268.0,63528.0,0.0,9400.0,796504.0,0.0,67109.0,3012.0,9040.0,20209.0,3396.0,144210.0,15000.0
1966,26500.0,0.0,6199500.0,44625.0,4375.0,0.0,771725.0,26949.0,0.0,19000.0,17256.0,2230941.0,750.0,269360.0,66000.0,0.0,9400.0,839100.0,0.0,69060.0,1200.0,8820.0,20722.0,3563.0,156798.0,18000.0
1967,25000.0,0.0,4641350.0,12500.0,5000.0,0.0,795725.0,29595.0,0.0,24000.0,14300.0,2198221.0,900.0,283296.0,69600.0,0.0,11000.0,863600.0,0.0,78638.0,2400.0,10680.0,19606.0,3611.0,147713.0,22000.0
1968,38000.0,0.0,4775000.0,12500.0,5813.0,0.0,857400.0,32991.0,0.0,27000.0,11000.0,1865901.0,1050.0,311688.0,75200.0,0.0,11094.0,725700.0,0.0,85697.0,4560.0,10900.0,18980.0,3423.0,163533.0,20000.0
1969,58500.0,0.0,6233805.0,44070.0,7023.0,0.0,915175.0,37206.0,0.0,30000.0,9749.0,2197101.0,1200.0,335140.0,76000.0,0.0,12000.0,817400.0,0.0,93762.0,3000.0,11480.0,22258.0,3415.0,202840.0,24000.0
1970,59000.0,0.0,6751200.0,47610.0,7933.0,0.0,1104050.0,40902.0,0.0,29600.0,11573.0,2636950.0,1350.0,318708.0,80000.0,0.0,12464.0,853700.0,0.0,97294.0,3600.0,12140.0,23100.0,3820.0,239640.0,20000.0
1971,60000.0,0.0,6318400.0,59730.0,7918.0,0.0,1102550.0,30000.0,0.0,31200.0,12100.0,2316701.0,1500.0,351520.0,70000.0,0.0,12704.0,931700.0,0.0,101827.0,4560.0,12760.0,23794.0,4401.0,276623.0,13000.0
1972,60000.0,0.0,5678475.0,69360.0,9616.0,0.0,1137900.0,44544.0,0.0,32000.0,13860.0,1996341.0,1650.0,390000.0,64000.0,0.0,13998.0,991600.0,0.0,99811.0,7500.0,13320.0,20864.0,4250.0,295423.0,13000.0
1973,60000.0,0.0,6243335.0,73200.0,12750.0,0.0,1226675.0,43200.0,0.0,34000.0,14300.0,1994710.0,1800.0,413972.0,60000.0,0.0,15424.0,819200.0,0.0,104852.0,7500.0,12360.0,23825.0,4837.0,238145.0,14000.0
1974,60000.0,0.0,7040250.0,88590.0,17500.0,2019.0,1340148.0,42479.0,0.0,30000.0,15950.0,2391050.0,2100.0,451740.0,60000.0,0.0,16328.0,1006100.0,0.0,109892.0,5700.0,13400.0,31431.0,2750.0,213475.0,14000.0
1975,60000.0,0.0,7214445.0,94980.0,18750.0,5359.0,1431500.0,45178.0,0.0,30000.0,21517.0,2124200.0,2460.0,489559.0,60000.0,0.0,16260.0,941500.0,0.0,122234.0,6900.0,14000.0,27551.0,2350.0,249895.0,14000.0
1976,45000.0,4350.0,7030175.0,95310.0,22500.0,6343.0,1432875.0,46253.0,0.0,36000.0,32850.0,2554664.0,2760.0,471848.0,60000.0,0.0,16288.0,1089500.0,0.0,125626.0,7800.0,14700.0,25744.0,2650.0,254140.0,13000.0
1977,45000.0,4350.0,7650350.0,106500.0,22500.0,9000.0,1304033.0,55342.0,0.0,46000.0,30985.0,2952296.0,4269.0,430664.0,60000.0,29530.0,16340.0,997898.0,0.0,124788.0,8100.0,15300.0,25614.0,2500.0,263370.0,10000.0
1978,50000.0,4950.0,8848250.0,107880.0,22500.0,9450.0,1128000.0,64935.0,0.0,44000.0,30053.0,3007665.0,4200.0,511877.0,60000.0,19810.0,13044.0,1066800.0,0.0,125284.0,5169.0,15400.0,27499.0,2250.0,269120.0,7000.0
1979,50000.0,6600.0,7582755.0,99630.0,17994.0,10800.0,1061550.0,76663.0,0.0,44000.0,38400.0,2732555.0,4200.0,541148.0,40000.0,35780.0,14000.0,1017900.0,0.0,127286.0,5460.0,16300.0,28886.0,2100.0,239398.0,6000.0
1980,50000.0,6600.0,6441670.0,76920.0,16065.0,10500.0,999873.0,87172.0,0.0,48000.0,47958.0,2749771.0,4500.0,618072.0,27924.0,64537.0,17708.0,1252800.0,0.0,126472.0,5136.0,17400.0,27900.0,1500.0,251023.0,8000.0
