,Burundi,"China, Taiwan Province of",Mozambique,Myanmar,Burkina Faso,Philippines,Syrian Arab Republic,Brazil,Lao People's Democratic Republic,Nepal,Ethiopia,Indonesia,The former Yugoslav Republic of Macedonia,Greece,Zimbabwe,Bangladesh,Malawi,Yemen,Rwanda,Australia & New Zealand,Yugoslav SFR,Guatemala,Algeria,El Salvador,Senegal,Madagascar,Tajikistan,Haiti,Guinea,Botswana,Zambia,Chad,Sri Lanka,Grenada,Uruguay,Azerbaijan,Montserrat,Sudan (former),China,Uzbekistan,Colombia,United Republic of Tanzania,Guinea-Bissau,Kazakhstan,Saint Vincent and the Grenadines,Togo,Kenya,"China, mainland",Mali,Uganda,Italy,Costa Rica,Saint Kitts and Nevis,Bolivia (Plurinational State of),Peru,Democratic People's Republic of Korea,Gambia,Cameroon,Cuba,Armenia,Dominican Republic,South Sudan,Namibia,Benin,Pakistan,Spain,Afghanistan,Australia,Venezuela (Bolivarian Republic of),Cyprus,Thailand,Antigua and Barbuda,Bulgaria,United States of America,Iran (Islamic Republic of),Democratic Republic of the Congo,Sudan,Nigeria,Kyrgyzstan,Argentina,Cambodia,Paraguay,Georgia,India,Guadeloupe,Niger,Morocco,Ethiopia PDR,Republic of Korea,Mexico,USSR,Romania,Ecuador,Honduras,Israel,Viet Nam,Tunisia,Côte d'Ivoire,Nicaragua,Albania,Turkmenistan,South Africa,Central African Republic,Somalia,Egypt,Ghana,Iraq,Angola,Swaziland,Republic of Moldova,Turkey
1961,3211.0,462.0,36884.0,11662.0,800.0,133.0,120649.0,423481.0,1500.0,-1.0,-1.0,999.0,-1,93800.0,451.0,3048.0,3256.0,5305.0,91.0,2600.0,2023.0,22010.0,870.0,41946.0,150.0,800.0,-1.0,1518.0,-1.0,1000.0,-1.0,16467.0,1000.0,65.0,163.0,-1.0,90.0,117597.0,800462.0,-1.0,76500.0,33530.0,-1.0,-1.0,66.0,2600.0,2846.0,800000.0,2221.0,67131.0,5310.0,1206.0,100.0,990.0,134253.0,3000.0,-1.0,8850.0,4700.0,-1,2294.0,-1.0,-1.0,1400.0,324100.0,106828.0,17000.0,2600.0,8481.0,140.0,12065.0,127.0,7153.0,3109754.0,115653.0,21330.0,-1.0,51000.0,-1.0,120777.0,9167.0,8500.0,-1,884000.0,60.0,790.0,1500.0,2000.0,9285.0,424490.0,1528000.0,33.0,3600.0,1319.0,14500.0,1132.0,218.0,1678.0,32700.0,5200.0,-1.0,5216.0,10000.0,1008.0,335658.0,-1.0,7884.0,4336.0,2400.0,-1,212000.0
1962,1740.0,677.0,42520.0,16112.0,2251.0,153.0,150063.0,542519.0,1500.0,-1.0,-1.0,1332.0,-1,87800.0,194.0,3048.0,5755.0,6899.0,95.0,2200.0,2050.0,33406.0,850.0,58672.0,113.0,960.0,-1.0,1188.0,-1.0,800.0,-1.0,33495.0,79.0,59.0,306.0,-1.0,70.0,212872.0,750677.0,-1.0,82300.0,38852.0,-1.0,-1.0,132.0,2748.0,1626.0,750000.0,4278.0,33700.0,3950.0,1494.0,81.0,990.0,148977.0,3000.0,-1.0,15000.0,3600.0,-1,2440.0,-1.0,-1.0,1500.0,366300.0,112829.0,26000.0,2200.0,11358.0,152.0,13010.0,85.0,17333.0,3228196.0,93643.0,12830.0,-1.0,51000.0,-1.0,106040.0,1200.0,10700.0,-1,1073000.0,80.0,1550.0,3350.0,3500.0,5880.0,461180.0,1485000.0,4.0,4040.0,3719.0,16070.0,1099.0,171.0,2494.0,54800.0,5200.0,-1.0,7371.0,11300.0,1260.0,457340.0,-1.0,8197.0,6856.0,1300.0,-1,245000.0
1963,1695.0,772.0,28680.0,18371.0,2736.0,17.0,152874.0,488267.0,1500.0,-1.0,-1.0,666.0,-1,99100.0,1207.0,3048.0,3212.0,8915.0,79.0,1800.0,3007.0,56303.0,850.0,72365.0,273.0,1500.0,-1.0,1023.0,-1.0,800.0,205.0,37483.0,573.0,86.0,610.0,-1.0,80.0,159226.0,1200772.0,-1.0,72600.0,47646.0,-1.0,-1.0,33.0,2047.0,2642.0,1200000.0,5496.0,65136.0,5320.0,1709.0,56.0,1320.0,148925.0,3000.0,-1.0,16400.0,3553.0,-1,3087.0,-1.0,-1.0,1300.0,418500.0,97738.0,36700.0,1800.0,10034.0,159.0,15309.0,70.0,13681.0,3329873.0,124634.0,14130.0,-1.0,43000.0,-1.0,133180.0,1200.0,11300.0,-1,1138000.0,45.0,1800.0,4840.0,2200.0,3992.0,510340.0,1756000.0,-1.0,3430.0,4796.0,13400.0,1049.0,165.0,3696.0,71100.0,6500.0,-1.0,13608.0,9800.0,722.0,441673.0,-1.0,4921.0,4575.0,1900.0,-1,257500.0
1964,2356.0,941.0,40158.0,17711.0,2983.0,22.0,175642.0,504596.0,1500.0,-1.0,-1.0,1079.0,-1,73100.0,2252.0,3048.0,4053.0,5792.0,131.0,2500.0,2493.0,66208.0,875.0,75064.0,14.0,1551.0,-1.0,990.0,-1.0,2007.0,549.0,35743.0,212.0,27.0,655.0,-1.0,70.0,100179.0,1663641.0,-1.0,66000.0,53206.0,-1.0,-1.0,51.0,2700.0,3149.0,1662700.0,7846.0,68840.0,4870.0,3246.0,60.0,1650.0,138946.0,3000.0,-1.0,16000.0,883.0,-1,1619.0,-1.0,-1.0,2300.0,377600.0,77332.0,26000.0,2500.0,12316.0,47.0,15467.0,45.0,14859.0,3297408.0,121342.0,13270.0,-1.0,47000.0,-1.0,99200.0,1800.0,11500.0,-1,1067000.0,45.0,2420.0,6000.0,2400.0,4240.0,565349.0,1800000.0,-1.0,5097.0,7146.0,15700.0,999.0,155.0,2899.0,91800.0,6500.0,-1.0,11340.0,10200.0,921.0,504071.0,-1.0,9805.0,4536.0,1500.0,-1,326000.0
1965,2235.0,755.0,28500.0,22704.0,2522.0,18.0,180239.0,450344.0,1800.0,-1.0,-1.0,1079.0,-1,74100.0,5625.0,3048.0,6706.0,10727.0,106.0,8500.0,1843.0,74018.0,978.0,81692.0,112.0,1952.0,-1.0,1155.0,-1.0,2000.0,755.0,31249.0,321.0,51.0,411.0,-1.0,65.0,152000.0,2098755.0,-1.0,65000.0,67034.0,-1.0,-1.0,66.0,2780.0,4166.0,2098000.0,5846.0,79258.0,4470.0,4791.0,58.0,1980.0,131154.0,3000.0,-1.0,21100.0,818.0,-1,1676.0,-1.0,-1.0,2500.0,417000.0,81152.0,25000.0,8500.0,14217.0,142.0,18837.0,50.0,13201.0,3255194.0,151939.0,6158.0,-1.0,46000.0,-1.0,138000.0,2000.0,14300.0,-1,997000.0,35.0,2040.0,8400.0,3400.0,3939.0,577342.0,1937000.0,-1.0,6650.0,11463.0,21500.0,916.0,75.0,3683.0,122100.0,8190.0,-1.0,18824.0,8800.0,924.0,520700.0,-1.0,10174.0,6503.0,2000.0,-1,325000.0
1966,1941.0,588.0,39266.0,15408.0,5725.0,16.0,141496.0,542519.0,1850.0,-1.0,-1.0,1079.0,-1,84500.0,9050.0,2700.0,4273.0,3942.0,100.0,17500.0,1983.0,80582.0,683.0,52278.0,429.0,2008.0,-1.0,990.0,-1.0,1622.0,1907.0,45152.0,600.0,39.0,307.0,-1.0,29.0,153501.0,2337588.0,-1.0,75400.0,78814.0,-1.0,-1.0,66.0,2800.0,4060.0,2337000.0,8070.0,80639.0,2620.0,3990.0,73.0,2970.0,120561.0,3000.0,-1.0,20700.0,467.0,-1,1006.0,-1.0,-1.0,2900.0,465946.0,90203.0,20300.0,17500.0,12017.0,112.0,27972.0,100.0,23797.0,2080745.0,114896.0,6587.0,-1.0,46000.0,-1.0,115500.0,1800.0,9300.0,-1,997000.0,164.0,2330.0,10000.0,8200.0,4567.0,521270.0,2056000.0,-1.0,6427.0,11409.0,24900.0,679.0,65.0,5251.0,110290.0,8210.0,-1.0,14969.0,14800.0,924.0,454930.0,-1.0,9316.0,7185.0,2600.0,-1,382000.0
1967,2875.0,577.0,44166.0,14189.0,6232.0,13.0,126513.0,558500.0,1800.0,-1.0,-1.0,1079.0,-1,92700.0,15500.0,2700.0,3957.0,4592.0,113.0,14400.0,3433.0,57712.0,740.0,38888.0,1527.0,3066.0,-1.0,743.0,-1.0,853.0,640.0,37848.0,540.0,25.0,252.0,-1.0,50.0,183495.0,2354577.0,-1.0,96600.0,70830.0,-1.0,-1.0,51.0,3400.0,3880.0,2354000.0,11307.0,78000.0,2450.0,4565.0,30.0,2640.0,89868.0,3000.0,-1.0,18200.0,1007.0,-1,305.0,-1.0,-1.0,4000.0,520368.0,64723.0,23100.0,14400.0,12714.0,183.0,25421.0,82.0,19288.0,1620514.0,117346.0,8220.0,-1.0,52000.0,-1.0,86600.0,2636.0,8928.0,-1,1149000.0,324.0,2190.0,6000.0,10400.0,3957.0,494541.0,2040000.0,-1.0,5745.0,9958.0,28500.0,666.0,10.0,9549.0,114499.0,7290.0,-1.0,11467.0,17700.0,924.0,436638.0,-1.0,11569.0,9832.0,3800.0,-1,396055.0
1968,2843.0,694.0,42268.0,16540.0,11478.0,11.0,150000.0,659800.0,2500.0,-1.0,-1.0,1079.0,-1,74000.0,19645.0,2300.0,3831.0,3068.0,80.0,29000.0,2900.0,77653.0,814.0,34982.0,3500.0,3947.0,-1.0,330.0,-1.0,811.0,1451.0,55190.0,217.0,39.0,226.0,-1.0,52.0,180188.0,2354694.0,-1.0,120200.0,51348.0,-1.0,-1.0,33.0,2300.0,4735.0,2354000.0,15134.0,62560.0,1780.0,3393.0,17.0,3630.0,101000.0,3000.0,-1.0,25200.0,-1.0,-1,585.0,-1.0,-1.0,7800.0,529040.0,77519.0,23700.0,29000.0,12669.0,132.0,36887.0,53.0,10350.0,2378636.0,167405.0,15000.0,-1.0,27000.0,-1.0,72200.0,2700.0,9676.0,-1,1062000.0,290.0,2349.0,6500.0,11700.0,4226.0,591961.0,1995000.0,-1.0,5000.0,8347.0,33000.0,666.0,35.0,13320.0,102196.0,4200.0,-1.0,14076.0,21600.0,1008.0,437000.0,35.0,13429.0,16025.0,2500.0,-1,435282.0
1969,2725.0,544.0,45213.0,10983.0,13000.0,11.0,144700.0,696500.0,2700.0,-1.0,-1.0,1047.0,-1,109800.0,54500.0,2700.0,5961.0,5703.0,99.0,30400.0,3148.0,73582.0,802.0,44979.0,3900.0,5727.0,-1.0,413.0,-1.0,1021.0,2219.0,42932.0,688.0,31.0,172.0,-1.0,16.0,224101.0,2079544.0,-1.0,125000.0,69500.0,-1.0,-1.0,33.0,3000.0,5646.0,2079000.0,15881.0,76727.0,1870.0,1435.0,15.0,4436.0,89000.0,3000.0,-1.0,33960.0,-1.0,-1,1000.0,-1.0,-1.0,8000.0,535545.0,58645.0,28700.0,30400.0,14799.0,237.0,13766.0,55.0,13522.0,2175055.0,164890.0,20000.0,-1.0,56000.0,-1.0,112400.0,2300.0,13011.0,-1,1052000.0,300.0,3670.0,7130.0,13700.0,4519.0,397056.0,1915000.0,-1.0,7340.0,7695.0,39200.0,599.0,165.0,17195.0,92916.0,4980.0,-1.0,21681.0,22000.0,1008.0,541450.0,106.0,14000.0,23418.0,1900.0,-1,400000.0
1970,3253.0,896.0,45586.0,11514.0,8243.0,8.0,148800.0,645100.0,3000.0,-1.0,-1.0,1033.0,-1,106600.0,33600.0,1200.0,7114.0,5433.0,82.0,24700.0,4080.0,64572.0,220.0,46096.0,4200.0,7170.0,-1.0,578.0,-1.0,450.0,1879.0,35352.0,489.0,23.0,222.0,-1.0,23.0,230845.0,2277896.0,-1.0,128000.0,77590.0,-1.0,-1.0,33.0,1700.0,4626.0,2277000.0,19889.0,86400.0,1085.0,285.0,9.0,5100.0,91913.0,3000.0,4.0,28000.0,-1.0,-1,1347.0,-1.0,-1.0,12500.0,542484.0,54742.0,25300.0,24700.0,13488.0,68.0,8442.0,65.0,12005.0,2219066.0,153292.0,23100.0,-1.0,91380.0,-1.0,144900.0,700.0,11601.0,-1,954000.0,300.0,3473.0,6020.0,16200.0,4451.0,333688.0,2129000.0,-1.0,2800.0,3205.0,35300.0,499.0,35.0,12746.0,68471.0,5000.0,-1.0,15167.0,19700.0,1092.0,509000.0,164.0,15301.0,30400.0,2300.0,-1,400000.0
