,"China, Taiwan Province of",Uzbekistan,Romania,Israel,Norway,Australia,Venezuela (Bolivarian Republic of),Mexico,The former Yugoslav Republic of Macedonia,Slovakia,Philippines,Belgium,Kenya,Luxembourg,Czechia,Costa Rica,Republic of Moldova,Italy,Serbia,USSR,Germany,South Africa,Slovenia,Ukraine,Brazil,Finland,Paraguay,Australia & New Zealand,Morocco,Lithuania,Jordan,Chile,Malta,Canada,Belgium-Luxembourg,Spain,Kyrgyzstan,New Zealand,Austria,Ecuador,Réunion,Japan,Poland,Argentina,Sweden,Belarus,Denmark,Colombia,Estonia,Georgia,Greece,Czechoslovakia,France,Republic of Korea,Egypt,Tunisia,Serbia and Montenegro,Zimbabwe,Croatia,Hungary,Lebanon,Russian Federation,Portugal,Bolivia (Plurinational State of),Yugoslav SFR,Occupied Palestinian Territory,Iran (Islamic Republic of),Kazakhstan,United States of America,Turkey,Latvia,China,Kuwait,"China, mainland",United Kingdom,Ireland,Cyprus,Peru,Switzerland,Bosnia and Herzegovina,Bulgaria,Netherlands,Guatemala
1961,,,,80000.0,50700.0,42522.0,31579.0,47192.0,,,,,,,,,,64059.0,,31111.0,,29500.0,,,,177143.0,,51069.0,,,,,,25858.0,555625.0,32452.0,,87500.0,108696.0,,,71429.0,,,,,,,,,71950.0,,373600.0,80000.0,,,,,,,40000.0,,16500.0,,,,,,64330.0,45714.0,,,,,58423.0,60000.0,100000.0,74074.0,27778.0,,80180.0,,
1962,,,,90000.0,47056.0,42522.0,34634.0,52331.0,,,,,,,,,,64615.0,,33333.0,,31650.0,,,,177143.0,,57073.0,,,,,,25885.0,430000.0,29555.0,,96142.0,108696.0,,,71429.0,,,,,,,,,77375.0,,354333.0,80000.0,,,,,,,40000.0,,16579.0,,,,,,66338.0,45714.0,,,,,59499.0,60000.0,100000.0,74074.0,27778.0,,46228.0,,
1963,,,,100000.0,59511.0,45448.0,38409.0,52760.0,,,,,,,,,,52108.0,,37000.0,,42360.0,,,,196629.0,,63292.0,,,,,,25916.0,342500.0,28700.0,,108125.0,109091.0,,,71310.0,,,,,,,,,95850.0,,392357.0,83333.0,,,,,,,40000.0,,19250.0,,,,,,71399.0,44828.0,,,,,58253.0,60000.0,100000.0,74074.0,27778.0,,60373.0,,
1964,,,,110000.0,52111.0,45985.0,41667.0,137457.0,,,,,,,,,,68644.0,,41000.0,,30160.0,,,,202312.0,,80381.0,,,,,,25890.0,543600.0,32520.0,,152688.0,100000.0,,,80968.0,,,,,,,,,126200.0,,434538.0,83333.0,,,,,,,40909.0,,25750.0,,,,,,82254.0,44828.0,,,,,64378.0,60000.0,100000.0,74074.0,27778.0,,44449.0,,
1965,,,,125000.0,64150.0,51872.0,45577.0,136832.0,,,,,,,,,,60019.0,,44000.0,,37800.0,,,,188235.0,,85136.0,,,,,,25941.0,544800.0,28738.0,,150000.0,108333.0,,,78646.0,53733.0,,,,,,,,134750.0,,424786.0,80000.0,,,,,,,40909.0,,25000.0,,,,,,61139.0,44828.0,,,,,55966.0,60000.0,100000.0,74074.0,27778.0,,59435.0,,
1966,,,,150000.0,63129.0,48271.0,50179.0,162671.0,,,,,,,,,,66514.0,,42667.0,,35720.0,,,,139241.0,,85440.0,,,,,,25944.0,624000.0,30435.0,,158229.0,108333.0,,,93077.0,42959.0,,,,,,,,85717.0,,428571.0,80000.0,,,,,,,41273.0,,27500.0,,,,,,65750.0,44667.0,,,,,62752.0,60000.0,100000.0,74743.0,27778.0,,60530.0,,
1967,,,,190000.0,83362.0,60831.0,54590.0,153963.0,,,,,,,,,,64041.0,,51765.0,,34850.0,,,,257310.0,,99628.0,,,,,,25917.0,624000.0,29893.0,,175000.0,109375.0,,,89478.0,39892.0,,,,,,,,89500.0,,428214.0,80000.0,,,,,,,46354.0,,30000.0,,,,,,79278.0,43750.0,,,,,73468.0,60000.0,100000.0,68667.0,27120.0,,78237.0,,
1968,,,,117500.0,86337.0,64783.0,60000.0,164812.0,,,,,,,,,,63526.0,,60000.0,,39350.0,,,,130909.0,,105966.0,,,43333.0,,,25887.0,404000.0,26491.0,,191164.0,109625.0,,,99655.0,35505.0,,,,,,,,82967.0,,382933.0,77778.0,,,,,,,44851.0,,33750.0,,,,,,94192.0,40000.0,,,,,71284.0,60000.0,108333.0,42836.0,70000.0,,48798.0,,
1969,,,,105000.0,69165.0,79907.0,65278.0,158446.0,,,,,,,,,,74765.0,,49412.0,,34120.0,,,,77778.0,,116969.0,,,,,,25881.0,676000.0,28700.0,,193942.0,109914.0,,,102720.0,25358.0,,,,,,,,89333.0,,409500.0,83333.0,,,,,,,41731.0,,32708.0,,,,,,95431.0,47087.0,,,,,83003.0,60000.0,127000.0,46350.0,87500.0,,48073.0,,
1970,,,,221429.0,78722.0,88314.0,66667.0,161217.0,,,,,,,,,,84768.0,,69389.0,,37560.0,,,,87464.0,,123407.0,,,,,,25905.0,700000.0,28378.0,,184677.0,108043.0,,,103906.0,40497.0,,,,,,,,92200.0,,80160.0,83333.0,,,,,,,45806.0,,27091.0,,,,,,110285.0,46190.0,,,,,71854.0,60000.0,89000.0,63392.0,122222.0,,46808.0,,
