,Australia & New Zealand,Jamaica,Puerto Rico,American Samoa,Singapore,Syrian Arab Republic,Israel,Norway,Philippines,Iraq,Madagascar,United Kingdom,The former Yugoslav Republic of Macedonia,Thailand,Belize,Indonesia,Ethiopia,Sudan (former),Guyana,Costa Rica,Italy,Morocco,Germany,Comoros,Tunisia,Albania,China,Burkina Faso,Paraguay,Niger,"China, Hong Kong SAR",Democratic People's Republic of Korea,Switzerland,South Sudan,Spain,Kyrgyzstan,Libya,Bahamas,Cyprus,"China, Taiwan Province of",Ecuador,Réunion,Japan,Republic of Moldova,Jordan,Belgium-Luxembourg,Angola,Ethiopia PDR,Sudan,Latvia,Azerbaijan,France,Republic of Korea,Nigeria,Hungary,Turkey,Portugal,Mexico,Venezuela (Bolivarian Republic of),Kazakhstan,Djibouti,Brunei Darussalam,Greece,Ukraine,"China, mainland",French Polynesia,Tajikistan,Algeria,United Arab Emirates,Côte d'Ivoire,Polynesia,New Zealand,Bulgaria,Netherlands,Occupied Palestinian Territory
1961,,1270.0,-1.0,-1.0,538.0,11757.0,3000.0,6216.0,10500.0,29445.0,,,,-1.0,-1.0,,,-1.0,-1.0,-1.0,400.0,5000.0,-1.0,-1.0,12000.0,-1.0,40314.0,4488.0,-1.0,4800.0,2238.0,11000.0,12000.0,,40280.0,,1200.0,-1.0,300.0,26076.0,80500.0,600.0,410000.0,,6450.0,,2000.0,8000.0,,,,13780.0,16652.0,71000.0,6000.0,25000.0,,-1.0,-1.0,,5.0,-1.0,11654.0,,12000.0,60.0,,,,3000.0,60.0,,22385.0,-1.0,-1.0
1962,13966.0,1588.0,-1.0,-1.0,386.0,10500.0,3000.0,5111.0,11000.0,34171.0,,,,-1.0,-1.0,,,-1.0,-1.0,-1.0,500.0,5200.0,-1.0,-1.0,8600.0,-1.0,43780.0,4578.0,-1.0,5000.0,2166.0,11000.0,13000.0,,39823.0,,1200.0,-1.0,300.0,26614.0,80000.0,600.0,501000.0,,8000.0,,2000.0,8500.0,,,,7520.0,21849.0,73000.0,6000.0,28000.0,,-1.0,-1.0,,5.0,-1.0,11890.0,,15000.0,61.0,,,,3200.0,61.0,13966.0,17083.0,-1.0,-1.0
1963,23340.0,1588.0,-1.0,-1.0,396.0,9500.0,3000.0,5647.0,11000.0,38262.0,,,,-1.0,-1.0,,,-1.0,-1.0,-1.0,700.0,5400.0,-1.0,-1.0,12300.0,-1.0,46853.0,4670.0,-1.0,4800.0,3480.0,11000.0,9000.0,,39927.0,,1200.0,-1.0,290.0,28373.0,83200.0,700.0,556800.0,,8392.0,,2000.0,8800.0,,,,7860.0,22174.0,74000.0,6122.0,28000.0,,-1.0,-1.0,,5.0,-1.0,13503.0,,15000.0,62.0,,,,3400.0,62.0,23340.0,17127.0,-1.0,-1.0
1964,33700.0,1588.0,-1.0,-1.0,366.0,7657.0,3000.0,6015.0,11300.0,38268.0,,,,-1.0,-1.0,,,-1.0,-1.0,-1.0,600.0,5400.0,-1.0,-1.0,15200.0,-1.0,45979.0,4763.0,-1.0,5000.0,2978.0,12000.0,8500.0,,45314.0,,1200.0,-1.0,310.0,28001.0,168882.0,700.0,537100.0,,7572.0,,2000.0,8900.0,,,,7590.0,33558.0,76000.0,6323.0,28000.0,,-1.0,-1.0,,5.0,-1.0,16807.0,,15000.0,63.0,,,,3600.0,63.0,33700.0,21110.0,-1.0,-1.0
1965,21420.0,2642.0,-1.0,-1.0,203.0,9402.0,4658.0,6583.0,11500.0,59026.0,,,,-1.0,-1.0,,,-1.0,-1.0,-1.0,700.0,5800.0,-1.0,-1.0,18800.0,-1.0,48506.0,4858.0,-1.0,5786.0,2923.0,15000.0,8000.0,,40058.0,,1200.0,-1.0,340.0,30583.0,115634.0,700.0,568300.0,,7707.0,,2000.0,9000.0,,,,11000.0,35402.0,78000.0,6764.0,28000.0,,-1.0,-1.0,,5.0,-1.0,16294.0,,15000.0,64.0,,,,3700.0,64.0,21420.0,23214.0,-1.0,-1.0
1966,20356.0,1361.0,-1.0,-1.0,203.0,10083.0,4100.0,4458.0,11500.0,59673.0,,,,-1.0,-1.0,,,-1.0,-1.0,-1.0,800.0,6000.0,-1.0,-1.0,25800.0,-1.0,50770.0,3000.0,-1.0,5372.0,4000.0,18000.0,9800.0,,28900.0,,1200.0,-1.0,390.0,30770.0,111475.0,1000.0,593300.0,,8900.0,,3000.0,9500.0,,,,8980.0,47658.0,80000.0,6634.0,25000.0,,-1.0,-1.0,,2.0,-1.0,18739.0,,16000.0,65.0,,,,4000.0,65.0,20356.0,21772.0,-1.0,-1.0
1967,24716.0,441.0,-1.0,-1.0,203.0,9552.0,4200.0,4844.0,11800.0,64530.0,,,,-1.0,-1.0,,,-1.0,-1.0,-1.0,500.0,7000.0,-1.0,-1.0,31000.0,-1.0,54502.0,3300.0,-1.0,4879.0,5000.0,20000.0,6600.0,,29643.0,,1200.0,-1.0,360.0,31502.0,97491.0,1000.0,603600.0,,4150.0,,3000.0,10000.0,,,,6880.0,41747.0,82000.0,6831.0,45000.0,,-1.0,-1.0,,2.0,-1.0,17686.0,,18000.0,66.0,,,40.0,4200.0,66.0,24716.0,20012.0,-1.0,-1.0
1968,25792.0,606.0,-1.0,-1.0,203.0,9933.0,4050.0,6424.0,12000.0,60265.0,,,,-1.0,-1.0,,,-1.0,-1.0,-1.0,500.0,7000.0,-1.0,-1.0,28700.0,-1.0,63081.0,3800.0,-1.0,4229.0,4000.0,25000.0,9600.0,,28444.0,,1500.0,-1.0,350.0,40081.0,70963.0,1000.0,638500.0,,410.0,,3000.0,10500.0,,,,7580.0,41038.0,83000.0,6494.0,62939.0,,-1.0,-1.0,,2.0,-1.0,19602.0,,19000.0,67.0,,,100.0,4500.0,67.0,25792.0,18624.0,-1.0,-1.0
1969,36365.0,625.0,-1.0,-1.0,150.0,10415.0,4250.0,5226.0,12000.0,55191.0,,,,-1.0,-1.0,,,-1.0,-1.0,-1.0,500.0,8000.0,-1.0,-1.0,29100.0,-1.0,67318.0,3800.0,-1.0,3749.0,4000.0,24000.0,9600.0,,27731.0,,1500.0,-1.0,640.0,44318.0,95963.0,1000.0,618200.0,,950.0,,4000.0,11000.0,,,,7890.0,57715.0,83000.0,7823.0,106484.0,,-1.0,-1.0,,3.0,-1.0,21794.0,,19000.0,68.0,,,150.0,4700.0,68.0,36365.0,16526.0,-1.0,-1.0
1970,31964.0,760.0,-1.0,-1.0,100.0,13786.0,3900.0,5549.0,12300.0,63233.0,,,,-1.0,-1.0,,,-1.0,-1.0,-1.0,800.0,8000.0,-1.0,-1.0,32600.0,-1.0,73286.0,3800.0,-1.0,2008.0,6000.0,30000.0,11000.0,,21700.0,,2000.0,-1.0,350.0,47286.0,94880.0,1000.0,613900.0,,1300.0,880.0,4000.0,10000.0,,,,7370.0,70067.0,88000.0,6482.0,68000.0,,-1.0,-1.0,,3.0,-1.0,24270.0,,20000.0,69.0,,,150.0,5000.0,69.0,31964.0,17371.0,-1.0,-1.0
