,Austria,Slovakia,USSR,Poland,Turkey,Belarus,Denmark,The former Yugoslav Republic of Macedonia,Georgia,Greece,Czechoslovakia,Czechia,Republic of Moldova,Italy,Croatia,Hungary,Germany,Russian Federation,Portugal,Bolivia (Plurinational State of),Yugoslav SFR,Iran (Islamic Republic of),Albania,Kazakhstan,United States of America,Serbia and Montenegro,Armenia,Serbia,Slovenia,Uzbekistan,Chile,Canada,Peru,Spain,Bosnia and Herzegovina,Bulgaria,Ukraine,Azerbaijan
1985,675.0,,55000.0,39000.0,11283.0,,-1.0,,,2445.0,3500.0,,,-1.0,,16300.0,21110.0,,545.0,-1.0,34000.0,1700.0,3000.0,,18500.0,,,,,,,820.0,-1.0,-1.0,,3900.0,,
1986,700.0,,48000.0,24000.0,11167.0,,-1.0,,,2435.0,3840.0,,,-1.0,,16200.0,19255.0,,531.0,-1.0,34000.0,1700.0,3000.0,,19500.0,,,,,,,850.0,-1.0,-1.0,,4000.0,,
1987,700.0,,60000.0,8600.0,11147.0,,-1.0,,,2140.0,4040.0,,,-1.0,,18400.0,19940.0,,517.0,-1.0,33700.0,1700.0,3000.0,,20270.0,,,,,,,960.0,-1.0,-1.0,,3800.0,,
1988,700.0,,57000.0,22400.0,11287.0,,-1.0,,,1800.0,4050.0,,,-1.0,,17500.0,19670.0,,500.0,-1.0,33100.0,1700.0,3000.0,,19950.0,,,,,,,940.0,-1.0,-1.0,,4400.0,,
1989,700.0,,54000.0,24200.0,11260.0,,-1.0,,,1505.0,4080.0,,,-1.0,,18700.0,19045.0,,480.0,-1.0,33500.0,2882.0,3000.0,,19950.0,,,,,,,963.0,-1.0,-1.0,,4600.0,,
1990,1000.0,,57000.0,23200.0,11237.0,,-1.0,,,1025.0,4060.0,,,-1.0,,16700.0,18440.0,,471.0,330.0,32000.0,3064.0,2194.0,,19750.0,,,,,,0.0,923.0,-1.0,-1.0,,4300.0,,
1991,1000.0,,56000.0,25300.0,11267.0,,-1.0,,,1125.0,4050.0,,,-1.0,,15000.0,20490.0,,480.0,335.0,30800.0,3131.0,1880.0,,19470.0,,,,,,246.0,926.0,-1.0,-1.0,,4144.0,,
1992,1000.0,,,29400.0,11467.0,10000.0,-1.0,1313.0,-1.0,895.0,4060.0,,1000.0,-1.0,2270.0,15000.0,5011.0,49000.0,495.0,340.0,,4183.0,1575.0,-1.0,19620.0,21800.0,-1.0,,130.0,1000.0,237.0,915.0,-1.0,-1.0,1120.0,4253.0,35000.0,-1.0
1993,1000.0,810.0,,31500.0,11600.0,11000.0,-1.0,1264.0,-1.0,880.0,,2950.0,2000.0,1300.0,2160.0,17600.0,14680.0,50000.0,504.0,341.0,,5125.0,2102.0,-1.0,19700.0,22000.0,-1.0,,130.0,992.0,229.0,917.0,-1.0,66.0,1000.0,4100.0,29200.0,-1.0
1994,1000.0,790.0,,32000.0,11800.0,10000.0,-1.0,1164.0,-1.0,870.0,,2800.0,1750.0,1400.0,2200.0,16700.0,14470.0,60000.0,500.0,337.0,,5200.0,2136.0,-1.0,19090.0,21800.0,-1.0,,150.0,987.0,220.0,933.0,-1.0,250.0,785.0,3204.0,23000.0,-1.0
1995,1000.0,765.0,,34800.0,12033.0,10000.0,-1.0,1280.0,-1.0,860.0,,2700.0,1500.0,1249.0,1900.0,15000.0,5011.0,56000.0,400.0,335.0,,5500.0,1866.0,-1.0,18080.0,21000.0,-1.0,,82.0,1016.0,211.0,902.0,-1.0,253.0,800.0,2673.0,23700.0,-1.0
1996,1000.0,750.0,,38000.0,12333.0,9600.0,-1.0,1300.0,-1.0,640.0,,2600.0,2100.0,1500.0,2080.0,13800.0,5011.0,56000.0,395.0,330.0,,6797.0,1918.0,-1.0,17220.0,26379.0,-1.0,,78.0,932.0,203.0,930.0,-1.0,281.0,474.0,2500.0,28000.0,-1.0
1997,1000.0,541.0,,33706.0,12300.0,10000.0,2505.0,1095.0,-1.0,417.0,,1957.0,4564.0,1300.0,2020.0,12900.0,4486.0,55500.0,400.0,325.0,,7672.0,1952.0,-1.0,16320.0,21200.0,-1.0,,86.0,1016.0,194.0,875.0,-1.0,270.0,720.0,2709.0,25000.0,-1.0
1998,1000.0,917.0,,38296.0,12604.0,7300.0,2490.0,1190.0,-1.0,318.0,,2650.0,4481.0,1400.0,2100.0,17400.0,4486.0,56500.0,436.0,330.0,,7833.0,1972.0,-1.0,16317.0,21506.0,-1.0,,86.0,1000.0,186.0,904.0,-1.0,292.0,650.0,3518.0,15000.0,2200.0
1999,1000.0,700.0,,38930.0,13187.0,6500.0,2626.0,1497.0,-1.0,300.0,,2701.0,4000.0,1560.0,2200.0,8400.0,5000.0,57000.0,436.0,335.0,,7916.0,1810.0,-1.0,16148.0,21200.0,-1.0,,86.0,1000.0,177.0,909.0,-1.0,309.0,570.0,2500.0,12000.0,2100.0
2000,1000.0,600.0,,39316.0,13853.0,6300.0,2639.0,1000.0,-1.0,350.0,,3100.0,3889.0,1500.0,2229.0,10100.0,4486.0,58000.0,436.0,340.0,,7872.0,1782.0,20.0,16139.0,18926.0,-1.0,,72.0,1000.0,169.0,915.0,-1.0,329.0,480.0,4579.0,22100.0,2100.0
2001,1000.0,550.0,,39966.0,14652.0,6500.0,2569.0,878.0,-1.0,360.0,,1900.0,3826.0,1500.0,2454.0,17500.0,4486.0,59000.0,437.0,335.0,,8728.0,2214.0,22.0,15839.0,21676.0,-1.0,,72.0,1200.0,160.0,885.0,-1.0,367.0,493.0,3409.0,22200.0,2200.0
2002,1000.0,500.0,,39002.0,15485.0,6500.0,2558.0,1100.0,-1.0,200.0,,2580.0,3770.0,1680.0,1992.0,10603.0,3880.0,62000.0,438.0,330.0,,8800.0,2744.0,22.0,15257.0,17746.0,-1.0,,58.0,2000.0,151.0,813.0,-1.0,389.0,450.0,3173.0,21500.0,2300.0
2003,1000.0,500.0,,37776.0,16317.0,4400.0,1522.0,887.0,-1.0,200.0,,2720.0,3083.0,1670.0,2145.0,15930.0,4197.0,62000.0,439.0,323.0,,9000.0,3115.0,22.0,14961.0,34000.0,-1.0,,58.0,1800.0,142.0,882.0,154.0,419.0,1200.0,3221.0,20900.0,2404.0
2004,1000.0,450.0,,39095.0,16666.0,5600.0,1655.0,1400.0,-1.0,214.0,,2970.0,3041.0,1650.0,1600.0,15936.0,4231.0,60000.0,439.0,327.0,,10836.0,2400.0,40.0,14953.0,50000.0,-1.0,,58.0,2000.0,137.0,985.0,153.0,400.0,1300.0,2527.0,20800.0,2424.0
