,Indonesia,Thailand
1961,72675.0,89789.0
1962,69687.0,83000.0
1963,58705.0,113428.0
1964,65408.0,115453.0
1965,72029.0,116449.0
1966,73725.0,112424.0
1967,72352.0,110166.0
1968,53214.0,111428.0
1969,65408.0,109660.0
1970,74129.0,109162.0
1971,70172.0,125496.0
1972,76713.0,108896.0
1973,71545.0,131289.0
1974,70414.0,128526.0
1975,69122.0,121222.0
1976,77924.0,112930.0
1977,77116.0,105891.0
1978,86645.0,76211.0
1979,79539.0,67911.0
1980,99323.0,85013.0
1981,122336.0,98604.0
1982,123548.0,86279.0
1983,125405.0,101360.0
1984,122740.0,103128.0
1985,126939.0,109411.0
1986,147450.0,99849.0
1987,130492.0,100596.0
1988,140990.0,95077.0
1989,139213.0,96002.0
1990,155040.0,101634.0
1991,155686.0,93292.0
1992,169010.0,93566.0
1993,166426.0,99849.0
1994,163923.0,102870.0
1995,180396.0,108149.0
1996,188874.0,116706.0
1997,194285.0,113685.0
1998,198241.0,105634.0
1999,198241.0,109411.0
2000,227877.0,114689.0
2001,229031.0,113181.0
2002,216157.0,115702.0
2003,243017.0,113129.0
2004,168202.0,113129.0
2005,155807.0,106738.0
2006,168380.0,95367.0
2007,143305.0,87980.0
2008,142750.0,87980.0
2009,146158.0,87980.0
2010,132107.0,87980.0
2011,183303.0,87980.0
2012,183303.0,87980.0
2013,178458.0,87980.0
2014,180000.0,89000.0
