,USSR,Eritrea,Australia & New Zealand,Australia,Pakistan,Ethiopia,Kenya,South Africa,Zambia,Botswana,Mozambique,Niger,Democratic People's Republic of Korea,Slovenia,Chad,South Sudan,Spain,Central African Republic,India,Sri Lanka,Republic of Moldova,Argentina,Turkey,Angola,Ethiopia PDR,Saudi Arabia,Togo,Greece,Yemen,France,Republic of Korea,Democratic Republic of the Congo,Nigeria,Mali,Hungary,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,Gambia,Ghana,"China, mainland",The former Yugoslav Republic of Macedonia,Guinea-Bissau,Rwanda,Portugal,Slovakia,Bhutan,Iraq,Czechia,United Republic of Tanzania,Burundi,Nepal,Libya,Bangladesh,Senegal,Uganda,Benin,Uzbekistan,China,Burkina Faso,Serbia and Montenegro,Sudan (former),Morocco,Czechoslovakia,Sierra Leone,Zimbabwe,Syrian Arab Republic,Malawi,"China, Taiwan Province of",Japan,Maldives,Afghanistan,Namibia,Sudan,Viet Nam,Mauritania,Russian Federation,Cameroon,Austria,Romania,Poland,Mexico,Guinea,Tajikistan,Côte d'Ivoire,Croatia,Bulgaria,Myanmar,Ukraine
1961,128970.0,,218.0,218.0,10212.0,,1500.0,400.0,1740.0,5.0,380.0,27600.0,2400.0,,8580.0,,109.0,680.0,232000.0,420.0,,3675.0,1470.0,870.0,5800.0,1875.0,2200.0,91.0,1012.0,323.0,1724.0,520.0,71072.0,22200.0,195.0,1293.0,1020.0,,1311.0,1000.0,225750.0,,180.0,78.0,301.0,,53.0,113.0,,2475.0,86.0,1440.0,51.0,1230.0,23049.0,13250.0,284.0,,225835.0,8955.0,,3500.0,288.0,162.0,220.0,6750.0,1374.0,0.0,85.0,360.0,5.0,735.0,1200.0,,0.0,624.0,,4440.0,11.0,0.0,725.0,0.0,875.0,,720.0,,68.0,3580.0,
1962,118950.0,,214.0,214.0,8892.0,,1500.0,400.0,1770.0,5.0,380.0,28305.0,2600.0,,8370.0,,248.0,680.0,256000.0,350.0,,3215.0,1470.0,870.0,5800.0,1900.0,2683.0,113.0,1002.0,466.0,1699.0,520.0,65952.0,24180.0,410.0,1372.0,1020.0,,981.0,1012.0,262500.0,,180.0,48.0,305.0,,55.0,123.0,,2670.0,87.0,1380.0,51.0,1036.0,25260.0,13200.0,310.0,,262578.0,12351.0,,4500.0,173.0,179.0,221.0,6300.0,1159.0,0.0,78.0,299.0,6.0,765.0,1200.0,,0.0,638.0,,4560.0,15.0,0.0,675.0,0.0,875.0,,720.0,,126.0,3615.0,
1963,106470.0,,178.0,178.0,10932.0,,1500.0,400.0,1800.0,5.0,380.0,26655.0,2400.0,,8025.0,,97.0,720.0,266000.0,480.0,,3746.0,1230.0,900.0,5860.0,1950.0,2464.0,66.0,1214.0,579.0,1693.0,540.0,64352.0,16620.0,185.0,1189.0,1020.0,,990.0,1035.0,248500.0,,180.0,31.0,309.0,,56.0,138.0,,2550.0,88.0,1380.0,51.0,978.0,26946.0,13225.0,279.0,,248578.0,12098.0,,4500.0,200.0,75.0,219.0,6300.0,996.0,0.0,78.0,257.0,7.0,795.0,1320.0,,0.0,638.0,,4560.0,16.0,0.0,550.0,0.0,875.0,,720.0,,101.0,3361.0,
1964,97590.0,,141.0,141.0,10080.0,,1500.0,400.0,1815.0,49.0,380.0,27150.0,2000.0,,8040.0,,59.0,560.0,265000.0,380.0,,3101.0,1350.0,820.0,5864.0,2000.0,3157.0,44.0,1113.0,339.0,1529.0,414.0,74048.0,16110.0,480.0,1143.0,1020.0,,990.0,1194.0,229600.0,,180.0,56.0,312.0,,58.0,157.0,,2550.0,85.0,2000.0,51.0,1060.0,28500.0,14193.0,242.0,,229678.0,12000.0,,4500.0,346.0,100.0,225.0,5850.0,914.0,0.0,78.0,204.0,8.0,825.0,1600.0,,0.0,780.0,,4440.0,30.0,0.0,625.0,0.0,875.0,,720.0,,75.0,3360.0,
1965,97560.0,,164.0,164.0,10044.0,,1480.0,400.0,1860.0,18.0,380.0,26145.0,2200.0,,6930.0,,53.0,480.0,288000.0,420.0,,3468.0,1350.0,870.0,5926.0,2025.0,4334.0,50.0,1518.0,222.0,1177.0,463.0,65024.0,17910.0,600.0,702.0,660.0,,990.0,1347.0,245000.0,,240.0,45.0,303.0,,60.0,162.0,,3000.0,88.0,2000.0,51.0,1044.0,25470.0,14328.0,254.0,,245086.0,12000.0,,3500.0,112.0,59.0,204.0,5550.0,556.0,0.0,86.0,173.0,9.0,855.0,1800.0,,0.0,650.0,,4640.0,61.0,0.0,550.0,0.0,875.0,,720.0,,51.0,3354.0,
1966,114060.0,,169.0,169.0,10968.0,,1500.0,400.0,1860.0,240.0,380.0,27978.0,2200.0,,7050.0,,51.0,560.0,230000.0,340.0,,3978.0,1260.0,900.0,5956.0,2075.0,3416.0,99.0,1000.0,210.0,1042.0,300.0,70144.0,18450.0,310.0,621.0,720.0,,990.0,1560.0,245000.0,,240.0,30.0,364.0,,62.0,191.0,,3000.0,90.0,2042.0,51.0,1052.0,30432.0,15340.0,273.0,,245088.0,10500.0,,3500.0,132.0,65.0,195.0,5400.0,776.0,0.0,88.0,135.0,6.0,885.0,2000.0,,0.0,650.0,,4160.0,58.0,0.0,525.0,0.0,875.0,,876.0,,40.0,3723.0,
1967,91500.0,,135.0,135.0,8832.0,,1480.0,440.0,1875.0,181.0,380.0,28428.0,2000.0,,7125.0,,35.0,480.0,273000.0,370.0,,4317.0,1200.0,910.0,5986.0,3079.0,2156.0,42.0,1050.0,111.0,1412.0,320.0,71664.0,17910.0,300.0,594.0,1080.0,,1038.0,1400.0,238000.0,,220.0,27.0,406.0,,64.0,135.0,,3000.0,90.0,2176.0,51.0,1648.0,27753.0,17250.0,279.0,,238074.0,9185.0,,5120.0,120.0,39.0,180.0,5700.0,822.0,0.0,74.0,106.0,4.0,885.0,2100.0,,0.0,650.0,,4000.0,50.0,0.0,475.0,0.0,875.0,,864.0,,39.0,3667.0,
1968,101280.0,,185.0,185.0,7572.0,,1500.0,440.0,1905.0,156.0,380.0,34079.0,1900.0,,6420.0,,30.0,440.0,321000.0,350.0,,4284.0,1179.0,910.0,6016.0,2348.0,1760.0,37.0,1008.0,67.0,921.0,340.0,78496.0,19170.0,500.0,581.0,960.0,,1038.0,1750.0,241500.0,,220.0,41.0,406.0,,64.0,35.0,,3150.0,90.0,2238.0,51.0,1628.0,27321.0,18250.0,265.0,,241572.0,13010.0,,5071.0,154.0,39.0,174.0,5550.0,491.0,0.0,72.0,79.0,2.0,945.0,2200.0,,0.0,728.0,,5120.0,20.0,0.0,575.0,0.0,875.0,,779.0,,40.0,3667.0,
1969,80730.0,,250.0,250.0,9000.0,,1500.0,440.0,1875.0,271.0,380.0,34647.0,1900.0,,6210.0,,30.0,480.0,249000.0,270.0,,3641.0,1140.0,930.0,6046.0,2750.0,2321.0,66.0,911.0,150.0,686.0,618.0,79472.0,16260.0,300.0,567.0,900.0,,1038.0,2489.0,241850.0,,220.0,45.0,280.0,,65.0,66.0,,3180.0,100.0,2296.0,51.0,1596.0,25692.0,14550.0,239.0,,241921.0,12752.0,,5321.0,140.0,40.0,171.0,5850.0,516.0,0.0,71.0,57.0,5.0,990.0,2200.0,,0.0,650.0,,4600.0,20.0,0.0,550.0,0.0,875.0,,792.0,,48.0,3472.0,
1970,71910.0,,320.0,320.0,9108.0,,1520.0,440.0,1956.0,437.0,380.0,35337.0,1800.0,,6735.0,,10.0,480.0,327000.0,250.0,,3465.0,1230.0,930.0,6076.0,3125.0,2178.0,48.0,1000.0,135.0,515.0,640.0,76624.0,15750.0,400.0,486.0,840.0,,1038.0,2299.0,245000.0,,200.0,63.0,406.0,,66.0,132.0,,3150.0,102.0,2295.0,6.0,1333.0,25671.0,17900.0,237.0,,245073.0,12175.0,,6060.0,149.0,20.0,174.0,5700.0,505.0,0.0,73.0,57.0,2.0,1050.0,2400.0,,0.0,676.0,,5040.0,21.0,0.0,450.0,0.0,875.0,,696.0,,27.0,3197.0,
1971,81720.0,,156.0,156.0,7341.0,,1540.0,440.0,4425.0,150.0,380.0,32918.0,1800.0,,6465.0,,8.0,520.0,458000.0,250.0,,3258.0,1140.0,930.0,6136.0,376.0,1793.0,78.0,1113.0,120.0,429.0,658.0,59040.0,16110.0,300.0,392.0,900.0,,1038.0,1756.0,227500.0,,220.0,63.0,406.0,,66.0,108.0,,3000.0,90.0,2416.0,24.0,1360.0,24666.0,12425.0,255.0,,227571.0,10671.0,,7375.0,136.0,10.0,177.0,5550.0,676.0,0.0,71.0,29.0,1.0,1080.0,2400.0,,0.0,520.0,,4520.0,17.0,0.0,375.0,0.0,875.0,,696.0,,22.0,3618.0,
1972,85500.0,,177.0,177.0,8799.0,,1540.0,440.0,2610.0,150.0,380.0,30116.0,1600.0,,5805.0,,13.0,560.0,320000.0,250.0,,4154.0,1137.0,930.0,4000.0,436.0,2222.0,36.0,1123.0,120.0,443.0,664.0,90416.0,17910.0,200.0,324.0,780.0,,1038.0,1922.0,210000.0,,240.0,64.0,406.0,,67.0,58.0,,3000.0,95.0,2504.0,31.0,1336.0,28800.0,15900.0,620.0,,210058.0,10796.0,,9038.0,94.0,15.0,177.0,5700.0,432.0,0.0,58.0,29.0,16.0,1110.0,2500.0,,0.0,338.0,,4760.0,23.0,0.0,340.0,0.0,875.0,,696.0,,31.0,3480.0,
1973,89100.0,,258.0,258.0,6541.0,,1558.0,440.0,1500.0,150.0,380.0,33450.0,1600.0,,5940.0,,15.0,600.0,432000.0,350.0,,4073.0,900.0,930.0,4040.0,893.0,1529.0,36.0,1153.0,120.0,389.0,678.0,76592.0,19710.0,300.0,270.0,300.0,,672.0,2222.0,210000.0,,240.0,48.0,0.0,,68.0,32.0,,2700.0,90.0,2502.0,60.0,1374.0,30393.0,12750.0,635.0,,210057.0,12750.0,,9747.0,86.0,15.0,180.0,5250.0,527.0,0.0,57.0,29.0,16.0,1140.0,2500.0,,0.0,416.0,,4160.0,22.0,0.0,325.0,0.0,875.0,,696.0,,30.0,3327.0,
