,Ukraine,Germany,Peru,"China, Taiwan Province of",Morocco,Switzerland,Mexico,USSR,Romania,Italy,China,Denmark,Canada,Japan,Latvia,Portugal,Uzbekistan,Sweden,Hungary,Spain,New Zealand,Bulgaria,Australia & New Zealand,United States of America,Australia,France,Lithuania,Slovenia,Poland,Netherlands,Russian Federation,Kyrgyzstan,Norway
1961,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,525.0,-1,-1.0,8194.0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,1372.0,-1,10000.0,-1.0,-1,15000.0,-1.0,-1.0,-1,-1.0
1962,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,435.0,-1,-1.0,8266.0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,1347.0,-1,10000.0,-1.0,-1,10000.0,-1.0,-1.0,-1,-1.0
1963,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,449.0,-1,-1.0,10865.0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,1937.0,-1,13000.0,-1.0,-1,10000.0,-1.0,-1.0,-1,-1.0
1964,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,387.0,-1,-1.0,9463.0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,1520.0,-1,13000.0,-1.0,-1,14000.0,-1.0,-1.0,-1,-1.0
1965,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,500.0,-1,-1.0,8230.0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,1686.0,-1,13000.0,-1.0,-1,10000.0,-1.0,-1.0,-1,-1.0
1966,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,453.0,-1,-1.0,17014.0,-1,-1.0,-1.0,-1.0,1200.0,-1,-1.0,-1.0,-1.0,-1.0,1700.0,-1,15000.0,-1.0,-1,13000.0,-1.0,-1.0,-1,-1.0
1967,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,364.0,-1,-1.0,14120.0,-1,-1.0,-1.0,-1.0,1220.0,-1,-1.0,-1.0,-1.0,-1.0,1700.0,-1,15000.0,-1.0,-1,9000.0,-1.0,-1.0,-1,-1.0
1968,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,301.0,-1,-1.0,7159.0,-1,-1.0,-1.0,-1.0,1220.0,-1,-1.0,-1.0,-1.0,-1.0,1700.0,-1,15000.0,-1.0,-1,10000.0,-1.0,-1.0,-1,-1.0
1969,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,246.0,-1,-1.0,13018.0,-1,-1.0,-1.0,-1.0,1250.0,-1,-1.0,-1.0,-1.0,-1.0,31814.0,-1,10000.0,-1.0,-1,6000.0,-1.0,-1.0,-1,-1.0
1970,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,430.0,-1,-1.0,12959.0,-1,-1.0,-1.0,-1.0,1300.0,-1,-1.0,-1.0,-1.0,-1.0,30060.0,-1,10000.0,-1.0,-1,6000.0,-1.0,-1.0,-1,-1.0
1971,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,396.0,-1,-1.0,10192.0,-1,-1.0,-1.0,-1.0,1300.0,-1,-1.0,-1.0,-1.0,-1.0,39627.0,-1,10000.0,-1.0,-1,0.0,-1.0,-1.0,-1,-1.0
1972,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,420.0,-1,-1.0,11894.0,-1,-1.0,-1.0,-1.0,2400.0,-1,-1.0,1.0,-1.0,1.0,30744.0,-1,10000.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0
1973,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,493.0,-1,-1.0,16335.0,-1,-1.0,-1.0,-1.0,2200.0,-1,-1.0,3.0,-1.0,3.0,44969.0,-1,12000.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0
1974,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,378.0,-1,-1.0,8843.0,-1,-1.0,-1.0,-1.0,2500.0,-1,-1.0,8.0,-1.0,8.0,40435.0,-1,10000.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0
1975,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,299.0,-1,-1.0,14389.0,-1,-1.0,-1.0,-1.0,2400.0,-1,-1.0,1.0,-1.0,1.0,35116.0,-1,10000.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0
1976,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,340.0,-1,-1.0,11311.0,-1,-1.0,-1.0,-1.0,2500.0,-1,-1.0,4.0,-1.0,4.0,40670.0,-1,10000.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0
1977,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,421.0,-1,-1.0,15861.0,-1,-1.0,-1.0,-1.0,3200.0,-1,-1.0,5.0,-1.0,5.0,27326.0,-1,10000.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0
1978,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,327.0,-1,-1.0,14564.0,-1,-1.0,-1.0,-1.0,3200.0,-1,-1.0,7.0,-1.0,7.0,37324.0,-1,10000.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0
1979,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,467.0,-1,-1.0,15606.0,-1,-1.0,-1.0,-1.0,3300.0,-1,-1.0,18.0,-1.0,18.0,41896.0,-1,10000.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0
1980,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,523.0,-1,-1.0,13647.0,-1,-1.0,-1.0,-1.0,3200.0,-1,-1.0,18.0,-1.0,18.0,46381.0,-1,10000.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0
1981,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,1075.0,-1,-1.0,18033.0,-1,-1.0,-1.0,-1.0,3100.0,-1,-1.0,33.0,-1.0,33.0,53069.0,-1,10000.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0
1982,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,1450.0,-1,-1.0,23235.0,-1,-1.0,-1.0,-1.0,3000.0,-1,-1.0,50.0,-1.0,50.0,55200.0,-1,10000.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0
1983,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,1443.0,-1,-1.0,22545.0,-1,-1.0,-1.0,-1.0,3000.0,-1,-1.0,100.0,-1.0,100.0,60962.0,-1,10000.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0
1984,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,544.0,-1,-1.0,17056.0,-1,-1.0,-1.0,-1.0,3000.0,-1,-1.0,150.0,-1.0,150.0,54456.0,-1,10000.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0
1985,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,456.0,-1,-1.0,22431.0,-1,-1.0,-1.0,-1.0,2700.0,-1,-1.0,350.0,-1.0,350.0,67289.0,-1,10000.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0
1986,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,627.0,-1,-1.0,16630.0,-1,-1.0,-1.0,-1.0,2550.0,-1,-1.0,550.0,-1.0,550.0,68758.0,-1,10000.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0
1987,-1.0,-1.0,-1.0,-1,10.0,-1.0,-1.0,-1.0,-1.0,1202.0,-1,-1.0,29783.0,-1,-1.0,-1.0,-1.0,2400.0,-1,-1.0,700.0,-1.0,700.0,66854.0,-1,10000.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0
1988,-1.0,-1.0,-1.0,-1,20.0,-1.0,-1.0,-1.0,-1.0,516.0,-1,-1.0,31832.0,-1,-1.0,-1.0,-1.0,2350.0,-1,-1.0,850.0,-1.0,850.0,69148.0,-1,10000.0,-1.0,-1,-1.0,300.0,-1.0,-1,-1.0
1989,-1.0,-1.0,-1.0,-1,30.0,-1.0,-1.0,1000.0,-1.0,700.0,-1,-1.0,27525.0,-1,-1.0,-1.0,-1.0,2350.0,-1,-1.0,941.0,-1.0,941.0,70047.0,-1,10000.0,-1.0,-1,-1.0,300.0,-1.0,-1,-1.0
1990,-1.0,-1.0,-1.0,-1,40.0,-1.0,-1.0,1000.0,-1.0,663.0,-1,-1.0,36114.0,-1,-1.0,-1.0,-1.0,2360.0,-1,-1.0,1230.0,-1.0,1230.0,79940.0,-1,10000.0,-1.0,-1,1700.0,2500.0,-1.0,-1,-1.0
1991,-1.0,-1.0,-1.0,-1,50.0,-1.0,-1.0,1000.0,-1.0,853.0,-1,-1.0,35860.0,-1,-1.0,-1.0,-1.0,2300.0,-1,-1.0,1200.0,-1.0,1200.0,69880.0,-1,10000.0,-1.0,-1,3500.0,2400.0,-1.0,-1,-1.0
1992,-1.0,-1.0,-1.0,-1,45.0,-1.0,-1.0,-1.0,500.0,800.0,-1,-1.0,38960.0,-1,-1.0,-1.0,500.0,2320.0,-1,-1.0,1200.0,-1.0,1200.0,51300.0,-1,10000.0,2000.0,-1,5700.0,3400.0,-1.0,-1,-1.0
1993,-1.0,-1.0,-1.0,-1,45.0,-1.0,100.0,-1.0,500.0,900.0,-1,-1.0,39670.0,-1,-1.0,-1.0,500.0,2300.0,-1,-1.0,1328.0,-1.0,1328.0,77230.0,-1,10000.0,1900.0,-1,7700.0,3300.0,-1.0,-1,-1.0
1994,-1.0,-1.0,-1.0,-1,45.0,-1.0,1072.0,-1.0,500.0,800.0,-1,-1.0,40640.0,-1,-1.0,-1.0,500.0,2320.0,-1,-1.0,1500.0,-1.0,1500.0,63780.0,-1,11000.0,3400.0,-1,7600.0,3000.0,-1.0,-1,-1.0
1995,-1.0,-1.0,-1.0,-1,45.0,-1.0,963.0,-1.0,1300.0,925.0,-1,-1.0,42980.0,-1,-1.0,-1.0,500.0,2320.0,-1,100.0,1605.0,-1.0,1605.0,74000.0,-1,10000.0,5100.0,-1,11400.0,3600.0,-1.0,-1,-1.0
1996,-1.0,-1.0,-1.0,-1,45.0,-1.0,1100.0,-1.0,1900.0,1000.0,-1,-1.0,49090.0,-1,-1.0,-1.0,500.0,2340.0,-1,185.0,1200.0,-1.0,1200.0,58730.0,-1,13000.0,8500.0,-1,15000.0,3700.0,-1.0,-1,-1.0
1997,-1.0,-1.0,-1.0,-1,45.0,-1.0,565.0,-1.0,3000.0,1200.0,-1,-1.0,43500.0,-1,-1.0,-1.0,500.0,2330.0,-1,215.0,1000.0,-1.0,1000.0,77110.0,-1,14000.0,9900.0,-1,14500.0,3700.0,-1.0,-1,-1.0
1998,-1.0,-1.0,-1.0,-1,45.0,-1.0,390.0,-1.0,2500.0,1681.0,-1,-1.0,35118.0,-1,-1.0,-1.0,500.0,2300.0,-1,200.0,1213.0,-1.0,1213.0,69445.0,-1,14000.0,8200.0,-1,17100.0,3800.0,-1.0,-1,-1.0
1999,-1.0,-1.0,-1.0,-1,45.0,-1.0,460.0,-1.0,5000.0,1647.0,-1,-1.0,63794.0,-1,-1.0,-1.0,500.0,2320.0,-1,300.0,1100.0,-1.0,1100.0,110859.0,-1,15000.0,4800.0,-1,20500.0,3865.0,-1.0,-1,-1.0
2000,5500.0,-1.0,-1.0,-1,45.0,-1.0,285.0,-1.0,4000.0,1896.0,-1,-1.0,59035.0,-1,-1.0,-1.0,500.0,2330.0,-1,417.0,1500.0,-1.0,1500.0,134446.0,-1,15000.0,6500.0,-1,21500.0,3909.0,-1.0,-1,-1.0
2001,2800.0,-1.0,-1.0,-1,45.0,-1.0,380.0,-1.0,3000.0,1880.0,-1,-1.0,67708.0,-1,-1.0,-1.0,500.0,2350.0,-1,500.0,1648.0,-1.0,1648.0,121563.0,-1,16000.0,8200.0,-1,30000.0,3958.0,-1.0,-1,-1.0
2002,4500.0,-1.0,-1.0,-1,45.0,-1.0,320.0,-1.0,2500.0,1811.0,-1,-1.0,64861.0,-1,-1.0,-1.0,500.0,2370.0,-1,600.0,1744.0,-1.0,1744.0,115395.0,-1,16000.0,7900.0,-1,20900.0,4000.0,2000.0,-1,-1.0
2003,3500.0,-1.0,-1.0,-1,45.0,-1.0,295.0,-1.0,5000.0,1400.0,-1,-1.0,78608.0,-1,-1.0,-1.0,500.0,2300.0,-1,750.0,1852.0,-1.0,1852.0,122471.0,-1,16000.0,9177.0,-1,23000.0,3596.0,2500.0,-1,-1.0
2004,2500.0,-1.0,-1.0,-1,45.0,-1.0,280.0,-1.0,1400.0,1507.0,-1,-1.0,82310.0,-1,700.0,100.0,500.0,2330.0,-1,838.0,2000.0,-1.0,2000.0,124648.0,-1,16000.0,5476.0,-1,16500.0,3247.0,2800.0,-1,-1.0
2005,3000.0,7000.0,-1.0,-1,46.0,-1.0,260.0,-1.0,3500.0,1489.0,-1,-1.0,69410.0,-1,900.0,148.0,500.0,2250.0,-1,1000.0,2114.0,-1.0,2114.0,135534.0,-1,18000.0,7933.0,-1,5000.0,2872.0,2500.0,-1,-1.0
2006,1000.0,6088.0,-1.0,-1,45.0,-1.0,264.0,-1.0,2000.0,1500.0,-1,-1.0,82530.0,-1,800.0,200.0,500.0,2434.0,-1,1033.0,2257.0,100.0,2257.0,162658.0,-1,18000.0,6623.0,-1,4940.0,1766.0,2500.0,-1,54.0
2007,2000.0,5818.0,-1.0,-1,45.0,-1.0,123.0,-1.0,2000.0,1543.0,-1,-1.0,77400.0,-1,900.0,200.0,500.0,2500.0,-1,1127.0,2547.0,100.0,2547.0,165289.0,-1,19000.0,4392.0,-1,5226.0,1939.0,2600.0,-1,29.0
2008,3000.0,4116.0,-1.0,-1,50.0,-1.0,150.0,-1.0,2304.0,1627.0,-1,-1.0,95516.0,-1,200.0,220.0,600.0,2509.0,-1,1043.0,2250.0,100.0,2250.0,158303.0,-1,20000.0,4400.0,-1,7857.0,3123.0,2000.0,-1,24.0
2009,700.0,9940.0,-1.0,-1,54.0,156.0,1595.0,-1.0,2326.0,1608.0,-1,-1.0,102750.0,-1,300.0,250.0,700.0,2527.0,-1,1100.0,2700.0,100.0,2700.0,166831.0,-1,19890.0,1794.0,-1,11023.0,4200.0,2000.0,-1,44.0
2010,700.0,8305.0,30.0,-1,59.0,247.0,1059.0,-1.0,2277.0,1620.0,-1,47.0,83550.0,-1,600.0,247.0,800.0,2550.0,-1,1700.0,2630.0,100.0,2630.0,188926.0,-1,11001.0,1300.0,-1,9195.0,4555.0,1900.0,-1,58.0
2011,800.0,6608.0,320.0,-1,65.0,342.0,6704.0,-1.0,2229.0,1632.0,-1,54.0,105140.0,-1,1000.0,251.0,600.0,2600.0,-1,5000.0,2638.0,100.0,2638.0,196905.0,-1,9379.0,900.0,-1,8595.0,5277.0,2500.0,-1,14.0
2012,1200.0,8843.0,560.0,-1,68.0,331.0,7191.0,-1.0,1746.0,1643.0,-1,57.0,134240.0,-1,1000.0,255.0,700.0,3000.0,-1,5500.0,2600.0,100.0,2600.0,227900.0,-1,8161.0,800.0,-1,11251.0,6000.0,2400.0,-1,35.0
2013,1300.0,10277.0,1840.0,-1,68.0,308.0,10160.0,-1.0,2103.0,1655.0,-1,34.0,120160.0,-1,1110.0,254.0,600.0,2733.0,-1,5500.0,2794.0,100.0,2794.0,246573.0,-1,9011.0,600.0,-1,12731.0,5678.0,2500.0,-1,27.0
2014,700.0,12077.0,2000.0,-1,59.0,458.0,18031.0,-1.0,1968.0,1667.0,-1,35.0,182275.0,-1,1000.0,267.0,600.0,2675.0,-1,5000.0,3000.0,98.0,3000.0,262539.0,-1,9200.0,600.0,-1,12469.0,6400.0,2500.0,-1,3.0
