,USSR,Cambodia,France,Australia & New Zealand,Australia,Pakistan,Slovakia,Thailand,Ethiopia,Kenya,Nigeria,Yemen,Romania,Lao People's Democratic Republic,Zambia,Botswana,Peru,South Africa,Togo,Tunisia,Equatorial Guinea,Albania,Brazil,Chad,Mozambique,Niger,Democratic People's Republic of Korea,El Salvador,Canada,Colombia,Spain,Central African Republic,Tajikistan,India,Jamaica,Ecuador,Swaziland,Indonesia,Poland,Argentina,Turkey,Antigua and Barbuda,Belgium-Luxembourg,Angola,Ethiopia PDR,Egypt,The former Yugoslav Republic of Macedonia,Malaysia,Greece,Czechoslovakia,Haiti,Republic of Korea,Democratic Republic of the Congo,New Zealand,Sudan,Mali,"Saint Helena, Ascension and Tristan da Cunha",Hungary,Dominican Republic,Syrian Arab Republic,Mexico,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,Gambia,Ghana,"China, mainland",Paraguay,Cyprus,Guinea-Bissau,Rwanda,Lithuania,Cameroon,Netherlands,Guatemala,South Sudan,Saint Kitts and Nevis,Cuba,Austria,United States of America,Bhutan,Turkmenistan,Philippines,Iraq,Madagascar,United Republic of Tanzania,Burundi,Belgium,Nepal,Czechia,Costa Rica,Bangladesh,Italy,Senegal,Germany,Uganda,Comoros,Benin,Sweden,Estonia,Uzbekistan,China,Burkina Faso,Serbia and Montenegro,Armenia,Sudan (former),Morocco,Chile,Honduras,Uruguay,Afghanistan,Zimbabwe,Kyrgyzstan,Malawi,Algeria,"China, Taiwan Province of",Israel,Réunion,Japan,Belarus,Denmark,Somalia,Namibia,Saudi Arabia,Georgia,United Kingdom,Azerbaijan,Mauritius,Nicaragua,Viet Nam,Bosnia and Herzegovina,Russian Federation,Portugal,Bolivia (Plurinational State of),Grenada,Saint Vincent and the Grenadines,Venezuela (Bolivarian Republic of),Latvia,Guinea,Montserrat,Guadeloupe,Sri Lanka,Côte d'Ivoire,Croatia,Bulgaria,Myanmar,Ukraine
1961,4185000.0,19302.0,53995.0,16595.0,16382.0,1403900.0,,290217.0,,113850.0,300000.0,19176.0,58900.0,5300.0,,1000.0,244601.0,21000.0,51000.0,650.0,1000.0,22916.0,2279428.0,298100.0,367000.0,5770.0,22000.0,63965.0,0.0,163500.0,332687.0,133900.0,,9265515.0,1214.0,20400.0,6515.0,138465.0,128260.0,505105.0,656100.0,500.0,26645.0,90154.0,180000.0,848444.0,,1836.0,217462.0,50987.0,61000.0,56900.0,110600.0,213.0,,42565.0,,27400.0,13400.0,249603.0,968307.0,62100.0,349036.0,,,,4085000.0,35000.0,1204.0,,300.0,,63412.0,21663.0,45900.0,,320.0,29100.0,98.0,6327000.0,,,190500.0,34000.0,33500.0,450000.0,12182.0,,30000.0,,2600.0,883083.0,41817.0,500.0,29277.0,841100.0,1000.0,20608.0,2700.0,,,4109642.0,22925.0,,,380525.0,7000.0,5600.0,1743.0,658.0,76892.0,2730.0,,34066.0,5510.0,24642.0,16720.0,30.0,15240.0,,876.0,15000.0,0.0,,,0.0,,3000.0,55915.0,31100.0,,,393.0,2000.0,567.0,240.0,55881.0,,1000.0,130.0,250.0,3034.0,12000.0,,79866.0,139645.0,
1962,4309000.0,6300.0,62175.0,28699.0,13436.0,1383800.0,,204729.0,,121395.0,300000.0,19773.0,53637.0,4300.0,,1000.0,254547.0,26000.0,43325.0,570.0,1000.0,21913.0,2500988.0,338800.0,356000.0,8195.0,22000.0,82993.0,0.0,183000.0,363325.0,136930.0,,9304000.0,1295.0,24097.0,6809.0,140200.0,151000.0,544665.0,666000.0,375.0,32696.0,87865.0,182500.0,709280.0,,1821.0,278740.0,51864.0,60000.0,61486.0,128600.0,15263.0,,50440.0,,30418.0,11400.0,302835.0,964177.0,64030.0,366897.0,,,,3726000.0,50000.0,1271.0,,300.0,,67686.0,23956.0,72900.0,,260.0,30600.0,78.0,6300462.0,,,190930.0,34000.0,35670.0,500000.0,7296.0,,30000.0,,3250.0,746388.0,43370.0,804.0,31543.0,732400.0,1700.0,24925.0,2733.0,,,3748350.0,36600.0,,,475791.0,9900.0,5600.0,4532.0,1088.0,91056.0,2100.0,,37612.0,5000.0,22350.0,16540.0,30.0,14450.0,,1046.0,16500.0,0.0,,,0.0,,4000.0,73475.0,33300.0,,,425.0,2000.0,567.0,450.0,57385.0,,1000.0,110.0,350.0,236.0,17000.0,,74032.0,177982.0,
1963,4170000.0,6325.0,75106.0,32786.0,16583.0,1480700.0,,270904.0,,127267.0,300000.0,27857.0,53800.0,4300.0,546.0,1000.0,260420.0,38300.0,55590.0,490.0,1000.0,22956.0,2527794.0,282200.0,313000.0,11800.0,22000.0,94881.0,0.0,155600.0,276007.0,130400.0,,9714000.0,1295.0,21105.0,10364.0,118800.0,132000.0,524770.0,634785.0,445.0,33917.0,88191.0,182100.0,696527.0,,2023.0,233550.0,56310.0,58000.0,33931.0,128600.0,16203.0,,57049.0,,31125.0,11000.0,292201.0,1030384.0,60780.0,374821.0,,,,4672000.0,63000.0,1338.0,,300.0,,72227.0,26608.0,91600.0,,180.0,30300.0,,5751000.0,,,219820.0,24600.0,39140.0,529000.0,9398.0,,32000.0,,3850.0,737088.0,34470.0,2023.0,22124.0,815900.0,1600.0,21099.0,2604.0,,,4695129.0,45800.0,,,447777.0,13852.0,5600.0,6693.0,1817.0,121408.0,4470.0,,37518.0,4600.0,23129.0,12340.0,30.0,10850.0,,1425.0,10000.0,0.0,,,0.0,,1000.0,91750.0,36000.0,,,383.0,2000.0,603.0,120.0,52006.0,,1000.0,120.0,200.0,1631.0,24000.0,,70744.0,219257.0,
1964,4305000.0,7900.0,80916.0,32912.0,16704.0,1477300.0,,334628.0,,135830.0,300000.0,23303.0,51100.0,5850.0,1295.0,1287.0,249610.0,57500.0,61000.0,254.0,1000.0,23073.0,2685495.0,289300.0,337000.0,14900.0,22000.0,119936.0,650.0,165000.0,203439.0,121100.0,,9677100.0,1214.0,22810.0,11149.0,118100.0,143000.0,523946.0,686000.0,250.0,39187.0,90453.0,185500.0,692607.0,,2064.0,141480.0,56566.0,57500.0,31124.0,86600.0,16208.0,,67589.0,,32278.0,6900.0,286915.0,1020360.0,60550.0,374000.0,,,,5223000.0,48600.0,321.0,,600.0,,78922.0,30651.0,98500.0,,195.0,15300.0,,5688000.0,,,207820.0,36000.0,40025.0,574620.0,8270.0,,32000.0,,6650.0,724964.0,29228.0,100.0,16637.0,865800.0,1400.0,25150.0,2710.0,,,5247689.0,52500.0,,,440849.0,14700.0,5600.0,8576.0,2798.0,121408.0,7000.0,,39060.0,3950.0,24689.0,12825.0,30.0,10180.0,,1445.0,10000.0,0.0,,,0.0,,1000.0,112660.0,36800.0,,,437.0,4000.0,283.0,185.0,59200.0,,1000.0,100.0,200.0,573.0,18000.0,,64542.0,260667.0,
1965,4212000.0,7700.0,62131.0,32224.0,16109.0,1571100.0,,502234.0,,134466.0,300000.0,38706.0,43985.0,5850.0,2469.0,1100.0,241535.0,47500.0,57305.0,200.0,1000.0,22765.0,2728969.0,296300.0,417000.0,16580.0,22000.0,117550.0,0.0,163500.0,200310.0,115500.0,,9227400.0,647.0,27410.0,12950.0,120700.0,136100.0,538120.0,691700.0,400.0,27012.0,92720.0,190000.0,811057.0,,2289.0,135940.0,44940.0,52000.0,28723.0,67700.0,16115.0,,56228.0,,34176.0,6550.0,288154.0,1015710.0,60530.0,376000.0,,,,5314000.0,56700.0,726.0,,719.0,,91755.0,21623.0,100500.0,,185.0,18200.0,,5508787.0,,,206990.0,32000.0,39920.0,655956.0,9932.0,,32000.0,,9080.0,952774.0,27749.0,400.0,17348.0,908333.0,1200.0,27218.0,1791.0,,,5339383.0,49720.0,,,448466.0,18500.0,5600.0,13945.0,2055.0,80939.0,15761.0,,41974.0,3830.0,25383.0,17450.0,30.0,6918.0,,1178.0,10000.0,0.0,,,0.0,,1271.0,130690.0,38600.0,,,402.0,4000.0,283.0,240.0,65949.0,,1000.0,90.0,150.0,1133.0,20000.0,,66253.0,253548.0,
1966,4134000.0,5700.0,62954.0,39189.0,23009.0,1618700.0,,634448.0,,130266.0,300000.0,17687.0,52800.0,6350.0,2711.0,798.0,206510.0,76000.0,57305.0,150.0,1000.0,22728.0,2611192.0,299487.0,423428.0,16327.0,22000.0,89961.0,2650.0,179800.0,236554.0,128700.0,,9132500.0,650.0,25100.0,16187.0,120600.0,126800.0,445470.0,718700.0,790.0,23554.0,89434.0,199000.0,793082.0,,2198.0,133270.0,41624.0,51500.0,28855.0,66800.0,16180.0,,48080.0,,33786.0,3900.0,255597.0,900785.0,57790.0,350000.0,,,,5321000.0,62800.0,602.0,,365.0,,97820.0,18317.0,85050.0,,230.0,19400.0,,3865503.0,,,206980.0,32000.0,40060.0,684534.0,9364.0,,32000.0,,7750.0,915200.0,24020.0,1000.0,18696.0,880909.0,1000.0,29093.0,,,,5343866.0,52355.0,,,440997.0,22000.0,5600.0,14294.0,920.0,48000.0,19638.0,,53618.0,4640.0,22866.0,21930.0,30.0,4000.0,,783.0,10000.0,0.0,,,0.0,,1081.0,143256.0,35200.0,,,413.0,5061.0,283.0,240.0,54889.0,,1000.0,40.0,450.0,952.0,20000.0,,73594.0,232472.0,
1967,4069000.0,7200.0,56174.0,38479.0,22309.0,1743000.0,,493567.0,,124430.0,300000.0,14400.0,60500.0,6380.0,2388.0,742.0,183755.0,78300.0,61574.0,50.0,1000.0,22662.0,4105978.0,298388.0,463700.0,17225.0,22000.0,56691.0,0.0,191400.0,145101.0,128800.0,,9589700.0,650.0,25006.0,17401.0,125800.0,142500.0,334710.0,722300.0,781.0,14012.0,93416.0,206000.0,695245.0,,2023.0,136711.0,41053.0,45500.0,27678.0,73900.0,16170.0,,58839.0,,30281.0,2050.0,239700.0,870804.0,53050.0,304000.0,,,,5498000.0,38200.0,696.0,,416.0,,98081.0,9529.0,90900.0,,95.0,20693.0,,3236226.0,9.0,,194740.0,37000.0,40940.0,644416.0,9692.0,,32000.0,,8750.0,1037050.0,18750.0,3000.0,17111.0,871219.0,1000.0,29713.0,,,,5519557.0,65408.0,,,486604.0,17800.0,5600.0,13945.0,1122.0,52800.0,25113.0,,57434.0,4310.0,21557.0,29410.0,30.0,1990.0,,617.0,10000.0,0.0,,,0.0,,1384.0,152074.0,32600.0,,,373.0,4888.0,283.0,185.0,60664.0,,1000.0,80.0,850.0,2017.0,31000.0,,75659.0,197902.0,
1968,4025000.0,12700.0,31470.0,48464.0,32314.0,1768100.0,,403295.0,,120900.0,300000.0,10289.0,63110.0,6480.0,5746.0,890.0,168870.0,81200.0,54000.0,100.0,1000.0,22115.0,4294662.0,295435.0,432347.0,17963.0,22000.0,48250.0,1800.0,216700.0,137007.0,132800.0,,8621500.0,650.0,22536.0,16187.0,122300.0,132000.0,287500.0,719135.0,405.0,14621.0,98384.0,211800.0,632223.0,,1214.0,141210.0,43102.0,36000.0,24398.0,127800.0,16150.0,,71053.0,,21736.0,1950.0,279813.0,890900.0,32480.0,344000.0,,,170.0,5366000.0,37200.0,468.0,,298.0,,101314.0,10370.0,97600.0,,55.0,16537.0,,4111549.0,10.0,,177470.0,36000.0,42675.0,612999.0,9376.0,,47000.0,,6750.0,936302.0,12523.0,6400.0,12637.0,828300.0,900.0,40049.0,,,,5388981.0,71648.0,,,482662.0,15800.0,5600.0,11156.0,1173.0,54600.0,51421.0,,46299.0,4290.0,22981.0,30165.0,30.0,1355.0,,337.0,12000.0,0.0,,,0.0,,839.0,147680.0,31000.0,,,386.0,5960.0,283.0,120.0,56898.0,,1000.0,80.0,800.0,1138.0,41000.0,,66620.0,202614.0,
1969,4088000.0,24570.0,42356.0,49509.0,33309.0,1753100.0,,488944.0,,116749.0,364000.0,23234.0,63690.0,6400.0,8500.0,931.0,171620.0,91500.0,49000.0,350.0,1000.0,21886.0,4586628.0,291162.0,434198.0,22031.0,22000.0,58140.0,0.0,253860.0,150461.0,136506.0,,8966000.0,650.0,23530.0,12997.0,173497.0,115100.0,413560.0,644020.0,350.0,15576.0,123562.0,220200.0,700653.0,,1820.0,158040.0,38582.0,34000.0,25191.0,149800.0,16200.0,,51940.0,,22345.0,3700.0,299456.0,702069.0,30577.0,386000.0,,,705.0,5198500.0,60000.0,602.0,,337.0,,108193.0,8940.0,85704.0,,50.0,12018.0,,4472159.0,10.0,,180030.0,33000.0,49030.0,693047.0,9154.0,,46000.0,,3400.0,1028790.0,9865.0,9808.0,11908.0,844300.0,800.0,31884.0,,,,5221323.0,84976.0,,,469646.0,18300.0,5600.0,10110.0,615.0,55000.0,89833.0,,38212.0,4170.0,22823.0,32745.0,30.0,1350.0,,267.0,12000.0,0.0,,,0.0,,748.0,132663.0,30000.0,,,372.0,7200.0,260.0,120.0,59071.0,,1000.0,30.0,800.0,1206.0,50000.0,,65187.0,154510.0,
1970,4257000.0,11300.0,39833.0,48700.0,32500.0,1755989.0,,466345.0,,132936.0,445000.0,16574.0,58862.0,6600.0,7000.0,800.0,147925.0,91500.0,29000.0,100.0,1000.0,21994.0,4678877.0,301575.0,417936.0,19995.0,22000.0,62096.0,3900.0,285800.0,91150.0,130028.0,,8849700.0,650.0,10570.0,14108.0,176836.0,112300.0,459320.0,533235.0,400.0,8203.0,131300.0,223000.0,696887.0,,182.0,143100.0,31773.0,34500.0,23020.0,186100.0,16200.0,,66131.0,,23374.0,4150.0,250090.0,589942.0,33713.0,324000.0,,11.0,894.0,5368000.0,46250.0,268.0,,280.0,,102055.0,5188.0,75599.0,,30.0,17500.0,,4514205.0,15.0,,180860.0,33000.0,47843.0,690369.0,9275.0,,51700.0,,1430.0,952868.0,6552.0,13600.0,12347.0,881600.0,700.0,38507.0,,,,5386101.0,80557.0,,,527729.0,18300.0,5400.0,4114.0,983.0,54300.0,80541.0,,49216.0,1960.0,18101.0,34930.0,30.0,1250.0,,132.0,12000.0,0.0,,,0.0,,706.0,109663.0,29900.0,,,224.0,8280.0,180.0,120.0,53403.0,,1000.0,35.0,800.0,1400.0,35000.0,,60953.0,151787.0,
