,Ukraine,Georgia,Tajikistan,Austria,Belarus,Croatia,Bhutan,Poland,USSR,Slovakia,Brazil,Bosnia and Herzegovina,United Republic of Tanzania,Nepal,China,Canada,Uzbekistan,Japan,Ireland,Latvia,Republic of Korea,Kyrgyzstan,France,South Africa,Hungary,Greece,Kazakhstan,Estonia,Bulgaria,United States of America,Yugoslav SFR,Serbia and Montenegro,Guatemala,Lithuania,Slovenia,Czechoslovakia,"China, mainland",Russian Federation,Czechia,Republic of Moldova
1961,-1.0,-1.0,-1.0,256.0,-1.0,-1.0,3000.0,59000.0,745000.0,-1.0,500.0,-1.0,-1.0,-1.0,1500000.0,26496.0,-1.0,42800.0,-1,-1.0,6124.0,-1.0,55660.0,11000.0,-1.0,-1,-1.0,-1.0,-1.0,19596.0,9530.0,-1.0,-1,-1.0,-1.0,634.0,1500000.0,-1.0,-1.0,-1.0
1962,-1.0,-1.0,-1.0,246.0,-1.0,-1.0,3100.0,44000.0,750000.0,-1.0,1200.0,-1.0,-1.0,-1.0,1700000.0,25060.0,-1.0,37200.0,-1,-1.0,5552.0,-1.0,45470.0,11000.0,-1.0,-1,-1.0,-1.0,-1.0,18780.0,6700.0,-1.0,-1,-1.0,-1.0,482.0,1700000.0,-1.0,-1.0,-1.0
1963,-1.0,-1.0,-1.0,202.0,-1.0,-1.0,3200.0,37000.0,428000.0,-1.0,11000.0,-1.0,-1.0,-1.0,1400000.0,26061.0,-1.0,40500.0,-1,-1.0,6421.0,-1.0,46010.0,11000.0,-1.0,-1,-1.0,-1.0,-1.0,21591.0,7640.0,-1.0,-1,-1.0,-1.0,524.0,1400000.0,-1.0,-1.0,-1.0
1964,-1.0,-1.0,-1.0,201.0,-1.0,-1.0,3300.0,34000.0,614000.0,-1.0,8500.0,-1.0,-1.0,-1.0,1400000.0,27738.0,-1.0,27100.0,-1,-1.0,6861.0,-1.0,33550.0,15000.0,-1.0,-1,-1.0,-1.0,-1.0,23133.0,7300.0,-1.0,-1,-1.0,-1.0,402.0,1400000.0,-1.0,-1.0,-1.0
1965,-1.0,-1.0,-1.0,183.0,-1.0,-1.0,3400.0,47000.0,817000.0,-1.0,6500.0,-1.0,-1.0,-1.0,1700000.0,19334.0,-1.0,30100.0,-1,-1.0,10475.0,-1.0,33620.0,12000.0,-1.0,-1,-1.0,-1.0,-1.0,9500.0,6000.0,-1.0,-1,-1.0,-1.0,346.0,1700000.0,-1.0,-1.0,-1.0
1966,-1.0,-1.0,-1.0,326.0,-1.0,-1.0,3500.0,45000.0,804000.0,-1.0,3500.0,-1.0,-1.0,-1.0,1600000.0,25343.0,-1.0,27700.0,-1,-1.0,6793.0,-1.0,30010.0,10000.0,-1.0,-1,-1.0,-1.0,-1.0,16500.0,5200.0,-1.0,-1,-1.0,-1.0,520.0,1600000.0,-1.0,-1.0,-1.0
1967,-1.0,-1.0,-1.0,82.0,-1.0,-1.0,3600.0,45000.0,1000000.0,-1.0,5500.0,-1.0,-1.0,-1.0,1600000.0,28412.0,-1.0,27500.0,-1,-1.0,5103.0,-1.0,26650.0,10833.0,-1.0,-1,-1.0,-1.0,-1.0,18500.0,5600.0,-1.0,-1,-1.0,-1.0,683.0,1600000.0,-1.0,-1.0,-1.0
1968,-1.0,-1.0,-1.0,56.0,-1.0,-1.0,3700.0,42000.0,1266000.0,-1.0,21500.0,-1.0,-1.0,-1.0,1500000.0,30568.0,-1.0,22100.0,-1,-1.0,12642.0,-1.0,21830.0,20409.0,-1.0,-1,-1.0,-1.0,-1.0,18500.0,5670.0,-1.0,-1,-1.0,-1.0,306.0,1500000.0,-1.0,-1.0,-1.0
1969,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3800.0,53000.0,1180000.0,-1.0,11000.0,-1.0,-1.0,-1.0,1700000.0,37339.0,-1.0,21900.0,-1,-1.0,5756.0,-1.0,20870.0,20400.0,-1.0,-1,-1.0,-1.0,-1.0,18511.0,5944.0,-1.0,-1,-1.0,-1.0,296.0,1700000.0,-1.0,-1.0,-1.0
1970,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3900.0,52000.0,930000.0,-1.0,10500.0,-1.0,-1.0,-1.0,1900000.0,61941.0,-1.0,17200.0,-1,-1.0,5086.0,-1.0,18510.0,2697.0,-1.0,-1,-1.0,-1.0,-1.0,20000.0,5976.0,-1.0,-1,-1.0,-1.0,244.0,1900000.0,-1.0,-1.0,-1.0
1971,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4000.0,49000.0,1000000.0,-1.0,9500.0,-1.0,-1.0,-1.0,2000000.0,54974.0,-1.0,19500.0,-1,-1.0,4842.0,-1.0,18990.0,6700.0,-1.0,-1,-1.0,-1.0,-1.0,18000.0,3300.0,-1.0,-1,-1.0,-1.0,186.0,2000000.0,-1.0,-1.0,-1.0
1972,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4100.0,38000.0,700000.0,-1.0,9500.0,-1.0,-1.0,-1.0,2000000.0,37252.0,-1.0,25100.0,-1,-1.0,4076.0,-1.0,15490.0,3910.0,-1.0,-1,-1.0,-1.0,-1.0,18500.0,2419.0,-1.0,-1,-1.0,-1.0,230.0,2000000.0,-1.0,-1.0,-1.0
1973,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4200.0,36000.0,1120000.0,-1.0,28000.0,-1.0,-1.0,-1.0,2200000.0,30024.0,-1.0,28000.0,-1,-1.0,6745.0,-1.0,14200.0,2880.0,-1.0,-1,-1.0,-1.0,-1.0,19000.0,2797.0,-1.0,-1,-1.0,-1.0,90.0,2200000.0,-1.0,-1.0,-1.0
