,Lebanon,Senegal,Togo,Finland,Cuba,Ghana,Kenya,Cameroon,Laos,Bangladesh,Benin,Jamaica,Romania,Dominica,Mongolia,Bulgaria,Paraguay,Moldova,Sweden,South Africa,Cambodia,Hong Kong,Lesotho,Trinidad and Tobago,Mali,United States,Tajikistan,Turkmenistan,Gabon,Cabo Verde,Central African Republic,Iran,Fiji,Lithuania,Taiwan,Cyprus,Angola,Gambia,Sudan (former),Slovakia,Oman,Djibouti,Suriname,Liberia,Croatia,Vietnam,Saudi Arabia,Denmark,Timor,Ecuador,Bahamas,South Korea,Australia,Sao Tome and Principe,Antigua and Barbuda,Myanmar,Belize,Spain,Guyana,Slovenia,Serbia,Iraq,Brazil,Sri Lanka,United Arab Emirates,Honduras,Thailand,Rwanda,Congo,Mauritania,Netherlands,Bermuda,Tanzania,Bosnia and Herzegovina,Sierra Leone,Uruguay,Egypt,Israel,Morocco,Kyrgyzstan,Azerbaijan,Dominican Republic,Burma,Netherlands Antilles,New Zealand,Uzbekistan,Philippines,Montenegro,Ethiopia,Panama,Latvia,Saint Kitts and Nevis,Norway,Afghanistan,Haiti,Kiribati,Albania,Pakistan,El Salvador,Belgium,Switzerland,Germany,Zambia,Yugoslavia,Indonesia,Georgia,China,Sudan,USSR,Iceland,Poland,Nigeria,Malta,India,Austria,Kuwait,Macao,Botswana,Cote d'Ivoire,Ukraine,Mexico,Tunisia,Serbia and Montenegro,Saint Lucia,Niger,Mauritius,Solomon Islands,Chad,Malawi,Yemen,Saint Vincent and the Grenadines,France,Nepal,Bolivia,Vanuatu,Namibia,Greece,Maldives,Czech Republic,Kazakhstan,Algeria,Belarus,Ireland,Nicaragua,Madagascar,Brunei,United Kingdom,Malaysia,French Polynesia,Costa Rica,Barbados,Peru,Guatemala,Turkey,Swaziland,Jordan,Hungary,Burkina Faso,Colombia,Uganda,Japan,Luxembourg,Argentina,Italy,Zimbabwe,New Caledonia,Chile,Grenada,Czechoslovakia,Estonia,North Korea,Macedonia,Mozambique,Venezuela,Guinea-Bissau,Canada,Russia,Portugal,Armenia,Guinea,Samoa
1947,,,,91.3,66.6,,,,,,,,,,,,,,91.8,73.6,,,,,,99.2,,,,,,,,,,,,,,,,,,,,,,107.5,,,,,105.3,,,,,68.1,,,,,64.0,,,,54.4,,,,77.5,,,,,93.5,68.4,,62.4,,,,67.6,,99.7,,48.8,,63.5,,,,90.4,,,,,47.7,41.2,78.7,92.6,74.9,,64.9,,,65.7,,,123.4,65.9,,,47.7,74.4,,,,,,56.7,44.1,,,,,,,,,,76.2,,,,,68.1,,,,37.4,,103.5,,57.3,,89.3,,,,,52.1,,67.8,,,73.3,,51.2,,50.1,77.8,109.9,71.1,,,72.7,,72.5,,,,,,,95.0,,67.8,,,
1948,,,,93.3,67.1,,,,,,,,,,,,,,95.8,75.2,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,105.0,,,,,102.8,,,,,75.0,,,,,,,,,52.5,,,,,,,,,92.7,71.6,,61.8,,,,65.2,,101.3,,,,,,,,93.5,,,,,,,81.2,91.7,79.0,,,,,,,,,74.8,,,43.0,78.0,,,,,,59.5,41.9,,,,,,,,,,87.7,,,,,71.6,,,,43.3,,103.8,,,,92.5,,,,,59.4,,76.6,,,,,,,53.6,84.9,109.0,77.0,,,71.5,,82.1,,,,,,,92.7,,66.1,,,
1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
