,Kenya,Mozambique,Burkina Faso,Philippines,Syrian Arab Republic,Viet Nam,Lao People's Democratic Republic,United Republic of Tanzania,Nepal,Ethiopia,Indonesia,Maldives,Liberia,Greece,Zimbabwe,Iran (Islamic Republic of),Republic of Korea,Melanesia,Papua New Guinea,Eritrea,New Caledonia,Australia & New Zealand,Barbados,Mongolia,Guatemala,Algeria,Slovenia,Senegal,Madagascar,Tajikistan,Latvia,Luxembourg,Guinea,Botswana,Saudi Arabia,Dominica,Fiji,Cabo Verde,Chad,Comoros,Azerbaijan,Central African Republic,Mauritania,China,Uzbekistan,Libya,Trinidad and Tobago,Lebanon,Kyrgyzstan,Guinea-Bissau,Saint Lucia,Estonia,Saint Vincent and the Grenadines,Hungary,Portugal,Togo,Poland,"China, mainland",Russian Federation,Mali,Timor-Leste,Thailand,Ukraine,Saint Kitts and Nevis,Peru,Yemen,Cameroon,United Kingdom,Germany,Armenia,Zambia,South Sudan,Namibia,Benin,Denmark,Pakistan,Spain,Afghanistan,Australia,The former Yugoslav Republic of Macedonia,Cyprus,Bahrain,Bulgaria,Bangladesh,Democratic Republic of the Congo,Sudan,Morocco,Nigeria,Egypt,Czechia,Ethiopia PDR,Ghana,India,Guadeloupe,Austria,Niger,Czechoslovakia,Bhutan,USSR,Gabon,Romania,Jordan,Israel,Mexico,Suriname,Tunisia,Côte d'Ivoire,Albania,Slovakia,Solomon Islands,France,Italy,Sierra Leone,Réunion,Panama,Lithuania,Sudan (former),Gambia,Turkey,Swaziland,Belgium-Luxembourg
1961,4151.0,4815.0,10000.0,-1.0,30000.0,5281.0,7000.0,3846.0,5000.0,-1.0,5556.0,6000.0,5000.0,5986.0,6069.0,6933.0,5768.0,5726.0,5000.0,-1.0,6250.0,-1.0,10000.0,1714.0,-1.0,-1.0,-1.0,4500.0,11667.0,-1.0,-1.0,-1.0,5455.0,7100.0,16667.0,4250.0,5000.0,1944.0,6364.0,6500.0,-1.0,5000.0,4000.0,-1.0,-1.0,2164.0,7143.0,-1.0,-1.0,8000.0,20000.0,-1.0,6667.0,13462.0,6250.0,4615.0,12041.0,-1.0,-1.0,6364.0,5000.0,9412.0,-1.0,10000.0,10000.0,10000.0,6250.0,22730.0,21714.0,-1.0,8000.0,-1.0,8889.0,3393.0,40000.0,3954.0,7046.0,8780.0,-1.0,-1.0,7176.0,-1.0,-1.0,7375.0,6250.0,-1.0,4286.0,4409.0,12712.0,-1.0,5882.0,1000.0,4037.0,-1.0,16993.0,7826.0,9615.0,4444.0,10405.0,5000.0,7576.0,-1.0,6924.0,-1.0,5962.0,4000.0,4000.0,3762.0,-1.0,6667.0,10417.0,6500.0,5435.0,-1.0,-1.0,-1.0,11077.0,2000.0,8967.0,6667.0,22760.0
1962,4151.0,5818.0,10071.0,-1.0,33333.0,5484.0,6829.0,3846.0,5000.0,-1.0,5556.0,6000.0,5000.0,6219.0,5259.0,6984.0,4682.0,5701.0,5000.0,-1.0,6667.0,-1.0,10000.0,1714.0,-1.0,-1.0,-1.0,4750.0,11579.0,-1.0,-1.0,-1.0,6364.0,6000.0,16250.0,4250.0,4940.0,2778.0,6765.0,6500.0,-1.0,5000.0,4000.0,-1.0,-1.0,2486.0,7143.0,-1.0,-1.0,8000.0,20000.0,-1.0,6667.0,9615.0,6875.0,4375.0,13043.0,-1.0,-1.0,6154.0,5000.0,9770.0,-1.0,10000.0,10000.0,10000.0,6250.0,27859.0,22873.0,-1.0,8000.0,-1.0,8889.0,3881.0,37500.0,3742.0,7639.0,8857.0,-1.0,-1.0,9271.0,-1.0,-1.0,6734.0,6250.0,-1.0,8750.0,4409.0,17457.0,-1.0,6000.0,1000.0,4146.0,-1.0,17663.0,8000.0,9574.0,4595.0,9192.0,5000.0,6667.0,-1.0,6656.0,-1.0,6170.0,4000.0,3846.0,6590.0,-1.0,6645.0,7976.0,6000.0,5435.0,-1.0,-1.0,-1.0,12308.0,2100.0,9980.0,6667.0,16547.0
1963,4206.0,5583.0,10143.0,-1.0,30000.0,5625.0,6747.0,3972.0,5000.0,-1.0,5172.0,6000.0,5000.0,6137.0,5000.0,7080.0,3851.0,5735.0,5000.0,-1.0,6667.0,-1.0,10000.0,1857.0,-1.0,-1.0,-1.0,4651.0,11500.0,-1.0,-1.0,-1.0,4545.0,6000.0,16471.0,4500.0,4940.0,3056.0,6944.0,6190.0,-1.0,5000.0,4000.0,-1.0,-1.0,3129.0,7067.0,-1.0,-1.0,8000.0,20000.0,-1.0,6667.0,9615.0,6875.0,6000.0,11456.0,-1.0,-1.0,6154.0,5000.0,9574.0,-1.0,10000.0,10000.0,10000.0,6250.0,25411.0,23051.0,-1.0,8000.0,-1.0,8889.0,4263.0,37500.0,3620.0,6739.0,8711.0,-1.0,-1.0,7778.0,-1.0,-1.0,6969.0,6250.0,-1.0,8333.0,4421.0,15149.0,-1.0,6047.0,1000.0,4019.0,-1.0,16966.0,8000.0,9634.0,4500.0,5924.0,5000.0,7213.0,-1.0,6891.0,-1.0,6883.0,4200.0,5625.0,5208.0,-1.0,6774.0,10549.0,6765.0,5000.0,-1.0,-1.0,-1.0,11471.0,2200.0,11029.0,6667.0,17570.0
1964,4206.0,5333.0,10286.0,-1.0,28000.0,5700.0,6747.0,4288.0,5000.0,-1.0,5263.0,6000.0,5000.0,7417.0,3919.0,7196.0,3953.0,5653.0,5000.0,-1.0,6667.0,-1.0,7500.0,1857.0,-1.0,-1.0,-1.0,4778.0,11429.0,-1.0,-1.0,-1.0,6000.0,6000.0,16667.0,4500.0,4598.0,3529.0,7500.0,6429.0,-1.0,5000.0,4000.0,-1.0,-1.0,2062.0,7240.0,-1.0,-1.0,8000.0,20000.0,-1.0,6667.0,9615.0,7500.0,5283.0,11977.0,-1.0,-1.0,6190.0,5000.0,9406.0,-1.0,10000.0,10000.0,10000.0,6250.0,30590.0,22752.0,-1.0,8000.0,-1.0,9333.0,2824.0,37500.0,4425.0,5674.0,9156.0,-1.0,-1.0,6101.0,-1.0,-1.0,7647.0,6250.0,-1.0,7000.0,4490.0,16127.0,-1.0,6023.0,1000.0,4502.0,-1.0,17196.0,7672.0,9570.0,4524.0,6503.0,5250.0,4412.0,-1.0,9828.0,-1.0,8776.0,3333.0,6190.0,4921.0,-1.0,6750.0,8912.0,7879.0,5435.0,-1.0,-1.0,-1.0,11143.0,2300.0,9381.0,6667.0,13909.0
1965,4259.0,5583.0,9733.0,-1.0,26667.0,5588.0,6667.0,4253.0,5000.0,-1.0,6098.0,6000.0,5000.0,7396.0,5000.0,7291.0,4470.0,5714.0,5000.0,-1.0,8219.0,-1.0,8750.0,1447.0,-1.0,-1.0,-1.0,4792.0,11364.0,-1.0,-1.0,-1.0,6000.0,6000.0,16316.0,4500.0,4598.0,3824.0,7750.0,5870.0,-1.0,5000.0,3810.0,-1.0,-1.0,2985.0,7240.0,-1.0,-1.0,8000.0,20000.0,-1.0,6667.0,9596.0,6875.0,5036.0,15647.0,-1.0,-1.0,6250.0,5000.0,9426.0,-1.0,10000.0,10000.0,10000.0,6250.0,26512.0,24782.0,-1.0,8000.0,-1.0,9333.0,3030.0,28571.0,4981.0,4468.0,9042.0,-1.0,-1.0,7865.0,-1.0,-1.0,7439.0,6250.0,-1.0,5882.0,4554.0,16938.0,-1.0,6000.0,1000.0,4440.0,-1.0,16667.0,7911.0,9709.0,4878.0,6739.0,5250.0,6094.0,-1.0,7843.0,-1.0,10500.0,4000.0,5250.0,4558.0,-1.0,6875.0,10654.0,7320.0,4783.0,-1.0,-1.0,-1.0,11429.0,2500.0,11167.0,6667.0,8877.0
1966,4273.0,5417.0,9867.0,-1.0,22500.0,5607.0,6667.0,4328.0,5000.0,-1.0,6383.0,6000.0,5000.0,7882.0,5000.0,7407.0,4759.0,5680.0,5000.0,-1.0,8571.0,-1.0,7950.0,8485.0,-1.0,-1.0,-1.0,5000.0,11304.0,-1.0,-1.0,-1.0,6000.0,5000.0,16500.0,4750.0,4598.0,4438.0,7778.0,5870.0,-1.0,5000.0,4091.0,-1.0,-1.0,4480.0,7556.0,-1.0,-1.0,10000.0,20000.0,-1.0,6842.0,9725.0,7500.0,5000.0,14304.0,-1.0,-1.0,6250.0,5000.0,9211.0,-1.0,10000.0,11829.0,10000.0,6250.0,24988.0,25282.0,-1.0,8000.0,-1.0,9149.0,2410.0,40000.0,4642.0,8051.0,8863.0,-1.0,-1.0,9920.0,-1.0,-1.0,6769.0,6667.0,-1.0,4286.0,4608.0,17004.0,-1.0,5091.0,1000.0,3828.0,-1.0,17059.0,8009.0,9667.0,4884.0,7197.0,5250.0,6522.0,-1.0,10056.0,-1.0,13393.0,3750.0,5943.0,4440.0,-1.0,6788.0,10436.0,6903.0,4444.0,-1.0,-1.0,-1.0,11429.0,2545.0,9515.0,6667.0,11900.0
1967,4273.0,4635.0,10000.0,-1.0,11429.0,5676.0,6588.0,4226.0,5000.0,-1.0,5882.0,6000.0,5000.0,7787.0,5000.0,7566.0,4442.0,5823.0,5000.0,-1.0,7353.0,-1.0,10465.0,2593.0,-1.0,-1.0,-1.0,8000.0,11250.0,-1.0,-1.0,-1.0,6667.0,6000.0,17143.0,4750.0,5296.0,3563.0,7000.0,5633.0,-1.0,5000.0,3913.0,-1.0,-1.0,4000.0,7567.0,-1.0,-1.0,10000.0,20526.0,-1.0,6667.0,9736.0,6667.0,6000.0,15467.0,-1.0,-1.0,6000.0,5143.0,9000.0,-1.0,10000.0,12689.0,10000.0,6250.0,30459.0,27044.0,-1.0,8000.0,-1.0,9149.0,2736.0,40000.0,4552.0,8000.0,8333.0,-1.0,-1.0,9682.0,-1.0,-1.0,6024.0,7273.0,-1.0,5385.0,4608.0,13155.0,-1.0,5391.0,1000.0,3953.0,-1.0,16592.0,8452.0,9688.0,4889.0,6972.0,5000.0,7143.0,-1.0,10363.0,-1.0,11807.0,3938.0,6000.0,4534.0,-1.0,6970.0,9947.0,6673.0,5435.0,-1.0,-1.0,-1.0,11667.0,2600.0,9805.0,6667.0,16393.0
1968,4554.0,5478.0,10133.0,-1.0,8690.0,5310.0,7159.0,4380.0,5000.0,-1.0,5333.0,6000.0,5250.0,7377.0,5000.0,7702.0,5258.0,5553.0,5000.0,-1.0,7692.0,-1.0,11875.0,2941.0,-1.0,-1.0,-1.0,6000.0,11200.0,-1.0,-1.0,-1.0,6167.0,6000.0,16818.0,5000.0,4668.0,1307.0,5000.0,5640.0,-1.0,5000.0,4130.0,-1.0,-1.0,4000.0,7567.0,-1.0,-1.0,10000.0,21111.0,-1.0,7179.0,9730.0,6667.0,6000.0,15417.0,-1.0,-1.0,6000.0,5143.0,9013.0,-1.0,10000.0,12997.0,10000.0,6250.0,24218.0,26826.0,-1.0,8000.0,-1.0,9362.0,2857.0,30769.0,6949.0,7858.0,9111.0,-1.0,-1.0,6372.0,-1.0,-1.0,8088.0,7745.0,-1.0,7430.0,4615.0,12923.0,-1.0,5833.0,1048.0,4376.0,-1.0,17090.0,5466.0,9705.0,5000.0,8652.0,5000.0,4258.0,-1.0,9494.0,-1.0,12254.0,3688.0,5333.0,3697.0,-1.0,7059.0,7744.0,6453.0,5000.0,-1.0,-1.0,-1.0,11538.0,2600.0,9403.0,7500.0,17433.0
1969,4775.0,5183.0,10267.0,-1.0,9306.0,5217.0,7159.0,4340.0,5000.0,-1.0,5000.0,6000.0,4889.0,8211.0,5000.0,7926.0,5456.0,5732.0,5000.0,-1.0,7692.0,-1.0,11849.0,1765.0,-1.0,-1.0,-1.0,7000.0,11154.0,-1.0,-1.0,-1.0,6167.0,6000.0,16957.0,5000.0,4717.0,1958.0,4899.0,5577.0,-1.0,5000.0,4000.0,-1.0,-1.0,4000.0,7542.0,-1.0,-1.0,10000.0,20556.0,-1.0,7692.0,9734.0,10000.0,6000.0,14627.0,-1.0,-1.0,6364.0,5000.0,8803.0,-1.0,10000.0,8019.0,10000.0,6250.0,26483.0,26418.0,-1.0,8000.0,-1.0,9362.0,3333.0,29851.0,5448.0,7801.0,9481.0,-1.0,-1.0,6445.0,-1.0,-1.0,8224.0,6405.0,-1.0,6167.0,4712.0,11902.0,-1.0,6000.0,960.0,4446.0,-1.0,15287.0,7226.0,9700.0,5000.0,6739.0,5000.0,10952.0,-1.0,9375.0,-1.0,10303.0,4647.0,6250.0,3665.0,-1.0,7235.0,11073.0,6307.0,5306.0,-1.0,-1.0,-1.0,11458.0,2600.0,10051.0,6667.0,19840.0
1970,4732.0,5583.0,10133.0,-1.0,6320.0,5299.0,7159.0,4263.0,5000.0,-1.0,6383.0,6000.0,4889.0,9358.0,5000.0,8105.0,5821.0,5873.0,5000.0,-1.0,9167.0,-1.0,11818.0,2222.0,-1.0,-1.0,-1.0,6000.0,11111.0,-1.0,-1.0,-1.0,5833.0,6000.0,17083.0,4750.0,5000.0,1705.0,5000.0,5556.0,-1.0,5000.0,4000.0,-1.0,-1.0,3533.0,7542.0,-1.0,-1.0,10000.0,20556.0,-1.0,7000.0,9738.0,10000.0,6000.0,16029.0,-1.0,-1.0,6333.0,5000.0,8696.0,-1.0,10000.0,8806.0,7692.0,6250.0,20856.0,27773.0,-1.0,8000.0,-1.0,9375.0,2809.0,27714.0,6588.0,6533.0,9536.0,-1.0,-1.0,3036.0,-1.0,-1.0,8508.0,6571.0,-1.0,5800.0,4537.0,13093.0,-1.0,6333.0,915.0,4744.0,-1.0,18519.0,5222.0,9692.0,5000.0,9333.0,5000.0,5161.0,-1.0,8089.0,-1.0,8164.0,3471.0,6545.0,5038.0,-1.0,7257.0,12727.0,5962.0,5100.0,-1.0,-1.0,-1.0,11277.0,2600.0,8649.0,6667.0,16809.0
