,"China, Taiwan Province of",Indonesia,Bhutan,China,Sri Lanka,Maldives,Malaysia,Thailand,Nepal,Bangladesh,Myanmar,India
1961,59679.0,2000.0,,59679.0,,3333.0,10833.0,,,7627.0,7060.0,8889.0
1962,57926.0,2000.0,,57926.0,,3333.0,10526.0,,,6765.0,7321.0,8889.0
1963,52400.0,2000.0,,52400.0,,3333.0,9091.0,,,7169.0,7174.0,8889.0
1964,58329.0,2000.0,,58329.0,,3333.0,8889.0,,,7139.0,7413.0,8889.0
1965,57573.0,2000.0,,57573.0,,3333.0,12000.0,,,6564.0,8055.0,8626.0
1966,79660.0,2000.0,,79660.0,,3333.0,8889.0,,,5431.0,7482.0,8686.0
1967,84103.0,2000.0,,84103.0,,3333.0,10000.0,,,6922.0,7290.0,9155.0
1968,94647.0,2000.0,,94647.0,,3333.0,11667.0,,,7487.0,7114.0,9184.0
1969,79221.0,2000.0,,79221.0,,3333.0,12000.0,,,6455.0,6651.0,8917.0
1970,69159.0,2000.0,,69159.0,,3333.0,12500.0,,,6580.0,7234.0,8569.0
1971,75581.0,2000.0,,75581.0,,3333.0,12000.0,,,5828.0,7779.0,8428.0
1972,91173.0,2000.0,,91173.0,,3333.0,12500.0,,,5692.0,8342.0,8635.0
1973,82030.0,2000.0,,82030.0,,3333.0,10667.0,,,5736.0,8688.0,8288.0
1974,97229.0,2000.0,,97229.0,,4000.0,13929.0,,,5771.0,8434.0,9073.0
1975,100372.0,2000.0,,100372.0,,4000.0,10435.0,,,6006.0,8519.0,8705.0
1976,103206.0,2000.0,,103206.0,,5556.0,11905.0,,,6414.0,8538.0,9014.0
1977,106006.0,2000.0,,106006.0,,5000.0,10250.0,,,6865.0,9343.0,9174.0
1978,110913.0,2000.0,,110913.0,,5000.0,10556.0,,,6958.0,9808.0,10258.0
1979,79650.0,2000.0,,79650.0,,5000.0,15000.0,,,7217.0,9499.0,10151.0
1980,85808.0,2000.0,,85808.0,,6667.0,11111.0,,,6561.0,9895.0,10044.0
1981,85798.0,2000.0,,85798.0,,8333.0,19231.0,,,6876.0,9748.0,10578.0
1982,86477.0,2000.0,,86477.0,,5000.0,18182.0,,,6812.0,9354.0,10663.0
1983,76324.0,2000.0,,76324.0,,4000.0,16667.0,15625.0,,6458.0,13970.0,10971.0
1984,78982.0,1995.0,,78982.0,,4286.0,18333.0,15625.0,,6879.0,10789.0,10183.0
1985,91620.0,2776.0,,91620.0,,5714.0,18500.0,15000.0,,6568.0,10218.0,11790.0
1986,88210.0,2352.0,,88210.0,,7143.0,17500.0,15054.0,,6792.0,10538.0,11649.0
1987,64288.0,2632.0,,64288.0,,5714.0,17500.0,15000.0,,6358.0,11533.0,11242.0
1988,57163.0,1949.0,,57163.0,,5714.0,18182.0,15000.0,,6472.0,11409.0,11346.0
1989,48066.0,2236.0,,48066.0,,5714.0,17647.0,14824.0,,6609.0,11324.0,12188.0
1990,43009.0,6863.0,10000.0,43009.0,20667.0,8500.0,17857.0,16290.0,19167.0,6519.0,11136.0,11995.0
1991,41198.0,6806.0,10033.0,41198.0,19231.0,5333.0,18182.0,16302.0,19200.0,6735.0,11152.0,10991.0
1992,39459.0,6655.0,10021.0,39459.0,18529.0,6880.0,18519.0,16285.0,19231.0,6755.0,11042.0,10965.0
1993,42126.0,7867.0,10010.0,42126.0,17500.0,6965.0,17251.0,16223.0,19259.0,6661.0,10756.0,11311.0
1994,36405.0,10471.0,10000.0,36405.0,17436.0,7100.0,17647.0,16104.0,19286.0,7303.0,10407.0,11512.0
1995,36769.0,12267.0,9991.0,36769.0,16667.0,7270.0,16667.0,16000.0,19310.0,7222.0,10500.0,11878.0
1996,34522.0,12371.0,9667.0,34522.0,17500.0,7447.0,16667.0,16250.0,19333.0,7418.0,10533.0,11588.0
1997,32807.0,12278.0,9985.0,32807.0,17811.0,7641.0,17632.0,16284.0,19355.0,7500.0,10559.0,11780.0
1998,34933.0,12245.0,9996.0,34933.0,17778.0,7720.0,16667.0,16667.0,19375.0,7778.0,11743.0,12426.0
