,Afghanistan,Angola,Albania,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Costa Rica,Cuba,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,Ecuador,"Egypt, Arab Rep.",Eritrea,Spain,Estonia,Ethiopia,Finland,Fiji,France,Gabon,United Kingdom,Georgia,Ghana,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Guatemala,Guam,Guyana,"Hong Kong SAR, China",Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,"Korea, Rep.",Kuwait,Lao PDR,Lebanon,Liberia,Libya,Liechtenstein,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,"Macao SAR, China",Morocco,Monaco,Moldova,Madagascar,Maldives,Mexico,"Macedonia, FYR",Mali,Malta,Myanmar,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Papua New Guinea,Poland,Puerto Rico,"Korea, Dem. People’s Rep.",Portugal,Paraguay,West Bank and Gaza,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Sierra Leone,El Salvador,Somalia,Serbia,South Sudan,Suriname,Slovak Republic,Slovenia,Sweden,Swaziland,Syrian Arab Republic,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor-Leste,Tonga,Trinidad and Tobago,Tunisia,Turkey,Tanzania,Uganda,Ukraine,Uruguay,United States,Uzbekistan,"Venezuela, RB",Vietnam,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,0.35447016512538115,,,,0.8655629593818672,,,,1.3757987680949735,,,0.285152323732658,,0.3698746429929351,0.33590483134495286,0.3799282197808687,,,,,,,0.42815728397687836,0.8381896368209539,,,,0.9192082126028791,0.8904846867215073,1.111803807317427,1.368862903926666,0.7052131566138716,1.2711706187908238,0.9194032254148341,0.5622048173357705,0.3508412951149135,1.2749372440534559,0.860901333994611,0.803027861253066,,,,,,,1.0711550129756766,0.6680639229517226,0.7299546134760121,0.9430869439111149,0.7083839853432345,,,,,1.1832960641072723,0.8659350891806502,,,0.8349229531776408,,0.5412616055601098,,0.3445848101182762,,0.7732802088332256,0.40955614103383914,,0.453254913276072,,1.005694561568732,1.164749404078474,0.6757557665204067,,,,0.1907351754699325,0.7832585731170735,,1.4418050182731539,,1.2423239160257984,0.8882255680512402,0.9532437225671055,1.1805797754314504,,,,0.7841449858999848,,0.7636993076912574,,0.9143569614020364,0.7450123263272538,,,,,,0.6039520857604795,0.4265532105963959,,1.235468685884826,,,0.42551972735066634,,,0.35953123112780566,,0.8192195610872994,,,,,,,,0.42007896845369425,,0.7339668541103974,0.8055171476656368,,0.33042839157905346,,0.9686705245129895,,1.3560362445513052,0.20369278363355475,,,0.6725147581647123,1.204168736720948,1.675924988800668,0.9359223076035917,0.9438463179044657,,1.1636500085411778,,,,,,,,0.40719805803004816,0.7359846360888982,,,0.2755779043992724,0.9161013144809559,,0.6984445176246343,0.48245462101680403,,,1.2300701076338747,,,1.1263576887990123,1.1205336239977257,0.5279273926865278,0.5541921103855875,0.6903493643284098,0.9173892427663494,,,,,0.9716177883140231,1.0655216008877242,0.5403640344173193,,0.4844584267059165,,0.6957699086163316,1.022617122479918,,1.0100473395733096,,,1.0441874054794378,,0.6298740689635388
1967,0.2303015557240465,,,,0.943346041749866,,,,1.4654452673223815,,,0.3046575203730363,,0.525816730698666,0.356737412636439,0.4761723592193362,,,,,,,0.4143227899058582,0.7523061690736578,,,,1.1314886565405222,0.9709681572162744,1.0503801804718005,1.4252173097288636,0.736285376231127,1.0550184647125957,0.8796373267415679,0.6120580480330646,0.5344630982420062,1.4009807536147525,0.8210513718065108,0.86074208739811,,,,,,,1.1095524216521522,0.6905366276653178,1.042032854485472,1.0184521195465495,0.6413709445990122,,,,,1.1300193233431495,0.8872786390505155,,,0.9110428210445916,,0.4582591283552965,,0.40854164733226744,,0.9083427056400835,1.0801189423698159,,0.5754412918034152,,1.1479797311846798,0.8942031458824474,0.8739288850111389,,,,0.3561259533384181,0.7079278089542277,,1.5183618719327479,,1.4681351260069986,0.7499256146244783,1.0462756479975868,1.3017806641722478,,,,0.8969953472661572,,0.6597317269856126,,0.9874355167455312,0.9484702693298601,,,,,,0.6775430905180808,0.5147247772611806,,1.5673928308779173,,,0.5892830207583746,,,0.4119652596420222,,0.8963985145567057,,0.7733585267366461,,,,,,0.6921530431650833,,0.600767776498961,0.8964543154441587,,0.3854428263110553,,0.9334536869191131,,1.4420614564295662,0.22180972001788782,,1.3866948655572036,0.7425910484278394,1.2224154916759893,1.7271078386658258,1.0465310192117738,0.9752284310421684,,1.178138513057997,,,,,,,,0.3249389229292255,0.689064696460942,,,0.4376950778376411,0.9757146526949934,,0.6568311182166907,0.5346080169460036,,,1.24692785934314,,,1.1406205785487726,1.0408688671112178,0.5453434466234138,0.6961657622114277,0.5616745829203194,0.9738294026120561,,,,,0.7829547023782515,1.1202290921455327,0.5613427946476912,,0.5985425349946726,,0.8352274401277437,1.0335990920272917,,1.067331257127539,,,1.22042927066436,,0.774844407896394
1968,0.2854994833147924,,,,0.9567607046480707,,,,1.4564186170776832,,,0.3612425228165522,,0.5458420210740293,0.36479514089586823,0.6243636338469887,,,,,,,0.6944841928598781,0.8344474206770148,,,,1.3557920003037363,0.7154198868777367,1.0037932117574648,1.3671843496482672,0.7447095461338766,1.093068052928168,0.7856861006632677,0.5892643397289411,0.4961275093276211,1.3048515784529937,0.9335147309308794,0.7951734830930385,,,,,,,1.082677623459946,0.6781386765984296,1.2292448742014006,0.8097524995384049,0.55704338717095,,,,,1.119409916757883,1.1435840692567,,,0.9355941876166459,,0.4903957567577253,,0.46713556441952186,,0.917473695125511,0.10534427454894305,,0.6680129659179644,,0.9820281541097265,0.7328934065436236,0.8159743605745295,,,,0.3883552874237238,0.6427351312814822,,1.8262137201392492,,1.4775227247857077,1.0256286407170934,1.0650557744860654,1.5383687379837145,,,,0.8843472530462856,,0.6267593900846916,,1.195595878828471,0.7931391990022797,,,,,,0.6996961831176365,0.5427027220571782,,1.3603092960727199,,,0.5552675956444691,,,0.45518187980066693,,0.8551506909034166,,0.7534516687258141,,,,,,0.8807298929469807,,0.7103319549127532,0.8872139664356862,,0.42856197495081827,,0.7823529246409463,,1.2337933215111427,0.25089565544756925,,0.5548738822151332,0.7948327804439675,1.284467806349148,1.2678689418847409,0.9961822183130788,0.9581530715121187,,1.158106876959962,,,,,,,,0.36117671284035197,0.6518931725283555,1.21873396827637,,0.42448833340857134,1.0871952529677926,,0.5089980177674122,0.5369404805087739,,,1.0347577002777655,,,1.0962833516416173,0.8667163472261297,0.613384095773626,0.6635621027331792,0.48601641852116134,1.0264997533811036,,,,,0.8735912537333285,1.011264534372163,0.5909295639506058,,0.577414050006418,,0.6112084350823349,1.0118313976322946,,1.266849840347258,,,1.1206733844268832,,0.9317408476583244
1969,0.2756621952150711,,,,1.0226424717952274,,,,1.4349573539914526,,,0.35332365416329253,,0.5397910493361351,0.4096565352599499,0.5331913819284875,,,,,,,0.6695520755010969,0.9528024593379665,,,,1.630637752366522,0.6976164346167878,1.004330883473673,1.3303580568858444,0.6677406095480215,1.0555680814272161,0.8323004379705725,0.45591742209189245,0.5467654961818383,1.1383644664963115,0.8726910635415808,0.853771918786839,,,,,,,1.1198900378855425,0.7728595433063553,1.3790932794510837,0.9584218708592598,0.5523327220606329,,,,,1.1046999339698018,1.062324879469803,,,0.8779146252864901,,0.5027447407113981,,0.4280209814365887,,0.2862438990431477,0.7301040179311423,,0.48630425215095197,,0.8874169120637131,0.6971783866201786,0.8257344484033521,,,,0.4971557097283553,0.6950431872034355,,1.7116607301088076,,1.119124225479519,1.1333905496445134,1.0758609379718989,1.4986148329033533,,,,0.8257738379075452,,0.5928905980698513,,1.276398541695092,0.8146069936457961,,,,,,0.821554364741035,0.4975537793785889,,1.2646347551296513,,,0.6050655781567205,,,0.45966405046543346,,0.8373257340990724,,0.7391845716093505,,,,,,0.6948647527776726,,0.78325522448741,0.7332007242466955,,0.2652512358722443,,0.8086047346845916,,1.1099059524394135,0.20659446016413593,,0.3964291399712141,0.628877341325722,1.3101643596232584,1.1841571579644938,0.9540809400738084,1.2384464321039885,,1.1556162986309575,,,,,,,,0.2823713625200335,0.6752337325573927,1.0422552464368906,,0.4957245089092012,1.206445485254827,,0.5589333142752245,0.5265482469229478,,,0.9449288256107136,,,1.0800233860151616,0.6962941669374031,0.6808358281444424,0.7184464024377712,0.5634585317929438,1.0369356778216094,,,,,0.73251117553909,0.9567737692145458,0.569330404289192,,0.5975002206269704,,0.6371294389147621,1.0131124338462694,,1.2628693371912898,,,1.1184819971054654,,0.7200320753495631
