,"China, Taiwan Province of",Romania,Norway,Philippines,Sri Lanka,The former Yugoslav Republic of Macedonia,Belgium,Ethiopia,Kenya,Luxembourg,Costa Rica,Republic of Moldova,Italy,Mauritius,Latvia,Sweden,Albania,Uzbekistan,China,Finland,Slovakia,Niger,Australia & New Zealand,Morocco,Slovenia,Congo,Canada,Denmark,Spain,Germany,New Zealand,Malta,Austria,Indonesia,Poland,Switzerland,Belgium-Luxembourg,Greece,United Kingdom,France,Republic of Korea,Croatia,Hungary,Turkey,Kyrgyzstan,Iran (Islamic Republic of),Peru,Mexico,"China, mainland",Yemen,Cyprus,Kazakhstan,Rwanda,Lithuania,Netherlands
1961,84006.0,,,,50125.0,,,,,,,,,,,,,,107006.0,,,,,,,,,,200000.0,,,,,37681.0,,,1666667.0,,,295437.0,,,,80357.0,,,,,,,,,,,
1962,83011.0,,,,49313.0,,,,,,,,,,,,,,105615.0,,,,,,,,,,166667.0,,,,,38000.0,,,1666667.0,,,272117.0,,,,87308.0,,,,,,,,,,,
1963,86933.0,,,,49528.0,,,,,,,,,,,,,,110200.0,,,,,,,,,,142857.0,,,,,37975.0,,,1898734.0,,,299563.0,,,,89804.0,,,,,,,,,,,
1964,102473.0,,,,49476.0,,,,,,,,,,,,,,132110.0,,,,,,,,,,177145.0,,,,,37805.0,,,1923077.0,,,269415.0,,,,85556.0,,,,,,,,,,,
1965,100743.0,,,,49409.0,,,,,,,,,,,,,,132372.0,,,,,,,,,,181704.0,,,,,37791.0,,,2027211.0,,,274679.0,,,,89615.0,,,,,,,,,,,
1966,73451.0,,241048.0,,49923.0,,,,,,,,,,,,,,103724.0,,,,,,,,,,170929.0,,,,,37931.0,,,2010101.0,,,280200.0,,,,83929.0,,,,,,,,,,,
1967,101201.0,,225315.0,,50472.0,,,,,,,,,,,,,,142288.0,,,,,,,,,,168285.0,,,,,37778.0,,,2901695.0,,,264867.0,,,,89434.0,,,,,,,,,,,
1968,113085.0,,235045.0,,48594.0,,,,,,,,,,,,,,152792.0,,,,,,,,,,178459.0,,,,,38000.0,,,2082803.0,,,267825.0,,,,93901.0,,,,,,,,,,,
1969,101640.0,,235826.0,,49805.0,,,,,,,,,,,,,,134168.0,,,,,,,,,,176002.0,,,,,37778.0,,,1779935.0,,,252580.0,,,,93896.0,,,,,,,,,,,
1970,112420.0,,232857.0,,84440.0,,,,,,,,,,,,,,161099.0,,,,,,,,,,170139.0,,,,,37778.0,,,1091811.0,,,286065.0,,,,96774.0,,,,,,,,,,,
1971,74309.0,,232195.0,,100840.0,,,,,,,,,,,,,,118669.0,,,,,,,,,,167631.0,,,,,41250.0,,,2153623.0,,,242985.0,,,,92727.0,,,,,,,,,,,
1972,130689.0,,224959.0,,93467.0,,,,,,,,,,,,,,183432.0,,,,,,,,,,170756.0,,,,,40000.0,,,2167500.0,,,245199.0,,,,95625.0,,,,,,,,,,,
1973,157040.0,,227742.0,,99381.0,,,,,,,,,,,,,,206480.0,,,,,,,,,,172186.0,,,,,38996.0,,,2520436.0,,,244958.0,,,,99231.0,,,,,,,,,,,
1974,162802.0,,226068.0,,98857.0,,,,,,,,,,,,,,228238.0,,,,,,,,,,148051.0,,,,,38750.0,,,2945368.0,,,246077.0,,,,101154.0,,,132828.0,,,,,,,,
1975,133298.0,,228099.0,,96211.0,,,,,,,,,,,,,,209561.0,,,,,,,,,,165455.0,,,,,38947.0,,,2318501.0,,,238180.0,,,,110204.0,,,131692.0,,,,,,,,
1976,161634.0,,226018.0,,91456.0,,,,,,,,,,,,,,265396.0,,,,,,,,,,168073.0,,,,,38333.0,,,1725664.0,,,197454.0,,,,120930.0,,,132176.0,,,,,,,,
1977,156613.0,,236000.0,,90578.0,,,,,,,,,,,,,,263280.0,,,,,,,,,,164808.0,,,,,38786.0,,,1954198.0,,,236271.0,,,,120087.0,,,112182.0,,,,,,,,
1978,167069.0,,248729.0,,95133.0,,,,,,,,,,,,,,274725.0,,,,221719.0,,,,,,176034.0,,221719.0,,,43000.0,,,1932584.0,,,227019.0,,,,129954.0,,,116187.0,,,,,,,,
1979,130560.0,,257500.0,,103692.0,,,,,,,,,,,,,,213548.0,,,,205741.0,,,,,,166067.0,,205741.0,,,39444.0,,,1303462.0,,,233158.0,,,,140097.0,,,122407.0,,,,,,,,
1980,173483.0,,306777.0,,104062.0,,,,,,,,,,,,,,265395.0,,,,192609.0,,,,,,177326.0,,192609.0,,,39719.0,,,1247740.0,,,219792.0,,,,150000.0,,,117622.0,,,,,,,,
1981,157568.0,,214795.0,,94015.0,,,,,,,,,,,,,,247658.0,,,,185349.0,,,,,,168734.0,,185349.0,,,41630.0,,,1245675.0,,,226735.0,,,,159574.0,,,116282.0,105000.0,,,,,,,
1982,160673.0,,230405.0,,85723.0,,,,,,,,265030.0,,,,,,261074.0,,,,220847.0,,,,,,172354.0,,220847.0,,,37022.0,,,1270718.0,,,243366.0,,,,171429.0,,,107355.0,,,,,,,,
1983,153172.0,,225473.0,,104179.0,,,,,,,,264574.0,,,,,,282204.0,,,,221538.0,,,,,,175546.0,,221538.0,,,34997.0,,,1194030.0,,,234400.0,,,,179641.0,,,103267.0,,,,,,,,
1984,157557.0,,265667.0,,101071.0,,,,,,,,264922.0,,,,,,280106.0,,,,221429.0,,,,,,196034.0,,221429.0,,,41353.0,,,1101190.0,,,227079.0,,,,190625.0,,,103305.0,,,,,,,,
1985,174946.0,,227432.0,,105817.0,,,,,,,,228269.0,,,,,,321100.0,,,,221250.0,,,,,,191692.0,,221250.0,,,42984.0,,,1239316.0,,,235622.0,,,,200000.0,,,104866.0,146000.0,,,,,,,
1986,184323.0,,229324.0,,95450.0,,,,50000.0,,,,279934.0,,,,,,343559.0,,,,220690.0,500000.0,,,,,195473.0,252941.0,220690.0,,,60558.0,,,1261792.0,217647.0,,229621.0,,,,209929.0,,,103174.0,120000.0,,,,,,,
1987,178286.0,,237047.0,,97782.0,,,,50000.0,,,,280123.0,,,,,,388370.0,,,,221359.0,433333.0,,,,,205864.0,252941.0,221359.0,,,64871.0,,,1102703.0,229572.0,,230291.0,,,,220588.0,,,101625.0,115000.0,,,,,,,270714.0
1988,207953.0,,275132.0,,102440.0,,,,50000.0,,,,268891.0,50000.0,,,,,154858.0,,,,221591.0,250000.0,,,,,220462.0,252941.0,221591.0,,,74930.0,,,948598.0,216667.0,,233721.0,,,,229630.0,,,103870.0,113333.0,127273.0,,,,,,272000.0
1989,218911.0,,269200.0,,98588.0,,,,50000.0,,,,278229.0,58333.0,,,,,158062.0,,,,205556.0,170000.0,,,,,209374.0,270648.0,205556.0,,,83774.0,,,1493256.0,230588.0,237097.0,224886.0,,,,240310.0,,,101477.0,120000.0,125000.0,65012.0,60000.0,,,,305000.0
1990,206269.0,,260743.0,,89818.0,,,,50000.0,,,,270880.0,42857.0,,,168421.0,,176776.0,160896.0,,,201613.0,158333.0,,50000.0,,,216802.0,230971.0,201613.0,,,81213.0,150667.0,,1253219.0,185000.0,205056.0,226925.0,,,,267002.0,,200000.0,92260.0,116667.0,160750.0,70521.0,5849.0,,,,324138.0
1991,264412.0,,256490.0,,91562.0,,,,50000.0,,,,275351.0,83333.0,,,169231.0,,162702.0,179936.0,,,200000.0,125000.0,,50000.0,,,219032.0,241221.0,200000.0,,,77257.0,150000.0,,981644.0,248235.0,216721.0,227080.0,,,,248950.0,,208971.0,95596.0,114286.0,118701.0,70116.0,59674.0,,,,260526.0
1992,298020.0,,238165.0,,100000.0,,,,66341.0,,,10000.0,276109.0,50000.0,,,170588.0,120000.0,175879.0,159274.0,,50000.0,209797.0,125000.0,150800.0,50800.0,,,217419.0,263905.0,209797.0,,,80491.0,149421.0,,1092728.0,256250.0,204595.0,231440.0,,,,240497.0,,213204.0,94020.0,113636.0,128000.0,71001.0,59678.0,20000.0,,,243434.0
