,Australia & New Zealand,USSR,France,Bahrain,Fiji,Australia,Panama,Pakistan,French Guiana,Democratic Republic of the Congo,Belize,Ethiopia,Kenya,Guyana,Yemen,Romania,Serbia,Lebanon,Tajikistan,Suriname,Togo,Tunisia,Albania,Niger,"China, Hong Kong SAR",Democratic People's Republic of Korea,Slovenia,El Salvador,Hungary,Canada,Colombia,Iceland,Bahamas,Malta,Jamaica,Ecuador,Cabo Verde,Indonesia,Poland,Turkey,Antigua and Barbuda,Belgium-Luxembourg,Angola,Ethiopia PDR,Estonia,Melanesia,The former Yugoslav Republic of Macedonia,Malaysia,Greece,Czechoslovakia,Slovakia,Haiti,Republic of Korea,Egypt,New Zealand,Sudan,India,United Arab Emirates,Congo,Republic of Moldova,Martinique,Dominican Republic,Kyrgyzstan,Mexico,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,Spain,"China, mainland",French Polynesia,Madagascar,Cyprus,Peru,Rwanda,Lithuania,Cameroon,Netherlands,Guatemala,Saint Kitts and Nevis,Cuba,Austria,Puerto Rico,Bermuda,Bhutan,Turkmenistan,Trinidad and Tobago,Norway,Dominica,Iraq,Libya,Timor-Leste,Senegal,United Republic of Tanzania,Philippines,Belgium,Singapore,Nepal,Luxembourg,Czechia,Costa Rica,Bangladesh,Italy,Qatar,Saint Lucia,Germany,Syrian Arab Republic,Sweden,Uzbekistan,China,Finland,Serbia and Montenegro,Armenia,Sudan (former),Morocco,Jordan,Chile,Honduras,Uruguay,Zimbabwe,Ireland,Malawi,Algeria,"China, Taiwan Province of",Israel,Réunion,Japan,Belarus,Denmark,Switzerland,Thailand,Namibia,Saudi Arabia,Georgia,United Kingdom,Azerbaijan,Mauritius,Nicaragua,Oman,Viet Nam,Bosnia and Herzegovina,Barbados,Russian Federation,Portugal,Bolivia (Plurinational State of),Grenada,Venezuela (Bolivarian Republic of),American Samoa,Latvia,Ukraine,Kuwait,South Africa,Guadeloupe,Sri Lanka,Mongolia,Polynesia,Croatia,Bulgaria,Montenegro,Occupied Palestinian Territory
1961,251120.0,176576.0,238755.0,,,262876.0,78571.0,,,46738.0,,,,50000.0,,177398.0,,261538.0,,68148.0,,169048.0,,,110508.0,109091.0,,80000.0,111137.0,214795.0,192308.0,156000.0,,132000.0,84667.0,230000.0,,88235.0,250997.0,180000.0,40000.0,511337.0,,137500.0,,,,175000.0,91496.0,244443.0,,60606.0,122769.0,244211.0,232143.0,,137143.0,,,,133333.0,135550.0,,175862.0,113746.0,,,170880.0,274771.0,149153.0,80000.0,144444.0,156652.0,140000.0,,,,203151.0,152000.0,,157143.0,429705.0,99383.0,181250.0,,,251778.0,335404.0,,132359.0,173913.0,,100000.0,,55357.0,,,,,,80000.0,57563.0,175035.0,,,284699.0,159967.0,419355.0,,145886.0,239456.0,,,,133333.0,144447.0,185000.0,71010.0,67800.0,,192308.0,100000.0,,106891.0,188350.0,,220156.0,,264763.0,333333.0,43560.0,,,,150881.0,,225000.0,16250.0,,250000.0,,52000.0,,166667.0,60606.0,83333.0,200000.0,,,,,268000.0,100000.0,89198.0,,80000.0,,672347.0,,
1962,259586.0,166548.0,209679.0,,,268555.0,78571.0,,,41725.0,,,,54000.0,,151136.0,,257143.0,,65385.0,,166667.0,,,111451.0,105882.0,,80000.0,129331.0,200650.0,222222.0,160000.0,,127273.0,84667.0,428161.0,,89655.0,250009.0,171875.0,33333.0,377365.0,,135294.0,,,,175000.0,103435.0,208562.0,,60000.0,129759.0,248657.0,241511.0,,134091.0,,,,156250.0,134095.0,,175862.0,107271.0,,,173739.0,272565.0,148667.0,84000.0,142857.0,142164.0,120000.0,,,,185810.0,158000.0,,157143.0,355964.0,102975.0,148333.0,,,253378.0,246216.0,,140499.0,173077.0,,100000.0,,66260.0,,,,,,70000.0,59434.0,149676.0,,,276867.0,166667.0,379208.0,,145347.0,220486.0,,,,133333.0,149173.0,190000.0,71168.0,54545.0,,192308.0,100000.0,,104906.0,208475.0,,253677.0,,216009.0,380000.0,46340.0,,,,139552.0,,223810.0,16364.0,,246154.0,,52885.0,,166667.0,58824.0,93333.0,180000.0,,,,,280769.0,115385.0,49280.0,,84000.0,,656235.0,,
1963,249878.0,158269.0,239627.0,,,268299.0,77273.0,,,42557.0,,,,56667.0,,165073.0,,200000.0,,65357.0,,200000.0,,,111670.0,108824.0,,80000.0,149013.0,232548.0,250000.0,190000.0,,94821.0,85205.0,389545.0,,88889.0,254019.0,172727.0,40000.0,385033.0,,152941.0,,,,175000.0,131384.0,210948.0,,60606.0,114769.0,242678.0,213715.0,,132609.0,,,,144444.0,132818.0,,176027.0,117644.0,,,176205.0,270175.0,158800.0,88000.0,141667.0,138231.0,120000.0,,,,231155.0,167143.0,,157143.0,484864.0,92330.0,182500.0,,,250267.0,326895.0,,93103.0,166667.0,,100000.0,,66939.0,,,,,,75000.0,56360.0,178936.0,,,278747.0,166667.0,420112.0,,153907.0,289855.0,,,,130435.0,154924.0,195000.0,71008.0,54545.0,,192308.0,100000.0,,105821.0,211111.0,,290977.0,,298611.0,491228.0,53531.0,,,,186266.0,,223333.0,18125.0,,228571.0,,53704.0,,170213.0,60000.0,93333.0,200000.0,,,,,311538.0,115300.0,91558.0,,88000.0,,634907.0,,
1964,251738.0,198052.0,222170.0,,,277777.0,77273.0,,,49280.0,,,,60833.0,,187915.0,,233750.0,,95733.0,,206250.0,,,109386.0,111765.0,,80000.0,163988.0,206380.0,275862.0,200000.0,,80320.0,87901.0,391329.0,,89247.0,237478.0,173529.0,37500.0,428565.0,,144444.0,,,,180000.0,139523.0,227632.0,,60241.0,129067.0,250354.0,212500.0,,131250.0,,,,150000.0,127304.0,,181690.0,128718.0,,,171157.0,264337.0,172927.0,92000.0,140741.0,132687.0,120000.0,,,,250413.0,164286.0,,157143.0,468108.0,90070.0,181429.0,,,252615.0,280127.0,,89744.0,166667.0,,100000.0,,80550.0,,,,,,76667.0,59299.0,185534.0,,,278209.0,152125.0,418014.0,,166076.0,240000.0,,,,130435.0,155796.0,200000.0,71037.0,54545.0,,192308.0,100000.0,,107005.0,186154.0,,263102.0,,269651.0,473214.0,52778.0,,,,172556.0,,219590.0,16486.0,,233333.0,,54464.0,,169811.0,61111.0,100000.0,166667.0,,,,,323077.0,120000.0,49316.0,,92000.0,,768629.0,,
1965,265105.0,188654.0,250211.0,,,293417.0,77273.0,,,50989.0,,,,67308.0,,160687.0,,166000.0,,99420.0,,195455.0,,,109864.0,111765.0,,80000.0,200399.0,229866.0,300000.0,216667.0,,86423.0,87839.0,420949.0,,89474.0,271650.0,173886.0,40000.0,534974.0,,150000.0,,,,180000.0,134545.0,248280.0,,60000.0,126193.0,242478.0,223110.0,,130000.0,,,,150000.0,122083.0,,175676.0,109134.0,,,181130.0,261485.0,180488.0,96000.0,140000.0,211520.0,123412.0,,,,219293.0,175714.0,,153950.0,349105.0,80265.0,158333.0,,,256727.0,294334.0,,136700.0,172414.0,,100000.0,,76947.0,,,,,,81667.0,65225.0,177618.0,,,288772.0,163583.0,442945.0,,173058.0,259934.0,,,,133333.0,187562.0,200000.0,71119.0,54545.0,,207692.0,100000.0,,110321.0,190476.0,,291204.0,,257912.0,420611.0,54959.0,,,,193364.0,,180830.0,16579.0,,250000.0,,55172.0,,169643.0,60526.0,100000.0,183333.0,,,,,365385.0,120000.0,20929.0,,96000.0,,596126.0,,
1966,287138.0,191718.0,252028.0,,,308751.0,77778.0,,,47788.0,,,,53659.0,,220933.0,,179160.0,,80253.0,,155000.0,,,110204.0,111765.0,,80000.0,176571.0,229590.0,322581.0,216667.0,,87213.0,78501.0,263371.0,,91579.0,274976.0,171111.0,40000.0,547163.0,,150000.0,,,,180000.0,151001.0,321284.0,,60241.0,136484.0,248221.0,235945.0,,129630.0,,,,145455.0,115125.0,,175676.0,127212.0,,,176425.0,261241.0,184211.0,100000.0,139394.0,228095.0,145997.0,,,,238823.0,175000.0,,153822.0,455082.0,81032.0,152000.0,,,255818.0,339732.0,,136700.0,20000.0,,100000.0,,74448.0,,,,,,74286.0,67511.0,177929.0,,,325770.0,160027.0,509497.0,,174298.0,230503.0,,,,133333.0,160417.0,200000.0,75499.0,55556.0,,207692.0,100000.0,,101784.0,188571.0,,304215.0,,260984.0,455224.0,61786.0,,,,202897.0,,258446.0,16667.0,,247059.0,,55833.0,,166667.0,61111.0,100000.0,214733.0,,,,,357143.0,121622.0,38257.0,,100000.0,,744162.0,,
1967,264337.0,215826.0,246853.0,,,291267.0,77778.0,,,54444.0,,,,56757.0,,207500.0,,165354.0,,77583.0,,185000.0,,,103448.0,111561.0,,82857.0,161169.0,225219.0,328125.0,216667.0,,118315.0,83545.0,513737.0,,90000.0,280453.0,166667.0,42857.0,565173.0,,147368.0,,,,176000.0,142204.0,325346.0,,60465.0,126490.0,221982.0,209123.0,,133333.0,141667.0,,,140000.0,113320.0,,176667.0,115205.0,,,190230.0,256302.0,188421.0,106000.0,138889.0,204368.0,150779.0,,,,251861.0,175000.0,,149664.0,400231.0,81290.0,152000.0,,,251846.0,314489.0,,133590.0,20000.0,,100000.0,,78779.0,,,,,,77143.0,70103.0,181658.0,,,335112.0,144192.0,501139.0,,177719.0,291429.0,,,,133333.0,250943.0,200000.0,72815.0,55556.0,,207692.0,100000.0,,107605.0,171667.0,,316053.0,,295299.0,446515.0,66731.0,,,,211952.0,,255574.0,16512.0,,245714.0,,70000.0,,169355.0,61111.0,100000.0,238083.0,,,,,385714.0,125000.0,48898.0,,106000.0,,661882.0,,
1968,259865.0,200422.0,240554.0,,,284990.0,77778.0,,,61111.0,,,,56383.0,,244193.0,,161881.0,,78167.0,,185000.0,,,109524.0,111932.0,,82857.0,176794.0,233469.0,339394.0,116667.0,,237204.0,62821.0,307990.0,,86000.0,204496.0,169152.0,40000.0,576873.0,,152632.0,,,,178000.0,153590.0,306538.0,,60000.0,140587.0,231643.0,204759.0,,131579.0,34483.0,,,146154.0,113269.0,,180000.0,127560.0,,,194778.0,256573.0,204211.0,110000.0,142105.0,217326.0,122636.0,,,,212996.0,167143.0,,151940.0,402727.0,90727.0,166000.0,,,277091.0,296542.0,,135644.0,20000.0,,100000.0,,72251.0,,,,,,80000.0,80554.0,182267.0,,,317747.0,136636.0,403030.0,,193366.0,249042.0,,,,133333.0,123529.0,200000.0,70243.0,55556.0,,207692.0,100000.0,,122726.0,184868.0,,347739.0,,257013.0,459813.0,69400.0,,,,178717.0,,238142.0,16591.0,,250000.0,,66364.0,,169231.0,61111.0,96667.0,199824.0,,,,,373333.0,149854.0,70207.0,,110000.0,,618673.0,,
1969,250828.0,194688.0,232788.0,,,270542.0,78000.0,,,62500.0,,,,52833.0,,202314.0,,160515.0,,82985.0,,185000.0,,,110638.0,111111.0,,75000.0,163409.0,220063.0,342647.0,163000.0,,248265.0,54701.0,406719.0,,91667.0,218955.0,171399.0,40000.0,1303970.0,,150000.0,,,,178571.0,163390.0,321518.0,,60215.0,121270.0,219350.0,216787.0,,133333.0,37037.0,,,142857.0,108429.0,,185430.0,122490.0,,,188221.0,255822.0,213889.0,116000.0,142857.0,239814.0,124629.0,,,,228722.0,166250.0,,151360.0,382478.0,93050.0,158333.0,,,276753.0,312074.0,,136810.0,20000.0,,100000.0,,65503.0,,,,,,75000.0,84532.0,200939.0,,,294672.0,129809.0,300000.0,,202326.0,210425.0,,,,130435.0,168899.0,200000.0,67778.0,55556.0,,200000.0,99091.0,,136875.0,194068.0,,353147.0,,234092.0,456296.0,72500.0,,,,188682.0,,246381.0,16458.0,,254054.0,,68000.0,,169118.0,60000.0,96667.0,248758.0,,,,,366667.0,149964.0,71786.0,,116000.0,,595028.0,,
1970,255510.0,203821.0,233461.0,,,267132.0,80769.0,,,66667.0,,,,60000.0,,205096.0,,186577.0,,74815.0,,176190.0,,,110000.0,110811.0,,75000.0,154144.0,238708.0,345714.0,136667.0,,210361.0,60349.0,339582.0,,107692.0,245765.0,169697.0,40000.0,884370.0,,155000.0,,,,178667.0,165363.0,313443.0,,61053.0,114236.0,245988.0,233107.0,,134615.0,42553.0,,,136667.0,103900.0,,190789.0,146194.0,,,217924.0,266764.0,225806.0,120000.0,140909.0,227463.0,129629.0,,,,282140.0,156667.0,,143300.0,374121.0,92701.0,161250.0,,,273625.0,305829.0,,135293.0,20000.0,,100000.0,,73380.0,,,,,,77500.0,83844.0,199402.0,,,332854.0,153989.0,356471.0,,209056.0,211538.0,,,,130435.0,189045.0,200000.0,65295.0,55556.0,,200000.0,108860.0,,135510.0,250746.0,,340522.0,,314197.0,449091.0,75652.0,,,,195052.0,,229494.0,16531.0,,252632.0,,84167.0,,171429.0,60000.0,93333.0,253862.0,,,,,360000.0,150000.0,148630.0,,120000.0,,540748.0,,
