,Paraguay,"China, mainland",Malawi,Brazil,China,Madagascar,Argentina
1961,-1.0,-1.0,5504.0,-1.0,-1.0,14000.0,22500.0
1962,-1.0,-1.0,5500.0,-1.0,-1.0,10000.0,22917.0
1963,-1.0,-1.0,5599.0,-1.0,-1.0,14000.0,24510.0
1964,-1.0,-1.0,5599.0,-1.0,-1.0,14800.0,22500.0
1965,-1.0,-1.0,5599.0,-1.0,-1.0,18200.0,7600.0
1966,-1.0,-1.0,5496.0,-1.0,-1.0,15250.0,34900.0
1967,-1.0,-1.0,5516.0,-1.0,-1.0,17720.0,20520.0
1968,-1.0,-1.0,5532.0,-1.0,-1.0,10400.0,27430.0
1969,-1.0,-1.0,5554.0,-1.0,-1.0,9420.0,14229.0
1970,-1.0,-1.0,5500.0,-1.0,-1.0,10985.0,27626.0
1971,-1.0,-1.0,5558.0,-1.0,-1.0,10500.0,21318.0
1972,-1.0,-1.0,5467.0,-1.0,-1.0,6820.0,31136.0
1973,-1.0,-1.0,5428.0,-1.0,-1.0,6536.0,12315.0
1974,-1.0,-1.0,5543.0,-1.0,-1.0,5861.0,26357.0
1975,-1.0,-1.0,5587.0,-1.0,-1.0,8794.0,27481.0
1976,-1.0,-1.0,5442.0,26044.0,-1.0,5387.0,22306.0
1977,-1.0,-1.0,5532.0,26783.0,-1.0,5355.0,19231.0
1978,-1.0,-1.0,5532.0,26052.0,-1.0,5355.0,15938.0
1979,-1.0,-1.0,5484.0,22997.0,-1.0,5122.0,11277.0
1980,-1.0,-1.0,5503.0,23981.0,-1.0,5769.0,15667.0
1981,-1.0,-1.0,5481.0,23886.0,-1.0,5769.0,18636.0
1982,-1.0,-1.0,5357.0,24960.0,-1.0,5714.0,18295.0
1983,42400.0,-1.0,5517.0,22436.0,-1.0,5862.0,8955.0
1984,42681.0,-1.0,5667.0,18443.0,-1.0,6000.0,15694.0
1985,44014.0,19935.0,5667.0,18404.0,19935.0,6000.0,15613.0
1986,42254.0,20366.0,5667.0,18978.0,20366.0,6129.0,10000.0
1987,43725.0,20102.0,5667.0,18075.0,20102.0,6250.0,12598.0
1988,41341.0,20497.0,5667.0,18518.0,20497.0,6364.0,17350.0
1989,42912.0,19692.0,5806.0,18454.0,19692.0,6471.0,17760.0
1990,39058.0,20365.0,4601.0,17451.0,20365.0,6571.0,29434.0
1991,42490.0,21132.0,5896.0,16787.0,21132.0,6571.0,25634.0
1992,42191.0,30149.0,5714.0,13976.0,30149.0,6620.0,17547.0
1993,40954.0,30073.0,5806.0,15260.0,30073.0,6667.0,22130.0
1994,42254.0,29377.0,5667.0,14748.0,29377.0,6471.0,15282.0
1995,45581.0,29789.0,5806.0,14105.0,29789.0,6571.0,17461.0
1996,40088.0,31478.0,5938.0,12107.0,31478.0,6667.0,16221.0
1997,40177.0,35432.0,5806.0,14286.0,35432.0,6757.0,24321.0
1998,40154.0,33239.0,5938.0,14005.0,33239.0,6757.0,18704.0
1999,39275.0,33964.0,6061.0,13650.0,33964.0,6842.0,20957.0
2000,35369.0,33590.0,6152.0,13919.0,33590.0,6757.0,19903.0
2001,40224.0,29906.0,6189.0,14849.0,29906.0,6683.0,25284.0
2002,33958.0,28329.0,6242.0,13987.0,28329.0,6757.0,18571.0
2003,31428.0,28151.0,6326.0,16732.0,28151.0,6757.0,23589.0
2004,40013.0,27245.0,6119.0,16725.0,27245.0,6800.0,19433.0
2005,36025.0,27310.0,6176.0,20815.0,27310.0,6800.0,25294.0
2006,38000.0,27356.0,7107.0,20815.0,27356.0,6842.0,22425.0
2007,46000.0,25443.0,7684.0,24566.0,25443.0,6750.0,22322.0
2008,53725.0,25584.0,8316.0,24724.0,25584.0,6614.0,18990.0
2009,53722.0,24486.0,9197.0,25556.0,24486.0,6562.0,27085.0
2010,58127.0,27976.0,9715.0,25854.0,27976.0,6559.0,26763.0
2011,58127.0,27703.0,10556.0,27886.0,27703.0,6603.0,24443.0
2012,58127.0,27730.0,10667.0,25000.0,27730.0,6625.0,23734.0
2013,40000.0,27162.0,10789.0,29333.0,27162.0,6500.0,24040.0
2014,58127.0,27105.0,10831.0,30505.0,27105.0,6451.0,24259.0
