,Ukraine,Estonia,Kenya,Bolivia (Plurinational State of),Peru,Georgia,Belarus,Croatia,Serbia,Israel,Serbia and Montenegro,Armenia,Tunisia,Syrian Arab Republic,Brazil,Belgium,United Kingdom,Ethiopia,Denmark,Canada,The former Yugoslav Republic of Macedonia,Greece,South Africa,Zimbabwe,Iraq,Cyprus,Netherlands,Japan,New Zealand,Bulgaria,Australia & New Zealand,United States of America,Yugoslav SFR,Mongolia,Democratic Republic of the Congo,Algeria,Slovenia,Morocco,Republic of Moldova,Tajikistan,Czechia,Lesotho,Argentina,Lithuania,Luxembourg,Democratic People's Republic of Korea,Germany,Austria,Uruguay,Czechoslovakia,Ethiopia PDR,Poland,Sweden,Switzerland,Mexico,USSR,Romania,Ecuador,Spain,Uzbekistan,Bosnia and Herzegovina,China,Ireland,Colombia,Latvia,Albania,Portugal,Slovakia,Lebanon,Kyrgyzstan,Azerbaijan,Hungary,Montenegro,Kazakhstan,Chile,Australia,France,Ghana,Finland,"China, mainland",Russian Federation,Turkey,Norway,Italy,Belgium-Luxembourg
1961,-1.0,-1.0,4214.0,6000.0,9565.0,-1.0,-1.0,-1.0,-1.0,11518.0,-1.0,-1.0,2009.0,7945.0,6648.0,-1.0,26431.0,-1.0,34995.0,12667.0,-1.0,9694.0,14773.0,-1.0,-1.0,5197.0,48232.0,20526.0,24236.0,12876.0,8207.0,15171.0,12318.0,5217.0,6414.0,3958.0,-1.0,5249.0,-1.0,-1.0,-1.0,13037.0,11731.0,-1.0,-1.0,16667.0,25789.0,21569.0,7467.0,20633.0,5000.0,18352.0,26900.0,31287.0,8092.0,6937.0,11290.0,10000.0,8490.0,-1.0,-1.0,9167.0,25632.0,-1.0,-1.0,6045.0,2422.0,-1.0,14615.0,-1.0,-1.0,12624.0,-1.0,-1.0,12302.0,7982.0,17976.0,-1.0,19897.0,9167.0,-1.0,10558.0,27988.0,13650.0,37736.0
1962,-1.0,-1.0,1318.0,6000.0,9746.0,-1.0,-1.0,-1.0,-1.0,11054.0,-1.0,-1.0,4071.0,8192.0,7661.0,-1.0,28809.0,-1.0,37112.0,17762.0,-1.0,10571.0,14143.0,-1.0,-1.0,7593.0,53126.0,17947.0,24383.0,7482.0,9528.0,16225.0,10110.0,5938.0,6134.0,6542.0,-1.0,10840.0,-1.0,-1.0,-1.0,14286.0,11831.0,-1.0,-1.0,17000.0,28755.0,22071.0,7015.0,20197.0,5000.0,17298.0,24800.0,34198.0,8644.0,7420.0,9635.0,10000.0,9344.0,-1.0,-1.0,7059.0,28286.0,-1.0,-1.0,7735.0,3603.0,-1.0,15455.0,-1.0,-1.0,13717.0,-1.0,-1.0,9836.0,9371.0,19375.0,-1.0,13506.0,7059.0,-1.0,10976.0,20156.0,14535.0,39671.0
1963,-1.0,-1.0,2128.0,6200.0,9583.0,-1.0,-1.0,-1.0,-1.0,12302.0,-1.0,-1.0,4190.0,5285.0,6259.0,-1.0,27985.0,-1.0,36101.0,18195.0,-1.0,10104.0,13000.0,-1.0,-1.0,7292.0,50717.0,19602.0,22089.0,10009.0,9099.0,16253.0,11216.0,7091.0,4106.0,6873.0,-1.0,6250.0,-1.0,-1.0,-1.0,14286.0,13070.0,-1.0,-1.0,17000.0,28814.0,22455.0,6551.0,19469.0,5000.0,16825.0,23999.0,28728.0,8681.0,6213.0,9544.0,10000.0,8832.0,-1.0,-1.0,9167.0,27444.0,-1.0,-1.0,5467.0,3342.0,-1.0,16364.0,-1.0,-1.0,11837.0,-1.0,-1.0,11687.0,9019.0,22348.0,-1.0,18475.0,9167.0,-1.0,12500.0,25677.0,13705.0,40589.0
1964,-1.0,-1.0,1498.0,6200.0,9896.0,-1.0,-1.0,-1.0,-1.0,15385.0,-1.0,-1.0,2000.0,8110.0,7417.0,-1.0,29615.0,-1.0,38961.0,16565.0,-1.0,11695.0,15000.0,-1.0,-1.0,3797.0,53162.0,17697.0,25653.0,11457.0,9107.0,15472.0,9768.0,6156.0,6200.0,7204.0,-1.0,9130.0,-1.0,-1.0,-1.0,14286.0,14126.0,-1.0,-1.0,17000.0,29035.0,22887.0,10526.0,17181.0,5000.0,14212.0,30487.0,33494.0,8750.0,8645.0,8863.0,11000.0,7660.0,-1.0,-1.0,10000.0,26795.0,-1.0,-1.0,6878.0,2790.0,-1.0,15000.0,-1.0,-1.0,7742.0,-1.0,-1.0,12185.0,8980.0,21111.0,-1.0,15787.0,10000.0,-1.0,13415.0,24072.0,12126.0,41303.0
1965,-1.0,-1.0,2550.0,6400.0,11022.0,-1.0,-1.0,-1.0,-1.0,14981.0,-1.0,-1.0,2609.0,9337.0,7668.0,-1.0,30177.0,-1.0,38327.0,18230.0,-1.0,12496.0,15500.0,-1.0,-1.0,11685.0,36163.0,22013.0,28839.0,8770.0,7448.0,18001.0,10657.0,5640.0,6122.0,5563.0,-1.0,8830.0,-1.0,-1.0,-1.0,14286.0,11415.0,-1.0,-1.0,16346.0,28475.0,20105.0,6628.0,17155.0,5000.0,18848.0,30093.0,29167.0,8780.0,8404.0,10704.0,12500.0,7370.0,-1.0,-1.0,10000.0,28176.0,-1.0,-1.0,6880.0,3649.0,-1.0,15385.0,-1.0,-1.0,11207.0,-1.0,-1.0,11706.0,7228.0,23445.0,-1.0,21621.0,10000.0,-1.0,13500.0,24862.0,14362.0,37487.0
1966,-1.0,-1.0,2341.0,6600.0,9300.0,-1.0,-1.0,-1.0,-1.0,6849.0,-1.0,-1.0,3125.0,8148.0,7366.0,-1.0,30578.0,-1.0,36950.0,18017.0,-1.0,14142.0,14667.0,-1.0,-1.0,7593.0,35967.0,18805.0,27790.0,16083.0,11426.0,16118.0,12063.0,6735.0,5683.0,1680.0,-1.0,5909.0,-1.0,-1.0,-1.0,14286.0,13094.0,-1.0,-1.0,16667.0,29303.0,25837.0,7817.0,19214.0,5000.0,18788.0,25075.0,32715.0,8075.0,11561.0,12329.0,15000.0,9426.0,-1.0,-1.0,9091.0,28802.0,-1.0,-1.0,9500.0,2904.0,-1.0,20000.0,-1.0,-1.0,11879.0,-1.0,-1.0,16242.0,11277.0,23570.0,-1.0,18392.0,9091.0,-1.0,12750.0,22183.0,13296.0,34219.0
1967,-1.0,-1.0,2298.0,6600.0,9509.0,-1.0,-1.0,-1.0,-1.0,14286.0,-1.0,-1.0,3211.0,8519.0,7694.0,-1.0,33847.0,-1.0,37227.0,15585.0,-1.0,13789.0,16900.0,-1.0,-1.0,8974.0,41476.0,22105.0,30265.0,14024.0,5426.0,17674.0,12060.0,6842.0,6251.0,7216.0,-1.0,8571.0,-1.0,-1.0,-1.0,14286.0,13300.0,-1.0,-1.0,16364.0,33068.0,27118.0,6086.0,22273.0,5000.0,19732.0,30680.0,35350.0,9031.0,11994.0,12849.0,12500.0,10137.0,-1.0,-1.0,10000.0,30520.0,-1.0,-1.0,10054.0,4897.0,-1.0,15000.0,-1.0,-1.0,15588.0,-1.0,-1.0,16867.0,5257.0,27121.0,-1.0,20647.0,10000.0,-1.0,13077.0,27270.0,15549.0,40896.0
1968,-1.0,-1.0,7375.0,6600.0,9492.0,-1.0,-1.0,-1.0,-1.0,18868.0,-1.0,-1.0,3211.0,8294.0,8711.0,-1.0,32187.0,-1.0,39549.0,18293.0,-1.0,10582.0,16429.0,-1.0,-1.0,9111.0,42062.0,22391.0,32532.0,7922.0,11102.0,19256.0,10351.0,4233.0,6250.0,6783.0,-1.0,10205.0,-1.0,-1.0,-1.0,14286.0,11056.0,-1.0,-1.0,16364.0,34889.0,27260.0,8201.0,21371.0,5000.0,20735.0,32732.0,35710.0,10074.0,11636.0,8624.0,9600.0,10612.0,-1.0,-1.0,10000.0,32318.0,-1.0,-1.0,10000.0,5778.0,-1.0,13000.0,-1.0,-1.0,12595.0,-1.0,-1.0,15006.0,10914.0,26652.0,-1.0,21744.0,10000.0,-1.0,12329.0,35166.0,12082.0,39836.0
1969,-1.0,-1.0,8019.0,6515.0,9430.0,-1.0,-1.0,-1.0,-1.0,14634.0,-1.0,-1.0,3211.0,8259.0,8656.0,-1.0,34212.0,-1.0,37388.0,18532.0,-1.0,12108.0,12857.0,-1.0,-1.0,8860.0,38983.0,19792.0,33039.0,10374.0,9342.0,19277.0,11313.0,2640.0,6250.0,6567.0,-1.0,4696.0,-1.0,-1.0,-1.0,14286.0,12981.0,-1.0,-1.0,16964.0,33712.0,28314.0,5645.0,24177.0,5000.0,22407.0,23590.0,35964.0,7688.0,12645.0,10459.0,8000.0,10614.0,-1.0,-1.0,8000.0,32783.0,-1.0,-1.0,10263.0,3642.0,-1.0,20000.0,-1.0,-1.0,16751.0,-1.0,-1.0,11772.0,9070.0,27131.0,-1.0,23565.0,8000.0,-1.0,13364.0,25813.0,15750.0,37011.0
1970,-1.0,-1.0,7400.0,6571.0,8732.0,-1.0,-1.0,-1.0,-1.0,12752.0,-1.0,-1.0,2650.0,7072.0,8713.0,-1.0,32347.0,-1.0,34238.0,19551.0,-1.0,13537.0,15125.0,-1.0,-1.0,5695.0,36776.0,22409.0,27466.0,13835.0,10613.0,17655.0,10919.0,4605.0,6250.0,6261.0,-1.0,6368.0,-1.0,-1.0,-1.0,14286.0,12012.0,-1.0,-1.0,16964.0,29395.0,26808.0,9407.0,20712.0,5000.0,20960.0,33096.0,35882.0,7938.0,13816.0,8896.0,10000.0,8317.0,-1.0,-1.0,9500.0,30446.0,-1.0,-1.0,10263.0,3770.0,-1.0,20000.0,-1.0,-1.0,12992.0,-1.0,-1.0,15212.0,10385.0,26108.0,-1.0,25361.0,9500.0,-1.0,12969.0,33636.0,16053.0,30951.0
