,Paraguay,Brazil,Burundi,Ethiopia,Sudan (former),Argentina
1961,5300.0,-1.0,-1,-1,-1.0,-1.0
1962,5300.0,-1.0,-1,-1,-1.0,-1.0
1963,6700.0,-1.0,-1,-1,-1.0,-1.0
1964,7300.0,-1.0,-1,-1,-1.0,-1.0
1965,8300.0,-1.0,-1,-1,-1.0,-1.0
1966,8700.0,-1.0,-1,-1,-1.0,-1.0
1967,6000.0,-1.0,-1,-1,-1.0,-1.0
1968,6300.0,-1.0,-1,-1,-1.0,-1.0
1969,6700.0,-1.0,-1,-1,-1.0,-1.0
1970,6500.0,-1.0,-1,-1,-1.0,-1.0
1971,5200.0,-1.0,-1,-1,-1.0,-1.0
1972,6100.0,-1.0,-1,-1,-1.0,-1.0
1973,5500.0,-1.0,-1,-1,-1.0,-1.0
1974,6200.0,-1.0,-1,-1,-1.0,-1.0
1975,6600.0,-1.0,-1,-1,-1.0,-1.0
1976,6800.0,-1.0,-1,-1,-1.0,-1.0
1977,7500.0,-1.0,-1,-1,-1.0,-1.0
1978,8200.0,-1.0,-1,-1,-1.0,-1.0
1979,8600.0,-1.0,-1,-1,-1.0,-1.0
1980,10000.0,-1.0,-1,-1,-1.0,79344.0
1981,11700.0,4859.0,-1,-1,-1.0,88623.0
1982,13700.0,4930.0,-1,-1,-1.0,90000.0
1983,13500.0,5299.0,-1,-1,-1.0,82000.0
1984,13900.0,5632.0,-1,-1,-1.0,91700.0
1985,14400.0,6049.0,-1,-1,-1.0,88200.0
1986,14800.0,7251.0,-1,-1,-1.0,100700.0
1987,11991.0,7633.0,-1,-1,-1.0,105450.0
1988,12508.0,8144.0,-1,-1,-1.0,102950.0
1989,13376.0,8398.0,-1,-1,-1.0,96713.0
1990,14339.0,8494.0,-1,-1,0.0,101842.0
1991,19792.0,10211.0,-1,-1,-1.0,106487.0
1992,21000.0,10844.0,-1,-1,-1.0,108820.0
1993,21400.0,18841.0,-1,-1,-1.0,158373.0
1994,21100.0,16457.0,-1,-1,-1.0,153980.0
1995,28466.0,22754.0,-1,-1,-1.0,149960.0
1996,28852.0,32836.0,-1,-1,-1.0,163450.0
1997,29226.0,39379.0,-1,-1,-1.0,144650.0
1998,29280.0,57429.0,-1,-1,-1.0,154600.0
1999,32194.0,62154.0,-1,-1,-1.0,150000.0
2000,31609.0,69029.0,-1,-1,-1.0,178000.0
2001,32804.0,84009.0,-1,-1,-1.0,176400.0
2002,34713.0,79616.0,-1,-1,-1.0,175100.0
2003,31118.0,84438.0,-1,-1,-1.0,156050.0
2004,28006.0,74800.0,-1,-1,-1.0,160950.0
2005,27350.0,76101.0,-1,-1,-1.0,166100.0
2006,30480.0,78633.0,-1,-1,-1.0,171500.0
2007,32000.0,74526.0,-1,-1,-1.0,168450.0
2008,18305.0,71217.0,-1,-1,-1.0,173940.0
2009,18320.0,70588.0,-1,-1,-1.0,175550.0
2010,18299.0,68183.0,-1,-1,-1.0,204221.0
2011,18299.0,71185.0,-1,-1,-1.0,178500.0
2012,20000.0,76347.0,-1,-1,-1.0,178500.0
2013,20000.0,67397.0,-1,-1,-1.0,178995.0
2014,20000.0,70835.0,-1,-1,-1.0,175165.0
