,Cuba,Jamaica,Vanuatu,France,Israel,Fiji,Australia,Venezuela (Bolivarian Republic of),Madagascar,Pakistan,French Guiana,United Republic of Tanzania,Paraguay,Samoa,Saint Kitts and Nevis,Indonesia,Ethiopia,Kenya,Guyana,Costa Rica,Bangladesh,Senegal,Wallis and Futuna Islands,Zambia,Australia & New Zealand,Papua New Guinea,Suriname,Niue,China,Burkina Faso,Mozambique,Armenia,Sudan (former),Morocco,Jordan,Saint Lucia,Colombia,Spain,Malawi,India,Algeria,"China, Taiwan Province of",Ecuador,Réunion,Kiribati,Seychelles,Antigua and Barbuda,Tuvalu,South Sudan,Egypt,Melanesia,Malaysia,Grenada,Mexico,Yemen,Haiti,Timor-Leste,Tunisia,Polynesia,Micronesia,Zimbabwe,Barbados,Turkey,Dominican Republic,Bahamas,Tonga,Iran (Islamic Republic of),Peru,Djibouti,Philippines,Thailand,Guinea,"China, mainland",French Polynesia,Guadeloupe,Tokelau,Cyprus,United Arab Emirates,Côte d'Ivoire,Rwanda,New Zealand,Myanmar,Brazil,Liberia,Nauru
1961,16000.0,99107.0,250.0,,250.0,140.0,897.0,5670.0,41000.0,56600.0,-1.0,21000.0,10000.0,3900.0,1200.0,715000.0,,1000.0,750.0,-1.0,120000.0,3000.0,4000.0,32000.0,2054.0,1000.0,-1.0,4.0,334026.0,3300.0,16000.0,,-1.0,,-1.0,1550.0,-1.0,2129.0,-1.0,1475000.0,,29026.0,,,470.0,125.0,5700.0,245.0,,,1390.0,100000.0,-1.0,113002.0,,-1.0,8000.0,17000.0,8689.0,570.0,,980.0,-1.0,-1.0,2300.0,500.0,,-1.0,-1.0,1605000.0,250000.0,33000.0,305000.0,,2000.0,40.0,,,2000.0,-1.0,1157.0,-1.0,55000.0,1500.0,100.0
1962,18000.0,100352.0,260.0,,250.0,140.0,1025.0,6166.0,51000.0,116700.0,-1.0,21000.0,10300.0,4000.0,1200.0,720000.0,,1000.0,780.0,-1.0,127000.0,3100.0,4000.0,32500.0,2198.0,1000.0,-1.0,4.0,315840.0,3350.0,16000.0,,-1.0,50.0,-1.0,1560.0,-1.0,2149.0,-1.0,1520000.0,,30840.0,,,480.0,127.0,5800.0,250.0,,,1400.0,105000.0,-1.0,129723.0,,-1.0,8000.0,17000.0,8844.0,580.0,,1010.0,-1.0,-1.0,2400.0,550.0,,-1.0,-1.0,1590000.0,250000.0,33000.0,285000.0,,1000.0,40.0,,,2000.0,-1.0,1173.0,-1.0,58000.0,1500.0,100.0
1963,19000.0,105707.0,280.0,,470.0,140.0,1245.0,6678.0,51000.0,124300.0,-1.0,22000.0,10600.0,4200.0,1200.0,725000.0,,1000.0,800.0,-1.0,127000.0,3200.0,4000.0,33000.0,2506.0,1000.0,-1.0,5.0,333038.0,3400.0,16000.0,,-1.0,60.0,-1.0,1570.0,-1.0,1878.0,-1.0,1520000.0,,33038.0,,,490.0,127.0,5900.0,255.0,,,1420.0,110000.0,-1.0,136523.0,,-1.0,8000.0,17000.0,9100.0,590.0,,1040.0,-1.0,-1.0,2500.0,600.0,,-1.0,-1.0,1600000.0,250000.0,33000.0,300000.0,,1000.0,40.0,,,2000.0,-1.0,1261.0,-1.0,60000.0,1530.0,100.0
1964,16884.0,104645.0,300.0,,600.0,141.0,1683.0,7265.0,65000.0,82200.0,-1.0,22000.0,11000.0,4250.0,1100.0,735000.0,,1000.0,830.0,-1.0,129000.0,3300.0,4000.0,33500.0,3306.0,1000.0,-1.0,5.0,333759.0,3450.0,17000.0,,-1.0,100.0,-1.0,1580.0,-1.0,2618.0,-1.0,1580000.0,,38759.0,,,500.0,128.0,6000.0,260.0,,,1441.0,105000.0,-1.0,138875.0,,-1.0,8000.0,17300.0,9207.0,600.0,,1070.0,-1.0,-1.0,2600.0,650.0,,-1.0,-1.0,1605000.0,250000.0,33000.0,295000.0,,1200.0,42.0,,,2000.0,-1.0,1623.0,-1.0,62000.0,1540.0,100.0
1965,23916.0,101039.0,315.0,,700.0,140.0,1779.0,7900.0,72000.0,69300.0,-1.0,23000.0,11300.0,4350.0,1100.0,745000.0,,1000.0,850.0,-1.0,156000.0,3400.0,4000.0,34000.0,4012.0,1000.0,-1.0,6.0,367309.0,3500.0,17000.0,,-1.0,200.0,-1.0,1590.0,-1.0,2599.0,-1.0,1590000.0,,52309.0,,,520.0,128.0,6100.0,260.0,,,1455.0,107000.0,-1.0,157880.0,,-1.0,8000.0,32900.0,9358.0,640.0,,1100.0,-1.0,-1.0,2700.0,700.0,,-1.0,-1.0,1645000.0,254600.0,33000.0,315000.0,,1500.0,42.0,,,2000.0,-1.0,2233.0,-1.0,64000.0,1580.0,120.0
1966,23493.0,76489.0,330.0,,250.0,150.0,1902.0,8610.0,74000.0,88500.0,-1.0,23000.0,11600.0,4500.0,1100.0,750000.0,,1000.0,870.0,-1.0,143300.0,3500.0,4000.0,34500.0,5844.0,1000.0,-1.0,,350990.0,3600.0,17000.0,,-1.0,420.0,-1.0,1595.0,-1.0,4048.0,-1.0,1625000.0,5.0,50990.0,,,540.0,129.0,6200.0,260.0,,,1480.0,126000.0,-1.0,166886.0,,-1.0,8000.0,55400.0,9552.0,660.0,,1130.0,-1.0,-1.0,2800.0,750.0,,-1.0,-1.0,1675000.0,256500.0,33000.0,300000.0,,1500.0,42.0,,,2100.0,-1.0,3942.0,-1.0,66000.0,1600.0,120.0
1967,25133.0,74558.0,350.0,,300.0,180.0,1841.0,9391.0,76000.0,86200.0,-1.0,24000.0,12000.0,5000.0,1100.0,755000.0,,1000.0,890.0,-1.0,207300.0,3600.0,4250.0,35500.0,5494.0,1050.0,-1.0,,373246.0,3800.0,18000.0,,-1.0,400.0,-1.0,1610.0,-1.0,3915.0,-1.0,1675000.0,5.0,73246.0,,,560.0,129.0,6300.0,240.0,,,1580.0,129000.0,-1.0,168104.0,,-1.0,8000.0,56100.0,10335.0,680.0,,1150.0,-1.0,-1.0,2900.0,800.0,,-1.0,-1.0,1685000.0,304000.0,33000.0,300000.0,,1500.0,45.0,,,2200.0,-1.0,3653.0,-1.0,68000.0,1650.0,120.0
1968,32890.0,41004.0,370.0,,350.0,110.0,1824.0,10280.0,78000.0,76800.0,-1.0,25000.0,12300.0,5500.0,1100.0,765000.0,,1000.0,910.0,-1.0,219500.0,3700.0,4250.0,37000.0,5444.0,633.0,-1.0,,371767.0,3900.0,18000.0,,-1.0,1300.0,-1.0,1630.0,-1.0,4334.0,-1.0,1720000.0,10.0,74767.0,,,580.0,130.0,6400.0,220.0,,,1113.0,131000.0,-1.0,176932.0,,-1.0,8120.0,24000.0,10865.0,700.0,,1180.0,-1.0,-1.0,3000.0,850.0,,-1.0,-1.0,1665000.0,307800.0,33000.0,297000.0,,1600.0,45.0,,,2300.0,-1.0,3620.0,-1.0,70000.0,1700.0,120.0
1969,30824.0,43950.0,385.0,,350.0,212.0,2428.0,10949.0,80000.0,83000.0,-1.0,30000.0,12600.0,5800.0,1100.0,775000.0,,1000.0,930.0,-1.0,216400.0,3800.0,4250.0,38000.0,5813.0,334.0,-1.0,150.0,381224.0,4000.0,18000.0,,-1.0,1000.0,-1.0,1655.0,-1.0,2929.0,-1.0,1760000.0,15.0,61224.0,,,600.0,130.0,6500.0,200.0,,,931.0,134000.0,-1.0,168985.0,,-1.0,8260.0,25000.0,11345.0,740.0,,1210.0,-1.0,-1.0,3100.0,900.0,,-1.0,-1.0,1625000.0,323000.0,33000.0,320000.0,,1700.0,45.0,,,2500.0,-1.0,3385.0,-1.0,72000.0,1760.0,140.0
1970,20704.0,44551.0,400.0,,350.0,537.0,3151.0,11740.0,85000.0,88295.0,-1.0,30000.0,14110.0,6000.0,1100.0,785000.0,,1000.0,955.0,-1.0,209300.0,4000.0,4250.0,39000.0,5738.0,1142.0,-1.0,220.0,409730.0,4200.0,19000.0,,-1.0,500.0,-1.0,1670.0,-1.0,9631.0,-1.0,1730000.0,10.0,79730.0,,,620.0,131.0,6600.0,180.0,,,2079.0,136000.0,-1.0,153027.0,,-1.0,8428.0,19500.0,11648.0,760.0,,1230.0,-1.0,-1.0,3200.0,950.0,,92572.0,-1.0,1580000.0,342000.0,33000.0,330000.0,,1800.0,48.0,,,2900.0,-1.0,2587.0,-1.0,73000.0,1820.0,140.0
