,Slovakia,Germany,The former Yugoslav Republic of Macedonia,Austria,Occupied Palestinian Territory,Hungary,Czechoslovakia,Serbia,Bulgaria,Yugoslav SFR,Romania,Serbia and Montenegro,France,Croatia,Netherlands,Denmark,Czechia,Spain,Turkey
1961,-1.0,6248.0,-1.0,9057.0,-1.0,3624.0,6423.0,-1.0,3606.0,6004.0,4881.0,-1.0,10247.0,-1.0,10199.0,10415.0,-1.0,-1.0,4832.0
1962,-1.0,6774.0,-1.0,8625.0,-1.0,3573.0,5504.0,-1.0,2109.0,4663.0,3607.0,-1.0,7778.0,-1.0,8519.0,10000.0,-1.0,-1.0,5472.0
1963,-1.0,6107.0,-1.0,8786.0,-1.0,3939.0,5762.0,-1.0,1889.0,5014.0,2400.0,-1.0,8182.0,-1.0,9375.0,4000.0,-1.0,-1.0,5000.0
1964,-1.0,5331.0,-1.0,8807.0,-1.0,2720.0,4395.0,-1.0,4145.0,5357.0,2807.0,-1.0,7178.0,-1.0,10000.0,2000.0,-1.0,-1.0,2857.0
1965,-1.0,5955.0,-1.0,7778.0,-1.0,3040.0,3635.0,-1.0,4069.0,5829.0,4464.0,-1.0,8246.0,-1.0,10000.0,7246.0,-1.0,-1.0,4933.0
1966,-1.0,5438.0,-1.0,9640.0,-1.0,3105.0,5163.0,-1.0,2665.0,5972.0,4769.0,-1.0,8035.0,-1.0,10156.0,6993.0,-1.0,-1.0,5000.0
1967,-1.0,5819.0,-1.0,9943.0,-1.0,4174.0,5211.0,-1.0,3029.0,6436.0,5714.0,-1.0,7346.0,-1.0,12275.0,7143.0,-1.0,-1.0,3398.0
1968,-1.0,6473.0,-1.0,10585.0,-1.0,2680.0,5641.0,-1.0,1269.0,5344.0,2353.0,-1.0,7848.0,-1.0,11176.0,6818.0,-1.0,-1.0,6000.0
1969,-1.0,6065.0,-1.0,9474.0,-1.0,4268.0,6616.0,-1.0,2368.0,6008.0,2500.0,-1.0,6241.0,-1.0,10348.0,5961.0,-1.0,-1.0,8357.0
1970,-1.0,5753.0,-1.0,11497.0,-1.0,3518.0,6156.0,-1.0,5191.0,6096.0,4375.0,-1.0,7800.0,-1.0,12019.0,7567.0,-1.0,-1.0,10646.0
1971,-1.0,6448.0,-1.0,9517.0,-1.0,5067.0,7500.0,-1.0,4340.0,6317.0,3065.0,-1.0,6333.0,-1.0,14556.0,10129.0,-1.0,-1.0,10450.0
1972,-1.0,6778.0,-1.0,9085.0,-1.0,4361.0,8676.0,-1.0,6230.0,5435.0,3810.0,-1.0,4895.0,-1.0,13998.0,7980.0,-1.0,-1.0,9160.0
1973,-1.0,5866.0,-1.0,9259.0,-1.0,4366.0,6399.0,-1.0,2837.0,6465.0,4167.0,-1.0,5107.0,-1.0,10230.0,6521.0,-1.0,-1.0,8571.0
1974,-1.0,7485.0,-1.0,8750.0,-1.0,6649.0,7240.0,-1.0,5118.0,6529.0,4211.0,-1.0,7059.0,-1.0,11503.0,12861.0,-1.0,-1.0,8571.0
1975,-1.0,6771.0,-1.0,9042.0,-1.0,3947.0,5366.0,-1.0,12454.0,6126.0,2462.0,-1.0,7634.0,-1.0,13248.0,7461.0,-1.0,-1.0,7574.0
1976,-1.0,3145.0,-1.0,9358.0,-1.0,3951.0,2465.0,-1.0,1858.0,7106.0,5488.0,-1.0,7634.0,-1.0,11152.0,6148.0,-1.0,-1.0,7247.0
1977,-1.0,6339.0,-1.0,7752.0,-1.0,4692.0,5771.0,-1.0,3023.0,6198.0,5761.0,-1.0,4715.0,-1.0,13652.0,10211.0,-1.0,-1.0,5701.0
1978,-1.0,5612.0,-1.0,9319.0,-1.0,5090.0,7520.0,-1.0,12727.0,5702.0,4524.0,-1.0,4243.0,-1.0,15284.0,6903.0,-1.0,-1.0,6291.0
1979,-1.0,7041.0,-1.0,11563.0,-1.0,3610.0,4581.0,-1.0,2524.0,6031.0,2278.0,-1.0,4167.0,-1.0,11925.0,12420.0,-1.0,-1.0,7391.0
1980,-1.0,5570.0,-1.0,9878.0,-1.0,6301.0,5347.0,-1.0,-1.0,6823.0,3614.0,-1.0,4182.0,-1.0,10924.0,6800.0,-1.0,-1.0,7969.0
