,Ukraine,Chile,Belarus,USSR,Bulgaria,United States of America,Romania,Azerbaijan,Tunisia,The former Yugoslav Republic of Macedonia,Canada,Latvia
1961,-1.0,-1.0,-1.0,-1.0,-1.0,64611.0,-1.0,-1.0,-1.0,-1.0,65200.0,-1.0
1962,-1.0,-1.0,-1.0,-1.0,-1.0,72209.0,-1.0,-1.0,-1.0,-1.0,53333.0,-1.0
1963,-1.0,-1.0,-1.0,-1.0,-1.0,69905.0,-1.0,-1.0,-1.0,-1.0,60625.0,-1.0
1964,-1.0,-1.0,-1.0,-1.0,-1.0,72036.0,-1.0,-1.0,-1.0,-1.0,59000.0,-1.0
1965,-1.0,-1.0,-1.0,-1.0,-1.0,77290.0,-1.0,-1.0,-1.0,-1.0,70300.0,-1.0
1966,-1.0,-1.0,-1.0,-1.0,-1.0,84864.0,-1.0,-1.0,-1.0,-1.0,81500.0,-1.0
1967,-1.0,-1.0,-1.0,-1.0,-1.0,74240.0,-1.0,-1.0,-1.0,-1.0,110500.0,-1.0
1968,-1.0,-1.0,-1.0,-1.0,-1.0,77454.0,-1.0,-1.0,-1.0,-1.0,138190.0,-1.0
1969,-1.0,-1.0,-1.0,-1.0,-1.0,96044.0,-1.0,-1.0,-1.0,-1.0,123810.0,-1.0
1970,-1.0,-1.0,-1.0,-1.0,-1.0,105214.0,-1.0,-1.0,-1.0,-1.0,111917.0,-1.0
1971,-1.0,-1.0,-1.0,-1.0,-1.0,113387.0,-1.0,-1.0,-1.0,-1.0,95920.0,-1.0
1972,-1.0,-1.0,-1.0,-1.0,-1.0,103012.0,-1.0,-1.0,-1.0,-1.0,114806.0,-1.0
1973,-1.0,-1.0,-1.0,-1.0,-1.0,101891.0,-1.0,-1.0,-1.0,-1.0,132225.0,-1.0
1974,-1.0,-1.0,-1.0,-1.0,-1.0,107099.0,-1.0,-1.0,-1.0,-1.0,112368.0,-1.0
1975,-1.0,-1.0,-1.0,-1.0,-1.0,99814.0,-1.0,-1.0,-1.0,-1.0,143525.0,-1.0
1976,-1.0,-1.0,-1.0,-1.0,-1.0,116784.0,-1.0,-1.0,-1.0,-1.0,124962.0,-1.0
1977,-1.0,-1.0,-1.0,-1.0,-1.0,104670.0,-1.0,-1.0,-1.0,-1.0,125127.0,-1.0
1978,-1.0,-1.0,-1.0,-1.0,-1.0,119267.0,-1.0,-1.0,-1.0,-1.0,111891.0,-1.0
1979,-1.0,-1.0,-1.0,-1.0,-1.0,119585.0,-1.0,-1.0,-1.0,-1.0,114308.0,-1.0
1980,-1.0,-1.0,-1.0,-1.0,-1.0,130309.0,-1.0,-1.0,-1.0,-1.0,118755.0,-1.0
1981,-1.0,-1.0,-1.0,-1.0,-1.0,125261.0,-1.0,-1.0,-1.0,-1.0,115188.0,-1.0
1982,-1.0,-1.0,-1.0,-1.0,-1.0,145565.0,-1.0,-1.0,-1.0,-1.0,132037.0,-1.0
1983,-1.0,-1.0,-1.0,-1.0,-1.0,138913.0,-1.0,-1.0,-1.0,-1.0,111211.0,-1.0
1984,-1.0,-1.0,-1.0,-1.0,-1.0,151285.0,-1.0,-1.0,-1.0,-1.0,113407.0,-1.0
1985,-1.0,-1.0,-1.0,-1.0,-1.0,152019.0,-1.0,-1.0,-1.0,-1.0,120368.0,-1.0
