,Kenya,"China, Taiwan Province of",Mozambique,Belize,Seychelles,Brazil,Philippines,Martinique,Lao People's Democratic Republic,United Republic of Tanzania,Nepal,Ethiopia,Indonesia,Liberia,Zimbabwe,Republic of Korea,Melanesia,Papua New Guinea,Cuba,Rwanda,Australia & New Zealand,Guatemala,French Polynesia,Mauritius,Madagascar,Saint Lucia,Haiti,Guinea,Israel,Dominica,Fiji,Sri Lanka,Central African Republic,Sudan (former),China,Colombia,Brunei Darussalam,Guinea-Bissau,Suriname,Portugal,Togo,Micronesia,"China, mainland",Nicaragua,Uganda,Costa Rica,Saint Kitts and Nevis,Bolivia (Plurinational State of),Peru,Cameroon,Malaysia,Grenada,Dominican Republic,South Sudan,El Salvador,Benin,Cook Islands,Japan,Australia,Venezuela (Bolivarian Republic of),Antigua and Barbuda,Guyana,United States of America,Bangladesh,Democratic Republic of the Congo,Thailand,Nigeria,French Guiana,Argentina,Cambodia,Timor-Leste,Paraguay,India,Guadeloupe,Ethiopia PDR,Congo,Gabon,Ecuador,Honduras,Puerto Rico,Mexico,Viet Nam,Côte d'Ivoire,Jamaica,Trinidad and Tobago,South Africa,Polynesia,Panama,Samoa,Réunion,Sudan,Ghana,Angola,Swaziland,Guam
1961,257143.0,204173.0,72727.0,-1.0,200000.0,108143.0,69880.0,-1.0,134667.0,46667.0,-1.0,-1.0,50000.0,50000.0,-1.0,-1.0,169970.0,212500.0,208333.0,-1.0,253005.0,137500.0,197368.0,102500.0,46154.0,-1.0,-1.0,11000.0,-1.0,-1.0,60215.0,50967.0,10000.0,90000.0,168147.0,388889.0,90000.0,-1.0,-1.0,75000.0,-1.0,-1.0,95238.0,227778.0,-1.0,175000.0,-1.0,107692.0,127273.0,153846.0,167300.0,-1.0,118938.0,-1.0,163846.0,80000.0,130000.0,105000.0,253005.0,113131.0,-1.0,90909.0,260626.0,53625.0,250000.0,51487.0,62500.0,-1.0,-1.0,-1.0,-1.0,150376.0,109039.0,-1.0,-1.0,40000.0,-1.0,227273.0,28005.0,308364.0,228784.0,75000.0,213333.0,78000.0,-1.0,234623.0,203527.0,-1.0,250000.0,-1.0,-1.0,30000.0,100000.0,111111.0,-1.0
1962,280000.0,202428.0,72727.0,-1.0,205000.0,102711.0,70000.0,-1.0,137333.0,48333.0,-1.0,-1.0,50000.0,50000.0,-1.0,-1.0,169388.0,210000.0,195652.0,-1.0,253005.0,141250.0,195000.0,98500.0,43750.0,-1.0,-1.0,12000.0,-1.0,-1.0,60215.0,74048.0,10000.0,90000.0,167118.0,384211.0,91667.0,-1.0,-1.0,75000.0,-1.0,-1.0,95745.0,213000.0,-1.0,180000.0,-1.0,107143.0,127273.0,153846.0,165640.0,-1.0,122781.0,-1.0,168462.0,80000.0,140000.0,96176.0,253005.0,140935.0,-1.0,90909.0,278651.0,37128.0,248837.0,51525.0,62500.0,-1.0,-1.0,-1.0,-1.0,150376.0,108696.0,-1.0,-1.0,39167.0,-1.0,226280.0,27908.0,354340.0,224966.0,75556.0,240000.0,68000.0,-1.0,241938.0,210080.0,-1.0,268182.0,-1.0,-1.0,33333.0,100000.0,107143.0,-1.0
1963,272727.0,170645.0,72727.0,-1.0,200000.0,96265.0,69907.0,-1.0,140000.0,50000.0,-1.0,-1.0,50000.0,52632.0,-1.0,-1.0,168839.0,207692.0,196067.0,-1.0,270575.0,135556.0,166667.0,97674.0,43750.0,-1.0,-1.0,11000.0,-1.0,-1.0,60215.0,87655.0,10000.0,90000.0,145029.0,384615.0,91667.0,-1.0,-1.0,78125.0,-1.0,-1.0,96000.0,219000.0,-1.0,185000.0,-1.0,112500.0,133333.0,150753.0,160417.0,-1.0,120880.0,-1.0,173077.0,81967.0,145000.0,115676.0,270575.0,133970.0,-1.0,92083.0,300195.0,59962.0,247727.0,51531.0,62500.0,-1.0,-1.0,-1.0,-1.0,157000.0,108696.0,-1.0,-1.0,39167.0,-1.0,206682.0,27976.0,352813.0,221429.0,84444.0,255556.0,72400.0,-1.0,223262.0,202227.0,-1.0,250000.0,-1.0,-1.0,33143.0,100000.0,107143.0,-1.0
1964,276923.0,216341.0,77273.0,-1.0,190000.0,98647.0,70455.0,-1.0,146667.0,50000.0,-1.0,-1.0,50000.0,52632.0,-1.0,-1.0,172365.0,205556.0,177117.0,-1.0,278376.0,142222.0,183333.0,82600.0,43750.0,-1.0,-1.0,11000.0,-1.0,-1.0,61728.0,98937.0,9211.0,66667.0,176478.0,378947.0,92308.0,-1.0,-1.0,78125.0,-1.0,-1.0,96154.0,225000.0,-1.0,195000.0,-1.0,108696.0,133333.0,150374.0,158143.0,-1.0,127438.0,-1.0,187500.0,82192.0,134259.0,119500.0,278376.0,134266.0,-1.0,92178.0,294875.0,61252.0,237500.0,51485.0,62500.0,-1.0,-1.0,-1.0,-1.0,142000.0,109290.0,-1.0,-1.0,40000.0,-1.0,201031.0,28047.0,344127.0,221455.0,85000.0,275000.0,55800.0,-1.0,227325.0,204940.0,-1.0,264228.0,-1.0,-1.0,33143.0,100000.0,105263.0,-1.0
1965,275000.0,208300.0,77273.0,-1.0,205556.0,102657.0,70400.0,-1.0,140000.0,44286.0,-1.0,-1.0,50000.0,52632.0,-1.0,-1.0,171745.0,203571.0,131375.0,-1.0,263773.0,144444.0,194444.0,109286.0,43750.0,-1.0,-1.0,13000.0,-1.0,-1.0,61728.0,94967.0,11000.0,50000.0,172502.0,389474.0,92308.0,-1.0,-1.0,77651.0,-1.0,-1.0,96154.0,209000.0,-1.0,210000.0,-1.0,108696.0,136683.0,195793.0,161484.0,-1.0,124119.0,-1.0,181538.0,82192.0,128205.0,142766.0,263773.0,134576.0,-1.0,149082.0,323845.0,58652.0,244186.0,51505.0,62500.0,-1.0,-1.0,-1.0,-1.0,160000.0,108949.0,-1.0,-1.0,37500.0,-1.0,201741.0,27942.0,371487.0,252046.0,94000.0,310000.0,62521.0,-1.0,208951.0,199693.0,-1.0,261905.0,-1.0,-1.0,32627.0,100000.0,112680.0,-1.0
1966,245455.0,225005.0,77273.0,-1.0,194444.0,104739.0,73928.0,-1.0,156667.0,44286.0,-1.0,-1.0,50000.0,52632.0,-1.0,-1.0,168539.0,200000.0,111276.0,-1.0,270009.0,141000.0,200000.0,118889.0,40000.0,-1.0,-1.0,13636.0,-1.0,-1.0,61728.0,92287.0,11000.0,50000.0,186089.0,370732.0,92647.0,-1.0,-1.0,70953.0,-1.0,-1.0,96154.0,215000.0,-1.0,220000.0,-1.0,109000.0,131647.0,149535.0,161354.0,-1.0,130721.0,-1.0,190769.0,83333.0,128713.0,170784.0,270009.0,134904.0,-1.0,134065.0,346954.0,70247.0,250000.0,51674.0,62500.0,-1.0,-1.0,-1.0,-1.0,165106.0,108626.0,-1.0,-1.0,37500.0,-1.0,217730.0,30862.0,349580.0,256799.0,83333.0,329200.0,62769.0,-1.0,212551.0,208080.0,-1.0,267442.0,-1.0,-1.0,44607.0,100000.0,127767.0,-1.0
1967,240000.0,249836.0,75000.0,-1.0,161111.0,110561.0,89424.0,-1.0,153333.0,45714.0,-1.0,-1.0,50000.0,52632.0,-1.0,-1.0,149779.0,200000.0,103696.0,-1.0,297173.0,147000.0,200000.0,102292.0,45007.0,-1.0,-1.0,13913.0,-1.0,-1.0,59877.0,64441.0,11000.0,46667.0,201774.0,380488.0,92958.0,-1.0,-1.0,83953.0,-1.0,-1.0,96296.0,205455.0,-1.0,153333.0,-1.0,109500.0,143725.0,113430.0,164588.0,-1.0,137800.0,-1.0,185714.0,83333.0,144737.0,160370.0,297173.0,135242.0,-1.0,144132.0,348333.0,91536.0,251111.0,51778.0,62500.0,-1.0,-1.0,-1.0,-1.0,170213.0,108761.0,-1.0,-1.0,39167.0,-1.0,206997.0,34106.0,342560.0,253046.0,85714.0,346667.0,105043.0,-1.0,241563.0,205329.0,-1.0,272727.0,-1.0,-1.0,33022.0,100000.0,223767.0,-1.0
1968,298000.0,262932.0,75000.0,-1.0,164444.0,123162.0,78828.0,-1.0,160000.0,47143.0,-1.0,-1.0,65217.0,60000.0,-1.0,-1.0,145161.0,200000.0,106088.0,-1.0,308987.0,152000.0,200000.0,135918.0,45000.0,-1.0,-1.0,15000.0,-1.0,-1.0,76923.0,56215.0,12093.0,48000.0,210105.0,380952.0,93243.0,-1.0,-1.0,81907.0,-1.0,-1.0,96364.0,210833.0,-1.0,163333.0,-1.0,110698.0,160402.0,119640.0,157222.0,-1.0,131286.0,-1.0,194000.0,83333.0,82200.0,144038.0,308987.0,135834.0,-1.0,142809.0,317638.0,91905.0,250000.0,51799.0,62500.0,-1.0,-1.0,-1.0,-1.0,165957.0,108761.0,-1.0,-1.0,40000.0,-1.0,172886.0,37698.0,346391.0,246254.0,87500.0,355000.0,83579.0,-1.0,243338.0,177903.0,-1.0,277778.0,-1.0,-1.0,32641.0,100000.0,161003.0,-1.0
1969,285000.0,261118.0,75000.0,-1.0,187500.0,127138.0,79827.0,-1.0,173333.0,51429.0,-1.0,-1.0,57143.0,60000.0,-1.0,-1.0,161290.0,200000.0,115248.0,-1.0,280166.0,137500.0,200000.0,128846.0,43894.0,-1.0,-1.0,15789.0,-1.0,-1.0,80000.0,64636.0,12093.0,48333.0,207125.0,386047.0,93506.0,-1.0,-1.0,82829.0,-1.0,-1.0,93220.0,204167.0,-1.0,170000.0,-1.0,109565.0,179616.0,88808.0,161263.0,-1.0,135012.0,-1.0,193125.0,85714.0,164455.0,202200.0,280166.0,134218.0,-1.0,111736.0,320492.0,96972.0,260000.0,43726.0,62500.0,-1.0,-1.0,-1.0,-1.0,177202.0,108824.0,-1.0,-1.0,37500.0,-1.0,160168.0,41653.0,364282.0,262480.0,88889.0,343333.0,109526.0,-1.0,230540.0,230455.0,-1.0,282609.0,-1.0,-1.0,32638.0,100000.0,174176.0,-1.0
1970,290909.0,265248.0,75000.0,-1.0,193750.0,131692.0,80912.0,-1.0,135000.0,45000.0,-1.0,-1.0,58462.0,70000.0,-1.0,-1.0,171765.0,200000.0,217592.0,-1.0,274874.0,141667.0,200000.0,111224.0,44363.0,-1.0,-1.0,17100.0,-1.0,-1.0,80000.0,62041.0,12093.0,47143.0,208544.0,395349.0,93750.0,-1.0,-1.0,81961.0,-1.0,-1.0,91935.0,210833.0,-1.0,180000.0,-1.0,110204.0,158697.0,66463.0,162316.0,-1.0,137011.0,-1.0,194706.0,85714.0,175248.0,139583.0,274874.0,109909.0,-1.0,120442.0,350386.0,96025.0,258036.0,42192.0,66667.0,-1.0,-1.0,-1.0,-1.0,180311.0,108883.0,-1.0,-1.0,40000.0,-1.0,162782.0,46040.0,341610.0,252868.0,94737.0,354286.0,102521.0,-1.0,265165.0,236374.0,-1.0,285211.0,-1.0,-1.0,32667.0,100000.0,139262.0,-1.0
