,Paraguay,Seychelles,Kenya,Bolivia (Plurinational State of),Peru,Rwanda,Cameroon,Israel,Dominican Republic,Philippines,Martinique,Australia & New Zealand,Cook Islands,Ethiopia,Indonesia,Greece,Zimbabwe,Réunion,Venezuela (Bolivarian Republic of),Cyprus,Guadeloupe,Spain,New Zealand,Guyana,Democratic Republic of the Congo,Bahamas,United States of America,Barbados,Guatemala,French Polynesia,Madagascar,French Guiana,Argentina,Haiti,Costa Rica,Cuba,El Salvador,Dominica,Morocco,Congo,Lebanon,Mexico,Grenada,Ecuador,Honduras,Central African Republic,Bosnia and Herzegovina,Sri Lanka,China,Tunisia,Côte d'Ivoire,Colombia,Portugal,Jamaica,Trinidad and Tobago,Occupied Palestinian Territory,Chile,Saint Lucia,Panama,South Africa,Samoa,Australia,France,Brazil,Ghana,Polynesia,"China, mainland",Puerto Rico,Timor-Leste,Swaziland,Turkey
1961,-1.0,-1.0,145455.0,50000.0,51051.0,-1.0,24000.0,47059.0,-1.0,33300.0,-1.0,-1.0,90000.0,-1.0,54545.0,-1.0,-1.0,-1.0,45002.0,7273.0,-1.0,97143.0,-1.0,-1.0,66667.0,-1.0,48990.0,-1.0,101667.0,-1.0,-1.0,-1.0,-1.0,-1.0,66250.0,318182.0,102500.0,-1.0,80000.0,72222.0,-1.0,123876.0,-1.0,123077.0,51449.0,10000.0,-1.0,-1.0,-1.0,-1.0,40000.0,85714.0,-1.0,-1.0,-1.0,-1.0,26667.0,-1.0,-1.0,47330.0,396667.0,-1.0,-1.0,103125.0,40000.0,205000.0,-1.0,50713.0,-1.0,-1.0,-1.0
1962,-1.0,-1.0,145455.0,53667.0,51049.0,-1.0,26000.0,46154.0,-1.0,32500.0,-1.0,-1.0,90000.0,-1.0,54545.0,-1.0,-1.0,-1.0,45003.0,8036.0,-1.0,106571.0,-1.0,-1.0,66667.0,-1.0,44532.0,-1.0,100769.0,-1.0,-1.0,-1.0,-1.0,-1.0,64706.0,318182.0,97778.0,-1.0,80000.0,72222.0,-1.0,126921.0,-1.0,162101.0,51295.0,10000.0,-1.0,-1.0,-1.0,-1.0,40000.0,84138.0,-1.0,-1.0,-1.0,-1.0,29032.0,-1.0,-1.0,45100.0,367647.0,-1.0,-1.0,104167.0,40000.0,202381.0,-1.0,48178.0,-1.0,-1.0,-1.0
1963,-1.0,-1.0,145455.0,55000.0,51045.0,-1.0,23636.0,45588.0,-1.0,34750.0,-1.0,-1.0,83333.0,-1.0,54545.0,-1.0,-1.0,-1.0,45003.0,7895.0,-1.0,107714.0,-1.0,-1.0,66667.0,-1.0,50850.0,-1.0,99286.0,-1.0,-1.0,-1.0,-1.0,-1.0,65000.0,327118.0,99444.0,-1.0,80000.0,72222.0,-1.0,130411.0,-1.0,160650.0,51247.0,10000.0,-1.0,-1.0,-1.0,-1.0,40000.0,83108.0,-1.0,-1.0,-1.0,-1.0,31250.0,-1.0,-1.0,40540.0,347368.0,-1.0,-1.0,105263.0,40000.0,185714.0,-1.0,51137.0,-1.0,-1.0,-1.0
1964,-1.0,-1.0,145455.0,58667.0,51069.0,-1.0,25455.0,45588.0,-1.0,36058.0,-1.0,-1.0,75714.0,-1.0,55556.0,-1.0,-1.0,-1.0,45002.0,7759.0,-1.0,115667.0,-1.0,-1.0,66667.0,-1.0,31137.0,-1.0,101429.0,-1.0,-1.0,-1.0,-1.0,-1.0,64211.0,314825.0,98947.0,-1.0,80000.0,75000.0,-1.0,131000.0,-1.0,151405.0,51163.0,10000.0,-1.0,-1.0,-1.0,-1.0,40000.0,83784.0,-1.0,-1.0,-1.0,-1.0,31818.0,-1.0,-1.0,45530.0,328571.0,-1.0,-1.0,105691.0,40000.0,170536.0,-1.0,59408.0,-1.0,-1.0,-1.0
1965,-1.0,-1.0,145455.0,52333.0,66925.0,-1.0,23333.0,45161.0,-1.0,39713.0,-1.0,-1.0,78571.0,-1.0,55556.0,-1.0,-1.0,-1.0,45002.0,8475.0,-1.0,100000.0,-1.0,-1.0,66667.0,-1.0,57109.0,-1.0,98667.0,-1.0,-1.0,-1.0,-1.0,-1.0,64000.0,353533.0,99000.0,-1.0,80000.0,75000.0,-1.0,132920.0,-1.0,97854.0,52081.0,10000.0,-1.0,-1.0,-1.0,-1.0,40000.0,83333.0,-1.0,-1.0,-1.0,-1.0,32794.0,-1.0,-1.0,41520.0,306383.0,-1.0,-1.0,107973.0,38610.0,170085.0,-1.0,58367.0,-1.0,-1.0,-1.0
1966,-1.0,-1.0,145455.0,52941.0,85834.0,-1.0,25000.0,46000.0,-1.0,39713.0,-1.0,-1.0,78571.0,-1.0,71429.0,-1.0,-1.0,-1.0,40277.0,8197.0,-1.0,90192.0,-1.0,-1.0,66667.0,-1.0,57605.0,-1.0,102500.0,-1.0,-1.0,-1.0,-1.0,-1.0,66500.0,288822.0,99048.0,-1.0,80000.0,75000.0,-1.0,124092.0,-1.0,100868.0,52022.0,10000.0,-1.0,-1.0,-1.0,-1.0,40000.0,82353.0,-1.0,-1.0,-1.0,-1.0,38462.0,-1.0,-1.0,40110.0,288462.0,-1.0,-1.0,99880.0,40640.0,168033.0,-1.0,58367.0,-1.0,-1.0,-1.0
1967,-1.0,-1.0,145455.0,53824.0,84936.0,-1.0,25000.0,58333.0,-1.0,42403.0,-1.0,-1.0,85714.0,-1.0,71429.0,-1.0,-1.0,-1.0,39461.0,7937.0,-1.0,96613.0,-1.0,-1.0,70833.0,-1.0,75282.0,-1.0,98750.0,-1.0,-1.0,-1.0,-1.0,-1.0,64091.0,344263.0,99545.0,-1.0,80000.0,72222.0,-1.0,115670.0,-1.0,90204.0,52090.0,10400.0,-1.0,-1.0,-1.0,-1.0,40000.0,83007.0,-1.0,-1.0,-1.0,-1.0,37500.0,-1.0,-1.0,45315.0,283636.0,-1.0,-1.0,101907.0,37590.0,172800.0,-1.0,59061.0,-1.0,-1.0,-1.0
1968,-1.0,-1.0,145455.0,54706.0,76004.0,-1.0,24615.0,67857.0,-1.0,35953.0,-1.0,-1.0,85714.0,-1.0,71429.0,-1.0,-1.0,-1.0,38658.0,7692.0,-1.0,132143.0,-1.0,-1.0,72000.0,-1.0,47811.0,-1.0,98750.0,-1.0,-1.0,-1.0,-1.0,-1.0,64348.0,326263.0,98333.0,-1.0,80000.0,72222.0,-1.0,119959.0,-1.0,102184.0,51957.0,10000.0,-1.0,-1.0,-1.0,-1.0,40000.0,82581.0,-1.0,-1.0,-1.0,-1.0,33333.0,-1.0,-1.0,41000.0,284211.0,-1.0,-1.0,103246.0,40000.0,174803.0,-1.0,59020.0,-1.0,-1.0,-1.0
1969,-1.0,-1.0,145455.0,54857.0,73929.0,-1.0,22857.0,57778.0,-1.0,37948.0,-1.0,-1.0,85714.0,-1.0,61538.0,-1.0,-1.0,-1.0,37875.0,8333.0,-1.0,106984.0,-1.0,-1.0,69231.0,-1.0,70788.0,-1.0,100000.0,-1.0,30000.0,-1.0,-1.0,-1.0,65000.0,329840.0,100000.0,-1.0,80000.0,72222.0,-1.0,117948.0,-1.0,84825.0,51922.0,12000.0,-1.0,-1.0,-1.0,-1.0,40000.0,83226.0,-1.0,-1.0,-1.0,-1.0,32286.0,-1.0,-1.0,43735.0,280000.0,-1.0,-1.0,97805.0,40000.0,175385.0,-1.0,102111.0,-1.0,-1.0,-1.0
1970,-1.0,-1.0,145455.0,55714.0,85766.0,-1.0,22667.0,39048.0,-1.0,36180.0,-1.0,-1.0,81250.0,-1.0,55000.0,-1.0,-1.0,-1.0,37107.0,8209.0,-1.0,150000.0,-1.0,-1.0,75000.0,-1.0,43462.0,-1.0,98333.0,-1.0,40000.0,4000.0,-1.0,-1.0,65200.0,321600.0,100417.0,-1.0,80000.0,72222.0,-1.0,118274.0,-1.0,80406.0,52249.0,12000.0,-1.0,-1.0,-1.0,-1.0,40000.0,83333.0,-1.0,-1.0,-1.0,-1.0,32857.0,-1.0,-1.0,43094.0,271875.0,-1.0,-1.0,97043.0,40000.0,165972.0,-1.0,54048.0,-1.0,-1.0,-1.0
