,Romania,Eritrea,Bahrain,Australia & New Zealand,Australia,Iraq,Libya,Pakistan,United Republic of Tanzania,South Sudan,Nepal,Ethiopia,Kenya,Czechia,Bangladesh,Italy,Lebanon,Uganda,Togo,Uzbekistan,Occupied Palestinian Territory,Serbia and Montenegro,Niger,Sudan (former),Morocco,Chile,Argentina,Colombia,Spain,Syrian Arab Republic,Malawi,India,Cyprus,Slovakia,Israel,Republic of Moldova,Canada,Turkey,Jordan,Ethiopia PDR,Egypt,The former Yugoslav Republic of Macedonia,Sudan,Greece,Yemen,Zimbabwe,Tunisia,Bosnia and Herzegovina,Hungary,Russian Federation,Dominican Republic,Bulgaria,Bolivia (Plurinational State of),Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,Mexico,Ukraine,"China, mainland",Algeria,Peru,Lithuania,Portugal,Myanmar,China
1961,-1.0,,,,,6766.0,400.0,1105613.0,10000.0,,32000.0,,-1.0,,60299.0,72039.0,1800.0,4000.0,-1.0,,-1.0,,-1.0,1365.0,135000.0,8170.0,6108.0,29000.0,264000.0,24838.0,14000.0,9276000.0,600.0,,1860.0,,-1.0,89000.0,5410.0,160000.0,3024.0,,,21825.0,,-1.0,21000.0,,-1.0,,120.0,1178.0,1000.0,4856.0,116100.0,,-1.0,156480.0,,-1.0,14890.0,5360.0,,72358.0,110223.0,-1.0
1962,-1.0,,,,,6127.0,400.0,1194240.0,10000.0,,32000.0,,-1.0,,57466.0,68533.0,1200.0,4000.0,-1.0,,-1.0,,-1.0,87.0,140000.0,7640.0,5010.0,29700.0,248185.0,40131.0,15000.0,9566000.0,620.0,,1420.0,,-1.0,88000.0,5660.0,165000.0,4325.0,,,17643.0,,-1.0,18000.0,,-1.0,,125.0,1157.0,1040.0,2800.0,117300.0,,-1.0,146083.0,,-1.0,15000.0,5450.0,,67512.0,105943.0,-1.0
1963,-1.0,,,,,4299.0,400.0,1226210.0,14000.0,,32000.0,,-1.0,,55847.0,66470.0,1000.0,4000.0,-1.0,,-1.0,,-1.0,2886.0,140000.0,7680.0,5056.0,30000.0,244675.0,31223.0,15000.0,9193000.0,640.0,,1325.0,,-1.0,82000.0,3110.0,168000.0,4849.0,,,18640.0,,-1.0,21000.0,,-1.0,,125.0,1273.0,1020.0,2700.0,118500.0,,-1.0,104814.0,,-1.0,17000.0,5770.0,,70472.0,130564.0,-1.0
1964,-1.0,,,,,3365.0,500.0,1113302.0,11000.0,,33000.0,,-1.0,,51800.0,62573.0,1450.0,4000.0,-1.0,,-1.0,,-1.0,2982.0,130000.0,7180.0,7028.0,30500.0,220760.0,41179.0,17000.0,9354000.0,660.0,,1355.0,,-1.0,85000.0,5670.0,168000.0,5806.0,,,19030.0,,-1.0,25000.0,,-1.0,,100.0,1344.0,1000.0,2800.0,119700.0,,-1.0,136943.0,,-1.0,18230.0,5940.0,,71662.0,139082.0,-1.0
1965,-1.0,,,,,4906.0,500.0,1210428.0,4239.0,,33000.0,,-1.0,,51396.0,59920.0,1620.0,4000.0,-1.0,,-1.0,,-1.0,3544.0,134000.0,8369.0,6120.0,31000.0,206282.0,65717.0,17000.0,8870000.0,682.0,,2135.0,,-1.0,85000.0,8500.0,170000.0,5127.0,,,23690.0,,-1.0,15000.0,,-1.0,,100.0,1761.0,1000.0,2800.0,120800.0,,-1.0,155158.0,,-1.0,30790.0,5570.0,,74079.0,98229.0,-1.0
1966,-1.0,,,,,4583.0,800.0,1069596.0,11000.0,,34000.0,,-1.0,,54600.0,57335.0,3324.0,4000.0,-1.0,,-1.0,,-1.0,124.0,156000.0,8681.0,4050.0,30000.0,224500.0,25195.0,19000.0,8015000.0,548.0,,1800.0,,-1.0,83000.0,3470.0,170000.0,3548.0,,,20780.0,,-1.0,24000.0,,-1.0,,150.0,2583.0,1020.0,3000.0,122100.0,,-1.0,163324.0,,-1.0,21150.0,2365.0,,72699.0,96066.0,-1.0
1967,-1.0,,,,,4776.0,800.0,1244017.0,15000.0,,34000.0,,-1.0,,59100.0,54466.0,2885.0,4000.0,-1.0,,-1.0,,-1.0,1856.0,147500.0,9300.0,4009.0,32000.0,231400.0,51600.0,20000.0,8003200.0,700.0,,1790.0,,-1.0,85000.0,3670.0,173000.0,4621.0,,,16200.0,,-1.0,26000.0,,-1.0,,150.0,2968.0,1020.0,3000.0,123100.0,,-1.0,192802.0,,-1.0,24630.0,3910.0,,77098.0,98999.0,-1.0
1968,-1.0,,,,,5066.0,1000.0,1120587.0,72900.0,,35000.0,,-1.0,,61500.0,50784.0,2968.0,4000.0,-1.0,,-1.0,,-1.0,3703.0,121100.0,16140.0,4590.0,32000.0,216200.0,47032.0,20000.0,8256700.0,800.0,,2465.0,,-1.0,90000.0,1870.0,175000.0,4200.0,,,12800.0,,-1.0,20500.0,,-1.0,,160.0,728.0,1040.0,3000.0,124300.0,,-1.0,202192.0,,-1.0,35740.0,360.0,,71300.0,97469.0,-1.0
1969,-1.0,,,,,5336.0,1000.0,959000.0,68400.0,,35000.0,,-1.0,,68400.0,46346.0,2747.0,4000.0,-1.0,,-1.0,,-1.0,5041.0,85000.0,8700.0,6150.0,34000.0,164712.0,60204.0,21000.0,7105500.0,600.0,,2295.0,,-1.0,89800.0,1866.0,177000.0,2520.0,,,13640.0,,-1.0,26000.0,,-1.0,,170.0,833.0,1050.0,2700.0,125500.0,,-1.0,206164.0,,-1.0,28930.0,4900.0,,60900.0,153852.0,-1.0
1970,-1.0,,,,,5527.0,500.0,927954.0,70670.0,,36000.0,,-1.0,,70000.0,40690.0,2321.0,4000.0,-1.0,,-1.0,,-1.0,1680.0,158000.0,11290.0,4380.0,36000.0,152100.0,24853.0,21500.0,7751500.0,401.0,,2085.0,,-1.0,100000.0,1276.0,180000.0,2520.0,,,15100.0,,-1.0,26000.0,,-1.0,,190.0,954.0,1050.0,3100.0,126700.0,,-1.0,208294.0,,-1.0,23780.0,8275.0,,54600.0,126263.0,-1.0
