,Ukraine,Israel,Cyprus,Spain,Morocco,Lebanon,Mexico,Malta,Italy,Portugal,Jordan,Algeria,Croatia,Tunisia,Greece,Turkey
1961,-1.0,7368.0,16060.0,23087.0,-1.0,-1.0,-1.0,85000.0,61882.0,-1.0,-1.0,21773.0,-1.0,-1.0,-1.0,26654.0
1962,-1.0,7500.0,20851.0,24652.0,-1.0,-1.0,-1.0,85556.0,28412.0,-1.0,-1.0,22222.0,-1.0,-1.0,-1.0,26733.0
1963,-1.0,7500.0,26312.0,22095.0,-1.0,-1.0,-1.0,84211.0,14882.0,-1.0,-1.0,22222.0,-1.0,-1.0,-1.0,27802.0
1964,-1.0,7500.0,13846.0,26473.0,-1.0,-1.0,-1.0,85641.0,62059.0,-1.0,-1.0,21998.0,-1.0,-1.0,-1.0,32895.0
1965,-1.0,7619.0,15591.0,26928.0,-1.0,-1.0,-1.0,85495.0,33059.0,-1.0,-1.0,22359.0,-1.0,-1.0,-1.0,28246.0
1966,-1.0,7407.0,21857.0,21189.0,-1.0,-1.0,-1.0,85495.0,25706.0,-1.0,-1.0,22000.0,-1.0,-1.0,-1.0,31689.0
1967,-1.0,7500.0,19711.0,19830.0,-1.0,-1.0,-1.0,100932.0,30706.0,-1.0,-1.0,22048.0,-1.0,-1.0,-1.0,29683.0
1968,-1.0,8750.0,21261.0,24013.0,-1.0,-1.0,-1.0,100594.0,34529.0,-1.0,-1.0,22051.0,-1.0,-1.0,-1.0,36239.0
1969,-1.0,10469.0,13889.0,20618.0,-1.0,-1.0,-1.0,88323.0,51941.0,-1.0,-1.0,22235.0,-1.0,-1.0,-1.0,34043.0
1970,-1.0,9688.0,16570.0,18702.0,-1.0,-1.0,-1.0,74278.0,44941.0,-1.0,-1.0,22045.0,-1.0,-1.0,-1.0,33684.0
1971,-1.0,10938.0,11046.0,16101.0,-1.0,-1.0,-1.0,47841.0,34412.0,-1.0,-1.0,22078.0,-1.0,-1.0,-1.0,33415.0
1972,-1.0,12813.0,13742.0,16542.0,-1.0,-1.0,-1.0,29045.0,33529.0,-1.0,10000.0,22017.0,-1.0,-1.0,-1.0,44000.0
1973,-1.0,11563.0,5316.0,20592.0,-1.0,-1.0,-1.0,45000.0,36294.0,-1.0,-1.0,21918.0,-1.0,-1.0,-1.0,41007.0
1974,-1.0,11875.0,3505.0,15595.0,-1.0,-1.0,-1.0,39784.0,40882.0,-1.0,10000.0,22205.0,-1.0,-1.0,-1.0,30952.0
1975,-1.0,10938.0,11684.0,15232.0,-1.0,-1.0,-1.0,26505.0,38824.0,-1.0,46000.0,22430.0,-1.0,-1.0,-1.0,29655.0
1976,-1.0,10625.0,18729.0,16164.0,-1.0,-1.0,-1.0,28830.0,41588.0,-1.0,-1.0,20164.0,-1.0,-1.0,-1.0,27586.0
1977,-1.0,4000.0,11100.0,13197.0,-1.0,-1.0,-1.0,30325.0,36706.0,-1.0,-1.0,20183.0,-1.0,-1.0,-1.0,43678.0
1978,-1.0,8000.0,22783.0,15576.0,-1.0,-1.0,-1.0,27073.0,40000.0,-1.0,-1.0,20092.0,-1.0,-1.0,-1.0,42254.0
1979,-1.0,1750.0,23036.0,16038.0,-1.0,-1.0,-1.0,18954.0,35471.0,-1.0,-1.0,20086.0,-1.0,-1.0,-1.0,35047.0
1980,-1.0,4000.0,15822.0,17042.0,-1.0,-1.0,8958.0,27868.0,37294.0,-1.0,-1.0,21560.0,-1.0,-1.0,-1.0,41262.0
1981,-1.0,4500.0,34175.0,17553.0,-1.0,-1.0,21429.0,28034.0,35529.0,-1.0,-1.0,19918.0,-1.0,-1.0,-1.0,31646.0
1982,-1.0,5000.0,15949.0,17468.0,-1.0,-1.0,25571.0,24397.0,35794.0,-1.0,-1.0,20000.0,-1.0,-1.0,-1.0,35000.0
1983,-1.0,5000.0,17013.0,17398.0,-1.0,-1.0,28571.0,35577.0,28647.0,-1.0,-1.0,21880.0,-1.0,-1.0,-1.0,33573.0
1984,-1.0,3500.0,13639.0,15755.0,-1.0,-1.0,20714.0,35577.0,32176.0,-1.0,-1.0,20740.0,-1.0,-1.0,-1.0,31250.0
1985,-1.0,2500.0,17214.0,15168.0,20320.0,-1.0,11000.0,36000.0,35471.0,21978.0,-1.0,20556.0,-1.0,20000.0,12435.0,30886.0
1986,-1.0,3333.0,56625.0,14901.0,23284.0,-1.0,-1.0,35556.0,32412.0,21978.0,-1.0,20010.0,-1.0,20896.0,12977.0,39474.0
1987,-1.0,4333.0,15855.0,16029.0,20465.0,-1.0,-1.0,35294.0,17659.0,21978.0,-1.0,19840.0,-1.0,21053.0,9967.0,42763.0
1988,-1.0,3000.0,36905.0,17258.0,23651.0,-1.0,6000.0,35000.0,15882.0,21978.0,-1.0,19688.0,-1.0,21795.0,13961.0,44702.0
1989,-1.0,1333.0,20238.0,16812.0,15529.0,-1.0,6429.0,34933.0,19259.0,21978.0,-1.0,20881.0,-1.0,21795.0,11316.0,39867.0
1990,-1.0,1333.0,23500.0,14942.0,23680.0,-1.0,6714.0,20000.0,16434.0,25876.0,-1.0,18796.0,-1.0,21951.0,10606.0,47468.0
1991,-1.0,1333.0,14692.0,14092.0,16588.0,-1.0,8429.0,-1.0,23113.0,21028.0,-1.0,30584.0,-1.0,23133.0,12469.0,48232.0
1992,10000.0,1308.0,13421.0,14966.0,21810.0,-1.0,16143.0,-1.0,23321.0,21091.0,-1.0,15638.0,-1.0,23913.0,13747.0,47468.0
1993,10000.0,1309.0,45946.0,14585.0,20587.0,-1.0,9286.0,-1.0,23529.0,21155.0,-1.0,23128.0,-1.0,23281.0,13338.0,47319.0
1994,10000.0,1309.0,10400.0,12662.0,20581.0,-1.0,11143.0,-1.0,23738.0,21219.0,-1.0,17760.0,9091.0,23187.0,13783.0,47022.0
1995,10000.0,1309.0,25200.0,15617.0,20685.0,-1.0,9714.0,-1.0,23946.0,21283.0,-1.0,23272.0,8577.0,22695.0,14196.0,41401.0
1996,10000.0,1310.0,35200.0,17234.0,21466.0,-1.0,7714.0,-1.0,24154.0,21346.0,-1.0,25180.0,8533.0,22371.0,14459.0,46154.0
1997,10000.0,1310.0,20400.0,15729.0,20797.0,-1.0,6143.0,-1.0,23209.0,21410.0,-1.0,18898.0,8490.0,22180.0,15093.0,45860.0
1998,10000.0,1333.0,19400.0,15430.0,20810.0,100000.0,10714.0,-1.0,22529.0,21474.0,-1.0,29654.0,8448.0,21739.0,15987.0,44194.0
1999,10000.0,1333.0,22500.0,13855.0,20792.0,105714.0,11143.0,-1.0,22753.0,21537.0,-1.0,33347.0,8408.0,21739.0,14632.0,45307.0
2000,10000.0,1333.0,30417.0,14013.0,20772.0,70769.0,6143.0,-1.0,22645.0,21601.0,-1.0,32661.0,8369.0,21739.0,15266.0,45455.0
2001,10000.0,1333.0,11875.0,11464.0,20743.0,76923.0,5714.0,-1.0,18494.0,21665.0,-1.0,40000.0,8334.0,21739.0,13720.0,44408.0
2002,10000.0,1314.0,30638.0,15523.0,20738.0,98462.0,12000.0,-1.0,27324.0,21729.0,-1.0,39586.0,8301.0,21739.0,12513.0,44118.0
2003,10000.0,1319.0,42782.0,11180.0,20833.0,63889.0,-1.0,-1.0,21205.0,21814.0,-1.0,34088.0,8285.0,21739.0,29578.0,44444.0
2004,10000.0,1336.0,32774.0,14838.0,20589.0,62500.0,-1.0,-1.0,21711.0,21797.0,-1.0,39315.0,8287.0,21739.0,31124.0,44304.0
2005,10000.0,1333.0,35950.0,9724.0,20833.0,82490.0,5000.0,-1.0,36380.0,21793.0,-1.0,28655.0,8293.0,21739.0,30477.0,42553.0
2006,10000.0,1200.0,28292.0,14724.0,20848.0,96026.0,7143.0,-1.0,29826.0,22000.0,-1.0,36099.0,8303.0,21739.0,31446.0,43774.0
2007,10000.0,1200.0,30786.0,14724.0,20856.0,92715.0,5000.0,-1.0,37791.0,22222.0,-1.0,42138.0,8319.0,21739.0,30000.0,50883.0
2008,10000.0,1379.0,53130.0,13101.0,20870.0,87533.0,13036.0,-1.0,28385.0,22105.0,-1.0,35302.0,8340.0,20930.0,31321.0,42446.0
2009,10000.0,1367.0,16781.0,11392.0,20882.0,90535.0,-1.0,-1.0,27747.0,22165.0,-1.0,36743.0,8366.0,21072.0,33864.0,50572.0
2010,9000.0,1331.0,82115.0,12172.0,20619.0,87648.0,10000.0,-1.0,23410.0,22653.0,-1.0,32592.0,6667.0,21018.0,35911.0,55144.0
