,Ukraine,Germany,Sweden,Belarus,Czechoslovakia,Bhutan,Serbia,China,USSR,Mexico,Romania,Italy,Sri Lanka,Nepal,Ethiopia,Denmark,Canada,Australia,Czechia,United Kingdom,Hungary,Kazakhstan,Bulgaria,Australia & New Zealand,United States of America,Iran (Islamic Republic of),France,Lithuania,"China, mainland",Russian Federation,Kyrgyzstan,Slovakia,Myanmar,Turkey
1961,-1.0,5368.0,15020.0,-1,2980.0,1800.0,-1.0,-1.0,216300.0,-1.0,4800.0,2600.0,1422.0,120000.0,-1.0,12000.0,48887.0,809.0,-1.0,-1,-1.0,-1.0,1000.0,809.0,11400.0,-1.0,15990.0,-1.0,-1.0,-1.0,-1.0,-1.0,2792.0,-1.0
1962,-1.0,14920.0,18180.0,-1,11570.0,1900.0,-1.0,-1.0,284900.0,-1.0,5300.0,2600.0,1472.0,120000.0,-1.0,15000.0,36422.0,405.0,-1.0,-1,-1.0,-1.0,1000.0,405.0,7500.0,-1.0,12900.0,-1.0,-1.0,-1.0,-1.0,-1.0,2347.0,-1.0
1963,-1.0,9793.0,21700.0,-1,10482.0,1900.0,-1.0,-1.0,270000.0,-1.0,5700.0,2500.0,2893.0,120000.0,-1.0,7143.0,50991.0,809.0,-1.0,-1,-1.0,-1.0,1000.0,809.0,5000.0,-1.0,11138.0,-1.0,-1.0,-1.0,-1.0,-1.0,4047.0,-1.0
1964,-1.0,2939.0,21900.0,-1,4579.0,1950.0,-1.0,-1.0,275000.0,-1.0,6400.0,2000.0,2083.0,107950.0,-1.0,3776.0,30756.0,405.0,-1.0,-1,-1.0,-1.0,1500.0,405.0,7000.0,-1.0,8574.0,-1.0,-1.0,-1.0,-1.0,-1.0,3441.0,-1.0
1965,-1.0,2137.0,8700.0,-1,2077.0,1950.0,-1.0,-1.0,276000.0,-1.0,900.0,1700.0,1910.0,108680.0,-1.0,6526.0,63132.0,405.0,-1.0,-1,-1.0,-1.0,1300.0,405.0,6000.0,-1.0,7795.0,-1.0,-1.0,-1.0,-1.0,-1.0,5133.0,-1.0
1966,-1.0,4875.0,6322.0,-1,2162.0,2000.0,-1.0,-1.0,261000.0,-1.0,900.0,1600.0,1499.0,96000.0,-1.0,9084.0,81181.0,405.0,-1.0,-1,-1.0,-1.0,1400.0,405.0,6000.0,-1.0,7040.0,-1.0,-1.0,-1.0,-1.0,-1.0,4669.0,-1.0
1967,-1.0,3814.0,3972.0,-1,2448.0,2100.0,-1.0,-1.0,235000.0,-1.0,1700.0,1100.0,2393.0,98000.0,-1.0,10710.0,89436.0,405.0,-1.0,-1,-1.0,-1.0,1300.0,405.0,6000.0,-1.0,7133.0,-1.0,-1.0,-1.0,-1.0,-1.0,4966.0,-1.0
1968,-1.0,3726.0,3448.0,-1,1689.0,2100.0,-1.0,-1.0,234000.0,-1.0,1800.0,1100.0,1702.0,97000.0,-1.0,11738.0,215700.0,405.0,-1.0,-1,-1.0,-1.0,1400.0,405.0,5000.0,-1.0,5930.0,-1.0,-1.0,-1.0,-1.0,-1.0,5006.0,-1.0
1969,-1.0,4653.0,2324.0,-1,1568.0,2200.0,-1.0,-1.0,224000.0,-1.0,4000.0,800.0,1477.0,101000.0,-1.0,9228.0,108052.0,405.0,-1.0,-1,-1.0,-1.0,1000.0,405.0,4800.0,-1.0,5700.0,-1.0,-1.0,-1.0,-1.0,-1.0,4725.0,-1.0
1970,-1.0,2258.0,1638.0,-1,1181.0,2200.0,-1.0,-1.0,221000.0,-1.0,4700.0,700.0,1386.0,103000.0,-1.0,5270.0,80938.0,405.0,-1.0,-1,-1.0,-1.0,900.0,405.0,12300.0,-1.0,5800.0,-1.0,-1.0,-1.0,-1.0,-1.0,5261.0,-1.0
