,Guinea,Cuba,Kenya,"China, Taiwan Province of",Mozambique,Morocco,Ethiopia PDR,Comoros,Mexico,Dominican Republic,Ethiopia,Central African Republic,Indonesia,China,Jamaica,Malawi,United Republic of Tanzania,Venezuela (Bolivarian Republic of),South Africa,Democratic Republic of the Congo,Guatemala,Brazil,"China, mainland",Madagascar,Angola,Uganda,Thailand,Haiti
1961,100.0,-1.0,63100.0,8724.0,29300.0,300.0,1000.0,692.0,156005.0,1636.0,-1.0,500.0,17800.0,16724.0,351.0,300.0,201100.0,8380.0,1400.0,300.0,-1,164200.0,8000.0,14000.0,58800.0,940.0,-1.0,26000.0
1962,100.0,-1.0,59600.0,7713.0,27100.0,300.0,1000.0,1249.0,156455.0,903.0,-1.0,100.0,9400.0,15713.0,366.0,300.0,217500.0,8451.0,1800.0,300.0,-1,174000.0,8000.0,24000.0,70000.0,518.0,-1.0,26000.0
1963,100.0,-1.0,71300.0,10047.0,31376.0,300.0,1100.0,1177.0,171681.0,878.0,-1.0,200.0,4500.0,18047.0,366.0,300.0,217703.0,11605.0,1800.0,300.0,-1,172100.0,8000.0,26000.0,63000.0,415.0,-1.0,27000.0
1964,100.0,-1.0,67400.0,11520.0,31922.0,330.0,1800.0,902.0,195444.0,582.0,-1.0,200.0,3600.0,19520.0,305.0,500.0,233540.0,10751.0,1800.0,300.0,-1,178100.0,8000.0,31460.0,68000.0,385.0,-1.0,26000.0
1965,100.0,-1.0,64000.0,11221.0,30972.0,300.0,2100.0,776.0,148535.0,423.0,-1.0,200.0,4600.0,19221.0,305.0,400.0,217578.0,13325.0,2000.0,400.0,-1,195000.0,8000.0,32110.0,69589.0,345.0,-1.0,26500.0
1966,100.0,-1.0,57300.0,10651.0,30902.0,300.0,2200.0,438.0,142664.0,400.0,-1.0,200.0,7700.0,19651.0,300.0,300.0,225074.0,13500.0,2300.0,500.0,-1,190000.0,9000.0,27130.0,67670.0,294.0,-1.0,24494.0
1967,100.0,-1.0,51700.0,10377.0,31379.0,300.0,2200.0,526.0,148399.0,380.0,-1.0,200.0,8000.0,20377.0,300.0,350.0,216618.0,13318.0,3600.0,500.0,-1,185000.0,10000.0,24535.0,59893.0,200.0,-1.0,21772.0
1968,100.0,-1.0,50300.0,9448.0,32252.0,300.0,2500.0,355.0,137052.0,340.0,-1.0,200.0,9200.0,19448.0,300.0,300.0,193783.0,12543.0,5600.0,400.0,-1,180000.0,10000.0,25260.0,66000.0,400.0,-1.0,17236.0
1969,100.0,-1.0,49800.0,9964.0,30200.0,300.0,2000.0,218.0,137735.0,320.0,-1.0,200.0,7600.0,19964.0,300.0,300.0,209303.0,12314.0,8000.0,500.0,-1,205000.0,10000.0,29500.0,66800.0,0.0,-1.0,15422.0
1970,100.0,6100.0,43930.0,7895.0,29000.0,300.0,1500.0,195.0,145911.0,300.0,-1.0,200.0,5400.0,18895.0,300.0,300.0,202180.0,12023.0,8000.0,150.0,-1,205000.0,11000.0,24600.0,61700.0,0.0,50.0,15422.0
1971,100.0,6300.0,44826.0,8711.0,23320.0,300.0,1500.0,87.0,144320.0,280.0,-1.0,200.0,2300.0,20711.0,300.0,300.0,181104.0,12488.0,8000.0,100.0,-1,277744.0,12000.0,24720.0,65100.0,0.0,300.0,16330.0
1972,100.0,4900.0,41210.0,7639.0,22000.0,400.0,1000.0,0.0,148152.0,260.0,-1.0,200.0,100.0,19639.0,300.0,350.0,156850.0,13307.0,5000.0,130.0,-1,295965.0,12000.0,29500.0,80000.0,0.0,30.0,18144.0
1973,100.0,6177.0,58054.0,8271.0,21300.0,400.0,1000.0,-1.0,147456.0,240.0,-1.0,200.0,100.0,20271.0,300.0,100.0,155407.0,14900.0,7300.0,100.0,-1,260824.0,12000.0,30900.0,62000.0,-1.0,50.0,17000.0
1974,100.0,7147.0,86526.0,10494.0,20000.0,500.0,500.0,0.0,154228.0,240.0,-1.0,200.0,150.0,22494.0,300.0,100.0,143442.0,13510.0,8000.0,6.0,-1,290479.0,12000.0,29100.0,70000.0,-1.0,100.0,19000.0
1975,100.0,7933.0,43639.0,9284.0,15000.0,600.0,500.0,0.0,140439.0,240.0,-1.0,200.0,200.0,21284.0,300.0,100.0,127840.0,13765.0,8000.0,0.0,-1,314314.0,12000.0,31905.0,40000.0,-1.0,50.0,12000.0
