,India,Dominica,Melanesia,Bhutan,Malaysia,Grenada,Sri Lanka,Honduras,Lao People's Democratic Republic,Nepal,Ethiopia,Indonesia,Malawi,United Republic of Tanzania,Trinidad and Tobago,Papua New Guinea,Saint Vincent and the Grenadines,Guatemala,Togo,Kenya,Madagascar,Saint Lucia,Ethiopia PDR,Thailand
1961,50000.0,-1.0,0.0,4150.0,1300.0,-1.0,7000.0,-1.0,3000.0,-1.0,-1.0,7000.0,-1.0,1000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
1962,56000.0,-1.0,0.0,4200.0,500.0,-1.0,7000.0,-1.0,3000.0,-1.0,-1.0,9000.0,-1.0,1000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
1963,57000.0,-1.0,0.0,4200.0,700.0,-1.0,7000.0,-1.0,3000.0,-1.0,-1.0,10000.0,-1.0,1000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
1964,55000.0,-1.0,0.0,4320.0,1200.0,-1.0,7000.0,-1.0,3000.0,-1.0,-1.0,8500.0,-1.0,1000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
1965,57000.0,-1.0,0.0,4330.0,700.0,-1.0,7000.0,-1.0,3000.0,-1.0,-1.0,7000.0,-1.0,1000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
1966,75000.0,-1.0,0.0,4330.0,500.0,-1.0,7000.0,-1.0,3500.0,-1.0,-1.0,10000.0,-1.0,1000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
1967,73000.0,-1.0,0.0,4440.0,500.0,-1.0,7000.0,-1.0,3500.0,-1.0,-1.0,11000.0,-1.0,1000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
1968,75000.0,-1.0,0.0,4440.0,500.0,-1.0,7000.0,-1.0,3500.0,-1.0,-1.0,13000.0,-1.0,1000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
1969,74000.0,-1.0,0.0,4550.0,500.0,-1.0,7000.0,-1.0,3500.0,-1.0,-1.0,16000.0,-1.0,1000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
1970,75000.0,-1.0,0.0,4550.0,550.0,-1.0,7000.0,-1.0,3000.0,-1.0,-1.0,18000.0,-1.0,1000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
1971,76800.0,-1.0,0.0,4650.0,650.0,-1.0,7000.0,-1.0,3500.0,-1.0,-1.0,18000.0,-1.0,1000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
1972,75900.0,-1.0,0.0,4650.0,550.0,-1.0,7000.0,-1.0,3500.0,-1.0,-1.0,19000.0,-1.0,1000.0,-1.0,-1.0,-1.0,9800.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
1973,75900.0,-1.0,0.0,4700.0,500.0,-1.0,7000.0,-1.0,3500.0,-1.0,-1.0,17447.0,-1.0,2200.0,-1.0,-1.0,-1.0,10500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
1974,89200.0,-1.0,0.0,4700.0,500.0,-1.0,7000.0,-1.0,3500.0,-1.0,-1.0,25867.0,-1.0,2500.0,-1.0,-1.0,-1.0,9170.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
1975,99900.0,-1.0,0.0,4700.0,500.0,-1.0,9000.0,-1.0,3000.0,-1.0,-1.0,27700.0,-1.0,2500.0,-1.0,-1.0,-1.0,9450.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
1976,96900.0,-1.0,0.0,4800.0,500.0,-1.0,7000.0,-1.0,3000.0,-1.0,-1.0,25000.0,-1.0,2500.0,-1.0,-1.0,-1.0,10500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
1977,95600.0,-1.0,0.0,4900.0,500.0,-1.0,7000.0,-1.0,3000.0,-1.0,-1.0,27371.0,-1.0,2500.0,-1.0,-1.0,-1.0,18830.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
1978,81900.0,-1.0,0.0,5150.0,500.0,-1.0,7000.0,-1.0,3000.0,-1.0,-1.0,26682.0,-1.0,2500.0,-1.0,-1.0,-1.0,23800.0,-1.0,40.0,-1.0,-1.0,-1.0,-1
1979,89000.0,-1.0,0.0,5350.0,500.0,-1.0,7000.0,-1.0,3500.0,-1.0,-1.0,28359.0,-1.0,2500.0,-1.0,-1.0,-1.0,17710.0,-1.0,60.0,-1.0,-1.0,350.0,-1
1980,87700.0,-1.0,0.0,5550.0,750.0,-1.0,7300.0,-1.0,4000.0,-1.0,-1.0,28316.0,-1.0,2500.0,-1.0,-1.0,-1.0,23310.0,-1.0,40.0,-1.0,-1.0,350.0,-1
1981,100600.0,-1.0,160.0,5900.0,750.0,-1.0,7570.0,-1.0,4500.0,-1.0,-1.0,27836.0,-1.0,2500.0,-1.0,160.0,-1.0,23870.0,-1.0,40.0,-1.0,-1.0,350.0,-1
