,Israel,USSR,Argentina,Turkey,Australia & New Zealand,Australia,Ethiopia PDR,Pakistan,United Republic of Tanzania,Mexico,Tajikistan,Ethiopia,Ukraine,Hungary,Russian Federation,Kyrgyzstan,Iran (Islamic Republic of),Kazakhstan,China,United States of America,Morocco,"China, mainland",Canada,Uzbekistan,Spain,Portugal,Occupied Palestinian Territory,India
1961,6542.0,4500.0,,7857.0,4306.0,4306.0,5098.0,,,12597.0,,,,,,,,,,9607.0,10000.0,,,,4444.0,,,1500.0
1962,5634.0,4500.0,,6771.0,7088.0,7088.0,5010.0,,,12702.0,,,,,,,,,,15851.0,10714.0,,,,4444.0,,,1506.0
1963,2857.0,4500.0,,7300.0,7008.0,7008.0,5009.0,,,12982.0,,,,,,,,,,15590.0,10769.0,,,,4444.0,,,1511.0
1964,3252.0,4500.0,,10000.0,6577.0,6577.0,4991.0,,,13245.0,,,,,,,,,,16828.0,10417.0,,,,4444.0,,,1363.0
1965,4396.0,2545.0,,10000.0,4090.0,4090.0,5000.0,,,13541.0,,,,,,,,,,23274.0,9545.0,,,,4444.0,,,1554.0
1966,5000.0,3923.0,,7368.0,6485.0,6485.0,5000.0,,,14324.0,,,,,,,,,,21717.0,9524.0,,,,5455.0,,,1494.0
1967,5128.0,5182.0,,7876.0,3762.0,3762.0,5128.0,,,14858.0,,,,,,,,,,20039.0,10667.0,,,,7965.0,,,1506.0
1968,5031.0,4643.0,7000.0,8077.0,5510.0,5510.0,5301.0,,,11912.0,,,,,,,3878.0,,,23542.0,9375.0,,,,7144.0,,,1516.0
1969,15625.0,4818.0,6667.0,9818.0,3854.0,3854.0,5516.0,,,14427.0,,,,,,,6478.0,,,21336.0,8500.0,,,,5012.0,,,1622.0
1970,5000.0,4333.0,7000.0,7692.0,3379.0,3379.0,5801.0,,,16449.0,,,,,,,7000.0,,,19636.0,7750.0,,,,5898.0,,,2454.0
1971,5263.0,3706.0,7070.0,7109.0,4554.0,4554.0,6160.0,6408.0,,15503.0,,,,,,,5000.0,,,24472.0,8125.0,,,,6091.0,8133.0,,2618.0
1972,8841.0,5923.0,6100.0,6818.0,3928.0,3928.0,3808.0,7170.0,,13644.0,,,,,,,,,,24093.0,8400.0,,,,4937.0,5195.0,,2183.0
1973,7218.0,4400.0,6200.0,6585.0,5510.0,5510.0,3793.0,7125.0,,15060.0,,,,,,,,,,18851.0,10000.0,,,,5828.0,3162.0,,1932.0
1974,4936.0,4286.0,9573.0,6316.0,8417.0,8417.0,4688.0,7857.0,,14215.0,,,,,,,,,,17778.0,,,,,4797.0,3324.0,,3112.0
1975,8953.0,3333.0,8491.0,6750.0,4568.0,4568.0,3906.0,8333.0,,14662.0,,,,,,,,,,18947.0,,,,,4751.0,4508.0,,3271.0
1976,13043.0,4600.0,7800.0,7273.0,4884.0,4884.0,4688.0,8727.0,,12995.0,,,,,,,,,,17250.0,,,,,5602.0,4742.0,,3538.0
1977,3390.0,4625.0,7407.0,6944.0,6749.0,6749.0,4688.0,9000.0,,12842.0,,,,,,,,,,19875.0,,,,,4634.0,1876.0,,3215.0
