,Ukraine,Democratic People's Republic of Korea,Germany,Serbia,Belgium,Georgia,Serbia and Montenegro,Croatia,Poland,Switzerland,USSR,Romania,China,Spain,United Kingdom,Ethiopia,Yugoslav SFR,Ireland,Greece,Canada,Albania,Portugal,Slovakia,Republic of Korea,Austria,South Africa,Hungary,Japan,New Zealand,Bulgaria,Australia & New Zealand,United States of America,Australia,France,Slovenia,Czechoslovakia,"China, mainland",Russian Federation,Czechia,Argentina,Belgium-Luxembourg
1961,-1.0,2000.0,9903.0,-1.0,-1.0,-1.0,-1.0,-1.0,2200.0,-1.0,5360.0,640.0,-1.0,908.0,8094.0,-1.0,3820.0,-1.0,30.0,361.0,-1.0,-1.0,-1.0,-1.0,106.0,100.0,868.0,1000.0,201.0,702.0,971.0,9267.0,770.0,1140.0,-1.0,8341.0,-1.0,-1.0,-1.0,257.0,663.0
1962,-1.0,2700.0,10416.0,-1.0,-1.0,-1.0,-1.0,-1.0,2500.0,-1.0,5360.0,640.0,-1.0,1011.0,8094.0,-1.0,3710.0,-1.0,30.0,374.0,-1.0,-1.0,-1.0,-1.0,112.0,80.0,921.0,1000.0,185.0,905.0,989.0,11857.0,804.0,1161.0,-1.0,8758.0,-1.0,-1.0,-1.0,288.0,693.0
1963,-1.0,3000.0,11166.0,-1.0,-1.0,-1.0,-1.0,-1.0,2500.0,-1.0,8700.0,640.0,-1.0,1136.0,8498.0,-1.0,3760.0,-1.0,40.0,397.0,-1.0,-1.0,-1.0,-1.0,114.0,130.0,909.0,1300.0,181.0,993.0,1017.0,13233.0,836.0,1221.0,-1.0,9048.0,-1.0,-1.0,-1.0,194.0,738.0
1964,-1.0,3000.0,11678.0,-1.0,-1.0,-1.0,-1.0,-1.0,2600.0,-1.0,9100.0,720.0,-1.0,1182.0,8498.0,-1.0,4130.0,-1.0,30.0,424.0,-1.0,-1.0,-1.0,-1.0,119.0,50.0,922.0,1580.0,214.0,1089.0,1094.0,13193.0,880.0,1235.0,-1.0,9142.0,-1.0,-1.0,-1.0,158.0,779.0
1965,-1.0,3000.0,12213.0,-1.0,-1.0,-1.0,-1.0,-1.0,2500.0,13.0,9600.0,720.0,-1.0,1141.0,8498.0,-1.0,3884.0,-1.0,70.0,400.0,-1.0,-1.0,-1.0,-1.0,118.0,70.0,937.0,1810.0,231.0,1151.0,1040.0,13233.0,809.0,1206.0,-1.0,9151.0,-1.0,-1.0,-1.0,156.0,802.0
1966,-1.0,3200.0,13094.0,-1.0,-1.0,-1.0,-1.0,-1.0,2100.0,14.0,10000.0,720.0,-1.0,1165.0,8094.0,-1.0,3860.0,-1.0,60.0,416.0,-1.0,-1.0,-1.0,104.0,116.0,100.0,894.0,1890.0,235.0,1148.0,1044.0,13031.0,809.0,1221.0,-1.0,9658.0,-1.0,-1.0,-1.0,165.0,842.0
1967,-1.0,3200.0,13749.0,-1.0,-1.0,-1.0,-1.0,-1.0,2100.0,13.0,10200.0,720.0,-1.0,1051.0,7689.0,-1.0,3890.0,-1.0,72.0,381.0,-1.0,-1.0,-1.0,59.0,109.0,100.0,894.0,1840.0,233.0,1174.0,1042.0,12059.0,809.0,1219.0,-1.0,9616.0,-1.0,-1.0,-1.0,233.0,913.0
1968,-1.0,3200.0,13984.0,-1.0,-1.0,-1.0,-1.0,-1.0,2200.0,13.0,10700.0,800.0,-1.0,983.0,7284.0,-1.0,3920.0,-1.0,67.0,384.0,-1.0,-1.0,-1.0,36.0,108.0,100.0,796.0,1800.0,214.0,1175.0,1023.0,11493.0,809.0,1327.0,-1.0,9491.0,-1.0,-1.0,-1.0,240.0,923.0
1969,-1.0,3000.0,13928.0,-1.0,-1.0,-1.0,-1.0,-1.0,2400.0,13.0,10600.0,800.0,-1.0,1096.0,6475.0,-1.0,3803.0,-1.0,78.0,391.0,-1.0,150.0,-1.0,76.0,107.0,120.0,773.0,1600.0,249.0,1204.0,1058.0,10926.0,809.0,1059.0,-1.0,9440.0,-1.0,-1.0,-1.0,210.0,910.0
1970,-1.0,3000.0,14926.0,-1.0,-1.0,-1.0,-1.0,-1.0,2400.0,14.0,10300.0,800.0,-1.0,1240.0,6880.0,-1.0,3757.0,-1.0,161.0,401.0,-1.0,150.0,-1.0,153.0,100.0,120.0,535.0,1610.0,249.0,1158.0,1184.0,11210.0,935.0,1036.0,-1.0,9353.0,-1.0,-1.0,-1.0,226.0,974.0
