,USSR,Romania,Eritrea,Israel,Australia & New Zealand,Iraq,Madagascar,Pakistan,Nepal,Ethiopia,Kenya,Czechia,Bangladesh,Italy,Lebanon,Occupied Palestinian Territory,Morocco,Slovenia,Chile,Argentina,Colombia,Spain,Syrian Arab Republic,Malawi,New Zealand,Algeria,Slovakia,Ecuador,Canada,Turkey,Jordan,Ethiopia PDR,Egypt,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,France,India,Hungary,Russian Federation,Tunisia,Yugoslav SFR,Iran (Islamic Republic of),Peru,Mexico,"China, mainland",Cyprus,Croatia,Bulgaria,Myanmar,China
1961,3150.0,2.0,,58.0,0.0,781.0,20.0,2144.0,2100.0,,0.0,,1930.0,1500.0,112.0,0.0,1040.0,,1910.0,960.0,900.0,5500.0,5684.0,0.0,0.0,450.0,,427.0,0.0,8368.0,1768.0,3320.0,5000.0,,1335.0,155.0,805.0,23127.0,330.0,,9.0,30.0,2730.0,107.0,145.0,0.0,60.0,,46.0,45.0,0.0
1962,3420.0,7.0,,43.0,0.0,677.0,20.0,2960.0,2160.0,,0.0,,2161.0,1400.0,112.0,0.0,960.0,,1994.0,942.0,925.0,5600.0,5264.0,0.0,0.0,300.0,,391.0,0.0,8264.0,1336.0,3400.0,5000.0,,998.0,241.0,757.0,23018.0,210.0,,30.0,42.0,2795.0,114.0,180.0,0.0,57.0,,36.0,71.0,0.0
1963,3600.0,6.0,,55.0,0.0,593.0,20.0,2903.0,2190.0,,0.0,,2027.0,1400.0,200.0,0.0,1120.0,,1990.0,993.0,950.0,5000.0,6299.0,0.0,0.0,252.0,,373.0,0.0,8400.0,2199.0,3480.0,5000.0,,995.0,311.0,685.0,23559.0,300.0,,40.0,39.0,2860.0,116.0,182.0,0.0,63.0,,53.0,85.0,0.0
1964,3780.0,18.0,,43.0,0.0,659.0,20.0,1987.0,2220.0,,0.0,,1991.0,1300.0,193.0,0.0,1000.0,,1926.0,1020.0,1000.0,5200.0,6492.0,0.0,0.0,307.0,,188.0,0.0,8000.0,2435.0,3600.0,5000.0,,1001.0,426.0,922.0,25203.0,330.0,,25.0,36.0,2925.0,114.0,183.0,0.0,50.0,,87.0,63.0,0.0
1965,3870.0,24.0,,74.0,0.0,648.0,20.0,1764.0,2250.0,,0.0,,2040.0,1200.0,319.0,0.0,1012.0,,846.0,1050.0,1100.0,6000.0,4176.0,0.0,0.0,234.0,,101.0,0.0,8000.0,1656.0,3600.0,5000.0,,949.0,345.0,1172.0,25302.0,260.0,,25.0,33.0,2990.0,83.0,185.0,0.0,31.0,,159.0,50.0,0.0
1966,4770.0,14.0,,42.0,0.0,676.0,24.0,2501.0,2280.0,,0.0,,2124.0,1100.0,200.0,0.0,520.0,,544.0,1485.0,1200.0,6300.0,5390.0,0.0,0.0,274.0,,126.0,0.0,8000.0,1937.0,3720.0,4000.0,,946.0,180.0,658.0,24873.0,260.0,,25.0,45.0,3055.0,75.0,180.0,0.0,13.0,,110.0,53.0,0.0
1967,5040.0,14.0,,37.0,0.0,733.0,24.0,2349.0,2310.0,,0.0,,2052.0,800.0,200.0,0.0,832.0,,591.0,1491.0,1250.0,5600.0,6952.0,0.0,0.0,680.0,,93.0,0.0,7920.0,1914.0,3800.0,4000.0,,818.0,196.0,510.0,22551.0,310.0,,30.0,36.0,3120.0,117.0,191.0,0.0,14.0,,96.0,64.0,0.0
1968,5040.0,0.0,,65.0,0.0,545.0,24.0,2072.0,2340.0,,0.0,,2148.0,600.0,195.0,0.0,1312.0,,1012.0,1486.0,1250.0,6000.0,7732.0,0.0,0.0,778.0,,83.0,0.0,8240.0,1965.0,3880.0,4000.0,,736.0,75.0,464.0,23304.0,280.0,,30.0,35.0,3185.0,207.0,178.0,0.0,13.0,,85.0,172.0,0.0
1969,4950.0,0.0,,38.0,0.0,736.0,24.0,1975.0,2370.0,,0.0,,2700.0,500.0,174.0,0.0,1480.0,,1382.0,1558.0,1350.0,5600.0,9766.0,0.0,0.0,638.0,,92.0,0.0,8640.0,1749.0,4000.0,4000.0,,672.0,38.0,702.0,22884.0,210.0,,30.0,32.0,3250.0,212.0,176.0,0.0,19.0,,102.0,222.0,0.0
1970,5130.0,0.0,,35.0,0.0,587.0,30.0,1830.0,2400.0,,0.0,,3000.0,400.0,181.0,0.0,1120.0,,1446.0,1258.0,1150.0,6200.0,7805.0,0.0,0.0,477.0,,105.0,0.0,8400.0,1745.0,4200.0,5000.0,,584.0,58.0,782.0,22320.0,200.0,,30.0,30.0,3276.0,55.0,207.0,0.0,22.0,,86.0,223.0,0.0
1971,5760.0,0.0,,35.0,0.0,767.0,24.0,1920.0,2460.0,,0.0,,3600.0,300.0,188.0,0.0,1548.0,,1462.0,881.0,1150.0,7000.0,8057.0,0.0,0.0,539.0,,92.0,0.0,8240.0,2415.0,4400.0,5000.0,,528.0,53.0,562.0,24003.0,210.0,,30.0,27.0,3444.0,66.0,209.0,0.0,25.0,,61.0,237.0,0.0
1972,6300.0,0.0,,23.0,0.0,299.0,24.0,2339.0,2520.0,,0.0,,4500.0,200.0,215.0,0.0,1240.0,,1282.0,666.0,1050.0,7800.0,6446.0,0.0,0.0,476.0,,143.0,0.0,9464.0,2056.0,4800.0,5000.0,,488.0,88.0,417.0,25008.0,70.0,,26.0,32.0,3445.0,64.0,260.0,0.0,22.0,,48.0,159.0,0.0
1973,4770.0,0.0,,23.0,0.0,279.0,24.0,2877.0,2580.0,,0.0,,5400.0,200.0,247.0,0.0,1624.0,,1562.0,540.0,1050.0,8600.0,5979.0,0.0,0.0,491.0,,148.0,2.0,9360.0,1833.0,4640.0,5900.0,,464.0,106.0,403.0,27753.0,100.0,,28.0,23.0,3445.0,71.0,262.0,0.0,19.0,,30.0,139.0,0.0
1974,4590.0,0.0,,22.0,0.0,360.0,26.0,2262.0,2640.0,,0.0,,6000.0,200.0,266.0,0.0,1856.0,,1644.0,501.0,1050.0,8100.0,6849.0,0.0,0.0,464.0,,142.0,24.0,9960.0,1262.0,4620.0,5200.0,,440.0,98.0,783.0,28581.0,100.0,,28.0,21.0,3478.0,96.0,278.0,0.0,22.0,,29.0,160.0,0.0
1975,3240.0,0.0,,32.0,0.0,396.0,36.0,2188.0,2700.0,,0.0,,7500.0,200.0,105.0,0.0,2508.0,,1800.0,524.0,1100.0,8000.0,10254.0,0.0,0.0,538.0,,128.0,23.0,14880.0,1953.0,1932.0,4600.0,,392.0,87.0,791.0,28098.0,24.0,,26.0,21.0,3478.0,105.0,206.0,0.0,13.0,,10.0,159.0,0.0
1976,1350.0,0.0,,20.0,0.0,446.0,44.0,2385.0,2790.0,,0.0,,8730.0,100.0,245.0,0.0,1424.0,,2431.0,1782.0,1000.0,8000.0,12484.0,0.0,0.0,413.0,,46.0,150.0,19200.0,1143.0,2384.0,5087.0,,320.0,104.0,900.0,25599.0,38.0,,35.0,18.0,3380.0,109.0,208.0,0.0,14.0,,15.0,136.0,0.0
1977,1800.0,0.0,,18.0,0.0,691.0,60.0,2685.0,2850.0,,0.0,,8790.0,100.0,175.0,0.0,1484.0,,2547.0,4920.0,1100.0,8000.0,9528.0,0.0,0.0,478.0,,34.0,780.0,14184.0,1225.0,2368.0,3865.0,,336.0,106.0,735.0,26421.0,39.0,,28.0,15.0,3380.0,100.0,237.0,0.0,12.0,,16.0,130.0,0.0
1978,1080.0,0.0,,21.0,0.0,460.0,70.0,3183.0,2880.0,,0.0,,8850.0,100.0,245.0,0.0,1148.0,,4029.0,2760.0,1000.0,8700.0,6204.0,0.0,0.0,540.0,,27.0,1175.0,14000.0,616.0,2340.0,2848.0,,392.0,111.0,791.0,30543.0,58.0,,28.0,26.0,3088.0,103.0,519.0,0.0,8.0,,25.0,146.0,0.0
1979,630.0,0.0,,23.0,0.0,499.0,44.0,2591.0,2940.0,,0.0,,8670.0,100.0,245.0,0.0,1480.0,,4236.0,1896.0,850.0,8000.0,5937.0,0.0,0.0,487.0,,27.0,2685.0,15280.0,738.0,1699.0,1782.0,,408.0,134.0,593.0,25464.0,22.0,,14.0,15.0,3497.0,192.0,438.0,0.0,15.0,,44.0,133.0,0.0
1980,810.0,0.0,,23.0,0.0,448.0,26.0,2181.0,3000.0,,0.0,,8550.0,100.0,266.0,0.0,1360.0,,3813.0,1428.0,850.0,8000.0,5020.0,0.0,0.0,391.0,,37.0,3060.0,20400.0,893.0,2134.0,1280.0,,344.0,122.0,469.0,28047.0,40.0,,13.0,12.0,4771.0,100.0,552.0,0.0,10.0,,152.0,95.0,0.0
1981,1080.0,0.0,,23.0,0.0,448.0,30.0,2221.0,3090.0,,0.0,,7440.0,100.0,259.0,0.0,1564.0,,3109.0,888.0,850.0,7500.0,4009.0,0.0,0.0,299.0,,33.0,4248.0,49820.0,917.0,2817.0,960.0,,448.0,197.0,469.0,28356.0,99.0,,9.0,15.0,4147.0,110.0,677.0,0.0,7.0,,200.0,76.0,0.0
1982,1260.0,0.0,,23.0,0.0,357.0,34.0,2469.0,3450.0,,0.0,,7200.0,100.0,256.0,0.0,3144.0,,1844.0,456.0,850.0,7400.0,5003.0,0.0,0.0,273.0,,29.0,2862.0,52000.0,790.0,2213.0,1015.0,,496.0,195.0,700.0,29892.0,158.0,,14.0,12.0,4953.0,137.0,456.0,0.0,6.0,,303.0,83.0,0.0
