,India,El Salvador,Mozambique,Myanmar,Malaysia,Cuba,USSR,China,Central African Republic,Russian Federation,Ethiopia,Indonesia,Pakistan,Spain,Mali,Chile,South Africa,Democratic Republic of the Congo,Bangladesh,Guatemala,Brazil,"China, mainland",Madagascar,Angola,Nigeria,Ethiopia PDR,Thailand
1961,416200.0,1400.0,1000.0,35.0,-1.0,1000.0,39500.0,66000.0,-1.0,-1.0,-1.0,4000.0,6900.0,2844.0,-1.0,-1.0,2300.0,10909.0,34350.0,500.0,13130.0,66000.0,2410.0,1500.0,-1.0,-1.0,239300.0
1962,392700.0,1400.0,1000.0,35.0,-1.0,1000.0,42000.0,36000.0,16.0,-1.0,-1.0,4000.0,7100.0,1829.0,-1.0,-1.0,2300.0,8608.0,34900.0,600.0,13152.0,36000.0,1087.0,1500.0,-1.0,-1.0,134400.0
1963,417460.0,1400.0,1000.0,35.0,-1.0,2000.0,44500.0,53500.0,70.0,-1.0,-1.0,4000.0,7100.0,759.0,-1.0,-1.0,2300.0,9237.0,34170.0,800.0,13144.0,53500.0,1700.0,1500.0,-1.0,-1.0,211700.0
1964,367640.0,1400.0,2000.0,1404.0,-1.0,2300.0,38400.0,63500.0,120.0,-1.0,-1.0,5000.0,7800.0,100.0,-1.0,-1.0,2500.0,5364.0,44900.0,700.0,12692.0,63500.0,2305.0,1500.0,-1.0,-1.0,303100.0
1965,290780.0,2900.0,4000.0,1428.0,-1.0,4000.0,37900.0,75500.0,120.0,-1.0,-1.0,5000.0,6500.0,150.0,-1.0,-1.0,1500.0,6558.0,54540.0,500.0,15701.0,75500.0,2040.0,1500.0,-1.0,-1.0,529100.0
1966,277044.0,5400.0,5000.0,1242.0,-1.0,6600.0,41100.0,94000.0,180.0,-1.0,-1.0,8400.0,7400.0,200.0,-1.0,-1.0,1100.0,6010.0,26140.0,300.0,17201.0,94000.0,1735.0,2000.0,-1.0,-1.0,662400.0
1967,300360.0,4300.0,6000.0,905.0,-1.0,7200.0,52500.0,107500.0,620.0,-1.0,-1.0,15700.0,6500.0,233.0,-1.0,-1.0,1200.0,5123.0,57960.0,700.0,13867.0,107500.0,2035.0,2000.0,-1.0,-1.0,421800.0
1968,230562.0,4300.0,6000.0,650.0,-1.0,6550.0,44900.0,107000.0,570.0,-1.0,-1.0,12600.0,7100.0,-1.0,23.0,-1.0,2000.0,7500.0,26926.0,500.0,15249.0,107000.0,2105.0,2400.0,-1.0,-1.0,316000.0
1969,270454.0,4100.0,5000.0,509.0,-1.0,2000.0,52500.0,93000.0,400.0,-1.0,-1.0,16900.0,6300.0,-1.0,120.0,-1.0,2000.0,8800.0,44283.0,238.0,13009.0,93000.0,3980.0,2000.0,-1.0,-1.0,373400.0
1970,290800.0,2200.0,6800.0,508.0,-1.0,2000.0,50000.0,85000.0,798.0,-1.0,-1.0,15611.0,6265.0,-1.0,213.0,-1.0,2000.0,6000.0,28380.0,416.0,14972.0,85000.0,2980.0,1700.0,-1.0,-1.0,380900.0
1971,261872.0,5400.0,5700.0,562.0,-1.0,2000.0,57450.0,82000.0,638.0,-1.0,-1.0,7580.0,6393.0,-1.0,430.0,-1.0,2000.0,3943.0,21531.0,803.0,13274.0,82000.0,2260.0,1200.0,-1.0,-1.0,419100.0
1972,249288.0,5400.0,4000.0,370.0,-1.0,3000.0,56250.0,102500.0,578.0,-1.0,-1.0,8301.0,6486.0,-1.0,638.0,-1.0,1200.0,5405.0,24012.0,952.0,26927.0,102500.0,660.0,1100.0,-1.0,-1.0,427900.0
1973,315252.0,5400.0,4500.0,339.0,-1.0,3000.0,45450.0,150500.0,549.0,-1.0,-1.0,13926.0,6889.0,-1.0,761.0,-1.0,1200.0,3423.0,22558.0,897.0,34288.0,150500.0,1440.0,1100.0,-1.0,-1.0,468900.0
1974,303050.0,5400.0,4500.0,129.0,-1.0,18853.0,38550.0,170000.0,505.0,-1.0,-1.0,16000.0,7011.0,-1.0,1130.0,-1.0,1200.0,3025.0,13319.0,224.0,29471.0,170000.0,410.0,1100.0,-1.0,-1.0,384140.0
1975,327802.0,5400.0,4000.0,27.0,-1.0,21528.0,36200.0,188500.0,500.0,-1.0,-1.0,18200.0,7156.0,-1.0,1424.0,-1.0,1200.0,3541.0,13745.0,202.0,45160.0,188500.0,520.0,1000.0,-1.0,-1.0,307602.0
1976,369608.0,1423.0,4000.0,30.0,-1.0,21601.0,48600.0,195000.0,400.0,-1.0,-1.0,17471.0,7015.0,-1.0,1296.0,-1.0,1200.0,1203.0,14959.0,266.0,60591.0,195000.0,110.0,1000.0,-1.0,-1.0,185933.0
1977,376668.0,483.0,4000.0,42.0,-1.0,16364.0,46800.0,230000.0,300.0,-1.0,-1.0,7835.0,7041.0,-1.0,1096.0,-1.0,1200.0,747.0,16344.0,166.0,57056.0,230000.0,125.0,1000.0,-1.0,-1.0,245830.0
1978,389694.0,610.0,4000.0,57.0,-1.0,11342.0,43950.0,294000.0,167.0,-1.0,-1.0,7212.0,5537.0,-1.0,1934.0,5000.0,1200.0,748.0,18659.0,200.0,60318.0,294000.0,350.0,1000.0,-1.0,-1.0,337814.0
1979,386610.0,660.0,4000.0,15.0,-1.0,15830.0,47850.0,294500.0,101.0,-1.0,-1.0,15511.0,5524.0,-1.0,2080.0,5000.0,1200.0,637.0,15473.0,328.0,51433.0,294500.0,385.0,1000.0,-1.0,-1.0,221808.0
1980,350906.0,700.0,4000.0,37.0,-1.0,10200.0,52350.0,294000.0,47.0,-1.0,-1.0,14639.0,6862.0,-1.0,1612.0,10200.0,1200.0,872.0,9845.0,295.0,50053.0,294000.0,385.0,1000.0,-1.0,-1.0,211323.0
1981,341240.0,700.0,4000.0,47.0,-1.0,16512.0,45000.0,340200.0,60.0,-1.0,-1.0,15293.0,6889.0,-1.0,1800.0,10000.0,1200.0,900.0,9730.0,245.0,58269.0,340200.0,535.0,1000.0,530.0,-1.0,193833.0
1982,262200.0,475.0,4000.0,40.0,-1.0,15773.0,45000.0,290000.0,70.0,-1.0,-1.0,17284.0,6676.0,-1.0,2000.0,10000.0,1200.0,1500.0,9116.0,235.0,44977.0,290000.0,540.0,1000.0,500.0,6.0,199608.0
1983,298000.0,725.0,4000.0,30.0,-1.0,19886.0,45000.0,280000.0,70.0,-1.0,-1.0,15991.0,6771.0,-1.0,2000.0,10000.0,1200.0,2000.0,8599.0,243.0,48363.0,280000.0,565.0,1000.0,500.0,110.0,234784.0
1984,281700.0,378.0,4000.0,20.0,-1.0,19800.0,45000.0,405000.0,70.0,-1.0,-1.0,6427.0,6349.0,-1.0,2000.0,10000.0,1200.0,2500.0,8457.0,267.0,53749.0,405000.0,580.0,1000.0,550.0,70.0,161570.0
1985,373800.0,559.0,4000.0,40.0,-1.0,19193.0,45000.0,1100000.0,72.0,-1.0,-1.0,20196.0,5830.0,-1.0,2000.0,10000.0,1200.0,2000.0,9732.0,270.0,42261.0,1100000.0,600.0,1000.0,600.0,380.0,247251.0
1986,280000.0,684.0,4000.0,30.0,-1.0,13226.0,45000.0,375000.0,72.0,-1.0,-1.0,22322.0,5138.0,-1.0,2000.0,10000.0,1200.0,2500.0,9676.0,280.0,35840.0,375000.0,600.0,1000.0,700.0,200.0,226311.0
1987,221500.0,748.0,4000.0,20.0,-1.0,11900.0,45000.0,269000.0,72.0,-1.0,-1.0,22641.0,4547.0,-1.0,2000.0,10000.0,1200.0,3000.0,7706.0,280.0,46141.0,269000.0,600.0,1000.0,840.0,780.0,158128.0
1988,249200.0,750.0,4000.0,30.0,-1.0,3900.0,45000.0,240000.0,72.0,-1.0,-1.0,13443.0,3918.0,-1.0,2000.0,10000.0,1200.0,3810.0,5695.0,290.0,52949.0,240000.0,600.0,1000.0,850.0,860.0,156888.0
1989,258500.0,1000.0,4000.0,20.0,-1.0,16165.0,45000.0,300000.0,73.0,-1.0,-1.0,9672.0,4764.0,-1.0,2000.0,10000.0,1200.0,3850.0,7083.0,310.0,31733.0,300000.0,600.0,1000.0,860.0,860.0,149157.0
1990,277300.0,1500.0,3556.0,20.0,0.0,10000.0,42521.0,326000.0,75.0,-1.0,-1.0,9102.0,3739.0,-1.0,2323.0,10301.0,1108.0,4081.0,14379.0,322.0,18510.0,326000.0,610.0,1060.0,870.0,908.0,157058.0
1991,286900.0,2000.0,3623.0,20.0,4312.0,10000.0,0.0,231000.0,80.0,-1.0,-1.0,10251.0,3386.0,-1.0,1896.0,13464.0,1088.0,4330.0,5000.0,330.0,11635.0,231000.0,595.0,879.0,880.0,870.0,126785.0
1992,231400.0,3000.0,3000.0,30.0,4408.0,10000.0,-1.0,279000.0,80.0,45000.0,-1.0,14047.0,3269.0,-1.0,2200.0,13294.0,1084.0,4595.0,1000.0,340.0,19451.0,279000.0,609.0,833.0,890.0,310.0,126000.0
1993,230100.0,4000.0,4000.0,50.0,4505.0,9970.0,-1.0,303000.0,80.0,45000.0,795.0,7445.0,2596.0,-1.0,1590.0,13125.0,1079.0,4877.0,1000.0,350.0,17089.0,303000.0,620.0,830.0,900.0,-1.0,127000.0
1994,235600.0,5000.0,3500.0,30.0,4602.0,9975.0,-1.0,160000.0,81.0,45440.0,800.0,9070.0,2593.0,-1.0,1200.0,12956.0,1075.0,5176.0,7000.0,340.0,16208.0,160000.0,600.0,800.0,963.0,-1.0,115759.0
1995,235300.0,5454.0,4000.0,30.0,4698.0,9980.0,-1.0,167000.0,81.0,46168.0,781.0,4253.0,2467.0,-1.0,1300.0,12786.0,1070.0,5487.0,1000.0,350.0,10051.0,167000.0,608.0,700.0,986.0,-1.0,105000.0
1996,282600.0,7427.0,4500.0,20.0,4795.0,9984.0,-1.0,158000.0,82.0,47201.0,748.0,3440.0,2212.0,-1.0,1400.0,12617.0,1066.0,5526.0,2481.0,360.0,4005.0,158000.0,620.0,800.0,1008.0,-1.0,99580.0
1997,190800.0,6782.0,4700.0,100.0,4891.0,9989.0,-1.0,186000.0,83.0,47000.0,741.0,3808.0,2022.0,-1.0,1300.0,12448.0,1063.0,5581.0,1000.0,370.0,3585.0,186000.0,609.0,900.0,1029.0,-1.0,94539.0
1998,175392.0,6700.0,4800.0,200.0,4988.0,9993.0,-1.0,112043.0,84.0,45000.0,732.0,7233.0,1862.0,-1.0,1328.0,12278.0,1100.0,5000.0,3000.0,380.0,7578.0,112043.0,604.0,1000.0,1051.0,-1.0,47213.0
1999,200250.0,2700.0,4900.0,400.0,5085.0,9998.0,-1.0,70500.0,85.0,45000.0,724.0,7500.0,1884.0,-1.0,1313.0,12109.0,1000.0,5693.0,2818.0,380.0,6529.0,70500.0,599.0,700.0,1072.0,-1.0,29721.0
2000,203364.0,2800.0,3300.0,800.0,5181.0,10003.0,-1.0,53869.0,86.0,45000.0,750.0,8639.0,2141.0,-1.0,1286.0,11940.0,1100.0,5749.0,3040.0,390.0,5947.0,53869.0,600.0,1000.0,1092.0,-1.0,36462.0
2001,223074.0,3000.0,3500.0,1600.0,5278.0,10007.0,-1.0,45988.0,87.0,46000.0,701.0,8479.0,2193.0,-1.0,1300.0,11906.0,1042.0,5807.0,2985.0,400.0,5869.0,45988.0,584.0,858.0,1113.0,-1.0,60614.0
2002,196992.0,2946.0,3500.0,3600.0,5374.0,10012.0,-1.0,68996.0,88.0,47000.0,687.0,7480.0,1700.0,-1.0,1293.0,11202.0,1016.0,5866.0,3149.0,400.0,8608.0,68996.0,575.0,852.0,1133.0,-1.0,14095.0
2003,180306.0,2817.0,3570.0,9300.0,5471.0,10016.0,-1.0,44000.0,89.0,48000.0,669.0,3973.0,1600.0,-1.0,1287.0,11000.0,1006.0,5900.0,3260.0,400.0,8979.0,44000.0,565.0,849.0,1154.0,-1.0,10608.0
2004,165834.0,2659.0,3600.0,11400.0,5567.0,10000.0,-1.0,38280.0,89.0,50000.0,648.0,4013.0,1100.0,-1.0,1281.0,11500.0,985.0,5907.0,3362.0,363.0,10319.0,38280.0,554.0,844.0,1176.0,-1.0,14311.0
2005,157140.0,2600.0,3300.0,5400.0,5664.0,10000.0,-1.0,36500.0,90.0,51000.0,627.0,4053.0,1100.0,-1.0,1220.0,12000.0,975.0,5816.0,5000.0,365.0,20164.0,36500.0,543.0,841.0,1197.0,-1.0,15097.0
2006,156618.0,2429.0,3500.0,14500.0,5761.0,10000.0,-1.0,38200.0,90.0,51295.0,606.0,4300.0,1069.0,-1.0,1213.0,11569.0,950.0,6000.0,3381.0,310.0,19899.0,38200.0,532.0,818.0,1218.0,-1.0,6240.0
2007,172080.0,1867.0,3300.0,21300.0,5857.0,10000.0,-1.0,43500.0,91.0,51496.0,584.0,4700.0,1000.0,-1.0,1207.0,11290.0,925.0,6299.0,3195.0,372.0,19296.0,43500.0,520.0,770.0,1238.0,-1.0,3374.0
2008,178200.0,1406.0,3400.0,15200.0,5954.0,10296.0,-1.0,37100.0,90.0,51031.0,655.0,4100.0,913.0,-1.0,1201.0,10955.0,900.0,6530.0,2978.0,351.0,12625.0,37100.0,515.0,759.0,1258.0,-1.0,2058.0
2009,131580.0,1400.0,3850.0,11600.0,6050.0,10492.0,-1.0,33000.0,86.0,50999.0,646.0,3900.0,835.0,-1.0,1347.0,10592.0,896.0,6826.0,2749.0,259.0,14054.0,33000.0,392.0,818.0,1284.0,-1.0,2903.0
2010,106400.0,1395.0,3700.0,11496.0,6147.0,10659.0,-1.0,29314.0,90.0,50957.0,672.0,3788.0,700.0,-1.0,1500.0,10229.0,857.0,7038.0,2523.0,284.0,13216.0,29314.0,382.0,780.0,1296.0,-1.0,2424.0
2011,115700.0,1390.0,3900.0,15911.0,5816.0,10815.0,-1.0,31680.0,97.0,51000.0,643.0,3794.0,611.0,-1.0,1600.0,9893.0,839.0,7087.0,2317.0,283.0,15611.0,31680.0,311.0,822.0,1314.0,-1.0,2456.0
2012,113000.0,1384.0,3800.0,16140.0,6672.0,11000.0,-1.0,28600.0,108.0,51000.0,565.0,3701.0,522.0,-1.0,1529.0,9500.0,810.0,7294.0,1900.0,275.0,8467.0,28600.0,285.0,899.0,1390.0,-1.0,3433.0
2013,108000.0,1379.0,3800.0,16899.0,7081.0,11800.0,-1.0,25700.0,112.0,51000.0,565.0,3548.0,433.0,-1.0,1620.0,9650.0,900.0,7343.0,1900.0,275.0,9502.0,25700.0,285.0,870.0,1390.0,-1.0,3444.0
2014,103412.0,1374.0,3717.0,17657.0,7573.0,11200.0,-1.0,21463.0,114.0,50000.0,556.0,3394.0,396.0,-1.0,1449.0,9539.0,834.0,7473.0,1975.0,280.0,8130.0,21463.0,254.0,832.0,1408.0,-1.0,3444.0
