,India,Dominica,Melanesia,Bhutan,Malaysia,Grenada,Sri Lanka,Honduras,Lao People's Democratic Republic,Nepal,Ethiopia,Indonesia,Malawi,United Republic of Tanzania,Trinidad and Tobago,Papua New Guinea,Saint Vincent and the Grenadines,Guatemala,Togo,Kenya,Madagascar,Saint Lucia,Ethiopia PDR
1961,600.0,-1.0,-1.0,4217.0,4231.0,-1.0,1429.0,-1.0,3000.0,-1.0,-1.0,4714.0,-1.0,2000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1962,714.0,-1.0,-1.0,4286.0,4000.0,-1.0,1429.0,-1.0,3000.0,-1.0,-1.0,3556.0,-1.0,2000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1963,702.0,-1.0,-1.0,4405.0,4286.0,-1.0,1429.0,-1.0,2833.0,-1.0,-1.0,6000.0,-1.0,2000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1964,727.0,-1.0,-1.0,4398.0,4167.0,-1.0,1429.0,-1.0,3133.0,-1.0,-1.0,7529.0,-1.0,2000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1965,702.0,-1.0,-1.0,4503.0,4286.0,-1.0,1429.0,-1.0,3233.0,-1.0,-1.0,7000.0,-1.0,2000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1966,533.0,-1.0,-1.0,4503.0,4200.0,-1.0,1429.0,-1.0,3143.0,-1.0,-1.0,5800.0,-1.0,2000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1967,411.0,-1.0,-1.0,4505.0,4200.0,-1.0,1429.0,-1.0,3286.0,-1.0,-1.0,5773.0,-1.0,2000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1968,400.0,-1.0,-1.0,4505.0,4200.0,-1.0,1429.0,-1.0,2857.0,-1.0,-1.0,5746.0,-1.0,2280.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1969,405.0,-1.0,-1.0,4505.0,4200.0,-1.0,1429.0,-1.0,3429.0,-1.0,-1.0,5099.0,-1.0,2570.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1970,400.0,-1.0,-1.0,4505.0,4273.0,-1.0,1429.0,-1.0,3167.0,-1.0,-1.0,5340.0,-1.0,2150.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1971,469.0,-1.0,-1.0,4516.0,4615.0,-1.0,1429.0,-1.0,3429.0,-1.0,-1.0,5003.0,-1.0,2010.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1972,382.0,-1.0,-1.0,4516.0,4182.0,-1.0,1429.0,-1.0,3429.0,-1.0,-1.0,5496.0,-1.0,1610.0,-1.0,-1.0,-1.0,778.0,-1.0,-1.0,-1.0,-1.0,-1.0
1973,422.0,-1.0,-1.0,4574.0,4200.0,-1.0,1429.0,-1.0,3429.0,-1.0,-1.0,6238.0,-1.0,3364.0,-1.0,-1.0,-1.0,1295.0,-1.0,-1.0,-1.0,-1.0,-1.0
1974,538.0,-1.0,-1.0,4574.0,4200.0,-1.0,1429.0,-1.0,3429.0,-1.0,-1.0,5110.0,-1.0,3280.0,-1.0,-1.0,-1.0,1682.0,-1.0,-1.0,-1.0,-1.0,-1.0
1975,521.0,-1.0,-1.0,4681.0,4200.0,-1.0,2222.0,-1.0,2667.0,-1.0,-1.0,5283.0,-1.0,4040.0,-1.0,-1.0,-1.0,1944.0,-1.0,-1.0,-1.0,-1.0,-1.0
1976,454.0,-1.0,-1.0,4688.0,4200.0,-1.0,1429.0,-1.0,3333.0,-1.0,-1.0,5750.0,-1.0,2440.0,-1.0,-1.0,-1.0,1944.0,-1.0,-1.0,-1.0,-1.0,-1.0
1977,471.0,-1.0,-1.0,4694.0,4200.0,-1.0,1429.0,-1.0,3333.0,-1.0,-1.0,6992.0,-1.0,2000.0,-1.0,-1.0,-1.0,1944.0,-1.0,-1.0,-1.0,-1.0,-1.0
