,USSR,Eritrea,Australia & New Zealand,Australia,Pakistan,Democratic Republic of the Congo,Belize,Ethiopia,Guyana,South Africa,Lebanon,Tajikistan,Tunisia,Brazil,Paraguay,Niger,Slovenia,Congo,Argentina,Colombia,Spain,India,Jamaica,Ecuador,Madagascar,Republic of Moldova,Canada,Turkey,Switzerland,Belgium-Luxembourg,Ethiopia PDR,Estonia,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,France,Republic of Korea,Poland,Bolivia (Plurinational State of),Montenegro,Dominican Republic,Kyrgyzstan,Mexico,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,"China, mainland",New Zealand,Peru,Rwanda,Lithuania,Netherlands,Lesotho,Bhutan,Turkmenistan,Norway,Philippines,Libya,United Republic of Tanzania,Burundi,Belgium,Luxembourg,Czechia,Bangladesh,Italy,Germany,Uganda,Syrian Arab Republic,Sweden,Uzbekistan,Occupied Palestinian Territory,Finland,Serbia and Montenegro,Armenia,Morocco,Chile,Uruguay,Hungary,Ireland,Egypt,Malawi,Algeria,Slovakia,Israel,Japan,Belarus,Denmark,Georgia,United Kingdom,Azerbaijan,Bosnia and Herzegovina,Yemen,Mauritania,Russian Federation,Austria,Venezuela (Bolivarian Republic of),Romania,Latvia,Ukraine,Sierra Leone,Croatia,Bulgaria,Myanmar,China
1961,10198.0,,13474.0,9185.0,4330.0,4444.0,,,7059.0,11143.0,11667.0,,,,6000.0,,,5938.0,10443.0,5923.0,7633.0,8919.0,5688.0,8057.0,,,10954.0,11373.0,,34200.0,9016.0,,,6501.0,12829.0,19000.0,7244.0,10189.0,10000.0,,7637.0,,7037.0,8647.0,,,11873.0,9867.0,22107.0,11701.0,6841.0,,35884.0,7127.0,,,24545.0,,13333.0,3000.0,5609.0,,,,6579.0,6701.0,13891.0,5471.0,10159.0,14434.0,,,13462.0,,,3968.0,5515.0,17241.0,11811.0,20000.0,13684.0,,5201.0,,5338.0,15036.0,,26667.0,,26503.0,,,,,,18903.0,4873.0,11896.0,,,5208.0,,5212.0,4572.0,9867.0
1962,11224.0,,12655.0,9827.0,4461.0,4444.0,,,7059.0,12375.0,13333.0,,,,6000.0,,,5882.0,12461.0,5607.0,8009.0,8770.0,5697.0,8022.0,,,12635.0,11379.0,,38800.0,8999.0,,,6756.0,12481.0,24239.0,7146.0,11667.0,10000.0,,7957.0,,7089.0,11215.0,,,16584.0,11818.0,18306.0,11598.0,8000.0,,42827.0,6250.0,,,19200.0,,10000.0,3600.0,5104.0,,,,6500.0,8211.0,15287.0,5600.0,10159.0,11632.0,,,10929.0,,,8333.0,5980.0,17460.0,11309.0,28125.0,17128.0,,6333.0,,2454.0,8647.0,,25714.0,,29967.0,,,,,,17528.0,5538.0,8954.0,,,5333.0,,7282.0,3731.0,11818.0
1963,7639.0,,15288.0,10770.0,4679.0,4444.0,,,7176.0,11429.0,10000.0,,,,6000.0,,,6000.0,14160.0,4633.0,8285.0,7743.0,5657.0,5521.0,,,11793.0,9434.0,,30391.0,8339.0,,,6978.0,13108.0,22292.0,4571.0,9846.0,10000.0,,8217.0,,7042.0,10667.0,,,17396.0,11071.0,22561.0,12001.0,8047.0,,36422.0,5909.0,,,23478.0,,15000.0,2800.0,5637.0,,,,6500.0,8249.0,11979.0,5250.0,10561.0,14996.0,,,15882.0,,,6038.0,5919.0,17460.0,11636.0,18000.0,12918.0,,7000.0,,5946.0,8881.0,,33333.0,,27500.0,,,,,,20323.0,4898.0,9935.0,,,5667.0,,11697.0,6093.0,11071.0
1964,9948.0,,16301.0,10917.0,4495.0,4444.0,,,6707.0,11000.0,10667.0,,,,6000.0,,,5946.0,10484.0,5179.0,7359.0,5157.0,5636.0,6188.0,,,12264.0,10000.0,,36322.0,8996.0,,,8390.0,12938.0,22645.0,4660.0,9697.0,10000.0,,6956.0,,7150.0,9449.0,,,20641.0,12407.0,24758.0,11800.0,9251.0,,35393.0,5455.0,,,,,10000.0,2893.0,5492.0,,,,6600.0,8661.0,13946.0,5467.0,4545.0,18598.0,,,16316.0,,,7000.0,6145.0,17333.0,9559.0,15625.0,14176.0,,5983.0,,11386.0,9667.0,,33333.0,,30257.0,,,,,,20629.0,4220.0,9926.0,,,5625.0,,13383.0,5603.0,12407.0
1965,9204.0,,11539.0,6330.0,4449.0,4444.0,,,7317.0,10000.0,25000.0,,,,6000.0,,,6053.0,17170.0,5639.0,5994.0,8250.0,5643.0,6220.0,,,17423.0,12000.0,,30330.0,8998.0,,,7900.0,14914.0,21996.0,4842.0,13824.0,10000.0,,7418.0,,7203.0,8571.0,,,19469.0,12407.0,21679.0,9045.0,8100.0,,27712.0,5000.0,,,,,12000.0,1919.0,5504.0,,,,6600.0,8912.0,17530.0,4211.0,12495.0,13810.0,,,17083.0,,,8000.0,7266.0,17333.0,14706.0,16250.0,16061.0,,4649.0,,10744.0,11365.0,,32000.0,,33942.0,,,,,,19533.0,5171.0,12483.0,,,6250.0,,12014.0,6575.0,12407.0
1966,11587.0,,13672.0,8163.0,4408.0,4444.0,,,5786.0,4111.0,16000.0,,,,6000.0,,,6154.0,16615.0,5021.0,7868.0,7273.0,5556.0,5910.0,,,13275.0,11111.0,,25779.0,9196.0,,,10570.0,11699.0,22675.0,4913.0,11899.0,10000.0,,6802.0,,7245.0,9632.0,,,16228.0,10000.0,24721.0,9080.0,8000.0,,24386.0,5909.0,,,,,16000.0,3381.0,5461.0,,,,6545.0,9303.0,15339.0,4643.0,10954.0,15809.0,,,14545.0,,,6091.0,12982.0,17976.0,11224.0,28333.0,16436.0,,5650.0,,4673.0,8981.0,,25000.0,,31204.0,,,,,,21980.0,5461.0,13657.0,,,5333.0,,17176.0,6711.0,10000.0
1967,11222.0,,12879.0,4180.0,4650.0,4444.0,,,5758.0,8778.0,21757.0,,,,6232.0,,,6250.0,11272.0,6166.0,8380.0,6028.0,5500.0,5756.0,,,15701.0,12245.0,,36200.0,9200.0,,,11070.0,16762.0,25457.0,4667.0,12969.0,10000.0,,7000.0,,6206.0,9444.0,,,16309.0,10000.0,29117.0,9247.0,8000.0,,41791.0,5518.0,,,,,16667.0,3172.0,5460.0,,,,6500.0,9778.0,18902.0,5000.0,5556.0,16393.0,,,16190.0,,,5804.0,10471.0,18400.0,14771.0,24000.0,7937.0,,5560.0,,12088.0,11850.0,,30000.0,,40172.0,,,,,,23269.0,5721.0,15379.0,,,5000.0,,15029.0,6380.0,10000.0
1968,14128.0,,16229.0,10390.0,4755.0,4444.0,,,6423.0,8778.0,9599.0,,,,6512.0,,,6190.0,8104.0,5580.0,8008.0,9226.0,4634.0,5432.0,,,13500.0,11563.0,,29450.0,9226.0,,,9933.0,10112.0,23970.0,5446.0,12200.0,10000.0,,7209.0,,6534.0,9048.0,,,16895.0,9130.0,25861.0,7339.0,7000.0,,32350.0,5829.0,,,,,17143.0,2682.0,5189.0,,,,6615.0,9305.0,16500.0,5263.0,11845.0,16235.0,,,19412.0,,,7928.0,6796.0,18933.0,8164.0,31429.0,15873.0,,4583.0,,10115.0,13000.0,,32911.0,,25610.0,,,,,,21856.0,5602.0,6795.0,,,5333.0,,7224.0,7207.0,9130.0
1969,14827.0,,16114.0,8475.0,4360.0,4444.0,,,8723.0,7333.0,9736.0,,,,6000.0,,,6279.0,11765.0,5800.0,8780.0,9213.0,6206.0,4919.0,,,10579.0,11200.0,,28648.0,9281.0,,,10264.0,14876.0,27660.0,6187.0,12083.0,10000.0,,7429.0,,5974.0,10516.0,,,18305.0,9091.0,27911.0,7919.0,8363.0,,33285.0,4526.0,,,,,17647.0,2406.0,5754.0,,,,6618.0,10015.0,16261.0,4762.0,11439.0,12443.0,,,16923.0,,,6667.0,6132.0,19733.0,13840.0,30000.0,14286.0,,4005.0,,9286.0,11961.0,,30928.0,,29157.0,,,,,,22762.0,5540.0,10898.0,,,5000.0,,11860.0,7203.0,9091.0
1970,14403.0,,14519.0,10285.0,4327.0,4444.0,,,9506.0,4571.0,10708.0,,,,6341.0,,,6364.0,9306.0,7500.0,7444.0,7808.0,7047.0,4276.0,,,11320.0,10855.0,,29393.0,9301.0,,,12117.0,16339.0,34089.0,6467.0,12200.0,7500.0,,7565.0,,6761.0,10482.0,,,14481.0,10455.0,20084.0,7926.0,8250.0,,30306.0,3656.0,,,,,14706.0,2819.0,7842.0,,,,6571.0,13535.0,17190.0,4286.0,7363.0,21854.0,,,17333.0,,,5475.0,6902.0,20146.0,13862.0,27778.0,11905.0,,3424.0,,10250.0,9677.0,,28213.0,,29578.0,,,,,,22918.0,5470.0,14585.0,,,5333.0,,17271.0,6237.0,10455.0
