,Slovakia,Eritrea,USSR,Australia & New Zealand,Australia,Iraq,Mexico,The former Yugoslav Republic of Macedonia,Ethiopia,Czechia,Republic of Moldova,Italy,Morocco,Germany,Croatia,Albania,Occupied Palestinian Territory,Serbia and Montenegro,Armenia,Serbia,Slovenia,Malta,Spain,Lebanon,Cyprus,Austria,Israel,Poland,Turkey,Belarus,Ethiopia PDR,Egypt,Greece,Czechoslovakia,Bosnia and Herzegovina,Hungary,Jordan,Russian Federation,Syrian Arab Republic,Tunisia,Yugoslav SFR,Kazakhstan,Latvia,Sweden,Algeria,Lithuania,Bulgaria,Ukraine
1961,,,1425000.0,405.0,405.0,911.0,-1.0,,,,,33278.0,11119.0,12519.0,,7283.0,-1.0,,,,,932.0,76460.0,4000.0,10167.0,700.0,300.0,50000.0,225800.0,,30000.0,-1.0,56278.0,19520.0,,38664.0,16070.0,,45324.0,-1.0,42700.0,,,6470.0,1000.0,,57170.0,
1962,,,1685000.0,405.0,405.0,937.0,-1.0,,,,,35474.0,18663.0,13258.0,,6740.0,-1.0,,,,,1000.0,79275.0,3000.0,12040.0,718.0,340.0,48000.0,222500.0,,30000.0,-1.0,58565.0,21186.0,,39795.0,18870.0,,63023.0,-1.0,38700.0,,,4860.0,1000.0,,38316.0,
1963,,,1500000.0,405.0,405.0,1030.0,-1.0,,,,,35311.0,20550.0,13201.0,,7238.0,-1.0,,,,,630.0,82430.0,2500.0,11639.0,919.0,650.0,47000.0,215000.0,,31000.0,-1.0,50170.0,22679.0,,42793.0,14880.0,,59000.0,-1.0,37200.0,,,4014.0,1000.0,,28088.0,
1964,,,1450000.0,405.0,405.0,689.0,-1.0,,,,,33674.0,20400.0,13923.0,,6955.0,-1.0,,,,,613.0,77300.0,4235.0,10702.0,741.0,725.0,49000.0,205000.0,,32000.0,-1.0,39450.0,21583.0,,29591.0,16400.0,,65900.0,-1.0,34400.0,,,4414.0,1180.0,,29489.0,
1965,,,1293000.0,405.0,405.0,675.0,-1.0,,,,,29870.0,20100.0,13828.0,,7000.0,-1.0,,,,,485.0,84581.0,5150.0,6288.0,749.0,1475.0,58000.0,200000.0,,33000.0,-1.0,37940.0,19280.0,,28927.0,24640.0,,74200.0,-1.0,35400.0,,,3427.0,1000.0,,26701.0,
1966,,,1280000.0,405.0,405.0,788.0,-1.0,,,,,26757.0,20000.0,12781.0,,7200.0,-1.0,,,,,485.0,82200.0,5022.0,11371.0,903.0,850.0,61000.0,205000.0,,35000.0,410.0,35200.0,17094.0,,39497.0,14420.0,,52300.0,-1.0,35400.0,,,3285.0,180.0,,22711.0,
1967,,,1267000.0,405.0,405.0,1130.0,-1.0,,,,,24708.0,19500.0,11838.0,,7100.0,-1.0,,,,,445.0,76000.0,5656.0,7358.0,869.0,2395.0,52000.0,205000.0,,35000.0,420.0,37710.0,11514.0,,27493.0,8730.0,,50700.0,-1.0,32200.0,,,2517.0,990.0,,20638.0,
1968,,,1137000.0,405.0,405.0,945.0,-1.0,,,,,23732.0,25200.0,9910.0,,6900.0,-1.0,,,,,445.0,71974.0,5778.0,6689.0,715.0,1060.0,42000.0,198000.0,,33000.0,420.0,24820.0,9670.0,,11367.0,7020.0,,50400.0,-1.0,31200.0,,,2310.0,870.0,,11895.0,
1969,,,1177000.0,809.0,809.0,838.0,-1.0,,,,,22250.0,17000.0,10922.0,,6900.0,-1.0,,,,,445.0,75434.0,5465.0,7358.0,380.0,1475.0,39000.0,186670.0,,33000.0,420.0,20260.0,7838.0,,14835.0,6317.0,,63300.0,-1.0,26000.0,,,2387.0,1940.0,,8998.0,
1970,,,1130000.0,800.0,800.0,945.0,-1.0,,,,,21054.0,20000.0,8682.0,,6900.0,-1.0,,,,,404.0,76700.0,5723.0,11238.0,405.0,1845.0,39000.0,178900.0,,33000.0,420.0,21000.0,6770.0,,13394.0,8285.0,,52800.0,-1.0,23900.0,,,2307.0,2740.0,,8723.0,
1971,,,975000.0,809.0,809.0,673.0,-1.0,,,,,15111.0,22000.0,10467.0,,6600.0,-1.0,,,,,302.0,79000.0,5746.0,12040.0,385.0,3240.0,34000.0,170000.0,,35000.0,420.0,23000.0,5118.0,,10922.0,6897.0,,63400.0,-1.0,21800.0,,,2226.0,2200.0,,5919.0,
