,Costa Rica,Israel,Kenya,Peru,Morocco,Switzerland,Mexico,Malta,Romania,Italy,Syrian Arab Republic,Jordan,China,Tunisia,Greece,Zimbabwe,Lebanon,Uzbekistan,Cyprus,Occupied Palestinian Territory,Chile,Spain,Kazakhstan,United States of America,Iran (Islamic Republic of),France,Egypt,Algeria,"China, mainland",Turkey,Argentina,Lithuania
1961,-1.0,65000.0,-1.0,129630.0,46667.0,-1.0,-1.0,-1.0,-1.0,90630.0,-1.0,-1.0,-1.0,60000.0,59762.0,-1.0,256000.0,-1.0,135849.0,-1.0,68750.0,90457.0,-1.0,67247.0,-1.0,79566.0,95238.0,76000.0,-1.0,83333.0,120000.0,-1.0
1962,-1.0,64000.0,-1.0,129630.0,40000.0,-1.0,-1.0,-1.0,-1.0,71375.0,-1.0,-1.0,-1.0,61176.0,68977.0,-1.0,256000.0,-1.0,135185.0,-1.0,70588.0,83212.0,-1.0,61656.0,-1.0,76420.0,142857.0,74000.0,-1.0,80000.0,121838.0,-1.0
1963,-1.0,65000.0,-1.0,129630.0,42593.0,-1.0,-1.0,-1.0,-1.0,52766.0,-1.0,-1.0,-1.0,60000.0,88345.0,-1.0,256000.0,-1.0,134545.0,-1.0,70588.0,102585.0,-1.0,67260.0,-1.0,58105.0,190476.0,80000.0,-1.0,79412.0,103607.0,-1.0
1964,-1.0,65714.0,-1.0,129630.0,42353.0,-1.0,-1.0,-1.0,-1.0,95228.0,-1.0,-1.0,-1.0,60833.0,84936.0,-1.0,264000.0,-1.0,135714.0,-1.0,71429.0,83448.0,-1.0,72914.0,-1.0,70749.0,178571.0,61947.0,-1.0,80000.0,141919.0,-1.0
1965,-1.0,75000.0,-1.0,129630.0,41667.0,-1.0,-1.0,-1.0,-1.0,97764.0,-1.0,-1.0,-1.0,61000.0,96242.0,-1.0,150000.0,-1.0,135104.0,-1.0,71429.0,87577.0,-1.0,78461.0,-1.0,74569.0,190476.0,77193.0,-1.0,80556.0,173333.0,-1.0
1966,-1.0,81928.0,-1.0,128073.0,39785.0,-1.0,-1.0,-1.0,-1.0,97321.0,-1.0,-1.0,-1.0,59375.0,90160.0,-1.0,160000.0,-1.0,138231.0,-1.0,70270.0,89005.0,-1.0,84120.0,-1.0,73212.0,172045.0,62112.0,-1.0,80000.0,184063.0,-1.0
1967,-1.0,79787.0,-1.0,143719.0,40000.0,-1.0,-1.0,-1.0,-1.0,101021.0,-1.0,-1.0,-1.0,60000.0,80736.0,-1.0,160000.0,-1.0,135260.0,-1.0,71875.0,88730.0,-1.0,85230.0,-1.0,66232.0,185973.0,60415.0,-1.0,79487.0,190453.0,-1.0
1968,-1.0,100000.0,-1.0,144800.0,41667.0,-1.0,-1.0,-1.0,-1.0,91662.0,-1.0,-1.0,-1.0,60000.0,76248.0,-1.0,115111.0,-1.0,136106.0,-1.0,70000.0,84276.0,-1.0,67251.0,-1.0,81441.0,261905.0,60214.0,-1.0,80100.0,200643.0,-1.0
1969,-1.0,67424.0,-1.0,132609.0,40741.0,-1.0,-1.0,-1.0,-1.0,102414.0,-1.0,-1.0,-1.0,60588.0,99040.0,-1.0,115111.0,-1.0,136886.0,-1.0,70370.0,76545.0,-1.0,72917.0,-1.0,82126.0,285714.0,73856.0,-1.0,79955.0,192899.0,-1.0
1970,-1.0,65979.0,-1.0,94182.0,41667.0,-1.0,-1.0,-1.0,-1.0,105839.0,-1.0,-1.0,-1.0,60000.0,93754.0,-1.0,118537.0,-1.0,108547.0,-1.0,70833.0,98503.0,-1.0,68380.0,-1.0,74012.0,238095.0,97840.0,-1.0,80000.0,183946.0,-1.0
