,Austria,"China, Taiwan Province of",Australia & New Zealand,Indonesia,Romania,Jordan,Denmark,Greece,Azerbaijan,Kenya,Luxembourg,Republic of Korea,Viet Nam,Singapore,Lithuania,Germany,Russian Federation,"China, mainland",Albania,Kazakhstan,China,Armenia,Spain,Zambia,Belarus,Uzbekistan,Malta,Australia,Mongolia,Iceland,Croatia,Syrian Arab Republic,Netherlands,Ukraine,New Zealand
1961,-1.0,70.0,10.0,-1.0,,,23.0,-1.0,,,,,-1.0,-1.0,,-1.0,,2800.0,,,2870.0,,47.0,,,,,,,,,,-1.0,,10.0
1962,-1.0,320.0,13.0,-1.0,,,17.0,-1.0,,,,,-1.0,-1.0,,-1.0,,2850.0,,,3170.0,,50.0,,,,,,,,,,-1.0,,13.0
1963,-1.0,800.0,13.0,-1.0,,,23.0,-1.0,,,,,-1.0,-1.0,,-1.0,,2900.0,,,3700.0,,55.0,,,,,,,,,,-1.0,,13.0
1964,-1.0,595.0,13.0,-1.0,,,30.0,-1.0,,,,,-1.0,-1.0,,-1.0,,2900.0,,,3495.0,,63.0,,,,,,,,,,-1.0,,13.0
1965,-1.0,857.0,13.0,-1.0,,,29.0,-1.0,,,,,-1.0,-1.0,,-1.0,,3000.0,,,3857.0,,48.0,,,,,,,,,,-1.0,,13.0
1966,-1.0,1157.0,1.0,-1.0,,,28.0,-1.0,,,,,-1.0,-1.0,,-1.0,,3000.0,,,4157.0,,46.0,,,,,,,,,,-1.0,,1.0
1967,-1.0,1212.0,1.0,-1.0,,,26.0,-1.0,,,,20.0,-1.0,-1.0,,-1.0,,3000.0,,,4212.0,,51.0,,,,,,,,,,-1.0,,1.0
1968,-1.0,1253.0,3.0,-1.0,,,27.0,-1.0,,,,30.0,-1.0,-1.0,,-1.0,,3000.0,,,4253.0,,55.0,,,,,,,,,,-1.0,,3.0
1969,-1.0,800.0,3.0,-1.0,,,30.0,-1.0,,,,40.0,-1.0,-1.0,,-1.0,,2950.0,,,3750.0,,60.0,,,,,,,,,,-1.0,,3.0
1970,-1.0,829.0,4.0,-1.0,,,34.0,-1.0,,,,70.0,-1.0,-1.0,,-1.0,,2900.0,,,3729.0,,77.0,,,,,,,,,,-1.0,,4.0
1971,-1.0,1179.0,5.0,-1.0,,,36.0,-1.0,,,,123.0,-1.0,-1.0,,-1.0,,2800.0,,,3979.0,,71.0,,,,,,,,,,-1.0,,5.0
1972,-1.0,1015.0,4.0,-1.0,,,36.0,-1.0,,,,192.0,-1.0,-1.0,,-1.0,,2800.0,,,3815.0,,66.0,,,,,,,,,,-1.0,,4.0
1973,-1.0,739.0,20.0,-1.0,,,35.0,-1.0,,,,222.0,-1.0,-1.0,,-1.0,,2750.0,,,3489.0,,78.0,,,,,15.0,,,,,-1.0,,5.0
1974,-1.0,686.0,35.0,-1.0,,,33.0,-1.0,,,,225.0,-1.0,-1.0,,-1.0,,2800.0,,,3486.0,,127.0,,,,,31.0,,,,,-1.0,,4.0
1975,-1.0,591.0,54.0,-1.0,,,35.0,-1.0,,,,208.0,-1.0,-1.0,,-1.0,,2850.0,,,3441.0,,136.0,,,,,50.0,,,,,-1.0,,4.0
1976,-1.0,546.0,51.0,-1.0,,,43.0,-1.0,,,,235.0,-1.0,-1.0,,-1.0,,2900.0,,,3446.0,,218.0,,,,,48.0,,,,,-1.0,,3.0
1977,-1.0,814.0,60.0,-1.0,,,49.0,-1.0,,,,278.0,-1.0,-1.0,,-1.0,,2800.0,,,3614.0,,233.0,,,,,56.0,,,,,-1.0,,4.0
1978,-1.0,1170.0,60.0,-1.0,,,49.0,-1.0,,,,286.0,-1.0,-1.0,,-1.0,,2800.0,,,3970.0,,286.0,,,,,55.0,,,,,-1.0,,5.0
