,Chad,Cameroon,Congo,Mexico,Turkey,Romania,Ethiopia,South Sudan,Central African Republic,Mauritania,Benin,Thailand,China,Greece,Latvia,Yugoslav SFR,"China, Taiwan Province of",Bulgaria,Iran (Islamic Republic of),Democratic Republic of the Congo,Sudan,"China, mainland",Sudan (former),Mali,Nigeria,Ethiopia PDR,Senegal
1961,11500.0,28000.0,1600.0,-1.0,-1.0,400.0,-1,-1.0,7000.0,1400.0,-1,-1,-1.0,960.0,-1,20000.0,-1.0,800.0,400.0,18000.0,-1.0,-1.0,28000.0,-1.0,99000.0,40000.0,850.0
1962,12000.0,28000.0,1700.0,-1.0,-1.0,400.0,-1,-1.0,7200.0,1450.0,-1,-1,-1.0,1269.0,-1,20000.0,-1.0,600.0,500.0,19000.0,-1.0,-1.0,30000.0,-1.0,101000.0,41000.0,900.0
1963,12500.0,29000.0,1750.0,-1.0,-1.0,500.0,-1,-1.0,7400.0,1500.0,-1,-1,-1.0,1944.0,-1,20000.0,-1.0,500.0,600.0,20000.0,-1.0,-1.0,30000.0,-1.0,116000.0,42000.0,950.0
1964,13000.0,28000.0,1800.0,-1.0,-1.0,500.0,-1,-1.0,7600.0,1500.0,-1,-1,-1.0,1808.0,-1,20000.0,-1.0,600.0,700.0,21000.0,-1.0,-1.0,35000.0,-1.0,110000.0,43000.0,1000.0
1965,13500.0,29000.0,1850.0,-1.0,-1.0,600.0,-1,-1.0,7800.0,1600.0,-1,-1,-1.0,1434.0,-1,20000.0,-1.0,800.0,800.0,23000.0,-1.0,-1.0,40000.0,-1.0,114000.0,44000.0,1000.0
1966,14000.0,30000.0,1900.0,-1.0,-1.0,600.0,-1,-1.0,8000.0,1600.0,-1,-1,-1.0,2097.0,-1,20000.0,-1.0,500.0,900.0,24739.0,-1.0,-1.0,40000.0,-1.0,83000.0,45000.0,900.0
1967,14500.0,28490.0,1950.0,-1.0,-1.0,600.0,-1,-1.0,8500.0,1650.0,-1,-1,-1.0,3177.0,-1,20000.0,-1.0,600.0,1000.0,28862.0,-1.0,-1.0,39000.0,-1.0,79000.0,46000.0,11700.0
1968,15000.0,27325.0,1950.0,-1.0,-1.0,500.0,-1,-1.0,8600.0,1700.0,-1,-1,-1.0,1881.0,-1,20000.0,-1.0,800.0,1100.0,25000.0,-1.0,-1.0,35000.0,-1.0,103000.0,47000.0,3300.0
1969,15000.0,30000.0,2000.0,-1.0,-1.0,500.0,-1,-1.0,9000.0,1750.0,-1,-1,-1.0,2205.0,-1,20000.0,-1.0,600.0,1200.0,30000.0,-1.0,-1.0,35000.0,-1.0,65000.0,49000.0,9100.0
1970,15500.0,32589.0,2000.0,-1.0,-1.0,400.0,-1,-1.0,9000.0,1800.0,-1,-1,-1.0,2606.0,-1,20000.0,-1.0,600.0,1300.0,25600.0,-1.0,-1.0,35000.0,-1.0,109000.0,50000.0,1500.0
