,Kenya,"China, Taiwan Province of",Croatia,Burkina Faso,Philippines,Syrian Arab Republic,Lao People's Democratic Republic,United Republic of Tanzania,Nepal,Ethiopia,Indonesia,Maldives,Slovenia,Greece,Tunisia,Zimbabwe,Yugoslav SFR,Republic of Korea,Melanesia,Uzbekistan,Yemen,Rwanda,Portugal,Australia & New Zealand,Barbados,Guatemala,French Polynesia,Algeria,El Salvador,United Arab Emirates,Senegal,Madagascar,Mauritius,Ukraine,Israel,Fiji,Belgium,Switzerland,Sri Lanka,Uruguay,Azerbaijan,Czechoslovakia,Egypt,Bosnia and Herzegovina,China,Nigeria,Colombia,Libya,Lebanon,Czechia,United Kingdom,Occupied Palestinian Territory,Chile,Hungary,Montenegro,Kazakhstan,South Africa,Saint Vincent and the Grenadines,France,"China, mainland",Mali,Thailand,Paraguay,Saint Kitts and Nevis,Bolivia (Plurinational State of),Peru,Democratic People's Republic of Korea,Serbia and Montenegro,Cameroon,Serbia,Malaysia,Germany,Sudan (former),Dominican Republic,South Sudan,Namibia,Benin,Cook Islands,Canada,Japan,Iraq,The former Yugoslav Republic of Macedonia,Venezuela (Bolivarian Republic of),Cyprus,Antigua and Barbuda,Spain,New Zealand,Niger,Belize,Bulgaria,United States of America,Iran (Islamic Republic of),Democratic Republic of the Congo,Sudan,Djibouti,Kuwait,Cuba,Turkey,Kyrgyzstan,Argentina,Costa Rica,Georgia,India,Guadeloupe,Austria,Bahrain,Morocco,Bhutan,Qatar,Mexico,USSR,Romania,Ecuador,Honduras,Jordan,Puerto Rico,Ireland,Côte d'Ivoire,Albania,Slovakia,Jamaica,Brunei Darussalam,Trinidad and Tobago,Italy,Polynesia,Panama,Australia,Montserrat,Ghana,Finland,Netherlands,Oman,Guyana,Republic of Moldova,Belgium-Luxembourg
1961,-1.0,500.0,-1.0,-1.0,3800.0,10000.0,-1.0,-1.0,-1.0,-1.0,90000.0,1.0,-1.0,14678.0,45500.0,-1.0,141000.0,37118.0,0.0,-1.0,-1.0,-1.0,500.0,-1.0,-1.0,2000.0,5.0,-1.0,1000.0,-1.0,-1,-1.0,200.0,-1.0,11500.0,-1.0,-1.0,-1.0,11000.0,3262.0,-1.0,21094.0,54000.0,-1.0,3120500.0,388000.0,3600.0,1900.0,-1.0,-1.0,-1.0,-1.0,19000.0,146432.0,-1.0,-1.0,-1.0,15.0,2830.0,3120000.0,-1.0,6000.0,10000.0,-1.0,3000.0,13150.0,18000.0,-1.0,-1.0,-1.0,-1.0,-1.0,2600.0,3491.0,-1,-1.0,8000.0,-1.0,4489.0,21000.0,6000.0,-1.0,6900.0,300.0,-1.0,356700.0,-1.0,-1.0,-1.0,208836.0,180937.0,-1.0,-1,-1.0,7.0,-1.0,10000.0,240000.0,-1.0,59000.0,-1.0,-1.0,17000.0,-1.0,5257.0,-1.0,26000.0,-1.0,-1.0,96798.0,70000.0,104000.0,1955.0,-1.0,5563.0,3248.0,-1.0,12000.0,-1.0,-1.0,610.0,-1.0,250.0,231100.0,5.0,800.0,-1.0,30.0,46000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1962,-1.0,800.0,-1.0,-1.0,4000.0,10000.0,-1.0,-1.0,-1.0,-1.0,90000.0,1.0,-1.0,15695.0,50100.0,-1.0,162000.0,34960.0,0.0,-1.0,-1.0,-1.0,500.0,-1.0,-1.0,2000.0,5.0,-1.0,1000.0,-1.0,-1,-1.0,300.0,-1.0,12000.0,-1.0,-1.0,-1.0,12000.0,3000.0,-1.0,20866.0,62000.0,-1.0,2385800.0,398000.0,3800.0,2300.0,-1.0,-1.0,-1.0,-1.0,19000.0,134101.0,-1.0,-1.0,-1.0,15.0,4920.0,2385000.0,-1.0,6100.0,10500.0,-1.0,3000.0,12100.0,20000.0,-1.0,-1.0,-1.0,-1.0,-1.0,2600.0,3494.0,-1,-1.0,8300.0,-1.0,4616.0,21000.0,6000.0,-1.0,7000.0,300.0,-1.0,333500.0,-1.0,-1.0,-1.0,201496.0,168509.0,-1.0,-1,-1.0,7.0,-1.0,10000.0,250000.0,-1.0,59900.0,-1.0,-1.0,17200.0,-1.0,5446.0,-1.0,27000.0,-1.0,-1.0,109206.0,72000.0,104000.0,2300.0,-1.0,11297.0,3701.0,-1.0,12000.0,-1.0,-1.0,635.0,-1.0,300.0,240600.0,5.0,900.0,-1.0,30.0,49000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1963,-1.0,1000.0,-1.0,-1.0,4200.0,10000.0,-1.0,-1.0,-1.0,-1.0,121000.0,1.0,-1.0,17894.0,51500.0,-1.0,187000.0,33805.0,0.0,-1.0,-1.0,-1.0,500.0,-1.0,-1.0,2100.0,5.0,-1.0,1100.0,-1.0,-1,-1.0,300.0,-1.0,11600.0,-1.0,-1.0,-1.0,13000.0,3000.0,-1.0,29060.0,68000.0,-1.0,2131000.0,407000.0,4000.0,2400.0,-1.0,-1.0,-1.0,-1.0,19100.0,232069.0,-1.0,-1.0,-1.0,15.0,5900.0,2130000.0,-1.0,6200.0,10800.0,-1.0,3000.0,11610.0,19000.0,-1.0,-1.0,-1.0,-1.0,-1.0,2800.0,3599.0,-1,-1.0,8500.0,-1.0,6064.0,22500.0,6160.0,-1.0,7100.0,310.0,3.0,402700.0,-1.0,-1.0,-1.0,206531.0,180756.0,-1.0,-1,-1.0,7.0,-1.0,10000.0,255000.0,-1.0,48450.0,-1.0,-1.0,17300.0,-1.0,7222.0,-1.0,28000.0,-1.0,-1.0,122701.0,74000.0,138000.0,2314.0,-1.0,9844.0,3515.0,-1.0,13000.0,-1.0,-1.0,635.0,-1.0,331.0,298300.0,5.0,1000.0,-1.0,30.0,52000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1964,-1.0,1741.0,-1.0,-1.0,4400.0,10100.0,-1.0,-1.0,-1.0,-1.0,127000.0,1.0,-1.0,19683.0,48600.0,-1.0,186000.0,46786.0,0.0,-1.0,-1.0,-1.0,500.0,-1.0,-1.0,2100.0,6.0,-1.0,1100.0,-1.0,-1,-1.0,250.0,-1.0,14200.0,-1.0,-1.0,-1.0,16243.0,3000.0,-1.0,29054.0,68000.0,-1.0,1901741.0,418000.0,4200.0,1900.0,-1.0,-1.0,-1.0,-1.0,19200.0,146094.0,-1.0,-1.0,-1.0,15.0,6310.0,1900000.0,-1.0,6300.0,11300.0,-1.0,3000.0,12901.0,20000.0,-1.0,-1.0,-1.0,-1.0,-1.0,2800.0,4352.0,-1,-1.0,9000.0,-1.0,3216.0,24000.0,8480.0,-1.0,7300.0,330.0,5.0,367300.0,-1.0,-1.0,-1.0,221265.0,175721.0,-1.0,-1,-1.0,7.0,-1.0,10000.0,265000.0,-1.0,61050.0,-1.0,-1.0,19000.0,-1.0,6383.0,-1.0,21000.0,-1.0,-1.0,133619.0,76000.0,115400.0,3180.0,-1.0,11825.0,3833.0,-1.0,13000.0,-1.0,-1.0,680.0,-1.0,358.0,323400.0,6.0,1000.0,-1.0,30.0,55000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1965,-1.0,2362.0,-1.0,-1.0,4600.0,9881.0,-1.0,-1.0,-1.0,-1.0,155000.0,1.0,-1.0,22976.0,56000.0,-1.0,170000.0,46316.0,0.0,-1.0,-1.0,-1.0,500.0,-1.0,-1.0,2177.0,6.0,-1.0,1100.0,-1.0,-1,-1.0,302.0,-1.0,12500.0,-1.0,-1.0,-1.0,20231.0,3000.0,-1.0,13347.0,69000.0,-1.0,2002362.0,427000.0,4400.0,2500.0,-1.0,-1.0,-1.0,-1.0,19400.0,128780.0,-1.0,-1.0,-1.0,20.0,7970.0,2000000.0,-1.0,6400.0,11700.0,-1.0,3000.0,12687.0,20000.0,-1.0,-1.0,-1.0,-1.0,-1.0,3000.0,4888.0,-1,-1.0,9300.0,-1.0,2855.0,52600.0,10688.0,-1.0,7500.0,356.0,8.0,383000.0,-1.0,-1.0,-1.0,191250.0,176492.0,-1.0,-1,-1.0,7.0,-1.0,11582.0,273000.0,-1.0,73800.0,-1.0,-1.0,19200.0,-1.0,4220.0,-1.0,26000.0,-1.0,-1.0,134440.0,78000.0,107700.0,2542.0,-1.0,12929.0,4241.0,-1.0,14000.0,-1.0,-1.0,794.0,-1.0,420.0,315600.0,6.0,1100.0,-1.0,30.0,57000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1966,-1.0,2977.0,-1.0,-1.0,4800.0,11443.0,-1.0,-1.0,-1.0,-1.0,170000.0,1.0,-1.0,24167.0,67000.0,-1.0,230000.0,67039.0,0.0,-1.0,-1.0,-1.0,500.0,-1.0,-1.0,2268.0,6.0,1500.0,1150.0,-1.0,-1,-1.0,334.0,-1.0,16800.0,-1.0,-1.0,-1.0,19367.0,3226.0,-1.0,22663.0,87131.0,-1.0,2002977.0,438000.0,4600.0,1800.0,-1.0,-1.0,-1.0,-1.0,19500.0,197073.0,-1.0,-1.0,-1.0,20.0,8690.0,2000000.0,-1.0,6600.0,12000.0,-1.0,3500.0,16486.0,20000.0,-1.0,-1.0,-1.0,-1.0,-1.0,3100.0,8071.0,-1,-1.0,9500.0,-1.0,2689.0,76800.0,10361.0,-1.0,7897.0,457.0,10.0,361700.0,-1.0,-1.0,-1.0,261000.0,182525.0,-1.0,-1,-1.0,7.0,-1.0,12761.0,255000.0,-1.0,67500.0,-1.0,-1.0,19800.0,-1.0,14092.0,-1.0,31000.0,-1.0,-1.0,167129.0,80000.0,150900.0,2414.0,-1.0,9000.0,4309.0,-1.0,14000.0,-1.0,-1.0,794.0,-1.0,407.0,360600.0,6.0,1100.0,-1.0,30.0,60000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1967,-1.0,3530.0,-1.0,-1.0,4800.0,14784.0,-1.0,-1.0,-1.0,-1.0,170000.0,3.0,-1.0,23192.0,55400.0,-1.0,238000.0,66826.0,0.0,-1.0,-1.0,-1.0,500.0,-1.0,-1.0,2300.0,7.0,3000.0,1200.0,20.0,-1,-1.0,431.0,-1.0,17250.0,-1.0,-1.0,-1.0,28916.0,3400.0,-1.0,32514.0,95371.0,-1.0,2033530.0,450000.0,4800.0,2000.0,-1.0,-1.0,-1.0,-1.0,19600.0,202954.0,-1.0,-1.0,-1.0,20.0,9940.0,2030000.0,-1.0,6800.0,12600.0,-1.0,3500.0,17223.0,21000.0,-1.0,-1.0,-1.0,-1.0,-1.0,3200.0,8659.0,-1,-1.0,9500.0,-1.0,6324.0,81600.0,11715.0,-1.0,8055.0,610.0,14.0,384100.0,-1.0,-1.0,-1.0,265795.0,196314.0,-1.0,-1,-1.0,7.0,-1.0,21017.0,255000.0,-1.0,75390.0,-1.0,-1.0,20150.0,-1.0,18449.0,-1.0,30000.0,-1.0,-1.0,199522.0,82000.0,159300.0,1699.0,-1.0,8564.0,4173.0,-1.0,15000.0,-1.0,-1.0,794.0,-1.0,401.0,375100.0,7.0,1400.0,-1.0,80.0,65000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1968,-1.0,5245.0,-1.0,-1.0,5000.0,14725.0,-1.0,-1.0,-1.0,-1.0,175500.0,1.0,-1.0,24881.0,53000.0,-1.0,233000.0,84171.0,0.0,-1.0,-1.0,-1.0,500.0,-1.0,-1.0,2576.0,7.0,6000.0,1300.0,20.0,-1,-1.0,463.0,-1.0,24700.0,-1.0,-1.0,-1.0,24108.0,3500.0,-1.0,27077.0,112000.0,-1.0,2085245.0,461000.0,5000.0,2200.0,-1.0,-1.0,-1.0,-1.0,19700.0,178990.0,-1.0,-1.0,-1.0,25.0,12390.0,2080000.0,-1.0,7000.0,13000.0,-1.0,4000.0,16031.0,22000.0,-1.0,-1.0,-1.0,-1.0,-1.0,3200.0,9046.0,-1,-1.0,9700.0,-1.0,7357.0,95600.0,10995.0,-1.0,7738.0,864.0,18.0,392200.0,-1.0,-1.0,-1.0,281607.0,222985.0,-1.0,-1,-1.0,7.0,-1.0,19894.0,254808.0,-1.0,72450.0,-1.0,-1.0,20200.0,-1.0,19161.0,-1.0,26000.0,-1.0,-1.0,191721.0,84000.0,170800.0,1837.0,-1.0,6386.0,3493.0,-1.0,15000.0,-1.0,-1.0,771.0,-1.0,422.0,395400.0,7.0,1800.0,-1.0,60.0,65000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1969,-1.0,5757.0,-1.0,-1.0,5200.0,10985.0,-1.0,-1.0,-1.0,-1.0,189000.0,2.0,-1.0,26643.0,85000.0,-1.0,246120.0,62473.0,0.0,-1.0,-1.0,-1.0,600.0,-1.0,-1.0,2400.0,8.0,10000.0,1311.0,25.0,-1,-1.0,617.0,-1.0,27000.0,-1.0,-1.0,-1.0,19812.0,3600.0,-1.0,30356.0,140000.0,-1.0,2105757.0,472000.0,5200.0,2200.0,-1.0,-1.0,-1.0,-1.0,19800.0,180551.0,-1.0,-1.0,-1.0,30.0,12640.0,2100000.0,-1.0,7200.0,13500.0,-1.0,4000.0,17040.0,23000.0,-1.0,-1.0,-1.0,-1.0,-1.0,3300.0,10167.0,-1,-1.0,10000.0,-1.0,7990.0,103700.0,11801.0,-1.0,7281.0,813.0,20.0,372100.0,-1.0,-1.0,-1.0,243098.0,197811.0,-1.0,-1,-1.0,7.0,-1.0,12027.0,290151.0,-1.0,85060.0,-1.0,-1.0,20800.0,-1.0,20193.0,-1.0,27000.0,-1.0,-1.0,178384.0,86000.0,139500.0,2000.0,-1.0,3937.0,4400.0,-1.0,16000.0,-1.0,-1.0,771.0,-1.0,389.0,417000.0,8.0,1400.0,-1.0,30.0,75000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1970,-1.0,6910.0,-1.0,-1.0,5300.0,11920.0,-1.0,-1.0,-1.0,-1.0,190000.0,2.0,-1.0,27684.0,91900.0,-1.0,260136.0,53484.0,0.0,-1.0,-1.0,-1.0,600.0,-1.0,-1.0,2300.0,8.0,14000.0,1440.0,30.0,-1,-1.0,390.0,-1.0,29800.0,-1.0,-1.0,-1.0,32198.0,3702.0,-1.0,29100.0,121000.0,-1.0,1476910.0,484000.0,5400.0,2200.0,-1.0,-1.0,-1.0,-1.0,19900.0,141180.0,-1.0,-1.0,-1.0,30.0,17140.0,1470000.0,-1.0,7400.0,14000.0,-1.0,4000.0,19030.0,23000.0,-1.0,-1.0,-1.0,-1.0,-1.0,3300.0,11304.0,-1,-1.0,10000.0,-1.0,5640.0,127700.0,10518.0,-1.0,6851.0,457.0,25.0,394500.0,-1.0,-1.0,-1.0,255678.0,175630.0,-1.0,-1,-1.0,7.0,-1.0,11534.0,307000.0,-1.0,46580.0,-1.0,-1.0,20900.0,-1.0,20056.0,-1.0,27000.0,-1.0,-1.0,190835.0,88000.0,122600.0,2200.0,-1.0,5775.0,3175.0,-1.0,16000.0,-1.0,-1.0,496.0,-1.0,403.0,423900.0,8.0,700.0,-1.0,42.0,94500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
