,USSR,Eritrea,Australia & New Zealand,Australia,Panama,Pakistan,Slovakia,Thailand,Belize,Ethiopia,Kenya,Yemen,Romania,Serbia,Lao People's Democratic Republic,Lebanon,Somalia,Togo,Albania,Brazil,Chad,Mozambique,Niger,Democratic People's Republic of Korea,Slovenia,El Salvador,Congo,Canada,Colombia,Spain,India,Malta,Lesotho,Ecuador,Swaziland,Indonesia,Poland,Argentina,Turkey,Belgium-Luxembourg,Angola,Ethiopia PDR,Estonia,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,Haiti,Republic of Korea,Democratic Republic of the Congo,Tunisia,Paraguay,Montenegro,Republic of Moldova,Dominican Republic,Kyrgyzstan,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,Ghana,"China, mainland",Madagascar,Cyprus,Peru,Rwanda,Lithuania,Cameroon,Hungary,Guatemala,South Sudan,Cuba,Austria,Puerto Rico,United States of America,Bhutan,Philippines,Iraq,Czechia,Timor-Leste,United Republic of Tanzania,Burundi,Belgium,Nepal,France,Luxembourg,Libya,Costa Rica,Bangladesh,Italy,Germany,Uganda,Syrian Arab Republic,Latvia,Benin,Sweden,China,Cambodia,Serbia and Montenegro,Armenia,Sudan (former),Morocco,Chile,Honduras,Uruguay,Zimbabwe,Ireland,Malawi,Algeria,"China, Taiwan Province of",Réunion,Japan,Sudan,Belarus,Egypt,Namibia,Georgia,Azerbaijan,Nicaragua,Viet Nam,Bosnia and Herzegovina,Barbados,Russian Federation,Portugal,Bolivia (Plurinational State of),Grenada,Jamaica,Netherlands,Djibouti,Mexico,South Africa,Mauritania,Tajikistan,Sri Lanka,Venezuela (Bolivarian Republic of),Côte d'Ivoire,Croatia,Bulgaria,Myanmar,Ukraine
1961,7258.0,,5525.0,5525.0,2687.0,3826.0,,11300.0,5479.0,,4783.0,,939.0,,5000.0,15000.0,2500.0,2791.0,7059.0,6760.0,2703.0,,,5660.0,,4881.0,5405.0,11874.0,5388.0,6341.0,2577.0,4686.0,2800.0,5292.0,4272.0,11111.0,12857.0,10601.0,11754.0,21000.0,4783.0,7001.0,,,7042.0,6699.0,4213.0,5041.0,4878.0,,8000.0,,,6508.0,,2268.0,13468.0,,,6871.0,8644.0,12700.0,9525.0,6604.0,,4200.0,7589.0,6431.0,,5003.0,17009.0,3798.0,15413.0,,4921.0,5811.0,,5625.0,4145.0,10952.0,,5926.0,9076.0,,,3984.0,7236.0,5124.0,18841.0,7143.0,12852.0,,2874.0,20000.0,6877.0,5500.0,,,17890.0,9400.0,9698.0,6128.0,5853.0,6000.0,,5161.0,7959.0,7614.0,12308.0,14064.0,,,13684.0,,,,7655.0,3569.0,,,,1598.0,3333.0,8000.0,5641.0,20369.0,,4473.0,7397.0,,,4738.0,4915.0,,,3486.0,5007.0,
1962,7971.0,,11001.0,11001.0,2645.0,3889.0,,10932.0,5452.0,,4783.0,,539.0,,5000.0,23333.0,933.0,2992.0,7031.0,6295.0,4000.0,,,5952.0,,5578.0,5366.0,14118.0,5474.0,5004.0,2683.0,11920.0,2800.0,4773.0,5000.0,11397.0,11875.0,10686.0,10887.0,25796.0,5043.0,7000.0,,,4848.0,6785.0,4244.0,5289.0,5079.0,,7534.0,,,6474.0,,2204.0,13591.0,,,8286.0,7167.0,12115.0,9655.0,7688.0,,4000.0,13006.0,6504.0,,5000.0,15083.0,3797.0,14049.0,,6047.0,6309.0,,6471.0,4208.0,10952.0,,6071.0,8428.0,,,3850.0,6759.0,4704.0,20266.0,7143.0,11854.0,,2845.0,13000.0,8279.0,5813.0,,,12708.0,5770.0,9904.0,6298.0,6000.0,6677.0,,5231.0,8333.0,7224.0,12308.0,10707.0,,,23810.0,,,,7473.0,3696.0,,,,1352.0,3600.0,8000.0,5750.0,23616.0,,3917.0,6786.0,,,2822.0,5186.0,,,2126.0,5487.0,
1963,7000.0,,5151.0,5151.0,2847.0,4178.0,,11731.0,7869.0,,4783.0,,477.0,,5000.0,14000.0,1364.0,2858.0,7008.0,6513.0,3810.0,,,5977.0,,5205.0,5455.0,14059.0,5844.0,5493.0,2593.0,6824.0,3200.0,5078.0,2763.0,11154.0,11739.0,11498.0,12667.0,27556.0,5217.0,7000.0,,,5432.0,6930.0,4211.0,5040.0,5234.0,,8000.0,,,6586.0,,2111.0,13712.0,,,7857.0,7953.0,9190.0,9397.0,8027.0,,4200.0,8580.0,6503.0,,4615.0,17978.0,3798.0,16153.0,,5558.0,7155.0,,7222.0,4234.0,10476.0,,5862.0,10840.0,,,4043.0,7024.0,6283.0,21170.0,7857.0,8858.0,,2270.0,14969.0,7843.0,4000.0,,,10767.0,6595.0,9060.0,6473.0,6000.0,6333.0,,5217.0,7647.0,6112.0,12308.0,12607.0,,,14286.0,,,,8424.0,3078.0,,,,1412.0,3627.0,8000.0,6000.0,22453.0,,3959.0,6032.0,,,3876.0,4723.0,,,3066.0,5235.0,
1964,9429.0,,5939.0,5939.0,2459.0,4502.0,,11055.0,7181.0,,4783.0,,518.0,,5000.0,13636.0,2833.0,2222.0,6989.0,6231.0,3810.0,,,5915.0,,5790.0,5556.0,14518.0,5526.0,5247.0,2809.0,16808.0,2000.0,4410.0,2705.0,11111.0,11481.0,9611.0,12727.0,31525.0,5250.0,7101.0,,,6961.0,6806.0,4232.0,5513.0,5385.0,,7600.0,,,6673.0,,2230.0,13484.0,,,8214.0,8142.0,10886.0,9672.0,6465.0,,4889.0,11020.0,6500.0,,4355.0,18973.0,5341.0,13886.0,,4442.0,7995.0,,6690.0,4279.0,10652.0,,6000.0,9134.0,,,3992.0,7304.0,6803.0,18701.0,8000.0,10224.0,,2550.0,10000.0,8215.0,4000.0,,,14660.0,7512.0,10012.0,6649.0,5516.0,5667.0,,5205.0,7402.0,8299.0,12308.0,7661.0,,,17007.0,,,,8140.0,3396.0,,,,1510.0,3673.0,9000.0,5789.0,25452.0,,4264.0,6154.0,,,3771.0,4191.0,,,3389.0,5419.0,
1965,12321.0,,2026.0,2026.0,2774.0,4186.0,,10555.0,6634.0,,4783.0,,514.0,,5000.0,13600.0,3077.0,2721.0,6966.0,6997.0,4118.0,,,5882.0,,7035.0,5532.0,15047.0,5263.0,5265.0,2401.0,20282.0,2296.0,5757.0,3333.0,11250.0,13889.0,10226.0,12727.0,18401.0,5043.0,7200.0,,,6853.0,9194.0,4319.0,4955.0,5489.0,,7492.0,,,6699.0,,1775.0,13666.0,,,8393.0,7750.0,17780.0,8972.0,6890.0,,4556.0,9520.0,6503.0,,4167.0,18369.0,5198.0,12302.0,,4367.0,9170.0,,6557.0,4775.0,10435.0,,5882.0,10500.0,,,4009.0,7216.0,5788.0,25025.0,8667.0,9048.0,,2952.0,17000.0,8390.0,4004.0,,,14796.0,6837.0,10077.0,6822.0,6000.0,4286.0,,5195.0,6147.0,8055.0,17500.0,12079.0,,,17316.0,,,,8333.0,3567.0,,,,1243.0,3654.0,10000.0,5714.0,19332.0,,4061.0,6818.0,,,4700.0,4234.0,,,2153.0,4844.0,
1966,14583.0,,4686.0,4686.0,3122.0,4531.0,,9913.0,8965.0,,4783.0,,748.0,,5000.0,14000.0,3288.0,2825.0,7001.0,6461.0,4369.0,,,6090.0,,5850.0,5510.0,14626.0,5469.0,5490.0,2330.0,7509.0,3337.0,4469.0,2778.0,11429.0,14634.0,10518.0,12273.0,19327.0,5378.0,6984.0,,,8224.0,8885.0,4326.0,5042.0,5556.0,,6000.0,,,6723.0,,8700.0,13878.0,,,7200.0,7546.0,15971.0,8758.0,8500.0,,4444.0,6600.0,6500.0,,3833.0,18747.0,5771.0,14835.0,,4082.0,11100.0,,7510.0,4690.0,10435.0,,6000.0,13729.0,,20000.0,3924.0,7725.0,6216.0,18991.0,8589.0,10682.0,,2855.0,21000.0,7209.0,5261.0,,,16533.0,4129.0,10626.0,7606.0,6581.0,5625.0,,5250.0,6151.0,8227.0,15000.0,8113.0,,,15152.0,,,,8347.0,3623.0,,,,1443.0,3654.0,10000.0,6250.0,20307.0,,4523.0,7692.0,,,3181.0,4424.0,,,5175.0,4767.0,
1967,16000.0,,6046.0,6046.0,3469.0,4576.0,,9472.0,8419.0,,4783.0,,706.0,,5000.0,14503.0,3289.0,2825.0,7038.0,6979.0,4200.0,,,6218.0,,6153.0,5600.0,17079.0,5594.0,5373.0,2659.0,10635.0,2582.0,4764.0,2616.0,11111.0,15313.0,9510.0,13113.0,31866.0,5319.0,7031.0,,,9306.0,6563.0,4421.0,4984.0,5652.0,,7000.0,,,6620.0,,9800.0,14153.0,,,7200.0,8044.0,16628.0,9016.0,8500.0,,4101.0,5437.0,6502.0,,3667.0,20208.0,5771.0,13769.0,,3502.0,11200.0,,6836.0,5655.0,10400.0,,5696.0,10112.0,,20000.0,4264.0,7820.0,6827.0,28316.0,7123.0,13282.0,,3146.0,14000.0,7214.0,5380.0,,,11951.0,5323.0,13123.0,6879.0,6250.0,5750.0,,5301.0,5068.0,8705.0,17500.0,13697.0,,,15873.0,,,,8384.0,3865.0,,,,1554.0,3850.0,10000.0,7143.0,31058.0,,5079.0,10260.0,,,3608.0,4485.0,,,5134.0,4063.0,
1968,16571.0,,2087.0,2087.0,3381.0,4109.0,,9796.0,7845.0,,4783.0,,317.0,,5000.0,13302.0,3289.0,2615.0,6999.0,6605.0,4124.0,,,6346.0,,6712.0,5577.0,11306.0,5757.0,5348.0,2518.0,8783.0,2546.0,4105.0,2267.0,12762.0,13846.0,5965.0,12617.0,23767.0,5319.0,6923.0,,,10217.0,8349.0,4000.0,6271.0,5714.0,,6000.0,,,7264.0,,8700.0,14427.0,,,6667.0,8711.0,17611.0,7684.0,7436.0,,4266.0,7473.0,6507.0,,3556.0,21212.0,5714.0,13723.0,,3675.0,9230.0,,8011.0,5398.0,10385.0,,6000.0,13405.0,,20000.0,4007.0,7708.0,7202.0,27624.0,6296.0,14198.0,,2648.0,18000.0,6693.0,5129.0,,,9310.0,7778.0,12187.0,6578.0,5882.0,6000.0,,5306.0,3969.0,9235.0,17500.0,12934.0,,,17316.0,,,,8393.0,3440.0,,,,1507.0,3793.0,10000.0,7042.0,19736.0,,4786.0,8714.0,,,2561.0,3652.0,,,4737.0,4252.0,
1969,18750.0,,4806.0,4806.0,3149.0,4451.0,,8376.0,8074.0,,5600.0,,695.0,,5000.0,12502.0,3000.0,2286.0,6985.0,6055.0,3902.0,,,6413.0,,7996.0,5556.0,13347.0,6301.0,5601.0,2699.0,11787.0,2570.0,4465.0,3923.0,12455.0,14348.0,5628.0,12545.0,23706.0,5292.0,6866.0,,,9886.0,9640.0,4293.0,6092.0,5541.0,,6500.0,,,7458.0,,10701.0,14762.0,,,6957.0,8531.0,16440.0,7934.0,9000.0,,4482.0,9568.0,7329.0,,2857.0,19859.0,5714.0,14431.0,,3610.0,8234.0,,9291.0,5294.0,10192.0,,5455.0,11518.0,,19583.0,4025.0,7850.0,7832.0,22712.0,4833.0,14900.0,,3206.0,13857.0,6991.0,6417.0,,,6800.0,8000.0,10621.0,6272.0,5714.0,6000.0,,5304.0,3526.0,10245.0,17500.0,12547.0,,,19481.0,,,,8369.0,3699.0,,,,1531.0,3793.0,10000.0,7519.0,22193.0,,5041.0,8033.0,,,3124.0,3316.0,,,8008.0,4604.0,
1970,17500.0,,2414.0,2414.0,3009.0,4768.0,,6714.0,7698.0,,5333.0,,609.0,,5000.0,14123.0,3305.0,2005.0,7022.0,6346.0,3684.0,,,6540.0,,8272.0,5636.0,15606.0,5843.0,6036.0,3090.0,9884.0,2261.0,5063.0,3696.0,11885.0,15500.0,9564.0,14082.0,28821.0,6250.0,6812.0,,,10351.0,11394.0,4348.0,6294.0,5438.0,,6409.0,,,8966.0,,10600.0,15127.0,,,8261.0,8395.0,17085.0,8122.0,9000.0,,4366.0,9147.0,4298.0,,3143.0,20628.0,5714.0,13841.0,,3287.0,10386.0,,5644.0,4957.0,10135.0,,5952.0,13197.0,,19343.0,4008.0,8104.0,8295.0,25565.0,6259.0,12138.0,,3372.0,19333.0,8284.0,6373.0,,,11901.0,7500.0,11460.0,5955.0,6416.0,6053.0,,5302.0,2331.0,10373.0,17500.0,14224.0,,,18312.0,,,,9140.0,3714.0,,,,1624.0,5000.0,10000.0,6875.0,28291.0,,5295.0,8103.0,,,2998.0,3609.0,,,6423.0,4371.0,
