,Cuba,Ecuador,El Salvador,Mexico,Nicaragua,Colombia,Philippines,Italy,Guatemala
1961,10000.0,,5000.0,-1.0,500.0,13500.0,2600.0,,500.0
1962,10000.0,,5000.0,-1.0,500.0,14000.0,2990.0,,500.0
1963,10000.0,,5700.0,-1.0,500.0,14500.0,2910.0,,500.0
1964,10000.0,,5000.0,-1.0,600.0,15000.0,2520.0,,500.0
1965,10000.0,,5000.0,-1.0,600.0,15500.0,2720.0,,500.0
1966,10000.0,,5000.0,-1.0,600.0,15800.0,3010.0,,600.0
1967,10000.0,,5000.0,-1.0,600.0,16900.0,3040.0,,600.0
1968,10000.0,,5000.0,-1.0,600.0,17700.0,2950.0,,700.0
1969,10000.0,,4980.0,-1.0,600.0,17800.0,2800.0,,771.0
1970,10000.0,,4980.0,-1.0,600.0,18800.0,2790.0,,840.0
1971,10000.0,,5000.0,-1.0,1200.0,19300.0,2730.0,,875.0
1972,10000.0,,5245.0,-1.0,1800.0,20500.0,2560.0,,900.0
1973,10000.0,,5500.0,-1.0,2500.0,21200.0,2560.0,,970.0
1974,10000.0,,6167.0,-1.0,3000.0,22000.0,2600.0,,970.0
1975,10000.0,,6294.0,-1.0,3100.0,36200.0,2470.0,,1000.0
1976,10000.0,,8706.0,-1.0,3200.0,28000.0,2438.0,,1100.0
1977,10000.0,2183.0,8823.0,-1.0,3500.0,25400.0,2630.0,,1100.0
1978,10000.0,2241.0,8950.0,-1.0,3500.0,23900.0,3500.0,,1100.0
1979,10000.0,2456.0,9423.0,-1.0,3600.0,23500.0,3800.0,,1100.0
1980,10000.0,3244.0,8626.0,-1.0,3500.0,25700.0,3340.0,,1100.0
1981,10000.0,3302.0,9423.0,-1.0,3500.0,23500.0,3280.0,,1100.0
1982,10000.0,3525.0,10220.0,3383.0,3600.0,22100.0,3290.0,,1000.0
1983,10000.0,3625.0,10220.0,4766.0,3700.0,21500.0,3230.0,,800.0
1984,10000.0,3200.0,8310.0,2773.0,3800.0,17980.0,3170.0,,600.0
1985,10000.0,3092.0,8184.0,1587.0,3800.0,17930.0,3150.0,,400.0
1986,10000.0,3039.0,8071.0,4100.0,3900.0,17900.0,3200.0,,300.0
1987,10000.0,2947.0,9940.0,4698.0,3900.0,19300.0,3200.0,,300.0
1988,10000.0,3017.0,9930.0,4612.0,4000.0,19540.0,3300.0,,300.0
1989,10000.0,3207.0,9940.0,10589.0,4200.0,20770.0,3300.0,,115.0
1990,8863.0,1893.0,9940.0,12035.0,4300.0,15576.0,3216.0,,120.0
1991,20809.0,2240.0,9930.0,12157.0,4400.0,17096.0,4105.0,-1.0,118.0
1992,18825.0,2310.0,10080.0,7192.0,4500.0,14663.0,4024.0,-1.0,124.0
1993,18381.0,1900.0,10000.0,12057.0,4600.0,16006.0,3899.0,,130.0
1994,17944.0,2000.0,8610.0,15743.0,4700.0,15388.0,2692.0,,131.0
1995,17514.0,1531.0,1000.0,7949.0,4800.0,18153.0,3600.0,,140.0
1996,17089.0,1641.0,5600.0,8029.0,4882.0,22176.0,3800.0,,150.0
1997,16669.0,1776.0,4200.0,8649.0,4900.0,20995.0,3824.0,,160.0
1998,16253.0,2400.0,4200.0,9000.0,4978.0,18311.0,3851.0,,160.0
1999,15841.0,2600.0,3710.0,9000.0,5000.0,17098.0,3875.0,,170.0
2000,15431.0,2600.0,3500.0,10000.0,5056.0,17987.0,3895.0,,160.0
2001,15022.0,2650.0,3600.0,9629.0,5100.0,16802.0,3913.0,,165.0
2002,14613.0,2700.0,4267.0,9757.0,5150.0,17391.0,3928.0,,166.0
2003,14131.0,2700.0,4204.0,9913.0,5200.0,17094.0,3934.0,,168.0
2004,13650.0,2754.0,4155.0,10093.0,5300.0,17294.0,3938.0,,170.0
2005,13168.0,2839.0,4118.0,10475.0,5302.0,17500.0,3940.0,,171.0
2006,12685.0,2803.0,4102.0,10239.0,5400.0,17532.0,3941.0,,170.0
2007,12200.0,2850.0,4081.0,10446.0,5327.0,17482.0,3942.0,,171.0
2008,11713.0,2900.0,4064.0,10702.0,5355.0,17780.0,3942.0,,172.0
2009,11226.0,3089.0,4047.0,10998.0,5399.0,17847.0,3942.0,,172.0
2010,10628.0,3019.0,4024.0,11335.0,5464.0,17918.0,3943.0,,172.0
2011,10213.0,3050.0,3991.0,11709.0,5553.0,17985.0,3944.0,,173.0
2012,8600.0,3000.0,4000.0,12000.0,5560.0,17500.0,4000.0,,180.0
2013,8600.0,3000.0,4000.0,12000.0,5600.0,17500.0,4000.0,,180.0
2014,8500.0,3173.0,3772.0,12678.0,5930.0,18041.0,4000.0,,200.0
