,Kenya,Bolivia (Plurinational State of),"China, Hong Kong SAR",Myanmar,Burkina Faso,Malaysia,Comoros,Melanesia,Tonga,Dominican Republic,Syrian Arab Republic,Nepal,Ethiopia,Indonesia,Pakistan,Samoa,Spain,Zimbabwe,Bangladesh,Malawi,Cyprus,Papua New Guinea,Eritrea,Rwanda,Bulgaria,Vanuatu,Iran (Islamic Republic of),Guatemala,Togo,Mauritius,Kuwait,Nigeria,Madagascar,Kyrgyzstan,Saint Lucia,Argentina,Timor-Leste,Bhutan,Georgia,India,Zambia,Dominica,Niger,Morocco,Ethiopia PDR,Lebanon,Mexico,Grenada,Ecuador,Uzbekistan,Sri Lanka,China,Tunisia,Côte d'Ivoire,Colombia,Albania,Jamaica,Solomon Islands,Occupied Palestinian Territory,Hungary,Polynesia,Sierra Leone,Saint Vincent and the Grenadines,Thailand,Peru,"China, mainland",Wallis and Futuna Islands,Turkey
1961,6667.0,-1.0,120000.0,-1.0,-1.0,-1.0,-1.0,45833.0,18182.0,-1.0,4545.0,-1.0,-1.0,-1.0,15000.0,9474.0,-1.0,5000.0,31064.0,-1.0,4362.0,5000.0,-1.0,-1.0,-1.0,50000.0,-1.0,-1.0,-1.0,127586.0,-1.0,12500.0,6667.0,-1.0,-1.0,-1.0,-1.0,40000.0,-1.0,-1.0,-1.0,-1.0,5000.0,2640.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48276.0,3120000.0,7692.0,-1.0,-1.0,-1.0,17120.0,-1.0,-1.0,-1.0,14433.0,-1.0,-1.0,15200.0,-1.0,-1.0,10000.0,61818.0
1962,6667.0,-1.0,120000.0,-1.0,-1.0,-1.0,-1.0,47500.0,18333.0,-1.0,4545.0,-1.0,-1.0,-1.0,15000.0,9737.0,-1.0,5000.0,29905.0,-1.0,4500.0,5000.0,-1.0,-1.0,-1.0,50000.0,-1.0,-1.0,-1.0,141053.0,-1.0,12500.0,6667.0,-1.0,-1.0,-1.0,-1.0,40000.0,-1.0,7000.0,-1.0,-1.0,5000.0,2960.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48276.0,3120000.0,7692.0,-1.0,-1.0,-1.0,16211.0,-1.0,-1.0,-1.0,14804.0,-1.0,-1.0,16000.0,-1.0,-1.0,10000.0,60791.0
1963,6667.0,-1.0,120000.0,-1.0,-1.0,-1.0,-1.0,37647.0,18462.0,-1.0,4545.0,-1.0,-1.0,-1.0,15000.0,9737.0,-1.0,5000.0,27559.0,-1.0,4766.0,6667.0,-1.0,-1.0,-1.0,55000.0,-1.0,-1.0,-1.0,153750.0,-1.0,12500.0,6667.0,-1.0,-1.0,-1.0,-1.0,40303.0,-1.0,7250.0,-1.0,-1.0,5000.0,2400.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48276.0,3120000.0,8333.0,-1.0,-1.0,-1.0,17350.0,-1.0,-1.0,-1.0,15047.0,-1.0,-1.0,15200.0,-1.0,-1.0,10000.0,73541.0
1964,6667.0,-1.0,120000.0,-1.0,-1.0,-1.0,-1.0,38235.0,18571.0,-1.0,3081.0,-1.0,-1.0,-1.0,15000.0,10000.0,-1.0,5000.0,25819.0,-1.0,2804.0,6667.0,-1.0,-1.0,-1.0,55000.0,-1.0,-1.0,-1.0,134000.0,-1.0,12500.0,6667.0,-1.0,-1.0,-1.0,-1.0,40299.0,-1.0,8016.0,-1.0,-1.0,5000.0,2400.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48276.0,3320000.0,7692.0,-1.0,-1.0,-1.0,12786.0,-1.0,-1.0,-1.0,15357.0,-1.0,-1.0,15200.0,-1.0,-1.0,10000.0,59703.0
1965,6667.0,-1.0,127000.0,-1.0,-1.0,-1.0,-1.0,39412.0,18667.0,-1.0,3220.0,-1.0,-1.0,-1.0,15000.0,10000.0,-1.0,5000.0,32326.0,-1.0,8333.0,6667.0,-1.0,-1.0,-1.0,60000.0,-1.0,-1.0,-1.0,122121.0,-1.0,12500.0,6667.0,-1.0,-1.0,-1.0,-1.0,40000.0,-1.0,7280.0,-1.0,-1.0,5000.0,2400.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48276.0,3327000.0,7778.0,-1.0,-1.0,-1.0,16292.0,-1.0,-1.0,-1.0,15556.0,-1.0,-1.0,15200.0,-1.0,-1.0,10000.0,54245.0
1966,6667.0,-1.0,121000.0,-1.0,-1.0,-1.0,-1.0,33182.0,19737.0,-1.0,11250.0,-1.0,-1.0,-1.0,4494.0,10000.0,-1.0,5000.0,29552.0,-1.0,21250.0,7500.0,-1.0,-1.0,-1.0,60000.0,-1.0,-1.0,-1.0,133684.0,-1.0,12903.0,6667.0,-1.0,-1.0,-1.0,-1.0,40000.0,-1.0,6783.0,-1.0,-1.0,5000.0,3125.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48276.0,5787667.0,7778.0,-1.0,-1.0,-1.0,13222.0,-1.0,-1.0,-1.0,16271.0,-1.0,-1.0,15152.0,-1.0,-1.0,10000.0,51406.0
1967,6667.0,-1.0,119773.0,-1.0,-1.0,-1.0,-1.0,34091.0,20779.0,-1.0,7500.0,-1.0,-1.0,-1.0,10335.0,10000.0,-1.0,5000.0,31119.0,-1.0,20741.0,7500.0,-1.0,-1.0,-1.0,65000.0,-1.0,-1.0,-1.0,194000.0,-1.0,13333.0,6667.0,-1.0,-1.0,-1.0,-1.0,40857.0,-1.0,6731.0,-1.0,-1.0,5000.0,3125.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48276.0,4210682.0,7778.0,-1.0,-1.0,-1.0,13300.0,-1.0,-1.0,-1.0,16917.0,-1.0,-1.0,15152.0,-1.0,-1.0,10000.0,42003.0
1968,6667.0,-1.0,109000.0,-1.0,-1.0,-1.0,-1.0,34545.0,21795.0,-1.0,13333.0,-1.0,-1.0,-1.0,17652.0,10000.0,-1.0,5000.0,26068.0,-1.0,10000.0,7500.0,-1.0,-1.0,-1.0,65000.0,-1.0,-1.0,-1.0,191739.0,-1.0,13636.0,6667.0,-1.0,-1.0,-1.0,-1.0,41429.0,-1.0,6300.0,-1.0,-1.0,5000.0,3684.0,6667.0,-1.0,-1.0,-1.0,-1.0,-1.0,48276.0,4609000.0,8000.0,-1.0,-1.0,-1.0,16071.0,-1.0,-1.0,-1.0,17541.0,-1.0,-1.0,15152.0,-1.0,-1.0,10000.0,51114.0
1969,6667.0,-1.0,111400.0,-1.0,-1.0,-1.0,-1.0,31111.0,22436.0,-1.0,7799.0,-1.0,-1.0,-1.0,15776.0,10000.0,-1.0,5000.0,17784.0,-1.0,15385.0,8000.0,-1.0,-1.0,-1.0,70000.0,-1.0,-1.0,-1.0,164571.0,-1.0,13333.0,6667.0,-1.0,-1.0,-1.0,-1.0,42286.0,-1.0,7010.0,-1.0,-1.0,3600.0,3684.0,4375.0,-1.0,-1.0,-1.0,-1.0,-1.0,48276.0,3711400.0,7778.0,-1.0,-1.0,-1.0,18200.0,-1.0,-1.0,-1.0,17951.0,-1.0,-1.0,15152.0,-1.0,-1.0,10000.0,29813.0
1970,6667.0,-1.0,109091.0,-1.0,-1.0,-1.0,-1.0,26486.0,23077.0,-1.0,10230.0,-1.0,-1.0,-1.0,11379.0,10000.0,-1.0,5000.0,17463.0,-1.0,15385.0,8571.0,-1.0,10500.0,-1.0,70000.0,-1.0,-1.0,-1.0,172727.0,-1.0,13636.0,6667.0,-1.0,-1.0,-1.0,-1.0,41667.0,-1.0,7138.0,-1.0,-1.0,3000.0,3684.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48276.0,3381818.0,7500.0,-1.0,-1.0,-1.0,16091.0,-1.0,-1.0,-1.0,18361.0,-1.0,-1.0,15152.0,-1.0,-1.0,10000.0,28446.0
