,Cuba,Puerto Rico,Ghana,Haiti,Trinidad and Tobago,Fiji,Dominica,Panama,Togo,United Republic of Tanzania,Burundi,Samoa,Belize,Ethiopia,Kenya,Guyana,Costa Rica,Solomon Islands,Papua New Guinea,Comoros,Benin,Cayman Islands,Niue,Brazil,Burkina Faso,Sudan (former),South Sudan,Saint Lucia,Chad,Colombia,New Caledonia,Central African Republic,Gabon,Jamaica,Japan,Antigua and Barbuda,Ethiopia PDR,Sao Tome and Principe,Grenada,Wallis and Futuna Islands,Melanesia,Nicaragua,Polynesia,Democratic Republic of the Congo,Nigeria,Mali,Mauritania,Congo,Barbados,Martinique,Dominican Republic,Portugal,Tonga,Sudan,Saint Vincent and the Grenadines,Venezuela (Bolivarian Republic of),American Samoa,Philippines,Guinea,Guadeloupe,Côte d'Ivoire,Rwanda,Cameroon,Liberia,Saint Kitts and Nevis
1961,,52965.0,73333.0,40000.0,156500.0,8000.0,100000.0,75000.0,100000.0,71429.0,57000.0,150000.0,,,,,,70588.0,165746.0,,88833.0,,100000.0,89474.0,25734.0,30000.0,,33476.0,75862.0,78667.0,80952.0,50000.0,58824.0,143060.0,168750.0,25000.0,36481.0,50000.0,25714.0,112500.0,128571.0,,121203.0,75000.0,77778.0,35000.0,69231.0,35294.0,124876.0,105556.0,82800.0,78947.0,121739.0,,100000.0,54881.0,30000.0,50000.0,83333.0,130000.0,76667.0,100000.0,41667.0,96296.0,25333.0
1962,,52969.0,73333.0,40000.0,158207.0,7905.0,100000.0,66250.0,96667.0,71429.0,57000.0,144231.0,,,,,,72353.0,166667.0,,84826.0,,100000.0,89796.0,25184.0,32500.0,,42396.0,77241.0,82000.0,81818.0,54545.0,56471.0,145735.0,168750.0,25000.0,36000.0,50000.0,25556.0,112500.0,130039.0,,122824.0,70000.0,77778.0,37000.0,70370.0,36471.0,137406.0,105556.0,78966.0,78947.0,123404.0,,100000.0,62579.0,31000.0,45025.0,83333.0,130000.0,77419.0,100000.0,41667.0,96296.0,25333.0
1963,,53020.0,67840.0,40488.0,156725.0,7905.0,100000.0,60556.0,93333.0,71429.0,57000.0,141509.0,,,,,,73529.0,162821.0,,87630.0,,100000.0,90291.0,25287.0,32500.0,,40148.0,77551.0,84000.0,81818.0,59091.0,57333.0,146750.0,171429.0,25000.0,41587.0,50000.0,25405.0,112500.0,128574.0,,123726.0,75000.0,81818.0,38500.0,70370.0,35556.0,138113.0,105263.0,81481.0,78947.0,124464.0,,100000.0,52298.0,25000.0,60103.0,83333.0,127778.0,76875.0,110000.0,41111.0,96296.0,24516.0
1964,,52925.0,67427.0,40476.0,156790.0,7905.0,100000.0,61111.0,92333.0,71429.0,57000.0,136364.0,,,,,,74706.0,162500.0,,94123.0,,100000.0,90741.0,40000.0,28000.0,,39541.0,78231.0,86667.0,81818.0,54545.0,50667.0,146383.0,193784.0,26923.0,41773.0,60000.0,25263.0,112500.0,129106.0,,124949.0,80000.0,83333.0,40500.0,68966.0,35556.0,123727.0,105263.0,82593.0,80952.0,126087.0,,96190.0,51813.0,35714.0,56049.0,91667.0,127778.0,78750.0,120000.0,41209.0,96296.0,24516.0
1965,,53281.0,111053.0,40000.0,156863.0,7905.0,100000.0,65556.0,98333.0,68750.0,57000.0,137931.0,,,,,,76471.0,162195.0,,89618.0,,100000.0,90909.0,40000.0,30000.0,,45160.0,77333.0,88667.0,92308.0,50000.0,53333.0,146555.0,189474.0,30769.0,42007.0,60000.0,25263.0,112500.0,130036.0,,125821.0,75000.0,85714.0,41500.0,68966.0,38043.0,111111.0,105263.0,80714.0,80000.0,126957.0,,97190.0,51711.0,35714.0,52846.0,91667.0,102143.0,77381.0,125000.0,41821.0,96296.0,25161.0
1966,,53344.0,100460.0,40000.0,156488.0,7905.0,100000.0,68889.0,93333.0,66667.0,57000.0,133333.0,,,,,,73889.0,162353.0,,84633.0,40000.0,100000.0,90517.0,48000.0,30000.0,,44444.0,78000.0,92667.0,90909.0,53846.0,50000.0,130603.0,183750.0,33333.0,42191.0,60000.0,25789.0,112500.0,130599.0,,128958.0,75259.0,94164.0,42500.0,68966.0,38000.0,115733.0,105263.0,80458.0,79902.0,130435.0,,90720.0,49360.0,32143.0,52087.0,84615.0,111695.0,77193.0,81250.0,41636.0,96296.0,25161.0
1967,,51937.0,114525.0,40000.0,157235.0,7166.0,100000.0,66000.0,95000.0,66667.0,57000.0,133333.0,,,,,,75000.0,163218.0,,96859.0,45000.0,100000.0,90323.0,50000.0,30208.0,,46154.0,75159.0,94000.0,63636.0,52000.0,50667.0,108543.0,177778.0,33333.0,42387.0,60000.0,25385.0,126250.0,127493.0,,133244.0,75333.0,101245.0,43500.0,70000.0,38182.0,110000.0,105263.0,79788.0,79873.0,134783.0,,108880.0,48400.0,28571.0,53835.0,92308.0,149637.0,80357.0,80000.0,34731.0,96296.0,48750.0
1968,,51292.0,103866.0,40000.0,157310.0,7493.0,100000.0,75500.0,96667.0,66667.0,57000.0,134921.0,,,,,,76667.0,161111.0,,102231.0,45000.0,100000.0,90551.0,44932.0,29348.0,,48276.0,75316.0,96000.0,83333.0,52000.0,50000.0,108877.0,170000.0,40000.0,42539.0,60000.0,25000.0,127500.0,126151.0,,133265.0,73810.0,77088.0,44500.0,68966.0,40000.0,116473.0,105263.0,81631.0,79581.0,134783.0,,113385.0,48473.0,25000.0,50493.0,85714.0,150000.0,81170.0,55000.0,34362.0,96296.0,48750.0
1969,,57702.0,113248.0,40000.0,157053.0,7493.0,100000.0,60417.0,100000.0,70000.0,57000.0,142857.0,,,,,,77778.0,161290.0,,94383.0,45000.0,100000.0,90226.0,50000.0,29545.0,,46875.0,75000.0,100000.0,64000.0,48000.0,50000.0,112470.0,167273.0,42857.0,42720.0,60000.0,25500.0,128750.0,125271.0,,133732.0,77907.0,93816.0,45000.0,70000.0,38333.0,100036.0,112821.0,80942.0,80115.0,134783.0,,94357.0,48088.0,26957.0,49017.0,84615.0,150000.0,72727.0,60000.0,34527.0,96296.0,50000.0
1970,,55208.0,52849.0,40000.0,157178.0,7500.0,100000.0,78052.0,96667.0,70000.0,52727.0,142857.0,,,,,,74737.0,161702.0,,85679.0,50000.0,100000.0,90511.0,58333.0,30000.0,,47700.0,75000.0,100000.0,65385.0,50000.0,52941.0,113550.0,163333.0,39655.0,42945.0,60000.0,25750.0,130000.0,127246.0,,129786.0,75681.0,97276.0,46000.0,70000.0,41667.0,125468.0,110000.0,80297.0,79511.0,130435.0,,85132.0,45935.0,28500.0,49419.0,78571.0,146667.0,79538.0,90000.0,36113.0,96429.0,50000.0
