,Burundi,Melanesia,"China, Taiwan Province of",Niue,Cameroon,Comoros,Philippines,Benin,Maldives,Liberia,Japan,Sao Tome and Principe,Republic of Korea,Togo,Cyprus,Papua New Guinea,Antigua and Barbuda,New Caledonia,Rwanda,Tonga,United States of America,Barbados,Democratic Republic of the Congo,Thailand,Mauritius,American Samoa,Nigeria,Madagascar,Saint Lucia,Kiribati,Guinea,Dominica,Fiji,Chad,Wallis and Futuna Islands,Gabon,Central African Republic,China,Côte d'Ivoire,Lebanon,Solomon Islands,Trinidad and Tobago,Occupied Palestinian Territory,French Guiana,Sierra Leone,Samoa,Egypt,Micronesia,Ghana,Polynesia,"China, mainland",Nicaragua,Guyana,Turkey
1961,50000.0,69859.0,61576.0,49296.0,46813.0,-1.0,45143.0,66667.0,100000.0,74286.0,122197.0,50000.0,78113.0,30000.0,144626.0,67036.0,-1.0,30000.0,35556.0,78788.0,222759.0,35000.0,61487.0,109589.0,79853.0,58120.0,63370.0,64615.0,44000.0,47059.0,62791.0,100000.0,80000.0,29444.0,125000.0,50000.0,25000.0,110141.0,9231.0,110000.0,107527.0,109091.0,-1.0,120690.0,25000.0,67857.0,198413.0,47059.0,74900.0,72837.0,112903.0,-1.0,-1.0,62500.0
1962,50000.0,70163.0,58070.0,49296.0,50604.0,-1.0,43023.0,66923.0,101786.0,74286.0,125309.0,50000.0,68627.0,30000.0,125479.0,67204.0,-1.0,30000.0,40000.0,80588.0,226810.0,35000.0,61886.0,109589.0,71842.0,58120.0,52373.0,66154.0,44000.0,44444.0,65217.0,100000.0,80068.0,30000.0,125000.0,50000.0,25000.0,109387.0,10870.0,100000.0,109574.0,110714.0,-1.0,150000.0,25000.0,67742.0,250000.0,44444.0,74706.0,73499.0,112308.0,-1.0,-1.0,61765.0
1963,50000.0,70170.0,52362.0,49296.0,45000.0,-1.0,44656.0,65714.0,101724.0,74286.0,144788.0,50000.0,72708.0,28333.0,116030.0,67188.0,-1.0,30000.0,40000.0,80308.0,228744.0,35000.0,61141.0,109589.0,110000.0,58462.0,60350.0,66923.0,48000.0,42105.0,62500.0,100000.0,80068.0,30556.0,125000.0,50000.0,25000.0,111840.0,10857.0,70000.0,111579.0,114271.0,-1.0,146825.0,20000.0,68571.0,214286.0,42105.0,75243.0,73721.0,115385.0,-1.0,-1.0,61111.0
1964,50000.0,70361.0,59150.0,49296.0,35451.0,-1.0,45662.0,67857.0,100000.0,74286.0,124810.0,50000.0,57297.0,26667.0,121495.0,67500.0,-1.0,30000.0,42308.0,77994.0,223041.0,35000.0,60636.0,110274.0,105526.0,58632.0,57077.0,71235.0,48000.0,42500.0,52632.0,100000.0,80439.0,29474.0,125000.0,50000.0,25000.0,104555.0,10986.0,75000.0,114583.0,114085.0,-1.0,80435.0,20000.0,68750.0,246032.0,42500.0,75048.0,72725.0,107143.0,-1.0,-1.0,60526.0
1965,50000.0,70052.0,61296.0,49296.0,44526.0,-1.0,47634.0,65979.0,102000.0,74286.0,122879.0,50000.0,72706.0,28333.0,215153.0,66667.0,-1.0,30000.0,40700.0,77333.0,242363.0,35000.0,62658.0,109459.0,104800.0,58803.0,56809.0,71340.0,50000.0,41860.0,65116.0,100000.0,80725.0,30000.0,125000.0,48000.0,25000.0,111745.0,11034.0,75000.0,117347.0,114194.0,-1.0,83051.0,20000.0,69697.0,261905.0,41860.0,75000.0,72818.0,114286.0,-1.0,-1.0,60526.0
1966,48718.0,70691.0,58967.0,49296.0,44897.0,-1.0,45452.0,68182.0,101613.0,74286.0,132806.0,50000.0,89200.0,30000.0,233563.0,67453.0,30000.0,30000.0,40000.0,76257.0,253614.0,33565.0,63736.0,110135.0,111707.0,58974.0,58252.0,72785.0,50000.0,41304.0,64146.0,100000.0,82267.0,30526.0,125000.0,50000.0,25000.0,111629.0,10884.0,72000.0,117172.0,114797.0,-1.0,83051.0,18000.0,69697.0,277778.0,41304.0,77742.0,72368.0,114286.0,-1.0,-1.0,60000.0
1967,50000.0,69907.0,61112.0,49296.0,30350.0,-1.0,42595.0,64500.0,101563.0,75000.0,119016.0,50000.0,90000.0,30000.0,227758.0,66514.0,25000.0,25000.0,40000.0,73239.0,230181.0,34091.0,64736.0,109333.0,125000.0,59060.0,57222.0,72147.0,50000.0,41667.0,63855.0,100000.0,85355.0,29500.0,137500.0,50000.0,26667.0,114534.0,10872.0,52000.0,120000.0,116129.0,-1.0,111053.0,20500.0,69697.0,293651.0,41667.0,73525.0,71203.0,117143.0,-1.0,-1.0,60000.0
1968,50000.0,71043.0,68845.0,49296.0,32951.0,-1.0,42107.0,64706.0,100000.0,75000.0,142459.0,50000.0,84545.0,31667.0,207079.0,67123.0,40000.0,25000.0,35000.0,70833.0,246185.0,34000.0,62687.0,110000.0,123784.0,65128.0,54609.0,72273.0,50000.0,42000.0,63810.0,100000.0,87155.0,30000.0,137500.0,50000.0,28000.0,119378.0,10800.0,93333.0,124752.0,117463.0,-1.0,100000.0,19000.0,69444.0,255952.0,42000.0,76929.0,70411.0,121429.0,-1.0,-1.0,62100.0
1969,48500.0,72144.0,76896.0,49296.0,29747.0,-1.0,42557.0,54583.0,100909.0,75676.0,140456.0,50000.0,83158.0,31667.0,151925.0,67117.0,33333.0,25000.0,50000.0,72365.0,231897.0,33733.0,61538.0,109211.0,123158.0,76318.0,60739.0,73413.0,50000.0,42308.0,61176.0,100000.0,93380.0,30000.0,137500.0,50000.0,29375.0,118336.0,10278.0,80250.0,127451.0,117062.0,-1.0,100000.0,23000.0,67568.0,244048.0,42308.0,76846.0,70999.0,120000.0,-1.0,-1.0,58750.0
1970,48100.0,72086.0,71828.0,49296.0,35623.0,-1.0,38908.0,53778.0,100492.0,75676.0,139000.0,50000.0,83874.0,32500.0,189552.0,66960.0,30000.0,30000.0,40000.0,72408.0,202944.0,34375.0,64407.0,109868.0,100294.0,51282.0,42104.0,69254.0,50000.0,42593.0,58411.0,100000.0,100000.0,30000.0,137500.0,55000.0,25000.0,118240.0,9984.0,80000.0,131068.0,117136.0,-1.0,247642.0,22000.0,65789.0,246032.0,42593.0,43692.0,68457.0,120000.0,-1.0,-1.0,60000.0
