,"China, Taiwan Province of",Belarus,Croatia,Saudi Arabia,Philippines,Syrian Arab Republic,Brazil,Australia,United Republic of Tanzania,Ethiopia,The former Yugoslav Republic of Macedonia,Greece,Zimbabwe,Republic of Korea,Uzbekistan,Australia & New Zealand,Yugoslav SFR,Guatemala,Algeria,Slovenia,United Arab Emirates,Madagascar,Luxembourg,Israel,Belgium,Turkmenistan,Switzerland,Uruguay,Azerbaijan,Egypt,Bosnia and Herzegovina,China,Malta,Colombia,Libya,Lebanon,Kyrgyzstan,Occupied Palestinian Territory,Chile,Hungary,Montenegro,Kazakhstan,Portugal,Viet Nam,"China, mainland",Russian Federation,Italy,India,Ukraine,Bolivia (Plurinational State of),Peru,Yemen,Serbia and Montenegro,Czechoslovakia,Serbia,Tajikistan,Armenia,Germany,Namibia,United Kingdom,Canada,Japan,Afghanistan,Iraq,Venezuela (Bolivarian Republic of),Cyprus,Spain,New Zealand,Bulgaria,United States of America,Iran (Islamic Republic of),Pakistan,Kuwait,Czechia,Argentina,Paraguay,Georgia,Cuba,Austria,Bahrain,Morocco,Ethiopia PDR,Qatar,Mexico,USSR,Romania,Ecuador,Honduras,Jordan,Tunisia,Albania,Slovakia,France,South Africa,Réunion,Thailand,Netherlands,Belgium-Luxembourg,Republic of Moldova,Turkey
1961,91095.0,-1.0,-1.0,290909.0,-1.0,34977.0,69508.0,108541.0,-1.0,-1.0,-1.0,57465.0,-1.0,68280.0,-1.0,108571.0,34926.0,50000.0,52865.0,-1.0,-1.0,61667.0,-1.0,52750.0,-1.0,-1.0,96645.0,57500.0,-1.0,117778.0,-1.0,70416.0,51353.0,112500.0,22504.0,37190.0,-1.0,-1.0,84455.0,28932.0,-1.0,-1.0,47244.0,-1.0,70000.0,-1.0,50080.0,159091.0,-1.0,90000.0,73415.0,55000.0,-1.0,30527.0,-1.0,-1.0,-1.0,72814.0,-1.0,-1.0,41866.0,99714.0,45000.0,30000.0,-1.0,37374.0,18932.0,111740.0,31827.0,142683.0,41176.0,95000.0,-1.0,-1.0,90962.0,80000.0,-1.0,-1.0,47500.0,32000.0,46974.0,-1.0,-1.0,59754.0,45519.0,24541.0,12900.0,-1.0,37333.0,53967.0,42561.0,-1.0,52828.0,77097.0,100000.0,65000.0,240213.0,173392.0,-1.0,41148.0
1962,97345.0,-1.0,-1.0,309091.0,-1.0,36611.0,57599.0,129104.0,-1.0,-1.0,-1.0,65477.0,-1.0,65617.0,-1.0,129124.0,41852.0,50000.0,48208.0,-1.0,-1.0,61667.0,-1.0,60417.0,-1.0,-1.0,92629.0,57329.0,-1.0,146533.0,-1.0,70505.0,36525.0,111111.0,25000.0,34694.0,-1.0,-1.0,95294.0,25157.0,-1.0,-1.0,87125.0,-1.0,70000.0,-1.0,65080.0,163043.0,-1.0,75000.0,76894.0,55000.0,-1.0,21319.0,-1.0,-1.0,-1.0,78988.0,-1.0,-1.0,41927.0,100103.0,45000.0,30000.0,-1.0,35489.0,23598.0,131160.0,56930.0,137030.0,43137.0,58636.0,-1.0,-1.0,100408.0,84615.0,-1.0,-1.0,35833.0,32000.0,38974.0,-1.0,-1.0,59372.0,51241.0,34300.0,12714.0,-1.0,40041.0,60498.0,43964.0,-1.0,81365.0,81174.0,100000.0,65000.0,239942.0,190597.0,-1.0,42167.0
1963,84484.0,-1.0,-1.0,309091.0,-1.0,22590.0,71823.0,97032.0,-1.0,-1.0,-1.0,46753.0,-1.0,66041.0,-1.0,97439.0,45865.0,50000.0,49017.0,-1.0,-1.0,66667.0,-1.0,49333.0,-1.0,-1.0,100789.0,63950.0,-1.0,124792.0,-1.0,71114.0,42808.0,122222.0,20000.0,36000.0,-1.0,-1.0,79505.0,32117.0,-1.0,-1.0,72939.0,-1.0,70833.0,-1.0,52290.0,160000.0,-1.0,81967.0,75405.0,54857.0,-1.0,32283.0,-1.0,-1.0,-1.0,119174.0,-1.0,-1.0,41898.0,84545.0,45000.0,30000.0,-1.0,17441.0,24747.0,137302.0,61287.0,158190.0,43810.0,78077.0,-1.0,-1.0,105850.0,78571.0,-1.0,-1.0,58500.0,31250.0,50256.0,-1.0,-1.0,62323.0,39207.0,30867.0,11929.0,-1.0,30383.0,60991.0,16941.0,-1.0,62322.0,83540.0,100000.0,65000.0,221694.0,195469.0,-1.0,33913.0
1964,83154.0,-1.0,-1.0,327273.0,-1.0,32986.0,59648.0,132678.0,-1.0,-1.0,-1.0,56688.0,40000.0,52577.0,-1.0,132812.0,47529.0,50000.0,40295.0,-1.0,-1.0,66667.0,-1.0,69417.0,-1.0,-1.0,109246.0,59633.0,-1.0,103811.0,-1.0,77122.0,33615.0,120000.0,20000.0,41934.0,-1.0,-1.0,82718.0,38190.0,-1.0,-1.0,74960.0,-1.0,76923.0,-1.0,62768.0,160714.0,-1.0,80645.0,66975.0,54857.0,-1.0,49400.0,-1.0,-1.0,-1.0,141352.0,-1.0,-1.0,41890.0,95576.0,50476.0,30000.0,-1.0,26370.0,32855.0,144946.0,47723.0,143797.0,44860.0,71250.0,-1.0,-1.0,97471.0,79310.0,-1.0,-1.0,100851.0,31250.0,51410.0,-1.0,-1.0,65000.0,35817.0,28702.0,9329.0,-1.0,39537.0,55971.0,30895.0,-1.0,68437.0,82768.0,100000.0,65000.0,242763.0,210425.0,-1.0,34875.0
1965,87876.0,-1.0,-1.0,316667.0,-1.0,29302.0,79864.0,136191.0,-1.0,-1.0,-1.0,63179.0,40000.0,54056.0,-1.0,136146.0,42912.0,50000.0,55017.0,-1.0,-1.0,66667.0,-1.0,69224.0,-1.0,-1.0,106254.0,65800.0,-1.0,104064.0,-1.0,67199.0,50200.0,118182.0,20000.0,46298.0,-1.0,-1.0,61165.0,17318.0,-1.0,-1.0,80760.0,-1.0,66667.0,-1.0,68650.0,161290.0,-1.0,87719.0,69910.0,55000.0,-1.0,18934.0,-1.0,-1.0,-1.0,98814.0,-1.0,-1.0,41874.0,99425.0,52182.0,30000.0,-1.0,35160.0,25924.0,132630.0,69643.0,178455.0,45455.0,77692.0,-1.0,-1.0,87715.0,80000.0,-1.0,-1.0,43389.0,31250.0,65844.0,-1.0,-1.0,71283.0,48667.0,29491.0,37857.0,-1.0,40000.0,53409.0,34048.0,-1.0,75365.0,94966.0,100000.0,65000.0,252623.0,171320.0,-1.0,41875.0
1966,83348.0,-1.0,-1.0,316667.0,-1.0,28787.0,77716.0,114884.0,-1.0,-1.0,-1.0,63493.0,60000.0,59352.0,-1.0,115453.0,47490.0,50000.0,27780.0,-1.0,-1.0,80000.0,-1.0,66667.0,-1.0,-1.0,92505.0,88938.0,-1.0,113442.0,-1.0,58316.0,40635.0,116667.0,22506.0,40714.0,-1.0,-1.0,70252.0,23229.0,-1.0,-1.0,50471.0,-1.0,57647.0,-1.0,66111.0,161765.0,-1.0,86957.0,72969.0,55000.0,-1.0,27682.0,-1.0,-1.0,-1.0,93861.0,-1.0,-1.0,41885.0,100568.0,52500.0,39394.0,30231.0,42026.0,32257.0,171103.0,55676.0,153124.0,45217.0,80769.0,-1.0,-1.0,102472.0,80000.0,-1.0,-1.0,45459.0,30769.0,48267.0,-1.0,-1.0,73024.0,43419.0,29249.0,34083.0,-1.0,40266.0,33550.0,42937.0,-1.0,69465.0,90325.0,100000.0,65000.0,222174.0,184713.0,-1.0,37349.0
1967,99754.0,-1.0,-1.0,333333.0,-1.0,31127.0,77624.0,134934.0,-1.0,-1.0,-1.0,58425.0,60000.0,58143.0,-1.0,135355.0,45136.0,50000.0,28342.0,-1.0,-1.0,76667.0,-1.0,74545.0,-1.0,-1.0,105316.0,78500.0,-1.0,108123.0,-1.0,54245.0,51388.0,115385.0,22506.0,58018.0,-1.0,-1.0,79174.0,33019.0,-1.0,-1.0,54431.0,-1.0,52941.0,-1.0,78846.0,161972.0,-1.0,75862.0,69593.0,55000.0,-1.0,44093.0,-1.0,-1.0,-1.0,117953.0,-1.0,-1.0,41894.0,114329.0,56193.0,41212.0,29758.0,43185.0,23667.0,172964.0,46062.0,126272.0,47826.0,86538.0,-1.0,-1.0,131304.0,79412.0,-1.0,-1.0,80147.0,30769.0,32162.0,-1.0,-1.0,69349.0,43447.0,27276.0,37557.0,-1.0,40063.0,32276.0,38800.0,-1.0,69327.0,89214.0,100000.0,65000.0,303286.0,177358.0,-1.0,41667.0
1968,120799.0,-1.0,-1.0,338462.0,-1.0,31395.0,74289.0,123436.0,-1.0,-1.0,-1.0,75625.0,60000.0,60923.0,-1.0,124231.0,49609.0,50000.0,45869.0,-1.0,-1.0,85000.0,-1.0,66574.0,-1.0,-1.0,112093.0,66111.0,-1.0,107143.0,-1.0,60810.0,46465.0,114286.0,23873.0,54490.0,-1.0,-1.0,82719.0,35374.0,-1.0,-1.0,64392.0,-1.0,58824.0,-1.0,74095.0,162162.0,-1.0,55051.0,66148.0,55000.0,-1.0,50122.0,-1.0,-1.0,-1.0,116287.0,-1.0,-1.0,41909.0,116450.0,53571.0,42424.0,33370.0,42164.0,24221.0,185469.0,65883.0,146926.0,47273.0,98696.0,2000.0,-1.0,89003.0,75000.0,-1.0,-1.0,76560.0,30769.0,46269.0,-1.0,-1.0,74195.0,56536.0,34046.0,62819.0,-1.0,44965.0,33475.0,45873.0,-1.0,75037.0,97957.0,100000.0,65000.0,277171.0,168897.0,-1.0,43927.0
1969,97852.0,-1.0,-1.0,338462.0,-1.0,35905.0,80919.0,107344.0,51728.0,-1.0,-1.0,75264.0,60000.0,71620.0,-1.0,108794.0,58585.0,50000.0,40144.0,-1.0,-1.0,94035.0,-1.0,76571.0,-1.0,-1.0,87137.0,63333.0,-1.0,87302.0,-1.0,54472.0,53993.0,113333.0,25682.0,46291.0,-1.0,-1.0,70900.0,40213.0,-1.0,-1.0,46005.0,-1.0,52778.0,-1.0,84128.0,160256.0,-1.0,55238.0,59935.0,55000.0,-1.0,50505.0,-1.0,-1.0,-1.0,112538.0,-1.0,-1.0,41891.0,104721.0,54143.0,42941.0,24866.0,45156.0,25305.0,211484.0,75650.0,160848.0,51102.0,100417.0,2500.0,-1.0,80023.0,70588.0,-1.0,-1.0,69266.0,31250.0,26230.0,30000.0,-1.0,68857.0,52591.0,34301.0,82372.0,-1.0,34398.0,28261.0,47381.0,-1.0,62931.0,93031.0,105000.0,65000.0,248053.0,179856.0,-1.0,43377.0
1970,128377.0,-1.0,-1.0,342857.0,-1.0,31414.0,90339.0,145585.0,52112.0,-1.0,-1.0,70418.0,60000.0,55090.0,-1.0,144721.0,43359.0,50000.0,42548.0,-1.0,-1.0,89138.0,-1.0,65269.0,-1.0,-1.0,136237.0,68500.0,-1.0,69485.0,-1.0,50960.0,43901.0,112500.0,25530.0,60370.0,-1.0,-1.0,64230.0,32327.0,-1.0,-1.0,64003.0,-1.0,47222.0,-1.0,80583.0,162500.0,-1.0,55000.0,54855.0,25000.0,-1.0,57024.0,-1.0,-1.0,-1.0,181140.0,-1.0,-1.0,41907.0,100515.0,52000.0,44118.0,30717.0,35975.0,27083.0,114101.0,61456.0,129910.0,52500.0,104783.0,3462.0,-1.0,90533.0,75000.0,-1.0,-1.0,93764.0,31250.0,33213.0,30000.0,-1.0,90707.0,49336.0,25952.0,75188.0,-1.0,39957.0,26575.0,52598.0,-1.0,93812.0,68164.0,105000.0,65000.0,296807.0,287241.0,-1.0,45562.0
1971,166204.0,-1.0,-1.0,325000.0,-1.0,31241.0,69021.0,102585.0,51983.0,-1.0,-1.0,66664.0,55556.0,47272.0,-1.0,103053.0,43492.0,50000.0,44638.0,-1.0,50000.0,93714.0,-1.0,66600.0,-1.0,-1.0,94769.0,67500.0,-1.0,81565.0,-1.0,64644.0,62500.0,111765.0,29800.0,64787.0,-1.0,-1.0,86313.0,33525.0,-1.0,-1.0,50000.0,-1.0,57778.0,-1.0,78604.0,160714.0,-1.0,52800.0,63807.0,42857.0,-1.0,50739.0,-1.0,-1.0,-1.0,143669.0,-1.0,-1.0,70775.0,100165.0,41857.0,43347.0,28759.0,36374.0,27216.0,119932.0,62588.0,167344.0,50104.0,109130.0,3750.0,-1.0,96308.0,77500.0,-1.0,-1.0,52419.0,30000.0,45180.0,30000.0,-1.0,85027.0,53949.0,32209.0,132418.0,-1.0,47715.0,45299.0,44068.0,-1.0,78576.0,83529.0,105000.0,68000.0,279739.0,179225.0,-1.0,45517.0
1972,143050.0,-1.0,-1.0,345264.0,-1.0,30965.0,76479.0,145591.0,51920.0,-1.0,-1.0,63658.0,66667.0,63567.0,-1.0,144270.0,45560.0,50000.0,29191.0,-1.0,66667.0,85714.0,-1.0,94651.0,-1.0,-1.0,105539.0,70000.0,-1.0,97602.0,-1.0,63167.0,61728.0,111111.0,19179.0,61462.0,-1.0,-1.0,97967.0,38647.0,-1.0,-1.0,45654.0,-1.0,56111.0,-1.0,73190.0,160465.0,-1.0,66667.0,57066.0,46667.0,-1.0,56147.0,-1.0,-1.0,-1.0,129798.0,-1.0,-1.0,70797.0,105373.0,51429.0,50000.0,59306.0,36322.0,29633.0,94240.0,56290.0,108840.0,53356.0,96087.0,3929.0,-1.0,85498.0,75294.0,-1.0,-1.0,77370.0,30000.0,44746.0,30000.0,-1.0,88954.0,35672.0,31107.0,87634.0,-1.0,61563.0,46782.0,49565.0,-1.0,74039.0,82181.0,105000.0,66667.0,276119.0,222304.0,-1.0,40400.0
1973,100871.0,-1.0,-1.0,422890.0,-1.0,19894.0,85457.0,101039.0,52035.0,-1.0,-1.0,67009.0,64286.0,70583.0,-1.0,101404.0,58308.0,50000.0,32926.0,-1.0,75000.0,75135.0,-1.0,94424.0,-1.0,-1.0,134651.0,64545.0,-1.0,91901.0,-1.0,64002.0,62500.0,110000.0,24018.0,63656.0,-1.0,-1.0,88131.0,47624.0,-1.0,-1.0,59894.0,-1.0,60526.0,-1.0,90917.0,160920.0,-1.0,59783.0,57125.0,46667.0,-1.0,67927.0,-1.0,-1.0,-1.0,179120.0,-1.0,-1.0,70781.0,101119.0,55000.0,56667.0,60471.0,20913.0,41345.0,111111.0,80401.0,171492.0,50250.0,113200.0,4400.0,-1.0,87174.0,67556.0,-1.0,-1.0,71690.0,30000.0,51345.0,30000.0,-1.0,91253.0,60382.0,47124.0,56803.0,-1.0,59651.0,43638.0,51695.0,-1.0,102766.0,80561.0,105000.0,70000.0,271186.0,259398.0,-1.0,40980.0
1974,118039.0,-1.0,-1.0,94903.0,-1.0,30992.0,105677.0,88352.0,51983.0,-1.0,-1.0,75287.0,66667.0,74027.0,-1.0,88851.0,43711.0,50000.0,35759.0,-1.0,75000.0,68073.0,-1.0,88810.0,-1.0,-1.0,79454.0,63636.0,-1.0,120080.0,-1.0,59571.0,61728.0,109091.0,24043.0,69985.0,-1.0,-1.0,75987.0,32792.0,-1.0,-1.0,74923.0,-1.0,54737.0,-1.0,89462.0,173077.0,-1.0,59823.0,59395.0,38750.0,-1.0,45664.0,-1.0,-1.0,-1.0,110649.0,-1.0,-1.0,70802.0,104574.0,58143.0,62857.0,56914.0,31919.0,37394.0,102128.0,66279.0,160924.0,50444.0,113600.0,4444.0,-1.0,113806.0,74333.0,-1.0,-1.0,47493.0,30435.0,53704.0,30000.0,-1.0,92421.0,58776.0,36525.0,90227.0,-1.0,40925.0,46701.0,47692.0,-1.0,94568.0,70390.0,105000.0,67500.0,303922.0,205071.0,-1.0,42098.0
1975,126633.0,-1.0,-1.0,145343.0,-1.0,34533.0,100606.0,113635.0,51947.0,-1.0,-1.0,74082.0,68750.0,67103.0,-1.0,113254.0,41679.0,50000.0,27058.0,-1.0,80000.0,105368.0,-1.0,91849.0,-1.0,-1.0,86257.0,67079.0,-1.0,127529.0,-1.0,68704.0,73171.0,116667.0,21213.0,52941.0,-1.0,-1.0,72939.0,39431.0,-1.0,-1.0,50096.0,-1.0,64737.0,-1.0,82203.0,166667.0,-1.0,59797.0,59472.0,47059.0,-1.0,66354.0,-1.0,-1.0,-1.0,146817.0,-1.0,-1.0,70825.0,97329.0,60000.0,77143.0,60731.0,37973.0,32299.0,102895.0,53712.0,156263.0,50556.0,115643.0,4583.0,-1.0,93599.0,78056.0,-1.0,-1.0,86426.0,30435.0,48767.0,30000.0,-1.0,100694.0,66015.0,39968.0,53000.0,-1.0,16960.0,45322.0,45714.0,-1.0,83745.0,83253.0,100000.0,67500.0,268041.0,215453.0,-1.0,41101.0
1976,125383.0,-1.0,-1.0,93252.0,-1.0,33663.0,103463.0,112287.0,52016.0,-1.0,-1.0,71634.0,65000.0,90411.0,-1.0,112126.0,48992.0,50000.0,23440.0,-1.0,83333.0,84436.0,-1.0,139388.0,-1.0,-1.0,115052.0,57911.0,-1.0,143973.0,-1.0,62479.0,56250.0,115385.0,23170.0,56667.0,-1.0,-1.0,79390.0,37120.0,-1.0,-1.0,50692.0,-1.0,58500.0,-1.0,78444.0,187059.0,-1.0,64457.0,59826.0,47727.0,-1.0,65578.0,-1.0,-1.0,-1.0,135464.0,-1.0,-1.0,70774.0,102736.0,67286.0,91429.0,60888.0,36322.0,25739.0,108032.0,74319.0,140575.0,50556.0,120820.0,4800.0,-1.0,110882.0,80056.0,-1.0,-1.0,92736.0,30435.0,45118.0,30000.0,-1.0,97144.0,65804.0,51499.0,63010.0,-1.0,44499.0,39954.0,45270.0,-1.0,90509.0,80943.0,105000.0,70000.0,237500.0,186021.0,-1.0,40104.0
1977,118208.0,-1.0,-1.0,84998.0,-1.0,37562.0,110668.0,113047.0,51983.0,-1.0,-1.0,68177.0,68182.0,78571.0,-1.0,112357.0,49472.0,50000.0,17368.0,-1.0,88571.0,83565.0,-1.0,122592.0,-1.0,-1.0,124171.0,65574.0,-1.0,108396.0,-1.0,49489.0,68750.0,117257.0,23350.0,48485.0,-1.0,-1.0,91449.0,47949.0,-1.0,-1.0,36501.0,-1.0,45500.0,-1.0,75061.0,161102.0,-1.0,63444.0,54627.0,47000.0,-1.0,71774.0,-1.0,-1.0,-1.0,159865.0,-1.0,-1.0,70868.0,109197.0,61341.0,112500.0,71109.0,33680.0,21840.0,97847.0,54733.0,133035.0,50663.0,121303.0,5385.0,-1.0,99795.0,74316.0,-1.0,-1.0,78585.0,31600.0,39705.0,30000.0,236364.0,93898.0,50000.0,50210.0,56933.0,-1.0,36063.0,32887.0,41026.0,-1.0,64565.0,73641.0,110000.0,70000.0,257143.0,176067.0,-1.0,41842.0
1978,113610.0,-1.0,-1.0,127602.0,1707.0,36830.0,114490.0,106861.0,52035.0,-1.0,-1.0,75121.0,71682.0,80085.0,-1.0,106168.0,43725.0,50000.0,12933.0,-1.0,87727.0,86429.0,-1.0,138980.0,-1.0,-1.0,76255.0,64423.0,-1.0,118389.0,-1.0,45786.0,50000.0,118679.0,23201.0,72222.0,-1.0,-1.0,94985.0,42300.0,-1.0,-1.0,33636.0,-1.0,41600.0,-1.0,82866.0,185268.0,-1.0,71349.0,55669.0,44118.0,-1.0,66963.0,-1.0,-1.0,-1.0,110789.0,-1.0,-1.0,70832.0,109599.0,62411.0,141273.0,65015.0,53399.0,28592.0,94086.0,69885.0,142146.0,51050.0,116610.0,5000.0,-1.0,82111.0,77650.0,-1.0,-1.0,98404.0,30000.0,37097.0,30000.0,236364.0,105711.0,65065.0,45592.0,57000.0,-1.0,45119.0,31854.0,43636.0,-1.0,74035.0,75627.0,120000.0,68966.0,266667.0,109667.0,-1.0,44253.0
1979,195888.0,-1.0,-1.0,123295.0,2462.0,29856.0,117475.0,108875.0,52007.0,-1.0,-1.0,72719.0,65440.0,75538.0,-1.0,108085.0,53374.0,50000.0,20017.0,-1.0,79600.0,49969.0,-1.0,123208.0,-1.0,-1.0,106987.0,68089.0,-1.0,109971.0,-1.0,51385.0,56250.0,122690.0,24060.0,71053.0,-1.0,-1.0,91304.0,48245.0,-1.0,-1.0,72727.0,-1.0,40945.0,-1.0,100477.0,190544.0,-1.0,69169.0,56158.0,48039.0,-1.0,57950.0,-1.0,-1.0,-1.0,126085.0,-1.0,-1.0,70834.0,116172.0,66069.0,107143.0,76964.0,59332.0,46803.0,95648.0,63931.0,160574.0,51050.0,115593.0,3000.0,-1.0,109134.0,77619.0,-1.0,-1.0,81147.0,33333.0,47780.0,30000.0,93571.0,106111.0,70208.0,57943.0,55857.0,-1.0,57204.0,37901.0,38596.0,-1.0,107033.0,85972.0,123810.0,73000.0,260000.0,94000.0,-1.0,41176.0
1980,187222.0,-1.0,-1.0,135223.0,2462.0,35798.0,77768.0,132715.0,51983.0,-1.0,-1.0,82217.0,69214.0,74163.0,-1.0,128781.0,63725.0,50000.0,21198.0,-1.0,21000.0,55925.0,-1.0,134507.0,-1.0,-1.0,80723.0,66928.0,-1.0,124747.0,-1.0,46134.0,49383.0,120167.0,22974.0,70000.0,-1.0,-1.0,91304.0,53546.0,-1.0,-1.0,57600.0,-1.0,34375.0,-1.0,98180.0,191447.0,-1.0,66415.0,59753.0,47826.0,-1.0,60287.0,-1.0,-1.0,-1.0,69922.0,-1.0,-1.0,70817.0,106667.0,69545.0,63600.0,82985.0,60345.0,40554.0,75992.0,61717.0,180055.0,60440.0,103244.0,5000.0,-1.0,96927.0,78261.0,-1.0,-1.0,81325.0,33333.0,38241.0,30000.0,96296.0,95848.0,73470.0,47707.0,56000.0,-1.0,81016.0,38905.0,39157.0,-1.0,92665.0,95790.0,128571.0,70000.0,266667.0,76400.0,-1.0,43902.0
1981,199588.0,-1.0,-1.0,150067.0,2000.0,40860.0,115272.0,114900.0,52023.0,-1.0,-1.0,86139.0,74943.0,78080.0,-1.0,111629.0,52731.0,50000.0,21978.0,-1.0,20833.0,49969.0,-1.0,172934.0,-1.0,-1.0,81240.0,67500.0,-1.0,118137.0,-1.0,53604.0,43750.0,130000.0,41625.0,66667.0,-1.0,-1.0,88000.0,38931.0,-1.0,-1.0,50800.0,-1.0,40000.0,-1.0,81693.0,192059.0,-1.0,65110.0,58447.0,51713.0,-1.0,37229.0,-1.0,-1.0,-1.0,108587.0,-1.0,-1.0,70312.0,103645.0,71205.0,80400.0,91517.0,62543.0,32604.0,72499.0,66498.0,139078.0,75031.0,102337.0,5000.0,-1.0,91874.0,78261.0,-1.0,-1.0,63805.0,33333.0,47610.0,30000.0,90000.0,110364.0,76437.0,68299.0,56875.0,-1.0,93925.0,31494.0,39494.0,-1.0,79501.0,103134.0,122727.0,72800.0,207547.0,115200.0,-1.0,46250.0
1982,150791.0,-1.0,-1.0,148059.0,8250.0,41884.0,119591.0,138920.0,52002.0,-1.0,-1.0,87661.0,71429.0,84939.0,-1.0,136589.0,72358.0,35714.0,14088.0,-1.0,17000.0,49970.0,-1.0,155117.0,-1.0,-1.0,170613.0,62983.0,-1.0,113710.0,-1.0,47832.0,80000.0,124706.0,36760.0,70000.0,-1.0,-1.0,94262.0,65712.0,-1.0,-1.0,57686.0,-1.0,39829.0,-1.0,86561.0,218723.0,-1.0,64317.0,52837.0,52107.0,-1.0,71640.0,-1.0,-1.0,-1.0,233583.0,-1.0,-1.0,70589.0,114291.0,71613.0,104167.0,124399.0,60149.0,36357.0,105000.0,74629.0,196585.0,76271.0,96008.0,5000.0,-1.0,111173.0,79250.0,-1.0,-1.0,126550.0,33333.0,29772.0,30000.0,96154.0,107159.0,80545.0,86080.0,59750.0,-1.0,94315.0,28230.0,44389.0,-1.0,107931.0,117609.0,122727.0,72500.0,180000.0,250667.0,-1.0,55725.0
