,Ukraine,Kenya,Bolivia (Plurinational State of),Peru,"China, Taiwan Province of",Israel,Malta,Syrian Arab Republic,United Republic of Tanzania,United Kingdom,Ethiopia,Japan,Tunisia,Iraq,Cyprus,Greece,New Zealand,Bulgaria,Australia & New Zealand,United States of America,Iran (Islamic Republic of),Guatemala,Thailand,Algeria,Kuwait,Kyrgyzstan,Netherlands,Costa Rica,Germany,Austria,Niger,Morocco,Sweden,Switzerland,Mexico,Romania,Ecuador,Spain,Egypt,China,Ireland,Uzbekistan,Colombia,Libya,Albania,Czechia,Slovakia,Lebanon,Brunei Darussalam,Occupied Palestinian Territory,Italy,Montenegro,Kazakhstan,Chile,France,Jordan,Portugal,Lithuania,Poland,"China, mainland",Russian Federation,Turkey,Belgium-Luxembourg
1961,-1.0,-1.0,15000.0,5800.0,-1.0,345.0,600.0,2500.0,-1.0,3700.0,-1.0,9040.0,1700.0,9970.0,42.0,4000.0,160.0,1137.0,160.0,-1.0,-1.0,160.0,30.0,-1.0,-1.0,-1.0,1400.0,-1,1613.0,-1.0,-1.0,9000.0,-1.0,-1.0,-1.0,-1.0,1700.0,12200.0,840.0,-1.0,-1.0,-1.0,-1.0,12.0,-1.0,-1.0,-1.0,1100.0,-1.0,-1.0,22000.0,-1.0,-1.0,2000.0,600.0,1930.0,4000.0,-1.0,-1.0,-1.0,-1.0,5800.0,-1
1962,-1.0,-1.0,15000.0,5850.0,-1.0,240.0,600.0,3000.0,-1.0,4600.0,-1.0,15000.0,2700.0,8604.0,52.0,3800.0,140.0,1026.0,140.0,-1.0,-1.0,170.0,30.0,-1.0,-1.0,-1.0,1500.0,-1,1879.0,-1.0,-1.0,9000.0,-1.0,-1.0,-1.0,-1.0,1800.0,13400.0,420.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1200.0,-1.0,-1.0,26000.0,-1.0,-1.0,2000.0,689.0,1700.0,5000.0,-1.0,-1.0,-1.0,-1.0,5900.0,-1
1963,-1.0,-1.0,15000.0,5900.0,-1.0,230.0,600.0,4000.0,-1.0,4600.0,-1.0,12300.0,3300.0,9678.0,50.0,4500.0,200.0,1053.0,200.0,-1.0,-1.0,180.0,30.0,-1.0,-1.0,-1.0,1400.0,-1,2106.0,-1.0,-1.0,23000.0,-1.0,-1.0,-1.0,-1.0,1800.0,13600.0,840.0,-1.0,-1.0,-1.0,-1.0,22.0,-1.0,-1.0,-1.0,1100.0,-1.0,-1.0,24000.0,-1.0,-1.0,2000.0,609.0,2030.0,4500.0,-1.0,-1.0,-1.0,-1.0,5900.0,-1
1964,-1.0,-1.0,14000.0,6000.0,-1.0,215.0,600.0,4500.0,-1.0,4800.0,-1.0,11400.0,2900.0,8995.0,50.0,4800.0,240.0,1080.0,240.0,-1.0,-1.0,200.0,30.0,-1.0,-1.0,-1.0,1200.0,-1,1491.0,-1.0,-1.0,20000.0,-1.0,-1.0,-1.0,-1.0,1900.0,20900.0,840.0,-1.0,-1.0,-1.0,-1.0,26.0,-1.0,-1.0,-1.0,1200.0,-1.0,-1.0,25000.0,-1.0,-1.0,2000.0,730.0,2490.0,4000.0,-1.0,-1.0,-1.0,-1.0,7000.0,-1
1965,-1.0,-1.0,14000.0,6240.0,-1.0,210.0,600.0,4500.0,-1.0,4200.0,-1.0,11100.0,4700.0,10264.0,204.0,1900.0,243.0,1050.0,243.0,-1.0,-1.0,200.0,30.0,-1.0,-1.0,-1.0,1100.0,-1,1238.0,-1.0,-1.0,9000.0,-1.0,-1.0,-1.0,-1.0,2000.0,21900.0,420.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,1400.0,-1.0,-1.0,23584.0,-1.0,-1.0,2073.0,745.0,2300.0,4000.0,-1.0,-1.0,-1.0,-1.0,7500.0,-1
1966,-1.0,-1.0,14000.0,5290.0,-1.0,215.0,333.0,4200.0,-1.0,3157.0,-1.0,10400.0,6000.0,10371.0,92.0,2800.0,200.0,1056.0,200.0,-1.0,-1.0,230.0,30.0,-1.0,-1.0,-1.0,992.0,-1,1177.0,-1.0,-1.0,14000.0,-1.0,-1.0,-1.0,-1.0,2000.0,22100.0,581.0,-1.0,-1.0,-1.0,-1.0,11.0,-1.0,-1.0,-1.0,1364.0,-1.0,-1.0,22896.0,-1.0,-1.0,2000.0,995.0,2296.0,3800.0,-1.0,-1.0,-1.0,-1.0,5300.0,-1
1967,-1.0,-1.0,13000.0,5810.0,-1.0,295.0,345.0,4137.0,-1.0,3845.0,-1.0,9320.0,6600.0,12985.0,143.0,2800.0,200.0,897.0,200.0,-1.0,-1.0,440.0,30.0,-1.0,-1.0,-1.0,1317.0,-1,1647.0,-1.0,-1.0,6600.0,-1.0,-1.0,-1.0,-1.0,2300.0,22100.0,420.0,-1.0,-1.0,-1.0,-1.0,16.0,-1.0,-1.0,-1.0,1260.0,-1.0,-1.0,22264.0,-1.0,-1.0,2000.0,1063.0,1970.0,3800.0,-1.0,-1.0,-1.0,-1.0,5800.0,-1
1968,-1.0,-1.0,13000.0,5805.0,-1.0,175.0,252.0,3378.0,-1.0,3925.0,-1.0,8500.0,8300.0,12938.0,122.0,2870.0,200.0,654.0,200.0,-1.0,-1.0,450.0,30.0,-1.0,-1.0,-1.0,1437.0,-1,1762.0,-1.0,-1.0,6700.0,-1.0,-1.0,-1.0,-1.0,2600.0,24400.0,420.0,-1.0,-1.0,-1.0,-1.0,21.0,-1.0,-1.0,-1.0,1395.0,-1.0,-1.0,21460.0,-1.0,-1.0,2000.0,935.0,1051.0,3700.0,-1.0,-1.0,-1.0,-1.0,7000.0,-1
1969,-1.0,-1.0,8000.0,5490.0,-1.0,105.0,310.0,3871.0,-1.0,3197.0,-1.0,7900.0,9600.0,15526.0,175.0,2880.0,100.0,704.0,100.0,-1.0,-1.0,520.0,30.0,1000.0,-1.0,-1.0,1557.0,-1,1863.0,-1.0,-1.0,6700.0,-1.0,-1.0,-1.0,-1.0,2900.0,20000.0,420.0,-1.0,-1.0,-1.0,-1.0,26.0,-1.0,-1.0,-1.0,1251.0,-1.0,-1.0,21130.0,-1.0,-1.0,2000.0,919.0,920.0,3700.0,-1.0,-1.0,-1.0,-1.0,8900.0,-1
1970,-1.0,-1.0,14000.0,6425.0,-1.0,270.0,361.0,4866.0,-1.0,4168.0,-1.0,7000.0,9000.0,14296.0,184.0,2800.0,100.0,801.0,100.0,-1.0,-1.0,500.0,30.0,2500.0,-1.0,-1.0,1691.0,-1,1601.0,-1.0,-1.0,6700.0,-1.0,-1.0,-1.0,-1.0,3300.0,18575.0,420.0,-1.0,-1.0,-1.0,-1.0,32.0,-1.0,-1.0,-1.0,1233.0,-1.0,-1.0,20317.0,-1.0,-1.0,2000.0,900.0,890.0,3600.0,-1.0,-1.0,-1.0,-1.0,8500.0,-1
1971,-1.0,-1.0,14000.0,6495.0,-1.0,190.0,220.0,4522.0,-1.0,4735.0,-1.0,3200.0,10000.0,15838.0,174.0,2800.0,133.0,748.0,133.0,-1.0,-1.0,500.0,35.0,4000.0,-1.0,-1.0,1933.0,-1,1536.0,-1.0,-1.0,4500.0,-1.0,-1.0,-1.0,-1.0,3700.0,13600.0,420.0,-1.0,-1.0,-1.0,-1.0,290.0,-1.0,-1.0,-1.0,1071.0,-1.0,-1.0,19297.0,-1.0,-1.0,2000.0,900.0,484.0,3600.0,-1.0,-1.0,-1.0,-1.0,8800.0,-1
1972,-1.0,-1.0,17000.0,6217.0,-1.0,260.0,271.0,4854.0,-1.0,4451.0,-1.0,3000.0,4700.0,18597.0,204.0,3000.0,469.0,529.0,469.0,-1.0,-1.0,490.0,35.0,6000.0,-1.0,-1.0,1938.0,-1,1278.0,-1.0,-1.0,5400.0,-1.0,-1.0,-1.0,-1.0,4200.0,11200.0,420.0,-1.0,-1.0,-1.0,-1.0,460.0,-1.0,-1.0,-1.0,1236.0,-1.0,-1.0,18722.0,-1.0,-1.0,2200.0,986.0,610.0,3600.0,-1.0,-1.0,-1.0,-1.0,8000.0,-1
1973,-1.0,-1.0,19000.0,6040.0,-1.0,130.0,295.0,4707.0,-1.0,3642.0,-1.0,3000.0,8200.0,21596.0,236.0,2500.0,390.0,549.0,390.0,-1.0,-1.0,480.0,35.0,7400.0,-1.0,-1.0,1844.0,-1,1269.0,-1.0,-1.0,3100.0,-1.0,-1.0,-1.0,-1.0,4400.0,17200.0,840.0,-1.0,-1.0,-1.0,-1.0,730.0,-1.0,-1.0,-1.0,1313.0,-1.0,-1.0,16991.0,-1.0,-1.0,2300.0,1091.0,606.0,3600.0,-1.0,-1.0,-1.0,-1.0,8800.0,-1
