,France,Bahrain,Australia & New Zealand,Australia,Panama,Pakistan,French Guiana,Thailand,Ethiopia,Kenya,Singapore,Zambia,Lebanon,Yemen,Albania,Niger,"China, Hong Kong SAR",Slovenia,Hungary,Canada,Philippines,Spain,Bahamas,Malta,Jamaica,Ecuador,Cabo Verde,Poland,Jordan,Belgium-Luxembourg,Colombia,Egypt,The former Yugoslav Republic of Macedonia,Malaysia,Mexico,Czechoslovakia,Haiti,Republic of Korea,Democratic Republic of the Congo,Tunisia,India,Congo,Martinique,Dominican Republic,Kyrgyzstan,Iran (Islamic Republic of),Peru,United States of America,"China, mainland",French Polynesia,New Zealand,United Arab Emirates,Bosnia and Herzegovina,Portugal,Netherlands,Guatemala,Slovakia,Puerto Rico,Romania,Norway,Dominica,Iraq,Madagascar,Belgium,Nepal,Luxembourg,Czechia,Costa Rica,Bangladesh,Italy,Qatar,Saint Lucia,Germany,Syrian Arab Republic,Latvia,Sweden,Uzbekistan,China,Finland,Morocco,Switzerland,Chile,Honduras,Zimbabwe,Ireland,Cyprus,Austria,Israel,Réunion,Japan,Denmark,Trinidad and Tobago,Grenada,United Kingdom,Mauritius,Barbados,Turkey,Bolivia (Plurinational State of),Venezuela (Bolivarian Republic of),Djibouti,Brunei Darussalam,Greece,Ukraine,Kuwait,South Africa,Guadeloupe,Polynesia,Croatia,Bulgaria,Occupied Palestinian Territory
1961,458000.0,,33540.0,21240.0,1600.0,,,100.0,,-1.0,264.0,,9500.0,,-1.0,-1.0,5665.0,,30306.0,24388.0,-1.0,421000.0,-1.0,-1.0,1087.0,11960.0,-1.0,,3654.0,95610.0,10000.0,32000.0,,-1.0,8150.0,34000.0,250.0,,13420.0,-1.0,250000.0,-1.0,1000.0,3071.0,,-1.0,13500.0,1726091.0,2220000.0,,12300.0,,,20000.0,82909.0,5200.0,,-1.0,-1.0,,,8266.0,250.0,,-1.0,,,-1.0,48000.0,608300.0,,-1.0,78100.0,15000.0,,9200.0,,2225665.0,-1.0,300.0,43000.0,13500.0,-1.0,-1.0,200.0,450.0,7666.0,3600.0,,22930.0,2000.0,45.0,,124974.0,260.0,-1.0,51000.0,8000.0,6700.0,-1.0,-1.0,22120.0,,-1.0,5213.0,1000.0,,,20000.0,-1.0
1962,443000.0,,33923.0,21733.0,1800.0,,,110.0,,-1.0,305.0,,10000.0,,-1.0,-1.0,5597.0,,28369.0,29662.0,-1.0,365000.0,-1.0,-1.0,816.0,21625.0,-1.0,,2871.0,127788.0,10000.0,33000.0,,-1.0,8250.0,35272.0,260.0,,10388.0,-1.0,265000.0,-1.0,1100.0,3164.0,,-1.0,14000.0,1703412.0,1670000.0,,12190.0,,,21000.0,76795.0,5300.0,,-1.0,-1.0,,,16780.0,300.0,,-1.0,,,-1.0,51000.0,660700.0,,-1.0,65400.0,16000.0,,9200.0,,1675597.0,-1.0,300.0,42000.0,14000.0,-1.0,-1.0,200.0,450.0,6861.0,3950.0,,26960.0,2000.0,50.0,,128022.0,320.0,-1.0,53000.0,8300.0,7000.0,-1.0,-1.0,16683.0,,-1.0,7736.0,1000.0,,,20000.0,-1.0
1963,435000.0,,38594.0,22344.0,2000.0,,,120.0,,-1.0,254.0,,10000.0,,-1.0,-1.0,5570.0,,26477.0,24526.0,-1.0,382000.0,-1.0,-1.0,907.0,24830.0,-1.0,,2384.0,145530.0,11000.0,37000.0,,-1.0,8350.0,36789.0,270.0,,10325.0,-1.0,271000.0,-1.0,1100.0,3260.0,,-1.0,15000.0,1780568.0,1490000.0,,16250.0,,,20000.0,92481.0,5400.0,,-1.0,-1.0,,,24147.0,350.0,,-1.0,,,-1.0,54000.0,725800.0,,-1.0,70600.0,17419.0,,9200.0,,1495570.0,-1.0,200.0,44500.0,14500.0,-1.0,-1.0,200.0,450.0,5394.0,3550.0,,30680.0,2000.0,52.0,,118878.0,312.0,-1.0,55000.0,9000.0,7400.0,-1.0,-1.0,22497.0,,-1.0,9600.0,1100.0,,,21289.0,-1.0
1964,484000.0,,40745.0,22745.0,2200.0,,,130.0,,-1.0,203.0,,12000.0,,-1.0,-1.0,6166.0,,25355.0,25885.0,-1.0,366000.0,-1.0,-1.0,2134.0,16349.0,-1.0,,4039.0,168956.0,11000.0,38000.0,,-1.0,8350.0,32976.0,280.0,,16232.0,-1.0,280000.0,-1.0,1100.0,3271.0,,-1.0,14000.0,1775215.0,1330000.0,,18000.0,,,20000.0,99402.0,5500.0,,-1.0,-1.0,,,11897.0,400.0,,-1.0,,,-1.0,57000.0,751000.0,,-1.0,66000.0,17000.0,,9200.0,,1336166.0,-1.0,200.0,46600.0,15000.0,-1.0,-1.0,200.0,450.0,9339.0,3500.0,,35300.0,2000.0,46.0,,125990.0,257.0,-1.0,56000.0,8000.0,7600.0,-1.0,-1.0,20232.0,,-1.0,10000.0,1200.0,,,17160.0,-1.0
1965,484900.0,,39937.0,23677.0,2300.0,,,140.0,,-1.0,203.0,,10500.0,,-1.0,-1.0,6347.0,,29189.0,26091.0,-1.0,357000.0,-1.0,-1.0,3048.0,13236.0,-1.0,,3487.0,144488.0,12000.0,43641.0,,-1.0,8400.0,32020.0,300.0,,2688.0,-1.0,295000.0,-1.0,1200.0,3311.0,,-1.0,14700.0,1854457.0,1400000.0,,16260.0,,,20000.0,110635.0,5670.0,,-1.0,-1.0,,,20000.0,500.0,,-1.0,,,-1.0,60000.0,750200.0,,-1.0,69900.0,17030.0,,9200.0,,1406347.0,-1.0,200.0,17600.0,15884.0,-1.0,-1.0,200.0,450.0,4799.0,4600.0,,50211.0,2358.0,40.0,,136151.0,379.0,-1.0,58000.0,7800.0,7800.0,-1.0,-1.0,20100.0,,-1.0,10000.0,1200.0,,,9065.0,-1.0
1966,473900.0,,38120.0,24714.0,2800.0,,,150.0,,-1.0,,,10500.0,,-1.0,-1.0,14000.0,,28128.0,21872.0,-1.0,354400.0,-1.0,-1.0,3048.0,18726.0,-1.0,,3200.0,142140.0,12000.0,48213.0,,-1.0,8500.0,32523.0,270.0,,2869.0,-1.0,305000.0,-1.0,1200.0,3308.0,,-1.0,14750.0,1883941.0,1340000.0,,13406.0,,,21000.0,97309.0,5715.0,,-1.0,-1.0,,,26606.0,600.0,,-1.0,,,-1.0,63000.0,762900.0,,-1.0,77519.0,17004.0,,9700.0,,1354000.0,-1.0,150.0,18600.0,16000.0,-1.0,-1.0,200.0,450.0,9966.0,4900.0,,66471.0,2324.0,61.0,,146108.0,371.0,-1.0,60000.0,8500.0,7680.0,-1.0,-1.0,25227.0,,-1.0,10000.0,1300.0,,,10394.0,-1.0
1967,470500.0,,39132.0,25034.0,3500.0,,,160.0,,-1.0,,,13340.0,,-1.0,-1.0,17000.0,,23836.0,25653.0,-1.0,366700.0,-1.0,-1.0,2722.0,14418.0,-1.0,,2763.0,208324.0,13000.0,49663.0,,-1.0,8600.0,34034.0,270.0,,3050.0,-1.0,312000.0,-1.0,1200.0,3368.0,,-1.0,19886.0,1948895.0,1350000.0,,14098.0,10.0,,21000.0,122882.0,4284.0,,-1.0,-1.0,,,31511.0,700.0,,-1.0,,,-1.0,65000.0,738300.0,,-1.0,80941.0,17671.0,,9900.0,,1367000.0,-1.0,200.0,18700.0,16500.0,-1.0,-1.0,200.0,450.0,8592.0,4350.0,,89018.0,2037.0,66.0,,136354.0,172.0,-1.0,60000.0,8500.0,7781.0,-1.0,-1.0,23421.0,,-1.0,10000.0,1300.0,,,8574.0,-1.0
1968,439300.0,,39145.0,25279.0,4300.0,,,170.0,,-1.0,,,11456.0,,-1.0,-1.0,14000.0,,29341.0,28715.0,-1.0,338500.0,-1.0,-1.0,2370.0,15482.0,-1.0,,1585.0,203300.0,13000.0,59000.0,,-1.0,8800.0,34115.0,280.0,,1220.0,-1.0,321000.0,-1.0,1300.0,3455.0,,-1.0,15449.0,2008179.0,1340000.0,,13866.0,10.0,,21000.0,122735.0,5000.0,,-1.0,-1.0,,,37581.0,700.0,,-1.0,,,-1.0,68000.0,703000.0,,-1.0,82436.0,16097.0,,10200.0,,1354000.0,-1.0,200.0,18770.0,17000.0,-1.0,-1.0,200.0,450.0,9703.0,5250.0,,115095.0,2331.0,67.0,,137370.0,289.0,-1.0,65567.0,9000.0,7884.0,-1.0,-1.0,33143.0,,-1.0,12000.0,1300.0,,,6968.0,-1.0
1969,468900.0,,48333.0,32146.0,4800.0,,,180.0,,-1.0,,,16330.0,,-1.0,-1.0,17000.0,,28319.0,23836.0,-1.0,333500.0,-1.0,-1.0,1149.0,10982.0,-1.0,,1000.0,222600.0,14000.0,59000.0,,-1.0,9000.0,23341.0,280.0,,3000.0,-1.0,350000.0,-1.0,1300.0,3575.0,,-1.0,17791.0,2035440.0,1450000.0,,16187.0,5.0,,22000.0,141267.0,5704.0,,-1.0,-1.0,,,40866.0,800.0,,-1.0,,,-1.0,72084.0,767790.0,,-1.0,81100.0,14910.0,,10700.0,,1467000.0,-1.0,200.0,18800.0,17500.0,-1.0,-1.0,200.0,450.0,13873.0,5450.0,,139179.0,3318.0,52.0,,140317.0,270.0,-1.0,53158.0,9000.0,7988.0,-1.0,-1.0,48072.0,,-1.0,15000.0,1300.0,,,8620.0,-1.0
1970,441400.0,,49823.0,35695.0,1600.0,,,190.0,,-1.0,,,18433.0,,-1.0,-1.0,15000.0,,28254.0,27276.0,-1.0,346500.0,-1.0,-1.0,2148.0,11286.0,-1.0,,1197.0,229400.0,14000.0,69000.0,,-1.0,10000.0,23053.0,300.0,,4000.0,-1.0,355000.0,-1.0,1400.0,3669.0,,-1.0,23128.0,2111008.0,1080000.0,,14128.0,20.0,,22000.0,135392.0,5865.0,,-1.0,-1.0,,,31754.0,700.0,,-1.0,,,-1.0,64595.0,773900.0,,-1.0,87739.0,13062.0,,11000.0,,1095000.0,-1.0,150.0,18800.0,18000.0,-1.0,-1.0,300.0,450.0,13687.0,6850.0,,168000.0,3168.0,52.0,,173846.0,326.0,-1.0,66000.0,9000.0,8093.0,-1.0,-1.0,33461.0,,-1.0,18000.0,4200.0,,,7574.0,-1.0
