,Sudan,Israel,Kenya,Niger,Chad,Morocco,Cameroon,Saudi Arabia,Qatar,Mexico,Sudan (former),Syrian Arab Republic,Jordan,Mauritania,Benin,Somalia,China,Pakistan,Colombia,Tunisia,Libya,Albania,Iraq,Yemen,Peru,Occupied Palestinian Territory,Spain,Bahrain,United States of America,Iran (Islamic Republic of),Egypt,Algeria,Kuwait,"China, mainland",Oman,United Arab Emirates,Namibia,Swaziland,Turkey
1961,-1.0,85714.0,33333.0,30000.0,-1.0,47778.0,-1.0,72727.0,-1.0,75401.0,60227.0,-1.0,33533.0,28889.0,-1.0,36154.0,40000.0,82697.0,-1.0,36300.0,-1.0,-1.0,-1.0,36438.0,54545.0,-1.0,296296.0,93750.0,114200.0,38462.0,239500.0,25000.0,-1.0,40000.0,30769.0,120000.0,-1.0,-1.0,23077.0
1962,-1.0,87500.0,30000.0,30000.0,-1.0,31111.0,-1.0,71739.0,-1.0,78288.0,59783.0,-1.0,38800.0,30000.0,-1.0,36923.0,40000.0,70333.0,-1.0,35238.0,-1.0,-1.0,-1.0,36630.0,54545.0,-1.0,299252.0,93750.0,129141.0,39744.0,200500.0,25000.0,-1.0,40000.0,30769.0,118182.0,-1.0,-1.0,23077.0
1963,-1.0,90000.0,30000.0,29412.0,-1.0,44444.0,-1.0,72340.0,-1.0,93365.0,61053.0,-1.0,40867.0,30000.0,-1.0,37692.0,42000.0,60575.0,-1.0,35294.0,-1.0,-1.0,-1.0,39980.0,53846.0,-1.0,299252.0,93750.0,117935.0,42051.0,220127.0,25000.0,-1.0,42000.0,30769.0,122807.0,-1.0,-1.0,23077.0
1964,-1.0,88000.0,30000.0,29412.0,-1.0,47222.0,-1.0,72917.0,-1.0,92394.0,60000.0,-1.0,39400.0,28571.0,-1.0,38462.0,40909.0,72216.0,-1.0,35000.0,-1.0,-1.0,-1.0,40175.0,53846.0,-1.0,282486.0,93750.0,129676.0,36538.0,163630.0,30028.0,-1.0,40909.0,30769.0,122951.0,-1.0,-1.0,23214.0
1965,-1.0,88000.0,30000.0,29412.0,-1.0,47778.0,-1.0,72000.0,-1.0,96428.0,60000.0,-1.0,41200.0,29333.0,-1.0,36429.0,40000.0,80660.0,-1.0,34839.0,-1.0,-1.0,-1.0,40370.0,53333.0,-1.0,273752.0,93750.0,118250.0,38462.0,192859.0,24960.0,-1.0,40000.0,30769.0,122951.0,-1.0,-1.0,23214.0
1966,-1.0,103333.0,30000.0,29412.0,-1.0,45000.0,-1.0,72435.0,-1.0,98667.0,60185.0,-1.0,43830.0,30000.0,-1.0,37143.0,40000.0,80000.0,-1.0,35250.0,-1.0,-1.0,-1.0,41200.0,53867.0,-1.0,253677.0,93750.0,119647.0,36709.0,158592.0,25024.0,-1.0,40000.0,30769.0,122581.0,-1.0,-1.0,23729.0
1967,-1.0,90000.0,30000.0,29412.0,-1.0,45000.0,-1.0,72435.0,-1.0,96302.0,59130.0,-1.0,10400.0,28889.0,-1.0,37857.0,40000.0,78387.0,-1.0,35727.0,-1.0,-1.0,-1.0,36168.0,53533.0,-1.0,241016.0,93750.0,113743.0,35570.0,159455.0,25111.0,-1.0,40000.0,30769.0,122951.0,-1.0,-1.0,23729.0
1968,-1.0,95000.0,28000.0,29412.0,-1.0,45000.0,-1.0,71429.0,-1.0,98533.0,59829.0,-1.0,9286.0,29787.0,-1.0,37857.0,43478.0,74653.0,-1.0,35000.0,-1.0,-1.0,-1.0,34059.0,38211.0,-1.0,261355.0,93750.0,121027.0,35443.0,154500.0,25031.0,-1.0,43478.0,30769.0,124138.0,-1.0,-1.0,23729.0
1969,-1.0,105000.0,28000.0,29412.0,-1.0,45000.0,-1.0,73333.0,-1.0,42917.0,60150.0,-1.0,10000.0,29762.0,-1.0,38571.0,43478.0,73608.0,-1.0,34906.0,-1.0,-1.0,-1.0,32277.0,44800.0,-1.0,255452.0,93750.0,85239.0,36709.0,200500.0,30458.0,-1.0,43478.0,34615.0,126667.0,-1.0,-1.0,22881.0
1970,-1.0,115000.0,28000.0,29412.0,-1.0,45000.0,-1.0,77419.0,-1.0,59045.0,60000.0,-1.0,10000.0,30000.0,-1.0,38571.0,43478.0,85027.0,-1.0,37143.0,-1.0,-1.0,-1.0,28713.0,44000.0,-1.0,209521.0,93750.0,101920.0,38750.0,169500.0,24770.0,-1.0,43478.0,34615.0,125000.0,-1.0,-1.0,22222.0
